Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1996-01-20,1,The World I Know,Collective Soul,-,1,1
1996-01-20,2,Waiting For Tonight,Tom Petty And The Heartbreakers,-,2,1
1996-01-20,3,Name,Goo Goo Dolls,-,3,1
1996-01-20,4,My Friends,Red Hot Chili Peppers,-,4,1
1996-01-20,5,Give Me One Reason,Tracy Chapman,-,5,1
1996-01-20,6,1979,The Smashing Pumpkins,-,6,1
1996-01-20,7,Good Intentions,Toad The Wet Sprocket,-,7,1
1996-01-20,8,Wonder,Natalie Merchant,-,8,1
1996-01-20,9,(You're) My World,Joe Satriani,-,9,1
1996-01-20,10,Wonderwall,Oasis,-,10,1
1996-01-20,11,Free As A Bird,The Beatles,-,11,1
1996-01-20,12,Try Try Try,Julian Cope,-,12,1
1996-01-20,13,Go Walking Down There,Chris Isaak,-,13,1
1996-01-20,14,Cry Love,John Hiatt,-,14,1
1996-01-20,15,Satellite,Dave Matthews Band,-,15,1
1996-01-20,16,One Of Us,Joan Osborne,-,16,1
1996-01-20,17,I Want To Come Over,Melissa Etheridge,-,17,1
1996-01-20,18,Breakfast At Tiffany's,Deep Blue Something,-,18,1
1996-01-20,19,Sense Of Purpose,Pretenders,-,19,1
1996-01-20,20,Youngstown,Bruce Springsteen,-,20,1
1996-01-27,1,Waiting For Tonight,Tom Petty And The Heartbreakers,2,1,2
1996-01-27,2,The World I Know,Collective Soul,1,1,2
1996-01-27,3,1979,The Smashing Pumpkins,6,3,2
1996-01-27,4,Give Me One Reason,Tracy Chapman,5,4,2
1996-01-27,5,Name,Goo Goo Dolls,3,3,2
1996-01-27,6,Good Intentions,Toad The Wet Sprocket,7,6,2
1996-01-27,7,Satellite,Dave Matthews Band,15,7,2
1996-01-27,8,My Friends,Red Hot Chili Peppers,4,4,2
1996-01-27,9,Wonderwall,Oasis,10,9,2
1996-01-27,10,Cry Love,John Hiatt,14,10,2
1996-01-27,11,Go Walking Down There,Chris Isaak,13,11,2
1996-01-27,12,I Want To Come Over,Melissa Etheridge,17,12,2
1996-01-27,13,Try Try Try,Julian Cope,12,12,2
1996-01-27,14,Fear Of Falling,The Badlees,-,14,1
1996-01-27,15,Caught A Lite Sneeze,Tori Amos,-,15,1
1996-01-27,16,Jealousy,Natalie Merchant,-,16,1
1996-01-27,17,Wonder,Natalie Merchant,8,8,2
1996-01-27,18,(You're) My World,Joe Satriani,9,9,2
1996-01-27,19,Free As A Bird,The Beatles,11,11,2
1996-01-27,20,Youngstown,Bruce Springsteen,20,20,2
1996-02-03,1,The World I Know,Collective Soul,2,1,3
1996-02-03,2,Waiting For Tonight,Tom Petty And The Heartbreakers,1,1,3
1996-02-03,3,1979,The Smashing Pumpkins,3,3,3
1996-02-03,4,Give Me One Reason,Tracy Chapman,4,4,3
1996-02-03,5,Wonderwall,Oasis,9,5,3
1996-02-03,6,I Want To Come Over,Melissa Etheridge,12,6,3
1996-02-03,7,Caught A Lite Sneeze,Tori Amos,15,7,2
1996-02-03,8,Satellite,Dave Matthews Band,7,7,3
1996-02-03,9,Name,Goo Goo Dolls,5,3,3
1996-02-03,10,Go Walking Down There,Chris Isaak,11,10,3
1996-02-03,11,Jealousy,Natalie Merchant,16,11,2
1996-02-03,12,Fear Of Falling,The Badlees,14,12,2
1996-02-03,13,Try Try Try,Julian Cope,13,12,3
1996-02-03,14,Cry Love,John Hiatt,10,10,3
1996-02-03,15,Good Intentions,Toad The Wet Sprocket,6,6,3
1996-02-03,16,My Friends,Red Hot Chili Peppers,8,4,3
1996-02-03,17,Wonder,Natalie Merchant,17,8,3
1996-02-03,18,Free As A Bird,The Beatles,19,11,3
1996-02-03,19,Ironic,Alanis Morissette,-,19,1
1996-02-03,20,Ladder,Joan Osborne,-,20,1
1996-02-10,1,The World I Know,Collective Soul,1,1,4
1996-02-10,2,Waiting For Tonight,Tom Petty And The Heartbreakers,2,1,4
1996-02-10,3,Give Me One Reason,Tracy Chapman,4,3,4
1996-02-10,4,Follow You Down,Gin Blossoms,-,4,1
1996-02-10,5,1979,The Smashing Pumpkins,3,3,4
1996-02-10,6,Wonderwall,Oasis,5,5,4
1996-02-10,7,Satellite,Dave Matthews Band,8,7,4
1996-02-10,8,I Want To Come Over,Melissa Etheridge,6,6,4
1996-02-10,9,Caught A Lite Sneeze,Tori Amos,7,7,3
1996-02-10,10,Ironic,Alanis Morissette,19,10,2
1996-02-10,11,Fear Of Falling,The Badlees,12,11,3
1996-02-10,12,Some Bridges,Jackson Browne,-,12,1
1996-02-10,13,Name,Goo Goo Dolls,9,3,4
1996-02-10,14,Jealousy,Natalie Merchant,11,11,3
1996-02-10,15,Go Walking Down There,Chris Isaak,10,10,4
