Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1961-07-15,1,The Boll Weevil Song,Brook Benton,-,1,1
1961-07-15,2,Yellow Bird,Arthur Lyman Group,-,2,1
1961-07-15,3,San Antonio Rose,Floyd Cramer,-,3,1
1961-07-15,4,Moody River,Pat Boone,-,4,1
1961-07-15,5,The Writing On The Wall,Adam Wade,-,5,1
1961-07-15,6,Together,Connie Francis,-,6,1
1961-07-15,7,Never On Sunday,The Chordettes,-,7,1
1961-07-15,8,My Kind Of Girl,Matt Monro,-,8,1
1961-07-15,9,Wooden Heart,Joe Dowell,-,9,1
1961-07-15,10,Should I,The String-A-Longs,-,10,1
1961-07-15,11,You'll Answer To Me,Patti Page,-,11,1
1961-07-15,12,Don't Bet Money Honey,Linda Scott,-,12,1
1961-07-15,13,Hello Walls,Faron Young,-,13,1
1961-07-15,14,Mom And Dad's Waltz,Patti Page,-,14,1
1961-07-15,15,Granada,Frank Sinatra,-,15,1
1961-07-15,16,Never On Sunday,Don Costa And His Orchestra And Chorus,-,16,1
1961-07-15,17,Take A Fool's Advice,Nat King Cole,-,17,1
1961-07-15,18,La Dolce Vita (The Sweet Life),Ray Ellis,-,18,1
1961-07-15,19,Water Boy,Don Shirley Trio,-,19,1
1961-07-15,20,My Claire De Lune,Steve Lawrence,-,20,1
1961-07-22,1,The Boll Weevil Song,Brook Benton,1,1,2
1961-07-22,2,Yellow Bird,Arthur Lyman Group,2,2,2
1961-07-22,3,Together,Connie Francis,6,3,2
1961-07-22,4,San Antonio Rose,Floyd Cramer,3,3,2
1961-07-22,5,Never On Sunday,The Chordettes,7,5,2
1961-07-22,6,Moody River,Pat Boone,4,4,2
1961-07-22,7,Wooden Heart,Joe Dowell,9,7,2
1961-07-22,8,My Kind Of Girl,Matt Monro,8,8,2
1961-07-22,9,Don't Bet Money Honey,Linda Scott,12,9,2
1961-07-22,10,The Writing On The Wall,Adam Wade,5,5,2
1961-07-22,11,You'll Answer To Me,Patti Page,11,11,2
1961-07-22,12,Should I,The String-A-Longs,10,10,2
1961-07-22,13,Hurt,Timi Yuro,-,13,1
1961-07-22,14,Take A Fool's Advice,Nat King Cole,17,14,2
1961-07-22,15,As If I Didn't Know,Adam Wade,-,15,1
1961-07-22,16,Water Boy,Don Shirley Trio,19,16,2
1961-07-22,17,Granada,Frank Sinatra,15,15,2
1961-07-22,18,La Dolce Vita (The Sweet Life),Ray Ellis,18,18,2
1961-07-22,19,The Guns Of Navarone,Joe Reisman Orch. & Chorus,-,19,1
1961-07-22,20,Tears On My Pillow,The McGuire Sisters,-,20,1
1961-07-29,1,The Boll Weevil Song,Brook Benton,1,1,3
1961-07-29,2,Together,Connie Francis,3,2,3
1961-07-29,3,Yellow Bird,Arthur Lyman Group,2,2,3
1961-07-29,4,San Antonio Rose,Floyd Cramer,4,3,3
1961-07-29,5,Wooden Heart,Joe Dowell,7,5,3
1961-07-29,6,Never On Sunday,The Chordettes,5,5,3
1961-07-29,7,My Kind Of Girl,Matt Monro,8,7,3
1961-07-29,8,Moody River,Pat Boone,6,4,3
1961-07-29,9,Don't Bet Money Honey,Linda Scott,9,9,3
1961-07-29,10,Hurt,Timi Yuro,13,10,2
1961-07-29,11,Should I,The String-A-Longs,12,10,3
1961-07-29,12,As If I Didn't Know,Adam Wade,15,12,2
1961-07-29,13,You'll Answer To Me,Patti Page,11,11,3
1961-07-29,14,My Claire De Lune,Steve Lawrence,-,14,2
1961-07-29,15,Take A Fool's Advice,Nat King Cole,14,14,3
1961-07-29,16,Water Boy,Don Shirley Trio,16,16,3
1961-07-29,17,Tears On My Pillow,The McGuire Sisters,20,17,2
1961-07-29,18,The Guns Of Navarone,Joe Reisman Orch. & Chorus,19,18,2
1961-07-29,19,La Dolce Vita (The Sweet Life),Ray Ellis,18,18,3
1961-07-29,20,I'll Never Smile Again,The Platters,-,20,1
1961-08-05,1,Together,Connie Francis,2,1,4
1961-08-05,2,Wooden Heart,Joe Dowell,5,2,4
1961-08-05,3,Michael,The Highwaymen,-,3,1
1961-08-05,4,The Boll Weevil Song,Brook Benton,1,1,4
1961-08-05,5,Never On Sunday,The Chordettes,6,5,4
1961-08-05,6,My Kind Of Girl,Matt Monro,7,6,4
1961-08-05,7,San Antonio Rose,Floyd Cramer,4,3,4
1961-08-05,8,Hurt,Timi Yuro,10,8,3
1961-08-05,9,Yellow Bird,Arthur Lyman Group,3,2,4
1961-08-05,10,As If I Didn't Know,Adam Wade,12,10,3
1961-08-05,11,Moody River,Pat Boone,8,4,4
1961-08-05,12,Should I,The String-A-Longs,11,10,4
1961-08-05,13,My Claire De Lune,Steve Lawrence,14,13,3
1961-08-05,14,Tears On My Pillow,The McGuire Sisters,17,14,3
1961-08-05,15,Water Boy,Don Shirley Trio,16,15,4
1961-08-05,16,Take A Fool's Advice,Nat King Cole,15,14,4
1961-08-05,17,The Guns Of Navarone,Joe Reisman Orch. & Chorus,18,17,3
1961-08-05,18,Now And Forever,Bert Kaempfert And His Orchestra,-,18,1
1961-08-05,19,I'll Never Smile Again,The Platters,20,19,2
1961-08-05,20,Here In My Heart,Al Martino,-,20,1
1961-08-12,1,Wooden Heart,Joe Dowell,2,1,5
1961-08-12,2,Michael,The Highwaymen,3,2,2
1961-08-12,3,Together,Connie Francis,1,1,5
1961-08-12,4,Never On Sunday,The Chordettes,5,4,5
