Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1988-09-10,1,Peek-A-Boo,Siouxsie & The Banshees,-,1,1
1988-09-10,2,Just Play Music!,Big Audio,-,2,1
1988-09-10,3,Crash,The Primitives,-,3,1
1988-09-10,4,Breakfast In Bed,UB40 & Chrissie Hynde,-,4,1
1988-09-10,5,Tumblin' Down,Ziggy Marley And The Melody Makers,-,5,1
1988-09-10,6,Intoxication,Shriekback,-,6,1
1988-09-10,7,All That Money Wants,Psychedelic Furs,-,7,1
1988-09-10,8,Wild Wild West,The Escape Club,-,8,1
1988-09-10,9,What's The Matter Here?,"10,000 Maniacs",-,9,1
1988-09-10,10,What's On Your Mind (Pure Energy),Information Society,-,10,1
1988-09-10,11,Christine,House Of Love,-,11,1
1988-09-10,12,Up There Down There,Patti Smith,-,12,1
1988-09-10,13,High Time,Icicle Works,-,13,1
1988-09-10,14,"Liar, Liar",Debbie Harry,-,14,1
1988-09-10,15,Don't Go,Hothouse Flowers,-,15,1
1988-09-10,16,Dumb Things,Paul Kelly & The Messengers,-,16,1
1988-09-10,17,Motorcrash,The Sugarcubes,-,17,1
1988-09-10,18,Back On The Breadline,Hunters & Collectors,-,18,1
1988-09-10,19,Don't Walk Away,Toni Childs,-,19,1
1988-09-10,20,All I Wanted,In Tua Nua,-,20,1
1988-09-10,21,What I Am,Edie Brickell & New Bohemians,-,21,1
1988-09-10,22,Glad I'm Not A Kennedy,Shona Laing,-,22,1
1988-09-10,23,So Excited,Ranking Roger,-,23,1
1988-09-10,24,Talkin' Bout A Revolution,Tracy Chapman,-,24,1
1988-09-10,25,Chains Of Love,Erasure,-,25,1
1988-09-10,26,Crystal Palace,The Bible,-,26,1
1988-09-10,27,Don't Let It Break You Down,Graham Parker,-,27,1
1988-09-10,28,Never Tear Us Apart,INXS,-,28,1
1988-09-10,29,Better Be Home Soon,Crowded House,-,29,1
1988-09-10,30,Living For You,Joan Armatrading,-,30,1
1988-09-17,1,Just Play Music!,Big Audio,2,1,2
1988-09-17,2,Peek-A-Boo,Siouxsie & The Banshees,1,1,2
1988-09-17,3,All That Money Wants,Psychedelic Furs,7,3,2
1988-09-17,4,Crash,The Primitives,3,3,2
1988-09-17,5,Breakfast In Bed,UB40 & Chrissie Hynde,4,4,2
1988-09-17,6,Up There Down There,Patti Smith,12,6,2
1988-09-17,7,Wild Wild West,The Escape Club,8,7,2
1988-09-17,8,Christine,House Of Love,11,8,2
1988-09-17,9,Intoxication,Shriekback,6,6,2
1988-09-17,10,Don't Go,Hothouse Flowers,15,10,2
1988-09-17,11,Jesus Christ,U2,-,11,1
1988-09-17,12,Back On The Breadline,Hunters & Collectors,18,12,2
1988-09-17,13,Tumblin' Down,Ziggy Marley And The Melody Makers,5,5,2
1988-09-17,14,What I Am,Edie Brickell & New Bohemians,21,14,2
1988-09-17,15,What's On Your Mind (Pure Energy),Information Society,10,10,2
1988-09-17,16,Anchorage,Michelle Shocked,-,16,1
1988-09-17,17,All I Wanted,In Tua Nua,20,17,2
1988-09-17,18,Another Kind Of Love,Hugh Cornwell,-,18,1
1988-09-17,19,Shark Walk,Shriekback,-,19,1
1988-09-17,20,What's The Matter Here?,"10,000 Maniacs",9,9,2
1988-09-17,21,Motorcrash,The Sugarcubes,17,17,2
1988-09-17,22,Chains Of Love,Erasure,25,22,2
1988-09-17,23,Don't Walk Away,Toni Childs,19,19,2
1988-09-17,24,Glad I'm Not A Kennedy,Shona Laing,22,22,2
1988-09-17,25,Tell That Girl To Shut Up,Transvision Vamp,-,25,1
1988-09-17,26,High Time,Icicle Works,13,13,2
1988-09-17,27,Jump In The River,Sinead O'Connor,-,27,1
1988-09-17,28,Other 99,Big Audio,-,28,1
1988-09-17,29,King Of Emotion,Big Country,-,29,1
1988-09-17,30,I've Got A Feeling,The Screaming Tribesmen,-,30,1
1988-09-24,1,Peek-A-Boo,Siouxsie & The Banshees,2,1,3
1988-09-24,2,Just Play Music!,Big Audio,1,1,3
1988-09-24,3,All That Money Wants,Psychedelic Furs,3,3,3
1988-09-24,4,Crash,The Primitives,4,3,3
1988-09-24,5,Wild Wild West,The Escape Club,7,5,3
1988-09-24,6,Up There Down There,Patti Smith,6,6,3
1988-09-24,7,Breakfast In Bed,UB40 & Chrissie Hynde,5,4,3
1988-09-24,8,What I Am,Edie Brickell & New Bohemians,14,8,3
1988-09-24,9,Jesus Christ,U2,11,9,2
1988-09-24,10,Back On The Breadline,Hunters & Collectors,12,10,3
1988-09-24,11,Christine,House Of Love,8,8,3
1988-09-24,12,Tumblin' Down,Ziggy Marley And The Melody Makers,13,5,3
1988-09-24,13,Don't Go,Hothouse Flowers,10,10,3
1988-09-24,14,"Liar, Liar",Debbie Harry,-,14,2
1988-09-24,15,Intoxication,Shriekback,9,6,3
1988-09-24,16,Motorcrash,The Sugarcubes,21,16,3
1988-09-24,17,Don't Walk Away,Toni Childs,23,17,3
1988-09-24,18,Anchorage,Michelle Shocked,16,16,2
1988-09-24,19,Another Kind Of Love,Hugh Cornwell,18,18,2
1988-09-24,20,What's On Your Mind (Pure Energy),Information Society,15,10,3
1988-09-24,21,King Of Emotion,Big Country,29,21,2
1988-09-24,22,Tell That Girl To Shut Up,Transvision Vamp,25,22,2
1988-09-24,23,What's The Matter Here?,"10,000 Maniacs",20,9,3
1988-09-24,24,I've Got A Feeling,The Screaming Tribesmen,30,24,2
1988-09-24,25,Shark Walk,Shriekback,19,19,2
1988-09-24,26,Glad I'm Not A Kennedy,Shona Laing,24,22,3
1988-09-24,27,All I Wanted,In Tua Nua,17,17,3
1988-09-24,28,Every Dog Has His Day,Let's Active,-,28,1
1988-09-24,29,Put This Love To The Test,Jon Astley,-,29,1
1988-09-24,30,Def Con 1,Pop Will Eat Itself,-,30,1
1988-10-01,1,All That Money Wants,Psychedelic Furs,3,1,4
1988-10-01,2,Peek-A-Boo,Siouxsie & The Banshees,1,1,4
1988-10-01,3,Wild Wild West,The Escape Club,5,3,4
1988-10-01,4,Crash,The Primitives,4,3,4
1988-10-01,5,Just Play Music!,Big Audio,2,1,4
1988-10-01,6,Up There Down There,Patti Smith,6,6,4
