Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2020-06-13,1,Death Bed,Powfu Featuring beabadoobee,-,1,1
2020-06-13,2,Dance Monkey,Tones And I,-,2,1
2020-06-13,3,Supalonely,BENEE Featuring Gus Dapperton,-,3,1
2020-06-13,4,Everything I Wanted,Billie Eilish,-,4,1
2020-06-13,5,Bad Guy,Billie Eilish,-,5,1
2020-06-13,6,Play Date,Melanie Martinez,-,6,1
2020-06-13,7,Level Of Concern,Twenty One Pilots,-,7,1
2020-06-13,8,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,-,8,1
2020-06-13,9,Believer,Imagine Dragons,-,9,1
2020-06-13,10,Ocean Eyes,Billie Eilish,-,10,1
2020-06-13,11,Thunder,Imagine Dragons,-,11,1
2020-06-13,12,When The Party's Over,Billie Eilish,-,12,1
2020-06-13,13,High Hopes,Panic! At The Disco,-,13,1
2020-06-13,14,City Of Angels,24kGoldn,-,14,1
2020-06-13,15,Trampoline,SHAED,-,15,1
2020-06-13,16,Mr. Brightside,The Killers,-,16,1
2020-06-13,17,Feel It Still,Portugal. The Man,-,17,1
2020-06-13,18,Radioactive,Imagine Dragons,-,18,1
2020-06-13,19,Bang!,AJR,-,19,1
2020-06-13,20,Angels & Demons,jxdn,-,20,1
2020-06-13,21,The Less I Know The Better,Tame Impala,-,21,1
2020-06-13,22,Bloody Valentine,Machine Gun Kelly,-,22,1
2020-06-13,23,Riptide,Vance Joy,-,23,1
2020-06-13,24,Santeria,Sublime,-,24,1
2020-06-13,25,Somebody That I Used To Know,Gotye Featuring Kimbra,-,25,1
2020-06-20,1,Death Bed,Powfu Featuring beabadoobee,1,1,2
2020-06-20,2,Dance Monkey,Tones And I,2,2,2
2020-06-20,3,Supalonely,BENEE Featuring Gus Dapperton,3,3,2
2020-06-20,4,Everything I Wanted,Billie Eilish,4,4,2
2020-06-20,5,Bad Guy,Billie Eilish,5,5,2
2020-06-20,6,Play Date,Melanie Martinez,6,6,2
2020-06-20,7,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,8,7,2
2020-06-20,8,Level Of Concern,Twenty One Pilots,7,7,2
2020-06-20,9,Believer,Imagine Dragons,9,9,2
2020-06-20,10,Ocean Eyes,Billie Eilish,10,10,2
2020-06-20,11,Thunder,Imagine Dragons,11,11,2
2020-06-20,12,When The Party's Over,Billie Eilish,12,12,2
2020-06-20,13,High Hopes,Panic! At The Disco,13,13,2
2020-06-20,14,City Of Angels,24kGoldn,14,14,2
2020-06-20,15,Trampoline,SHAED,15,15,2
2020-06-20,16,Mr. Brightside,The Killers,16,16,2
2020-06-20,17,Feel It Still,Portugal. The Man,17,17,2
2020-06-20,18,Radioactive,Imagine Dragons,18,18,2
2020-06-20,19,Bang!,AJR,19,19,2
2020-06-20,20,The Less I Know The Better,Tame Impala,21,20,2
2020-06-20,21,Riptide,Vance Joy,23,21,2
2020-06-20,22,Somebody That I Used To Know,Gotye Featuring Kimbra,25,22,2
2020-06-20,23,Santeria,Sublime,24,23,2
2020-06-20,24,Pumped Up Kicks,Foster the People,-,24,1
2020-06-20,25,Tongue Tied,Grouplove,-,25,1
2020-06-27,1,Death Bed,Powfu Featuring beabadoobee,1,1,3
2020-06-27,2,Dance Monkey,Tones And I,2,2,3
2020-06-27,3,Supalonely,BENEE Featuring Gus Dapperton,3,3,3
2020-06-27,4,Everything I Wanted,Billie Eilish,4,4,3
2020-06-27,5,Bad Guy,Billie Eilish,5,5,3
2020-06-27,6,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,7,6,3
2020-06-27,7,Play Date,Melanie Martinez,6,6,3
2020-06-27,8,Level Of Concern,Twenty One Pilots,8,7,3
2020-06-27,9,Believer,Imagine Dragons,9,9,3
2020-06-27,10,Ocean Eyes,Billie Eilish,10,10,3
2020-06-27,11,Thunder,Imagine Dragons,11,11,3
2020-06-27,12,When The Party's Over,Billie Eilish,12,12,3
2020-06-27,13,High Hopes,Panic! At The Disco,13,13,3
2020-06-27,14,City Of Angels,24kGoldn,14,14,3
2020-06-27,15,Bang!,AJR,19,15,3
2020-06-27,16,Mr. Brightside,The Killers,16,16,3
2020-06-27,17,Trampoline,SHAED,15,15,3
2020-06-27,18,Sick And Tired,iann dior Featuring Machine Gun Kelly & Travis Barker,-,18,1
2020-06-27,19,Feel It Still,Portugal. The Man,17,17,3
2020-06-27,20,Are You Bored Yet?,Wallows Featuring Clairo,-,20,1
2020-06-27,21,Bloody Valentine,Machine Gun Kelly,-,21,2
2020-06-27,22,Radioactive,Imagine Dragons,18,18,3
2020-06-27,23,The Less I Know The Better,Tame Impala,20,20,3
2020-06-27,24,Riptide,Vance Joy,21,21,3
2020-06-27,25,Santeria,Sublime,23,23,3
