Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2023-12-16,1,Kalam Eneih,Sherine Abdel Wahab,-,1,1
2023-12-16,2,Al Watar Al Hassas,Sherine Abdel Wahab,-,2,1
2023-12-16,3,Ya Leil W Yal Ein,Al Shami,-,3,1
2023-12-16,4,Rdy,Ayed,-,4,1
2023-12-16,5,Dellali,ElGrande Toto (FT. Hamza),-,5,1
2023-12-16,6,Sabry Alil,Sherine Abdel Wahab,-,6,1
2023-12-16,7,Maghribi,ElGrande Toto,-,7,1
2023-12-16,8,Mekhasmak,Nawal,-,8,1
2023-12-16,9,Ymken Kher,Ramy Sabry,-,9,1
2023-12-16,10,Ya Layaly,Ahmed Saad (FT. Ruby),-,10,1
2023-12-16,11,Mesytara,Lamis Kan,-,11,1
2023-12-16,12,Jeet Metaakher,Ramy Gamal,-,12,1
2023-12-16,13,Bala Ma Nhess,Abeer Nehme,-,13,1
2023-12-16,14,El Sabr Gamil,Maha Ftouni,-,14,1
2023-12-16,15,Bghawni,ElGrande Toto,-,15,1
2023-12-16,16,Razones,ElGrande Toto (FT. Murad),-,16,1
2023-12-16,17,ElBakht,Wegz,-,17,1
2023-12-16,18,Min Awel Dekika,"Saad Lamjarred, Elissa",-,18,1
2023-12-16,19,Etnaset,Muslim,-,19,1
2023-12-16,20,Asheq Majnoon,Mahmoud AlTurki,-,20,1
2023-12-16,21,El Mabda2,Marwan Pablo,-,21,1
2023-12-16,22,Tamaly Maak,Amr Diab,-,22,1
2023-12-16,23,Alo Aleky,Mohammed Saeed,-,23,1
2023-12-16,24,El Youm El Helw Dah,Ahmed Saad,-,24,1
2023-12-16,25,3 Daqat,Abu (FT. Yusra),-,25,1
2023-12-23,1,Kalam Eneih,Sherine Abdel Wahab,1,1,2
2023-12-23,2,Al Watar Al Hassas,Sherine Abdel Wahab,2,2,2
2023-12-23,3,Sabry Alil,Sherine Abdel Wahab,6,3,2
2023-12-23,4,Rdy,Ayed,4,4,2
2023-12-23,5,Ya Leil W Yal Ein,Al Shami,3,3,2
2023-12-23,6,Dellali,ElGrande Toto (FT. Hamza),5,5,2
2023-12-23,7,Mekhasmak,Nawal,8,7,2
2023-12-23,8,Jeet Metaakher,Ramy Gamal,12,8,2
2023-12-23,9,Ya Layaly,Ahmed Saad (FT. Ruby),10,9,2
2023-12-23,10,Ymken Kher,Ramy Sabry,9,9,2
2023-12-23,11,Maghribi,ElGrande Toto,7,7,2
2023-12-23,12,Mesytara,Lamis Kan,11,11,2
2023-12-23,13,El Sabr Gamil,Maha Ftouni,14,13,2
2023-12-23,14,ElBakht,Wegz,17,14,2
2023-12-23,15,Min Awel Dekika,"Saad Lamjarred, Elissa",18,15,2
2023-12-23,16,Bala Ma Nhess,Abeer Nehme,13,13,2
2023-12-23,17,Tamaly Maak,Amr Diab,22,17,2
2023-12-23,18,Etnaset,Muslim,19,18,2
2023-12-23,19,Asheq Majnoon,Mahmoud AlTurki,20,19,2
2023-12-23,20,Alo Aleky,Mohammed Saeed,23,20,2
2023-12-23,21,El Youm El Helw Dah,Ahmed Saad,24,21,2
2023-12-23,22,3 Daqat,Abu (FT. Yusra),25,22,2
2023-12-23,23,Bghawni,ElGrande Toto,15,15,2
2023-12-23,24,El Mabda2,Marwan Pablo,21,21,2
2023-12-23,25,Razones,ElGrande Toto (FT. Murad),16,16,2
2023-12-30,1,Kalam Eneih,Sherine Abdel Wahab,1,1,3
2023-12-30,2,Al Watar Al Hassas,Sherine Abdel Wahab,2,2,3
2023-12-30,3,Sabry Alil,Sherine Abdel Wahab,3,3,3
2023-12-30,4,Ya Leil W Yal Ein,Al Shami,5,3,3
2023-12-30,5,La,DYSTINCT,-,5,1
2023-12-30,6,Rdy,Ayed,4,4,3
2023-12-30,7,C'est La Vie,Cheb Khaled,-,7,1
2023-12-30,8,Mekhasmak,Nawal,7,7,3
2023-12-30,9,Dellali,ElGrande Toto (FT. Hamza),6,5,3
2023-12-30,10,Tek Tek,DYSTINCT Featuring MHD,-,10,1
2023-12-30,11,Jeet Metaakher,Ramy Gamal,8,8,3
2023-12-30,12,Alo Aleky,Mohammed Saeed,20,12,3
2023-12-30,13,Ymken Kher,Ramy Sabry,10,9,3
2023-12-30,14,Mesytara,Lamis Kan,12,11,3
2023-12-30,15,Ya Layaly,Ahmed Saad (FT. Ruby),9,9,3
2023-12-30,16,ElBakht,Wegz,14,14,3
2023-12-30,17,El Sabr Gamil,Maha Ftouni,13,13,3
2023-12-30,18,Min Awel Dekika,"Saad Lamjarred, Elissa",15,15,3
2023-12-30,19,Thaag El Ghamaam,Fouad Abdulwahed,26,19,2
2023-12-30,20,Fouq,Assala Nasri,41,20,3
2023-12-30,21,Blue Love,ElGrande Toto,-,21,1
2023-12-30,22,3 Daqat,Abu (FT. Yusra),22,22,3
2023-12-30,23,Maghribi,ElGrande Toto,11,7,3
2023-12-30,24,El Youm El Helw Dah,Ahmed Saad,21,21,3
2023-12-30,25,Bala Ma Nhess,Abeer Nehme,16,13,3
2024-01-06,1,Guli Mata,Saad Lamjarred & Shreya Ghoshal,-,1,1
2024-01-06,2,Kalam Eneih,Sherine Abdel Wahab,1,1,4
2024-01-06,3,La,DYSTINCT,5,3,2
2024-01-06,4,Sabry Alil,Sherine Abdel Wahab,3,3,4
2024-01-06,5,Al Watar Al Hassas,Sherine Abdel Wahab,2,2,4
2024-01-06,6,Ya Leil W Yal Ein,Al Shami,4,3,4
2024-01-06,7,Kel Ahebek,Fouad Abdulwahed,41,7,2
2024-01-06,8,Mekhasmak,Nawal,8,7,4
2024-01-06,9,Rdy,Ayed,6,4,4
2024-01-06,10,Dellali,ElGrande Toto (FT. Hamza),9,5,4
2024-01-06,11,Jeet Metaakher,Ramy Gamal,11,8,4
2024-01-06,12,Thaag El Ghamaam,Fouad Abdulwahed,19,12,3
2024-01-06,13,Alo Aleky,Mohammed Saeed,12,12,4
2024-01-06,14,Ymken Kher,Ramy Sabry,13,9,4
2024-01-06,15,Fouq,Assala Nasri,20,15,4
2024-01-06,16,Mesytara,Lamis Kan,14,11,4
2024-01-06,17,Ya Layaly,Ahmed Saad (FT. Ruby),15,9,4
2024-01-06,18,Bi Saraha,Abeer Nehme,58,18,3
2024-01-06,19,ElBakht,Wegz,16,14,4
2024-01-06,20,El Sabr Gamil,Maha Ftouni,17,13,4
2024-01-06,21,3 Daqat,Abu (FT. Yusra),22,21,4
2024-01-06,22,Min Awel Dekika,"Saad Lamjarred, Elissa",18,15,4
2024-01-06,23,Bala Ma Nhess,Abeer Nehme,25,13,4
2024-01-06,24,Blue Love,ElGrande Toto,21,21,2
2024-01-06,25,Tamaly Maak,Amr Diab,27,17,4
2024-01-13,1,La,DYSTINCT,3,1,3
2024-01-13,2,Guli Mata,Saad Lamjarred & Shreya Ghoshal,1,1,2
2024-01-13,3,Kalam Eneih,Sherine Abdel Wahab,2,1,5
2024-01-13,4,Makanak,Amr Diab,-,4,1
2024-01-13,5,Maarafsh had bilism da,Amr Diab,-,5,1
2024-01-13,6,Al Watar Al Hassas,Sherine Abdel Wahab,5,2,5
2024-01-13,7,Biyohashna,Amr Diab,-,7,1
2024-01-13,8,Sabry Alil,Sherine Abdel Wahab,4,3,5
2024-01-13,9,Salamak Wasali,Amr Diab,-,9,1
2024-01-13,10,Ya Qamar,Amr Diab,-,10,1
2024-01-13,11,Ma tetaawadsh,Amr Diab,-,11,1
2024-01-13,12,Ya Leil W Yal Ein,Al Shami,6,3,5
2024-01-13,13,Dhabt moodha,Amr Diab,-,13,1
2024-01-13,14,Elkalam Leek,Amr Diab,-,14,1
2024-01-13,15,Kel Ahebek,Fouad Abdulwahed,7,7,3
2024-01-13,16,Wakhdeen Rahethom,Amr Diab,-,16,1
2024-01-13,17,Liwahdena,Amr Diab,-,17,1
2024-01-13,18,Mekhasmak,Nawal,8,7,5
2024-01-13,19,Rdy,Ayed,9,4,5
2024-01-13,20,Ma Bitghibesh,Amr Diab,-,20,1
2024-01-13,21,Mesytara,Lamis Kan,16,11,5
2024-01-13,22,Ymken Kher,Ramy Sabry,14,9,5
2024-01-13,23,Alo Aleky,Mohammed Saeed,13,12,5
2024-01-13,24,Thaag El Ghamaam,Fouad Abdulwahed,12,12,4
2024-01-13,25,Fouq,Assala Nasri,15,15,5
2024-01-20,1,La,DYSTINCT,1,1,4
2024-01-20,2,Guli Mata,Saad Lamjarred & Shreya Ghoshal,2,1,3
2024-01-20,3,Kalam Eneih,Sherine Abdel Wahab,3,1,6
2024-01-20,4,Sabry Alil,Sherine Abdel Wahab,8,3,6
2024-01-20,5,Al Watar Al Hassas,Sherine Abdel Wahab,6,2,6
2024-01-20,6,Makanak,Amr Diab,4,4,2
2024-01-20,7,Maarafsh had bilism da,Amr Diab,5,5,2
2024-01-20,8,Kel Ahebek,Fouad Abdulwahed,15,7,4
2024-01-20,9,Ya Leil W Yal Ein,Al Shami,12,3,6
2024-01-20,10,Biyohashna,Amr Diab,7,7,2
2024-01-20,11,Salamak Wasali,Amr Diab,9,9,2
2024-01-20,12,C'est La Vie,Cheb Khaled,-,7,2
2024-01-20,13,Mesytara,Lamis Kan,21,11,6
2024-01-20,14,Ma tetaawadsh,Amr Diab,11,11,2
2024-01-20,15,Ya Qamar,Amr Diab,10,10,2
2024-01-20,16,Mekhasmak,Nawal,18,7,6
2024-01-20,17,Tek Tek,DYSTINCT Featuring MHD,-,10,2
2024-01-20,18,Rdy,Ayed,19,4,6
2024-01-20,19,Ymken Kher,Ramy Sabry,22,9,6
2024-01-20,20,Fouq,Assala Nasri,25,15,6
2024-01-20,21,Alo Aleky,Mohammed Saeed,23,12,6
2024-01-20,22,Elkalam Leek,Amr Diab,14,14,2
2024-01-20,23,El Sabr Gamil,Maha Ftouni,31,13,6
2024-01-20,24,Dhabt moodha,Amr Diab,13,13,2
2024-01-20,25,ElBakht,Wegz,30,14,6
2024-01-27,1,Haygeely Mawgooa,Tamer Ashour,-,1,1
2024-01-27,2,La,DYSTINCT,1,1,5
2024-01-27,3,Guli Mata,Saad Lamjarred & Shreya Ghoshal,2,1,4
2024-01-27,4,Kalam Eneih,Sherine Abdel Wahab,3,1,7
2024-01-27,5,Sabry Alil,Sherine Abdel Wahab,4,3,7
2024-01-27,6,Al Watar Al Hassas,Sherine Abdel Wahab,5,2,7
2024-01-27,7,Mawahashtkesh,Tamer Hosny,37,7,2
2024-01-27,8,Mesytara,Lamis Kan,13,8,7
2024-01-27,9,C'est La Vie,Cheb Khaled,12,7,3
2024-01-27,10,Ya Leil W Yal Ein,Al Shami,9,3,7
2024-01-27,11,Woseltelha,Haifa Wehbe,-,11,1
2024-01-27,12,Kel Ahebek,Fouad Abdulwahed,8,7,5
2024-01-27,13,Makanak,Amr Diab,6,4,3
2024-01-27,14,Mekhasmak,Nawal,16,7,7
2024-01-27,15,Maarafsh had bilism da,Amr Diab,7,5,3
2024-01-27,16,Tek Tek,DYSTINCT Featuring MHD,17,10,3
2024-01-27,17,Ymken Kher,Ramy Sabry,19,9,7
2024-01-27,18,Fouq,Assala Nasri,20,15,7
2024-01-27,19,Biyohashna,Amr Diab,10,7,3
2024-01-27,20,Salamak Wasali,Amr Diab,11,9,3
2024-01-27,21,Alo Aleky,Mohammed Saeed,21,12,7
2024-01-27,22,Ma tetaawadsh,Amr Diab,14,11,3
2024-01-27,23,Rdy,Ayed,18,4,7
2024-01-27,24,Ya Qamar,Amr Diab,15,10,3
2024-01-27,25,Tamaly Maak,Amr Diab,33,17,7
2024-02-03,1,Haygeely Mawgooa,Tamer Ashour,1,1,2
2024-02-03,2,La,DYSTINCT,2,1,6
2024-02-03,3,Woseltelha,Haifa Wehbe,11,3,2
2024-02-03,4,Guli Mata,Saad Lamjarred & Shreya Ghoshal,3,1,5
2024-02-03,5,Sabry Alil,Sherine Abdel Wahab,5,3,8
2024-02-03,6,Kalam Eneih,Sherine Abdel Wahab,4,1,8
2024-02-03,7,Al Watar Al Hassas,Sherine Abdel Wahab,6,2,8
2024-02-03,8,Ya Leil W Yal Ein,Al Shami,10,3,8
2024-02-03,9,Fouq,Assala Nasri,18,9,8
2024-02-03,10,C'est La Vie,Cheb Khaled,9,7,4
2024-02-03,11,Mesytara,Lamis Kan,8,8,8
2024-02-03,12,Mawahashtkesh,Tamer Hosny,7,7,3
2024-02-03,13,Kel Ahebek,Fouad Abdulwahed,12,7,6
2024-02-03,14,Tek Tek,DYSTINCT Featuring MHD,16,10,4
2024-02-03,15,Mekhasmak,Nawal,14,7,8
2024-02-03,16,Ymken Kher,Ramy Sabry,17,9,8
2024-02-03,17,Rdy,Ayed,23,4,8
2024-02-03,18,Makanak,Amr Diab,13,4,4
2024-02-03,19,Jeet Metaakher,Ramy Gamal,30,8,8
2024-02-03,20,El Sabr Gamil,Maha Ftouni,26,13,8
2024-02-03,21,ElBakht,Wegz,27,14,8
2024-02-03,22,Alo Aleky,Mohammed Saeed,21,12,8
2024-02-03,23,Tamaly Maak,Amr Diab,25,17,8
2024-02-03,24,Maarafsh had bilism da,Amr Diab,15,5,4
2024-02-03,25,Away ya habibti wahashtini,Eslam Kabonga,44,25,4
2024-02-10,1,Haygeely Mawgooa,Tamer Ashour,1,1,3
2024-02-10,2,Woseltelha,Haifa Wehbe,3,2,3
2024-02-10,3,La,DYSTINCT,2,1,7
2024-02-10,4,Guli Mata,Saad Lamjarred & Shreya Ghoshal,4,1,6
2024-02-10,5,Kalam Eneih,Sherine Abdel Wahab,6,1,9
2024-02-10,6,Sabry Alil,Sherine Abdel Wahab,5,3,9
2024-02-10,7,Al Watar Al Hassas,Sherine Abdel Wahab,7,2,9
2024-02-10,8,Ya Leil W Yal Ein,Al Shami,8,3,9
2024-02-10,9,Fouq,Assala Nasri,9,9,9
2024-02-10,10,C'est La Vie,Cheb Khaled,10,7,5
2024-02-10,11,Tek Tek,DYSTINCT Featuring MHD,14,10,5
2024-02-10,12,Mesytara,Lamis Kan,11,8,9
2024-02-10,13,Ymken Kher,Ramy Sabry,16,9,9
2024-02-10,14,Kel Ahebek,Fouad Abdulwahed,13,7,7
2024-02-10,15,Mekhasmak,Nawal,15,7,9
2024-02-10,16,Mawahashtkesh,Tamer Hosny,12,7,4
2024-02-10,17,Tamaly Maak,Amr Diab,23,17,9
2024-02-10,18,ElBakht,Wegz,21,14,9
2024-02-10,19,El Sabr Gamil,Maha Ftouni,20,13,9
2024-02-10,20,Alo Aleky,Mohammed Saeed,22,12,9
2024-02-10,21,Away ya habibti wahashtini,Eslam Kabonga,25,21,5
2024-02-10,22,Min Awel Dekika,"Saad Lamjarred, Elissa",26,15,9
2024-02-10,23,Tegy Nenbeset,Nancy Ajram,27,23,9
2024-02-10,24,Rdy,Ayed,17,4,9
2024-02-10,25,Zarzour,Lartiste,34,25,4
2024-02-17,1,Haygeely Mawgooa,Tamer Ashour,1,1,4
2024-02-17,2,La,DYSTINCT,3,1,8
2024-02-17,3,Kalam Eneih,Sherine Abdel Wahab,5,1,10
2024-02-17,4,Guli Mata,Saad Lamjarred & Shreya Ghoshal,4,1,7
2024-02-17,5,Sabry Alil,Sherine Abdel Wahab,6,3,10
2024-02-17,6,Woseltelha,Haifa Wehbe,2,2,4
2024-02-17,7,Al Watar Al Hassas,Sherine Abdel Wahab,7,2,10
2024-02-17,8,Ya Leil W Yal Ein,Al Shami,8,3,10
2024-02-17,9,Fouq,Assala Nasri,9,9,10
2024-02-17,10,Popo,Stormy,-,10,1
2024-02-17,11,C'est La Vie,Cheb Khaled,10,7,6
2024-02-17,12,Mesytara,Lamis Kan,12,8,10
2024-02-17,13,Tek Tek,DYSTINCT Featuring MHD,11,10,6
2024-02-17,14,Ymken Kher,Ramy Sabry,13,9,10
2024-02-17,15,Mekhasmak,Nawal,15,7,10
2024-02-17,16,Mimti,Duke,28,16,5
