Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2018-11-10,1,Taki Taki,"DJ Snake Featuring Selena Gomez , Ozuna & Cardi B",-,1,1
2018-11-10,2,Me Vas A Extranar,Viru Kumbieron,-,2,1
2018-11-10,3,Ya No Tiene Novio,Sebastian Yatra + Mau y Ricky,-,3,1
2018-11-10,4,Cuando Te Bese,Becky G + Paulo Londra,-,4,1
2018-11-10,5,No Me Acuerdo,Thalia & Natti Natasha,-,5,1
2018-11-10,6,MIA,Bad Bunny Featuring Drake,-,6,1
2018-11-10,7,Sin Pijama,Becky G + Natti Natasha,-,7,1
2018-11-10,8,Vaina Loca,Ozuna x Manuel Turizo,-,8,1
2018-11-10,9,BEBE,6ix9ine Featuring Anuel AA,-,9,1
2018-11-10,10,Amigos Con Derechos,Reik & Maluma,-,10,1
2018-11-10,11,No Te Creas Tan Importante (En Vivo),Damas Gratis Featuring Viru Kumbieron,-,11,1
2018-11-10,12,Me Niego,Reik Featuring Ozuna & Wisin,-,12,1
2018-11-10,13,Clandestino,Shakira & Maluma,-,13,1
2018-11-10,14,Toda (Remix),Alex Rose x Rauw Alejandro x Lenny Tavarez,-,14,1
2018-11-10,15,No Es Justo,J Balvin & Zion & Lennox,-,15,1
2018-11-10,16,Dura,Daddy Yankee,-,16,1
2018-11-10,17,Culpables,Karol G & Anuel AA,-,17,1
2018-11-10,18,Mi Cama,Karol G & J Balvin Featuring Nicky Jam,-,18,1
2018-11-10,19,Sin Querer Queriendo,Lali,-,19,1
2018-11-10,20,Amor,Los Autenticos Decadentes Feat. Mon Laferte,-,20,1
2018-11-10,21,Un Poquito,Diego Torres & Carlos Vives,-,21,1
2018-11-10,22,"1, 2, 3",Sofia Reyes Featuring Jason Derulo & De la Ghetto,-,22,1
2018-11-10,23,Quiero Volver,TINI & Sebastian Yatra,-,23,1
2018-11-10,24,Se Vuelve Loca,CNCO,-,24,1
2018-11-10,25,Asesina,Brytiago / Darell / Daddy Yankee / Ozuna / Anuel AA,-,25,1
2018-11-17,1,Taki Taki,"DJ Snake Featuring Selena Gomez , Ozuna & Cardi B",1,1,2
2018-11-17,2,Ya No Tiene Novio,Sebastian Yatra + Mau y Ricky,3,2,2
2018-11-17,3,Cuando Te Bese,Becky G + Paulo Londra,4,3,2
2018-11-17,4,Me Vas A Extranar,Viru Kumbieron,2,2,2
2018-11-17,5,MIA,Bad Bunny Featuring Drake,6,5,2
2018-11-17,6,No Me Acuerdo,Thalia & Natti Natasha,5,5,2
