Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Heat Waves,Glass Animals,-,1,1
2022-02-19,2,Stay,The Kid Laroi & Justin Bieber,-,2,1
2022-02-19,3,abcdefu,GAYLE,-,3,1
2022-02-19,4,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,4,1
2022-02-19,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",-,5,1
2022-02-19,6,Shivers,Ed Sheeran,-,6,1
2022-02-19,7,Bad Habits,Ed Sheeran,-,7,1
2022-02-19,8,Industry Baby,Lil Nas X & Jack Harlow,-,8,1
2022-02-19,9,Where Are You Now,Lost Frequencies & Calum Scott,-,9,1
2022-02-19,10,Easy On Me,Adele,-,10,1
2022-02-19,11,Down Under,Luude Featuring Colin Hay,-,11,1
2022-02-19,12,Thats What I Want,Lil Nas X,-,12,1
2022-02-19,13,Do It To It,Acraze Featuring Cherish,-,13,1
2022-02-19,14,Ghost,Justin Bieber,-,14,1
2022-02-19,15,Enemy,Imagine Dragons X JID,-,15,1
2022-02-19,16,Good 4 U,Olivia Rodrigo,-,16,1
2022-02-19,17,Surface Pressure,Jessica Darrow,-,17,1
2022-02-19,18,Pushin P,Gunna & Future Featuring Young Thug,-,18,1
2022-02-19,19,Kiss Me More,Doja Cat Featuring SZA,-,19,1
2022-02-19,20,Say Nothing,Flume Featuring MAY-A,-,20,1
2022-02-19,21,Fingers Crossed,Lauren Spencer Smith,-,21,1
2022-02-19,22,Edamame,bbno$ Featuring Rich Brian,-,22,1
2022-02-19,23,Light Switch,Charlie Puth,-,23,1
2022-02-19,24,Levitating,Dua Lipa,-,24,1
2022-02-19,25,Save Your Tears,The Weeknd,-,25,1
2022-02-26,1,Heat Waves,Glass Animals,1,1,2
2022-02-26,2,Stay,The Kid Laroi & Justin Bieber,2,2,2
2022-02-26,3,Cold Heart (PNAU Remix),Elton John & Dua Lipa,4,3,2
2022-02-26,4,abcdefu,GAYLE,3,3,2
2022-02-26,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",5,5,2
2022-02-26,6,Bad Habits,Ed Sheeran,7,6,2
2022-02-26,7,Shivers,Ed Sheeran,6,6,2
2022-02-26,8,Where Are You Now,Lost Frequencies & Calum Scott,9,8,2
2022-02-26,9,Industry Baby,Lil Nas X & Jack Harlow,8,8,2
2022-02-26,10,Easy On Me,Adele,10,10,2
2022-02-26,11,Thats What I Want,Lil Nas X,12,11,2
2022-02-26,12,Down Under,Luude Featuring Colin Hay,11,11,2
2022-02-26,13,Ghost,Justin Bieber,14,13,2
2022-02-26,14,Do It To It,Acraze Featuring Cherish,13,13,2
2022-02-26,15,Enemy,Imagine Dragons X JID,15,15,2
2022-02-26,16,Surface Pressure,Jessica Darrow,17,16,2
2022-02-26,17,Good 4 U,Olivia Rodrigo,16,16,2
2022-02-26,18,The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,-,18,1
2022-02-26,19,Lost,Frank Ocean,-,19,1
2022-02-26,20,Levitating,Dua Lipa,24,20,2
2022-02-26,21,Kiss Me More,Doja Cat Featuring SZA,19,19,2
2022-02-26,22,Pushin P,Gunna & Future Featuring Young Thug,18,18,2
2022-02-26,23,Save Your Tears,The Weeknd,25,23,2
2022-02-26,24,The Motto,Tiesto & Ava Max,-,24,1
2022-02-26,25,Edamame,bbno$ Featuring Rich Brian,22,22,2
2022-03-05,1,Heat Waves,Glass Animals,1,1,3
2022-03-05,2,Cold Heart (PNAU Remix),Elton John & Dua Lipa,3,2,3
2022-03-05,3,Stay,The Kid Laroi & Justin Bieber,2,2,3
2022-03-05,4,abcdefu,GAYLE,4,3,3
2022-03-05,5,Bad Habits,Ed Sheeran,6,5,3
2022-03-05,6,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",5,5,3
2022-03-05,7,Shivers,Ed Sheeran,7,6,3
2022-03-05,8,Where Are You Now,Lost Frequencies & Calum Scott,8,8,3
2022-03-05,9,Industry Baby,Lil Nas X & Jack Harlow,9,8,3
2022-03-05,10,Thats What I Want,Lil Nas X,11,10,3
2022-03-05,11,Ghost,Justin Bieber,13,11,3
2022-03-05,12,Easy On Me,Adele,10,10,3
2022-03-05,13,Down Under,Luude Featuring Colin Hay,12,11,3
2022-03-05,14,Enemy,Imagine Dragons X JID,15,14,3
2022-03-05,15,Do It To It,Acraze Featuring Cherish,14,13,3
2022-03-05,16,Boyfriend,Dove Cameron,-,16,1
2022-03-05,17,Surface Pressure,Jessica Darrow,16,16,3
2022-03-05,18,Lost,Frank Ocean,19,18,2
2022-03-05,19,Levitating,Dua Lipa,20,19,3
2022-03-05,20,Good 4 U,Olivia Rodrigo,17,16,3
2022-03-05,21,Save Your Tears,The Weeknd,23,21,3
2022-03-05,22,She's All I Wanna Be,Tate McRae,-,22,1
2022-03-05,23,Kiss Me More,Doja Cat Featuring SZA,21,19,3
2022-03-05,24,The Motto,Tiesto & Ava Max,24,24,2
2022-03-05,25,Edamame,bbno$ Featuring Rich Brian,25,22,3
2022-03-12,1,Heat Waves,Glass Animals,1,1,4
2022-03-12,2,Bad Habits,Ed Sheeran,5,2,4
