Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,abcdefu,GAYLE,-,1,1
2022-02-19,2,Heat Waves,Glass Animals,-,2,1
2022-02-19,3,Down Under,Luude Featuring Colin Hay,-,3,1
2022-02-19,4,Enemy,Imagine Dragons X JID,-,4,1
2022-02-19,5,Behute,Senidah,-,5,1
2022-02-19,6,Shivers,Ed Sheeran,-,6,1
2022-02-19,7,Thats What I Want,Lil Nas X,-,7,1
2022-02-19,8,Where Are You Now,Lost Frequencies & Calum Scott,-,8,1
2022-02-19,9,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,9,1
2022-02-19,10,10von10,Pajel,-,10,1
2022-02-19,11,Mit Dir,Sido,-,11,1
2022-02-19,12,Pepas,Farruko,-,12,1
2022-02-19,13,Acapulco,Jason Derulo,-,13,1
2022-02-19,14,Stay,The Kid Laroi & Justin Bieber,-,14,1
2022-02-19,15,Kopf Aus,1986zig,-,15,1
2022-02-19,16,Industry Baby,Lil Nas X & Jack Harlow,-,16,1
2022-02-19,17,Auf & Ab,Montez,-,17,1
2022-02-19,18,Do It To It,Acraze Featuring Cherish,-,18,1
2022-02-19,19,Blaues Licht,RAF Camora & Bonez MC,-,19,1
2022-02-19,20,Infinity,Jaymes Young,-,20,1
2022-02-19,21,Bad Habits,Ed Sheeran,-,21,1
2022-02-19,22,Love Tonight,Shouse,-,22,1
2022-02-19,23,Spati,Gzuz,-,23,1
2022-02-19,24,The Motto,Tiesto & Ava Max,-,24,1
2022-02-19,25,Thunder,Gabry Ponte X LUM!X X Prezioso,-,25,1
2022-02-26,1,abcdefu,GAYLE,1,1,2
2022-02-26,2,Heat Waves,Glass Animals,2,2,2
2022-02-26,3,Down Under,Luude Featuring Colin Hay,3,3,2
2022-02-26,4,Enemy,Imagine Dragons X JID,4,4,2
2022-02-26,5,Shivers,Ed Sheeran,6,5,2
2022-02-26,6,Thats What I Want,Lil Nas X,7,6,2
2022-02-26,7,Where Are You Now,Lost Frequencies & Calum Scott,8,7,2
2022-02-26,8,Cold Heart (PNAU Remix),Elton John & Dua Lipa,9,8,2
2022-02-26,9,Onlyfans,Katja Krasavice,-,9,1
2022-02-26,10,Behute,Senidah,5,5,2
2022-02-26,11,Kopf Aus,1986zig,15,11,2
2022-02-26,12,The Motto,Tiesto & Ava Max,24,12,2
2022-02-26,13,10von10,Pajel,10,10,2
2022-02-26,14,Wenn Du Mich Vermisst,FOURTY & Mathea,-,14,1
2022-02-26,15,Pepas,Farruko,12,12,2
2022-02-26,16,Acapulco,Jason Derulo,13,13,2
2022-02-26,17,Stay,The Kid Laroi & Justin Bieber,14,14,2
2022-02-26,18,Mit Dir,Sido,11,11,2
2022-02-26,19,Boyfriend,Dove Cameron,-,19,1
2022-02-26,20,Industry Baby,Lil Nas X & Jack Harlow,16,16,2
2022-02-26,21,Blaues Licht,RAF Camora & Bonez MC,19,19,2
2022-02-26,22,Bad Habits,Ed Sheeran,21,21,2
