Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Dat Heb Jij Gedaan,MEAU,-,1,1
2022-02-19,2,abcdefu,GAYLE,-,2,1
2022-02-19,3,L'enfer,Stromae,-,3,1
2022-02-19,4,Heat Waves,Glass Animals,-,4,1
2022-02-19,5,Enemy,Imagine Dragons X JID,-,5,1
2022-02-19,6,Thunder,Gabry Ponte X LUM!X X Prezioso,-,6,1
2022-02-19,7,Where Are You Now,Lost Frequencies & Calum Scott,-,7,1
2022-02-19,8,Pepas,Farruko,-,8,1
2022-02-19,9,Shivers,Ed Sheeran,-,9,1
2022-02-19,10,Do It To It,Acraze Featuring Cherish,-,10,1
2022-02-19,11,Amsterdam,"Christian D In Collaboration With $hirak, Brysa & Ashafar",-,11,1
2022-02-19,12,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,12,1
2022-02-19,13,Stay,The Kid Laroi & Justin Bieber,-,13,1
2022-02-19,14,Easy On Me,Adele,-,14,1
2022-02-19,15,Love Nwantiti (Ah Ah Ah),CKay,-,15,1
2022-02-19,16,The Motto,Tiesto & Ava Max,-,16,1
2022-02-19,17,Bruxelles Je T’aime,Angele,-,17,1
2022-02-19,18,Infinity,Jaymes Young,-,18,1
2022-02-19,19,Love Tonight,Shouse,-,19,1
2022-02-19,20,Bad Habits,Ed Sheeran,-,20,1
2022-02-19,21,Thats What I Want,Lil Nas X,-,21,1
2022-02-19,22,Moth To A Flame,Swedish House Mafia & The Weeknd,-,22,1
2022-02-19,23,Demons,Angele,-,23,1
2022-02-19,24,Industry Baby,Lil Nas X & Jack Harlow,-,24,1
2022-02-19,25,Sante,Stromae,-,25,1
2022-02-26,1,Dat Heb Jij Gedaan,MEAU,1,1,2
2022-02-26,2,abcdefu,GAYLE,2,2,2
2022-02-26,3,L'enfer,Stromae,3,3,2
2022-02-26,4,Heat Waves,Glass Animals,4,4,2
2022-02-26,5,Enemy,Imagine Dragons X JID,5,5,2
2022-02-26,6,Thunder,Gabry Ponte X LUM!X X Prezioso,6,6,2
2022-02-26,7,Where Are You Now,Lost Frequencies & Calum Scott,7,7,2
2022-02-26,8,Pepas,Farruko,8,8,2
2022-02-26,9,The Motto,Tiesto & Ava Max,16,9,2
2022-02-26,10,Shivers,Ed Sheeran,9,9,2
2022-02-26,11,Amsterdam,"Christian D In Collaboration With $hirak, Brysa & Ashafar",11,11,2
2022-02-26,12,Do It To It,Acraze Featuring Cherish,10,10,2
2022-02-26,13,Cold Heart (PNAU Remix),Elton John & Dua Lipa,12,12,2
2022-02-26,14,Easy On Me,Adele,14,14,2
2022-02-26,15,Stay,The Kid Laroi & Justin Bieber,13,13,2
2022-02-26,16,Love Nwantiti (Ah Ah Ah),CKay,15,15,2
2022-02-26,17,Infinity,Jaymes Young,18,17,2
2022-02-26,18,Thats What I Want,Lil Nas X,21,18,2
2022-02-26,19,Bad Habits,Ed Sheeran,20,19,2
2022-02-26,20,Vluchtstrook,"Kris Kross Amsterdam , Antoon & Sigourney K",-,20,1
2022-02-26,21,Demons,Angele,23,21,2
2022-02-26,22,Bruxelles Je T’aime,Angele,17,17,2
2022-02-26,23,Love Tonight,Shouse,19,19,2
2022-02-26,24,Jefe,Ninho,-,24,1
2022-02-26,25,Moth To A Flame,Swedish House Mafia & The Weeknd,22,22,2
2022-03-05,1,Dat Heb Jij Gedaan,MEAU,1,1,3
2022-03-05,2,abcdefu,GAYLE,2,2,3
2022-03-05,3,L'enfer,Stromae,3,3,3
2022-03-05,4,Heat Waves,Glass Animals,4,4,3
2022-03-05,5,Enemy,Imagine Dragons X JID,5,5,3
2022-03-05,6,Thunder,Gabry Ponte X LUM!X X Prezioso,6,6,3
2022-03-05,7,The Motto,Tiesto & Ava Max,9,7,3
2022-03-05,8,Where Are You Now,Lost Frequencies & Calum Scott,7,7,3
2022-03-05,9,Pepas,Farruko,8,8,3
2022-03-05,10,Shivers,Ed Sheeran,10,9,3
2022-03-05,11,Amsterdam,"Christian D In Collaboration With $hirak, Brysa & Ashafar",11,11,3
2022-03-05,12,Cold Heart (PNAU Remix),Elton John & Dua Lipa,13,12,3
2022-03-05,13,Do It To It,Acraze Featuring Cherish,12,10,3
2022-03-05,14,Vluchtstrook,"Kris Kross Amsterdam , Antoon & Sigourney K",20,14,2
2022-03-05,15,Bad Habits,Ed Sheeran,19,15,3
2022-03-05,16,Stay,The Kid Laroi & Justin Bieber,15,13,3
2022-03-05,17,Easy On Me,Adele,14,14,3
2022-03-05,18,Love Nwantiti (Ah Ah Ah),CKay,16,15,3
2022-03-05,19,Infinity,Jaymes Young,17,17,3
2022-03-05,20,Demons,Angele,21,20,3
2022-03-05,21,Thats What I Want,Lil Nas X,18,18,3
2022-03-05,22,Love Tonight,Shouse,23,19,3
2022-03-05,23,Jefe,Ninho,24,23,2
2022-03-05,24,Bruxelles Je T’aime,Angele,22,17,3
2022-03-05,25,Down Under,Luude Featuring Colin Hay,-,25,1
2022-03-12,1,abcdefu,GAYLE,2,1,4
2022-03-12,2,Dat Heb Jij Gedaan,MEAU,1,1,4
2022-03-12,3,Heat Waves,Glass Animals,4,3,4
2022-03-12,4,L'enfer,Stromae,3,3,4
2022-03-12,5,Enemy,Imagine Dragons X JID,5,5,4
2022-03-12,6,Thunder,Gabry Ponte X LUM!X X Prezioso,6,6,4
2022-03-12,7,Pepas,Farruko,9,7,4
2022-03-12,8,Where Are You Now,Lost Frequencies & Calum Scott,8,7,4
2022-03-12,9,The Motto,Tiesto & Ava Max,7,7,4
2022-03-12,10,Do It To It,Acraze Featuring Cherish,13,10,4
2022-03-12,11,Shivers,Ed Sheeran,10,9,4
2022-03-12,12,Cold Heart (PNAU Remix),Elton John & Dua Lipa,12,12,4
2022-03-12,13,Vluchtstrook,"Kris Kross Amsterdam , Antoon & Sigourney K",14,13,3
2022-03-12,14,Amsterdam,"Christian D In Collaboration With $hirak, Brysa & Ashafar",11,11,4
2022-03-12,15,Love Nwantiti (Ah Ah Ah),CKay,18,15,4
2022-03-12,16,Stay,The Kid Laroi & Justin Bieber,16,13,4
2022-03-12,17,Down Under,Luude Featuring Colin Hay,25,17,2
2022-03-12,18,Easy On Me,Adele,17,14,4
2022-03-12,19,Bad Habits,Ed Sheeran,15,15,4
2022-03-12,20,Infinity,Jaymes Young,19,17,4
2022-03-12,21,Thats What I Want,Lil Nas X,21,18,4
2022-03-12,22,Demons,Angele,20,20,4
2022-03-12,23,Love Tonight,Shouse,22,19,4
2022-03-12,24,Jefe,Ninho,23,23,3
2022-03-12,25,Diamant,Camille,-,25,1
2022-03-19,1,L'enfer,Stromae,4,1,5
2022-03-19,2,Fils de Joie,Stromae,-,2,1
2022-03-19,3,Sante,Stromae,-,3,2
2022-03-19,4,Invaincu,Stromae,-,4,1
2022-03-19,5,La Solassitude,Stromae,-,5,1
2022-03-19,6,C'est Que du Bonheur,Stromae,-,6,1
2022-03-19,7,Pas Vraiment,Stromae,-,7,1
2022-03-19,8,Riez,Stromae,-,8,1
2022-03-19,9,Bonne Journee,Stromae,-,9,1
2022-03-19,10,Mon Amour,Stromae With Camila Cabello,-,10,1
2022-03-19,11,Declaration,Stromae,-,11,1
2022-03-19,12,abcdefu,GAYLE,1,1,5
2022-03-19,13,Dat Heb Jij Gedaan,MEAU,2,1,5
2022-03-19,14,Mauvaise Journee,Stromae,-,14,1
2022-03-19,15,Heat Waves,Glass Animals,3,3,5
2022-03-19,16,Thunder,Gabry Ponte X LUM!X X Prezioso,6,6,5
2022-03-19,17,Enemy,Imagine Dragons X JID,5,5,5
2022-03-19,18,The Motto,Tiesto & Ava Max,9,7,5
2022-03-19,19,Pepas,Farruko,7,7,5
2022-03-19,20,Where Are You Now,Lost Frequencies & Calum Scott,8,7,5
2022-03-19,21,Shivers,Ed Sheeran,11,9,5
2022-03-19,22,Vluchtstrook,"Kris Kross Amsterdam , Antoon & Sigourney K",13,13,4
2022-03-19,23,Cold Heart (PNAU Remix),Elton John & Dua Lipa,12,12,5
2022-03-19,24,Do It To It,Acraze Featuring Cherish,10,10,5
2022-03-19,25,Amsterdam,"Christian D In Collaboration With $hirak, Brysa & Ashafar",14,11,5
2022-03-26,1,L'enfer,Stromae,1,1,6
2022-03-26,2,abcdefu,GAYLE,12,1,6
2022-03-26,3,Dat Heb Jij Gedaan,MEAU,13,1,6
2022-03-26,4,Heat Waves,Glass Animals,15,3,6
2022-03-26,5,Fils de Joie,Stromae,2,2,2
2022-03-26,6,Enemy,Imagine Dragons X JID,17,5,6
2022-03-26,7,Thunder,Gabry Ponte X LUM!X X Prezioso,16,6,6
2022-03-26,8,Sante,Stromae,3,3,3
2022-03-26,9,The Motto,Tiesto & Ava Max,18,7,6
2022-03-26,10,Vluchtstrook,"Kris Kross Amsterdam , Antoon & Sigourney K",22,10,5
2022-03-26,11,Where Are You Now,Lost Frequencies & Calum Scott,20,7,6
2022-03-26,12,Amsterdam,"Christian D In Collaboration With $hirak, Brysa & Ashafar",25,11,6
2022-03-26,13,Down Under,Luude Featuring Colin Hay,-,13,3
2022-03-26,14,Do It To It,Acraze Featuring Cherish,24,10,6
2022-03-26,15,Pepas,Farruko,19,7,6
2022-03-26,16,Shivers,Ed Sheeran,21,9,6
2022-03-26,17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,23,12,6
2022-03-26,18,Degaine,Aya Nakamura Featuring Damso,-,18,1
2022-03-26,19,Stay,The Kid Laroi & Justin Bieber,-,13,5
2022-03-26,20,Love Nwantiti (Ah Ah Ah),CKay,-,15,5
2022-03-26,21,La Solassitude,Stromae,5,5,2
2022-03-26,22,Infinity,Jaymes Young,-,17,5
2022-03-26,23,Bad Habits,Ed Sheeran,-,15,5
2022-03-26,24,1234,"Cristian D, Bilal Wahib, & LA$$A",-,24,1
2022-03-26,25,Easy On Me,Adele,-,14,5
2022-04-02,1,L'enfer,Stromae,1,1,7
2022-04-02,2,abcdefu,GAYLE,2,1,7
2022-04-02,3,Heat Waves,Glass Animals,4,3,7
2022-04-02,4,Dat Heb Jij Gedaan,MEAU,3,1,7
2022-04-02,5,Thunder,Gabry Ponte X LUM!X X Prezioso,7,5,7
2022-04-02,6,Enemy,Imagine Dragons X JID,6,5,7
2022-04-02,7,The Motto,Tiesto & Ava Max,9,7,7
