Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1995-09-02,1,From The Cradle,Eric Clapton,-,1,1
1995-09-02,2,Some Rainy Morning,Robert Cray,-,2,1
1995-09-02,3,Chill Out,John Lee Hooker,-,3,1
1995-09-02,4,Keb' Mo',Keb' Mo',-,4,1
1995-09-02,5,Blues,Jimi Hendrix,-,5,1
1995-09-02,6,Essential Blues,Various Artists,-,6,1
1995-09-02,7,Texas Sugar/Strat Magik,Chris Duarte Group,-,7,1
1995-09-02,8,Roll Of The Dice,The Fabulous Thunderbirds,-,8,1
1995-09-02,9,Booty And The Beast,Popa Chubby,-,9,1
1995-09-02,10,Slippin' In,Buddy Guy,-,10,1
1995-09-02,11,One Foot In The Blues,ZZ Top,-,11,1
1995-09-02,12,Strange Pleasure,Jimmie Vaughan,-,12,1
1995-09-02,13,Steel On Steel,Dave Hole,-,13,1
1995-09-02,14,Ballads & Blues 1982-1994,Gary Moore,-,14,1
1995-09-02,15,Blue Drops Of Rain,Corey Stevens,-,15,1
1995-09-09,1,Cover To Cover,The Jeff Healey Band,-,1,1
1995-09-09,2,From The Cradle,Eric Clapton,1,1,2
1995-09-09,3,Some Rainy Morning,Robert Cray,2,2,2
1995-09-09,4,Essential Blues,Various Artists,6,4,2
1995-09-09,5,Chill Out,John Lee Hooker,3,3,2
1995-09-09,6,Blues,Jimi Hendrix,5,5,2
1995-09-09,7,Texas Sugar/Strat Magik,Chris Duarte Group,7,7,2
1995-09-09,8,Keb' Mo',Keb' Mo',4,4,2
1995-09-09,9,Roll Of The Dice,The Fabulous Thunderbirds,8,8,2
1995-09-09,10,Booty And The Beast,Popa Chubby,9,9,2
1995-09-09,11,One Foot In The Blues,ZZ Top,11,11,2
1995-09-09,12,Slippin' In,Buddy Guy,10,10,2
1995-09-09,13,Strange Pleasure,Jimmie Vaughan,12,12,2
1995-09-09,14,Ballads & Blues 1982-1994,Gary Moore,14,14,2
1995-09-09,15,Blue Drops Of Rain,Corey Stevens,15,15,2
1995-09-16,1,From The Cradle,Eric Clapton,2,1,3
1995-09-16,2,Cover To Cover,The Jeff Healey Band,1,1,2
1995-09-16,3,Some Rainy Morning,Robert Cray,3,2,3
1995-09-16,4,Chill Out,John Lee Hooker,5,3,3
1995-09-16,5,Essential Blues,Various Artists,4,4,3
1995-09-16,6,Blues,Jimi Hendrix,6,5,3
1995-09-16,7,Roll Of The Dice,The Fabulous Thunderbirds,9,7,3
1995-09-16,8,Texas Sugar/Strat Magik,Chris Duarte Group,7,7,3
1995-09-16,9,Keb' Mo',Keb' Mo',8,4,3
1995-09-16,10,Booty And The Beast,Popa Chubby,10,9,3
1995-09-16,11,One Foot In The Blues,ZZ Top,11,11,3
1995-09-16,12,Slippin' In,Buddy Guy,12,10,3
1995-09-16,13,Strange Pleasure,Jimmie Vaughan,13,12,3
1995-09-16,14,Blue Drops Of Rain,Corey Stevens,15,14,3
1995-09-16,15,Ballads & Blues 1982-1994,Gary Moore,14,14,3
1995-09-23,1,From The Cradle,Eric Clapton,1,1,4
1995-09-23,2,Cover To Cover,The Jeff Healey Band,2,1,3
1995-09-23,3,Some Rainy Morning,Robert Cray,3,2,4
1995-09-23,4,Blues,Jimi Hendrix,6,4,4
1995-09-23,5,Chill Out,John Lee Hooker,4,3,4
1995-09-23,6,Roll Of The Dice,The Fabulous Thunderbirds,7,6,4
1995-09-23,7,Essential Blues,Various Artists,5,4,4
1995-09-23,8,Texas Sugar/Strat Magik,Chris Duarte Group,8,7,4
1995-09-23,9,Keb' Mo',Keb' Mo',9,4,4
1995-09-23,10,Slippin' In,Buddy Guy,12,10,4
1995-09-23,11,Booty And The Beast,Popa Chubby,10,9,4
1995-09-23,12,One Foot In The Blues,ZZ Top,11,11,4
1995-09-23,13,Blue Drops Of Rain,Corey Stevens,14,13,4
1995-09-23,14,Ballads & Blues 1982-1994,Gary Moore,15,14,4
1995-09-23,15,Strange Pleasure,Jimmie Vaughan,13,12,4
