Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2023-09-02,1,Faz Um Vuk Vuk (Teto Espelhado),Kevin O Chris & DJ Nk Da Serra,-,1,1
2023-09-02,2,Halls Na Lingua,Kadu Martins,-,2,1
2023-09-02,3,Toca o Trompete,Felipe Amorim,-,3,1
2023-09-02,4,Ta OK,"DENNIS E MC Kevin O Chris, Maluma & Karol G",-,4,1
2023-09-02,5,Solteiro Forcado,Ana Castela,-,5,1
2023-09-02,6,Ballena,"Vulgo FK, MC PH & Veigh",-,6,1
2023-09-02,7,Nosso Quadro,AgroPlay & Ana Castela,-,7,1
2023-09-02,8,Fode Bem,Felipe Amorim & MC Mika,-,8,1
2023-09-02,9,Lapada Dela,Menos E Mais & Matheus Fernandes,-,9,1
2023-09-02,10,Novidade Na Area,MC Livinho & DJ Matt D,-,10,1
2023-09-02,11,Erro Gostoso,Simone Mendes,-,11,1
2023-09-02,12,Moletom,Luan Pereira & Gustavo Mioto,-,12,1
2023-09-02,13,Seu Brilho Sumiu,Israel & Rodolffo & Mari Fernandez,-,13,1
2023-09-02,14,Novo Balanco,VEIGH,-,14,1
2023-09-02,15,Oi Balde,Ze Neto & Cristiano,-,15,1
2023-09-02,16,Um Mes E Pouco,Ze Neto & Cristiano,-,16,1
2023-09-02,17,Mala Dos Porta Mala,Gusttavo Lima & Matheus & Kauan,-,17,1
2023-09-02,18,Meio Termo,Luan Santana,-,18,1
2023-09-02,19,Manda Um Oi (Ao Vivo),Guilherme & Benuto & Simone Mendes,-,19,1
2023-09-02,20,"Gol Bolinha, Gol Quadrado 2",MC Pedrinho,-,20,1
2023-09-02,21,Campo de Morango,Luisa Sonza,-,21,1
2023-09-02,22,Traumatizei (Ao Vivo Em Brasilia),Henrique & Juliano,-,22,1
2023-09-02,23,Leao,Marilia Mendonca,-,23,1
2023-09-02,24,"Love, Love",Melody E Naldo Benny Featuring Matheus Alves,-,24,1
2023-09-02,25,Patio Do Posto,Ze Neto & Cristiano,-,25,1
2023-09-09,1,Faz Um Vuk Vuk (Teto Espelhado),Kevin O Chris & DJ Nk Da Serra,1,1,2
2023-09-09,2,Solteiro Forcado,Ana Castela,5,2,2
2023-09-09,3,Halls Na Lingua,Kadu Martins,2,2,2
2023-09-09,4,Toca o Trompete,Felipe Amorim,3,3,2
2023-09-09,5,Ta OK,"DENNIS E MC Kevin O Chris, Maluma & Karol G",4,4,2
2023-09-09,6,Ballena,"Vulgo FK, MC PH & Veigh",6,6,2
2023-09-09,7,Lapada Dela,Menos E Mais & Matheus Fernandes,9,7,2
2023-09-09,8,Fode Bem,Felipe Amorim & MC Mika,8,8,2
2023-09-09,9,Moletom,Luan Pereira & Gustavo Mioto,12,9,2
2023-09-09,10,Nosso Quadro,AgroPlay & Ana Castela,7,7,2
