Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1992-12-05,1,I Got A Man,Positive K,-,1,1
1992-12-05,2,So Much Love,Malaika,-,2,1
1992-12-05,3,Pleasure,The Soup Dragons,-,3,1
1992-12-05,4,Taste It,INXS,-,4,1
1992-12-05,5,The Right Kind Of Love,Jeremy Jordan,-,5,1
1992-12-05,6,Homies,Lighter Shade Of Brown,-,6,1
1992-12-05,7,Never Saw A Miracle,Curtis Stigers,-,7,1
1992-12-05,8,Revolution,Arrested Development,-,8,1
1992-12-05,9,Ditty,Paperboy,-,9,1
1992-12-05,10,Gonna Have A Good Time,Marky Mark & The Funky Bunch,-,10,1
1992-12-05,11,One Nite Stand,Father M.C.,-,11,1
1992-12-05,12,Sexual,Goddess,-,12,1
1992-12-05,13,Love's Taken Over,Chante Moore,-,13,1
1992-12-05,14,Hey Love (Can I Have A Word),Mr. Lee/ R. Kelly,-,14,1
1992-12-05,15,Pick It Up,Home Team,-,15,1
1992-12-05,16,Shamrocks And Shenanigans (Boom Shalock Lock Boom),House Of Pain,-,16,1
1992-12-05,17,I Want To Love You Down,Keith Sweat,-,17,1
1992-12-05,18,Peace & Love Inc.,Information Society,-,18,1
1992-12-05,19,Right Here,SWV,-,19,1
1992-12-05,20,With Heaven On Our Side,Foreigner,-,20,1
1992-12-05,21,Bubba Shot The Jukebox,Mark Chesnutt,-,21,1
1992-12-05,22,Flesh & Blood,Wilson Phillips,-,22,1
1992-12-05,23,Good Time,Trilogy,-,23,1
1992-12-05,24,Punks Jump Up To Get Beat Down,Brand Nubian,-,24,1
1992-12-05,25,Reminisce,Mary J. Blige,-,25,1
1992-12-12,1,Ditty,Paperboy,9,1,2
1992-12-12,2,Taste It,INXS,4,2,2
1992-12-12,3,Pick It Up,Home Team,15,3,2
1992-12-12,4,Gonna Have A Good Time,Marky Mark & The Funky Bunch,10,4,2
1992-12-12,5,Reminisce,Mary J. Blige,25,5,2
1992-12-12,6,Are You Ready To Fly?,Rozalla,-,6,1
1992-12-12,7,I Got A Man,Positive K,1,1,2
1992-12-12,8,This Could Be The One,Bad Company,-,8,1
1992-12-12,9,Never Saw A Miracle,Curtis Stigers,7,7,2
1992-12-12,10,So Much Love,Malaika,2,2,2
1992-12-12,11,Love's Taken Over,Chante Moore,13,11,2
1992-12-12,12,A Whole New World (Aladdin's Theme),Peabo Bryson & Regina Belle,-,12,1
1992-12-12,13,With Heaven On Our Side,Foreigner,20,13,2
1992-12-12,14,Forever In Love,Kenny G,-,14,1
1992-12-12,15,Right Here,SWV,19,15,2
1992-12-12,16,Punks Jump Up To Get Beat Down,Brand Nubian,24,16,2
1992-12-12,17,Hey Love (Can I Have A Word),Mr. Lee/ R. Kelly,14,14,2
1992-12-12,18,Good Time,Trilogy,23,18,2
1992-12-12,19,Flesh & Blood,Wilson Phillips,22,19,2
1992-12-12,20,One Nite Stand,Father M.C.,11,11,2
1992-12-12,21,Tell The Truth,Jude Cole,-,21,1
1992-12-12,22,Steam,Peter Gabriel,-,22,1
1992-12-12,23,Get Up (Move Boy Move),AB Logic,-,23,1
1992-12-12,24,Paper Doll,Fleetwood Mac,-,24,1
1992-12-12,25,Understand This Groove,Sound Factory,-,25,1
1992-12-19,1,Love's Taken Over,Chante Moore,11,1,3
1992-12-19,2,Taste It,INXS,2,2,3
1992-12-19,3,With Heaven On Our Side,Foreigner,13,3,3
1992-12-19,4,Gonna Have A Good Time,Marky Mark & The Funky Bunch,4,4,3
1992-12-19,5,Right Here,SWV,15,5,3
1992-12-19,6,Sleeping With You,Firehouse,-,6,1
1992-12-19,7,Hey Love (Can I Have A Word),Mr. Lee/ R. Kelly,17,7,3
1992-12-19,8,Pick It Up,Home Team,3,3,3
1992-12-19,9,Punks Jump Up To Get Beat Down,Brand Nubian,16,9,3
1992-12-19,10,Paper Doll,Fleetwood Mac,24,10,2
1992-12-19,11,Never Saw A Miracle,Curtis Stigers,9,7,3
1992-12-19,12,Are You Ready To Fly?,Rozalla,6,6,2
1992-12-19,13,Tell The Truth,Jude Cole,21,13,2
1992-12-19,14,Irresistible,Cathy Dennis,-,14,1
1992-12-19,15,Get Up (Move Boy Move),AB Logic,23,15,2
1992-12-19,16,Straight Out The Sewer,Das EFX,-,16,1
1992-12-19,17,So Much Love,Malaika,10,2,3
1992-12-19,18,Good Time,Trilogy,18,18,3
1992-12-19,19,All I See,Christopher Williams,-,19,1
1992-12-19,20,Crazy Love,CeCe Peniston,-,20,1
1992-12-19,21,Dazzy Duks,Duice,-,21,1
1992-12-19,22,Bubba Shot The Jukebox,Mark Chesnutt,-,21,2
1992-12-19,23,Make Love 2 Me,Lorenzo,-,23,1
1992-12-19,24,Blow Your Mind,Redman,-,24,1
1992-12-19,25,Flesh & Blood,Wilson Phillips,19,19,3
1992-12-26,1,Taste It,INXS,2,1,4
1992-12-26,2,Right Here,SWV,5,2,4
1992-12-26,3,Punks Jump Up To Get Beat Down,Brand Nubian,9,3,4
1992-12-26,4,Ordinary World,Duran Duran,-,4,1
1992-12-26,5,Gonna Have A Good Time,Marky Mark & The Funky Bunch,4,4,4
1992-12-26,6,Tell The Truth,Jude Cole,13,6,3
1992-12-26,7,All Alone On Christmas,Darlene Love,-,7,1
1992-12-26,8,Paper Doll,Fleetwood Mac,10,8,3
1992-12-26,9,Murder She Wrote,Chaka Demus & Pliers,-,9,1
1992-12-26,10,Are You Ready To Fly?,Rozalla,12,6,3
1992-12-26,11,With Heaven On Our Side,Foreigner,3,3,4
1992-12-26,12,Hey Love (Can I Have A Word),Mr. Lee/ R. Kelly,7,7,4
1992-12-26,13,Never Saw A Miracle,Curtis Stigers,11,7,4
1992-12-26,14,All I See,Christopher Williams,19,14,2
1992-12-26,15,Feels Like Heaven,Peter Cetera (Duet With Chaka Khan ),-,15,1
1992-12-26,16,Dazzy Duks,Duice,21,16,2
1992-12-26,17,Grandma Got Run Over By A Reindeer,Elmo & Patsy,-,17,1
1992-12-26,18,Straight Out The Sewer,Das EFX,16,16,2
1992-12-26,19,Make Love 2 Me,Lorenzo,23,19,2
1992-12-26,20,Good Time,Trilogy,18,18,4
1992-12-26,21,Speed,Alpha Team,-,21,1
1992-12-26,22,Bubba Shot The Jukebox,Mark Chesnutt,22,21,3
1992-12-26,23,One Nite Stand,Father M.C.,-,11,3
1992-12-26,24,Behind The Sun,Red Hot Chili Peppers,-,24,1
1992-12-26,25,Peace & Love Inc.,Information Society,-,18,2
1993-01-02,1,Informer,Snow,-,1,1
1993-01-02,2,Hey Love (Can I Have A Word),Mr. Lee/ R. Kelly,12,2,5
1993-01-02,3,Tell The Truth,Jude Cole,6,3,4
1993-01-02,4,All I See,Christopher Williams,14,4,3
1993-01-02,5,Dazzy Duks,Duice,16,5,3
1993-01-02,6,Gonna Have A Good Time,Marky Mark & The Funky Bunch,5,4,5
1993-01-02,7,Taste It,INXS,1,1,5
1993-01-02,8,Damn U,Prince And The New Power Generation,-,8,1
1993-01-02,9,Paper Doll,Fleetwood Mac,8,8,4
1993-01-02,10,Speed,Alpha Team,21,10,2
1993-01-02,11,Make Love 2 Me,Lorenzo,19,11,3
1993-01-02,12,Grandma Got Run Over By A Reindeer,Elmo & Patsy,17,12,2
1993-01-02,13,Never Saw A Miracle,Curtis Stigers,13,7,5
1993-01-02,14,Feels Like Heaven,Peter Cetera (Duet With Chaka Khan ),15,14,2
1993-01-02,15,Happy Days,Silk,-,15,1
