Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Pegate,Standly,-,1,1
2022-02-19,2,Desesperados,Rauw Alejandro & Chencho Corleone,-,2,1
2022-02-19,3,Mi Gata,Standly Featuring El Barto,-,3,1
2022-02-19,4,Una Noche En Medellin,Cris Mj,-,4,1
2022-02-19,5,Los Malvekes,Cris Mj x Marcianeke x Simon La Letra x Stars Music Chile,-,5,1
2022-02-19,6,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",-,6,1
2022-02-19,7,Arrebata,Sayian Jimmy x JOSEPE EL DEMENTE,-,7,1
2022-02-19,8,Yonaguni,Bad Bunny,-,8,1
2022-02-19,9,Ella,Boza X Lunay X Lenny Tavarez X Juhn X Beele,-,9,1
2022-02-19,10,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",-,10,1
2022-02-19,11,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",-,11,1
2022-02-19,12,Flaytiando,"El Barto, Drakomafia, El Jordan 23, Standly & Gabo El Chamaquito",-,12,1
2022-02-19,13,Anti Rana,El Jordan 23,-,13,1
2022-02-19,14,Volvi,Aventura x Bad Bunny,-,14,1
2022-02-19,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,15,1
2022-02-19,16,Moneyman,"Polima WestCoast, ITHAN NEWYORK, Galee Galee, Harry Nach & Pablo Chill-E",-,16,1
2022-02-19,17,Que Pasa?,Marcianeke,-,17,1
2022-02-19,18,"Bzrp Music Sessions, Vol. 48",Bizarrap & Tiago pzk,-,18,1
2022-02-19,19,Casi Amor de Verano,Young Cister,-,19,1
2022-02-19,20,Dime Tu,Pailito & Cris Mj,-,20,1
2022-02-19,21,Subelo,"Anuel AA , Myke Towers & Jhay Cortez",-,21,1
2022-02-19,22,Nostalgico,"Rvssian , Rauw Alejandro & Chris Brown",-,22,1
2022-02-19,23,Dakiti,Bad Bunny & Jhay Cortez,-,23,1
2022-02-19,24,Dimelo Ma,Marcianeke X Pailita,-,24,1
2022-02-19,25,Problemon,Alvaro Diaz Con Rauw Alejandro,-,25,1
2022-02-26,1,Pegate,Standly,1,1,2
2022-02-26,2,Desesperados,Rauw Alejandro & Chencho Corleone,2,2,2
2022-02-26,3,Una Noche En Medellin,Cris Mj,4,3,2
2022-02-26,4,MAMIII,Becky G X Karol G,-,4,1
2022-02-26,5,Dime Tu,Pailito & Cris Mj,20,5,2
2022-02-26,6,Mi Gata,Standly Featuring El Barto,3,3,2
2022-02-26,7,Los Malvekes,Cris Mj x Marcianeke x Simon La Letra x Stars Music Chile,5,5,2
2022-02-26,8,Cayo La Noche,"Quevedo, El Ima, Cruz Cafune , Bejo, La Pantera, Juseph & Abhir Hathi",-,8,1
2022-02-26,9,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",6,6,2
2022-02-26,10,Arrebata,Sayian Jimmy x JOSEPE EL DEMENTE,7,7,2
2022-02-26,11,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",10,10,2
2022-02-26,12,Yonaguni,Bad Bunny,8,8,2
2022-02-26,13,Anti Rana,El Jordan 23,13,13,2
2022-02-26,14,Ella,Boza X Lunay X Lenny Tavarez X Juhn X Beele,9,9,2
2022-02-26,15,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",11,11,2
2022-02-26,16,Flaytiando,"El Barto, Drakomafia, El Jordan 23, Standly & Gabo El Chamaquito",12,12,2
2022-02-26,17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,15,15,2
2022-02-26,18,Volvi,Aventura x Bad Bunny,14,14,2
2022-02-26,19,"Bzrp Music Sessions, Vol. 48",Bizarrap & Tiago pzk,18,18,2
2022-02-26,20,Moneyman,"Polima WestCoast, ITHAN NEWYORK, Galee Galee, Harry Nach & Pablo Chill-E",16,16,2
2022-02-26,21,Que Pasa?,Marcianeke,17,17,2
2022-02-26,22,Casi Amor de Verano,Young Cister,19,19,2
2022-02-26,23,Waka Waka,Marcianeke,-,23,1
2022-02-26,24,Problemon,Alvaro Diaz Con Rauw Alejandro,25,24,2
2022-02-26,25,Dakiti,Bad Bunny & Jhay Cortez,23,23,2
2022-03-05,1,MAMIII,Becky G X Karol G,4,1,2
2022-03-05,2,Pegate,Standly,1,1,3
2022-03-05,3,Desesperados,Rauw Alejandro & Chencho Corleone,2,2,3
2022-03-05,4,Una Noche En Medellin,Cris Mj,3,3,3
2022-03-05,5,Dime Tu,Pailito & Cris Mj,5,5,3
2022-03-05,6,Mi Gata,Standly Featuring El Barto,6,3,3
2022-03-05,7,Ponle,"Balbi El Chamako Featuring Marcianeke, El Bai, Jairo Vera, Franco El Gorilla, Forest, Pailita, Juliano Sosa, Young Cister, Cris Mj & Harry Nach",-,7,1
2022-03-05,8,Los Malvekes,Cris Mj x Marcianeke x Simon La Letra x Stars Music Chile,7,5,3
2022-03-05,9,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",9,6,3
2022-03-05,10,Bailando,Jordan 23 Featuring Standly,-,10,1
2022-03-05,11,Yonaguni,Bad Bunny,12,8,3
2022-03-05,12,Cayo La Noche,"Quevedo, El Ima, Cruz Cafune , Bejo, La Pantera, Juseph & Abhir Hathi",8,8,2
2022-03-05,13,Arrebata,Sayian Jimmy x JOSEPE EL DEMENTE,10,7,3
