Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-11-05,1,Hua Kai Wang You,Zhou Shen,-,1,1
2022-11-05,2,Zhe Ge Nian Dai,Da Huan,-,2,1
2022-11-05,3,Wo Men Yi Qi Yuan Hang,"Sitar Tan, Liu Hegang, Zhou Shen , Lu Binqi",-,3,1
2022-11-05,4,Mei Mei,Zhou Shen,-,4,1
2022-11-05,5,Xun Yi Ge Ni,Liu Yuning,-,5,1
2022-11-05,6,Man Tuo Shan Zhuang,Vae Xu,-,6,1
2022-11-05,7,VEIL,Lay Zhang,-,7,1
2022-11-05,8,Yu Qing,Zhou Shen,-,8,1
2022-11-05,9,Hug Me,KUN,-,9,1
2022-11-05,10,Ben Xiang Ni,Zhou Shen,-,10,1
2022-11-05,11,Greatest Works Of Art,Jay Chou,-,11,1
2022-11-05,12,San Sheng San Xing,Hai Lai A Mu,-,12,1
2022-11-05,13,Wo Lai Ren Jian Yi Tang,Wei Jiayi,-,13,1
2022-11-05,14,Shi Ni,Meng Ran,-,14,1
2022-11-05,15,Que Yang,Xuan Yi (Xiang Xin Guang),-,15,1
2022-11-05,16,Gao Bie Qian Yao Tiao Wu,Silence Wang,-,16,1
2022-11-05,17,Chao Ji Wan Jia,Zhou Shen,-,17,1
2022-11-05,18,Countless,Joker Xue,-,18,1
2022-11-05,19,Ai Shi Bu Fang Shou,Liu Yuning,-,19,1
2022-11-05,20,Yu Ni Dao Yong Jiu,Yun Nan Ding Gua Gua Nan Gua,-,20,1
2022-11-05,21,Qu Zhong Ren,An Erchen,-,21,1
2022-11-05,22,Jue Pei,Teens in Times,-,22,1
2022-11-05,23,Jue Ai,Faye,-,23,1
2022-11-05,24,Hua Feng Xing Wan Li,Da Huan,-,24,1
2022-11-05,25,Xiao Cheng Xia Tian,LBI Libi,-,25,1
2022-11-05,26,Xiao Cheng Hua Shi,Li Xiaobei,-,26,1
2022-11-05,27,Ai Dou Ai Le,Zhang Qian,-,27,1
2022-11-05,28,Kan De Zui Yuan De Di Fang,Mao Buyi,-,28,1
2022-11-05,29,The Luckiest Fortune,Sean Xiao,-,29,1
2022-11-05,30,Wan Feng Xin Li Chui,A Liyue,-,30,1
2022-11-05,31,Yi Sheng Na Me Chang,Xiao A Feng,-,31,1
2022-11-05,32,Ai Shi Wu Wei De Mao Xian,Cheng Jin,-,32,1
2022-11-05,33,Cold Hearted,Jay Chou,-,33,1
2022-11-05,34,Jiu Wang Le Ba,1K,-,34,1
2022-11-05,35,Hai Mei You Ai Gou,Wang Xin,-,35,1
2022-11-05,36,You Are My Magic,Accusefive,-,36,1
