Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2013-12-07,1,Oceans (Where Feet May Fail),Hillsong United,-,1,1
2013-12-07,2,Monster,Skillet,-,2,1
2013-12-07,3,Hero,Skillet,-,3,1
2013-12-07,4,"10,000 Reasons (Bless The Lord)",Matt Redman,-,4,1
2013-12-07,5,Kiss The Rain,Yiruma,-,5,1
2013-12-07,6,Make A Move,Royal Tailor,-,6,1
2013-12-07,7,Awake And Alive,Skillet,-,7,1
2013-12-07,8,Ooh Ahh,Grits Featuring tobyMac,-,8,1
2013-12-07,9,Our God,Chris Tomlin,-,9,1
2013-12-07,10,Overcomer,Mandisa,-,10,1
2013-12-07,11,All Around Me,Flyleaf,-,11,1
2013-12-07,12,Gold,Britt Nicole,-,12,1
2013-12-07,13,War Of Change,Thousand Foot Krutch,-,13,1
2013-12-07,14,Who Am I,Casting Crowns,-,14,1
2013-12-07,15,Blessings,Laura Story,-,15,1
2013-12-07,16,How Great Is Our God,Chris Tomlin,-,16,1
2013-12-07,17,Dare You To Move,Switchfoot,-,17,1
2013-12-07,18,By Your Side,Tenth Avenue North,-,18,1
2013-12-07,19,Ships In The Night,Mat Kearney,-,19,1
2013-12-07,20,Whispers In The Dark,Skillet,-,20,1
2013-12-07,21,Amazing Grace (My Chains Are Gone),Chris Tomlin,-,21,1
2013-12-07,22,Whom Shall I Fear (God Of Angel Armies),Chris Tomlin,-,22,1
2013-12-07,23,Temporary Home,Carrie Underwood,-,23,1
2013-12-07,24,Boom,P.O.D.,-,24,1
2013-12-07,25,Sick Of It,Skillet,-,25,1
2013-12-14,1,Monster,Skillet,2,1,2
2013-12-14,2,Oceans (Where Feet May Fail),Hillsong United,1,1,2
2013-12-14,3,Hero,Skillet,3,3,2
2013-12-14,4,Awake And Alive,Skillet,7,4,2
2013-12-14,5,"10,000 Reasons (Bless The Lord)",Matt Redman,4,4,2
2013-12-14,6,The Christmas Shoes,NewSong,-,6,1
2013-12-14,7,Kiss The Rain,Yiruma,5,5,2
2013-12-14,8,Make A Move,Royal Tailor,6,6,2
2013-12-14,9,Ooh Ahh,Grits Featuring tobyMac,8,8,2
2013-12-14,10,O Holy Night,Nat King Cole,-,10,1
2013-12-14,11,War Of Change,Thousand Foot Krutch,13,11,2
2013-12-14,12,All Around Me,Flyleaf,11,11,2
2013-12-14,13,Whispers In The Dark,Skillet,20,13,2
2013-12-14,14,Gold,Britt Nicole,12,12,2
2013-12-14,15,Angels We Have Heard On High,Sixpence None the Richer,-,15,1
2013-12-14,16,Our God,Chris Tomlin,9,9,2
2013-12-14,17,How Great Is Our God,Chris Tomlin,16,16,2
2013-12-14,18,Dare You To Move,Switchfoot,17,17,2
2013-12-14,19,Who Am I,Casting Crowns,14,14,2
2013-12-14,20,Overcomer,Mandisa,10,10,2
2013-12-14,21,Temporary Home,Carrie Underwood,23,21,2
2013-12-14,22,Courtesy Call,Thousand Foot Krutch,-,22,1
2013-12-14,23,Don't Waste Your Life,Lecrae,-,23,1
2013-12-14,24,Sick Of It,Skillet,25,24,2
2013-12-14,25,Boom,P.O.D.,24,24,2
2013-12-21,1,Monster,Skillet,1,1,3
2013-12-21,2,Oceans (Where Feet May Fail),Hillsong United,2,1,3
2013-12-21,3,Hero,Skillet,3,3,3
2013-12-21,4,Awake And Alive,Skillet,4,4,3
2013-12-21,5,Ooh Ahh,Grits Featuring tobyMac,9,5,3
2013-12-21,6,"10,000 Reasons (Bless The Lord)",Matt Redman,5,4,3
2013-12-21,7,Make A Move,Royal Tailor,8,6,3
2013-12-21,8,Kiss The Rain,Yiruma,7,5,3
2013-12-21,9,Breath Of Heaven (Mary's Song),Amy Grant,-,9,1
2013-12-21,10,Whispers In The Dark,Skillet,13,10,3
2013-12-21,11,All Around Me,Flyleaf,12,11,3
2013-12-21,12,The Christmas Shoes,NewSong,6,6,2
2013-12-21,13,Gold,Britt Nicole,14,12,3
2013-12-21,14,Don't Waste Your Life,Lecrae,23,14,2
2013-12-21,15,Dare You To Move,Switchfoot,18,15,3
2013-12-21,16,War Of Change,Thousand Foot Krutch,11,11,3
2013-12-21,17,Our God,Chris Tomlin,16,9,3
2013-12-21,18,Who Am I,Casting Crowns,19,14,3
2013-12-21,19,Temporary Home,Carrie Underwood,21,19,3
2013-12-21,20,Ships In The Night,Mat Kearney,-,19,2
2013-12-21,21,Boom,P.O.D.,25,21,3
2013-12-21,22,Winter Wonderland,Amy Grant,-,22,1
2013-12-21,23,How Great Is Our God,Chris Tomlin,17,16,3
2013-12-21,24,Carol Of The Bells,August Burns Red,-,24,1
2013-12-21,25,"Mary, Did You Know?",Kenny Rogers With Wynonna,-,25,1
2013-12-28,1,Monster,Skillet,1,1,4
2013-12-28,2,Hero,Skillet,3,2,4
2013-12-28,3,Oceans (Where Feet May Fail),Hillsong United,2,1,4
2013-12-28,4,Awake And Alive,Skillet,4,4,4
2013-12-28,5,"10,000 Reasons (Bless The Lord)",Matt Redman,6,4,4
2013-12-28,6,Ooh Ahh,Grits Featuring tobyMac,5,5,4
2013-12-28,7,I Heard The Bells On Christmas Day,Casting Crowns,-,7,1
2013-12-28,8,Whispers In The Dark,Skillet,10,8,4
2013-12-28,9,Breath Of Heaven (Mary's Song),Amy Grant,9,9,2
2013-12-28,10,Kiss The Rain,Yiruma,8,5,4
2013-12-28,11,Christmas This Year,tobyMac Featuring Leigh Nash,-,11,1
2013-12-28,12,"Mary, Did You Know?",Kenny Rogers With Wynonna,25,12,2
2013-12-28,13,Make A Move,Royal Tailor,7,6,4
2013-12-28,14,All Around Me,Flyleaf,11,11,4
2013-12-28,15,War Of Change,Thousand Foot Krutch,16,11,4
2013-12-28,16,Dare You To Move,Switchfoot,15,15,4
2013-12-28,17,Winter Wonderland,Amy Grant,22,17,2
2013-12-28,18,Gold,Britt Nicole,13,12,4
2013-12-28,19,The Christmas Shoes,NewSong,12,6,3
2013-12-28,20,Temporary Home,Carrie Underwood,19,19,4
2013-12-28,21,Carol Of The Bells,August Burns Red,24,21,2
2013-12-28,22,Rise,Skillet,-,22,1
2013-12-28,23,Our God,Chris Tomlin,17,9,4
2013-12-28,24,Overcomer,Mandisa,-,10,3
2013-12-28,25,Ships In The Night,Mat Kearney,20,19,3
2014-01-04,1,Monster,Skillet,1,1,5
2014-01-04,2,Hero,Skillet,2,2,5
2014-01-04,3,Oceans (Where Feet May Fail),Hillsong United,3,1,5
2014-01-04,4,The Christmas Shoes,NewSong,19,4,4
2014-01-04,5,Awake And Alive,Skillet,4,4,5
2014-01-04,6,Breath Of Heaven (Mary's Song),Amy Grant,9,6,3
2014-01-04,7,I Heard The Bells On Christmas Day,Casting Crowns,7,7,2
2014-01-04,8,Ooh Ahh,Grits Featuring tobyMac,6,5,5
2014-01-04,9,"Mary, Did You Know?",Kenny Rogers With Wynonna,12,9,3
2014-01-04,10,"10,000 Reasons (Bless The Lord)",Matt Redman,5,4,5
2014-01-04,11,Christmas This Year,tobyMac Featuring Leigh Nash,11,11,2
2014-01-04,12,Whispers In The Dark,Skillet,8,8,5
2014-01-04,13,I'm Turnt,Lecrae,-,13,1
2014-01-04,14,Kiss The Rain,Yiruma,10,5,5
2014-01-04,15,Make A Move,Royal Tailor,13,6,5
2014-01-04,16,All Around Me,Flyleaf,14,11,5
2014-01-04,17,Winter Wonderland,Amy Grant,17,17,3
2014-01-04,18,War Of Change,Thousand Foot Krutch,15,11,5
2014-01-04,19,Rise,Skillet,22,19,2
2014-01-04,20,Dare You To Move,Switchfoot,16,15,5
2014-01-04,21,Carol Of The Bells,August Burns Red,21,21,3
2014-01-04,22,Gold,Britt Nicole,18,12,5
2014-01-04,23,Sick Of It,Skillet,-,23,3
2014-01-04,24,Temporary Home,Carrie Underwood,20,19,5
2014-01-04,25,Learn To Love,Needtobreathe,-,25,1
2014-01-11,1,Monster,Skillet,1,1,6
2014-01-11,2,Hero,Skillet,2,2,6
2014-01-11,3,Oceans (Where Feet May Fail),Hillsong United,3,1,6
2014-01-11,4,Awake And Alive,Skillet,5,4,6
2014-01-11,5,The Christmas Shoes,NewSong,4,4,5
2014-01-11,6,Ooh Ahh,Grits Featuring tobyMac,8,5,6
2014-01-11,7,"10,000 Reasons (Bless The Lord)",Matt Redman,10,4,6
2014-01-11,8,Whispers In The Dark,Skillet,12,8,6
2014-01-11,9,"Mary, Did You Know?",Kenny Rogers With Wynonna,9,9,4
2014-01-11,10,Kiss The Rain,Yiruma,14,5,6
2014-01-11,11,Breath Of Heaven (Mary's Song),Amy Grant,6,6,4
2014-01-11,12,War Of Change,Thousand Foot Krutch,18,11,6
2014-01-11,13,Gold,Britt Nicole,22,12,6
2014-01-11,14,All Around Me,Flyleaf,16,11,6
2014-01-11,15,I Heard The Bells On Christmas Day,Casting Crowns,7,7,3
2014-01-11,16,Dare You To Move,Switchfoot,20,15,6
2014-01-11,17,Rise,Skillet,19,17,3
2014-01-11,18,Make A Move,Royal Tailor,15,6,6
2014-01-11,19,Carol Of The Bells,August Burns Red,21,19,4
2014-01-11,20,Temporary Home,Carrie Underwood,24,19,6
2014-01-11,21,Sick Of It,Skillet,23,21,4
2014-01-11,22,Christmas This Year,tobyMac Featuring Leigh Nash,11,11,3
2014-01-11,23,Courtesy Call,Thousand Foot Krutch,-,22,2
2014-01-11,24,Our God,Chris Tomlin,-,9,5
2014-01-11,25,"O Come, All Ye Faithful",Britt Nicole,-,25,1
2014-01-18,1,Monster,Skillet,1,1,7
2014-01-18,2,Hero,Skillet,2,2,7
2014-01-18,3,Oceans (Where Feet May Fail),Hillsong United,3,1,7
2014-01-18,4,Awake And Alive,Skillet,4,4,7
2014-01-18,5,"10,000 Reasons (Bless The Lord)",Matt Redman,7,4,7
2014-01-18,6,Ooh Ahh,Grits Featuring tobyMac,6,5,7
2014-01-18,7,Whispers In The Dark,Skillet,8,7,7
2014-01-18,8,Kiss The Rain,Yiruma,10,5,7
2014-01-18,9,Gold,Britt Nicole,13,9,7
2014-01-18,10,Make A Move,Royal Tailor,18,6,7
2014-01-18,11,War Of Change,Thousand Foot Krutch,12,11,7
2014-01-18,12,Dare You To Move,Switchfoot,16,12,7
2014-01-18,13,Our God,Chris Tomlin,24,9,6
2014-01-18,14,All Around Me,Flyleaf,14,11,7
2014-01-18,15,Rise,Skillet,17,15,4
2014-01-18,16,Boom,P.O.D.,-,16,4
2014-01-18,17,Sick Of It,Skillet,21,17,5
2014-01-18,18,How Great Is Our God,Chris Tomlin,-,16,4
2014-01-18,19,Who Am I,Casting Crowns,-,14,4
2014-01-18,20,Courtesy Call,Thousand Foot Krutch,23,20,3
2014-01-18,21,Overcomer,Mandisa,-,10,4
2014-01-18,22,Temporary Home,Carrie Underwood,20,19,7
2014-01-18,23,Learn To Love,Needtobreathe,-,23,2
2014-01-18,24,Not Gonna Die,Skillet,-,24,1
2014-01-18,25,By Your Side,Tenth Avenue North,-,18,2
2014-01-25,1,Monster,Skillet,1,1,8
2014-01-25,2,Oceans (Where Feet May Fail),Hillsong United,3,1,8
2014-01-25,3,Hero,Skillet,2,2,8
2014-01-25,4,Awake And Alive,Skillet,4,4,8
2014-01-25,5,"10,000 Reasons (Bless The Lord)",Matt Redman,5,4,8
2014-01-25,6,Ooh Ahh,Grits Featuring tobyMac,6,5,8
2014-01-25,7,Kiss The Rain,Yiruma,8,5,8
2014-01-25,8,Our God,Chris Tomlin,13,8,7
2014-01-25,9,Whispers In The Dark,Skillet,7,7,8
2014-01-25,10,Gold,Britt Nicole,9,9,8
2014-01-25,11,All Around Me,Flyleaf,14,11,8
2014-01-25,12,Make A Move,Royal Tailor,10,6,8
2014-01-25,13,Dare You To Move,Switchfoot,12,12,8
2014-01-25,14,War Of Change,Thousand Foot Krutch,11,11,8
2014-01-25,15,Overcomer,Mandisa,21,10,5
2014-01-25,16,Who Am I,Casting Crowns,19,14,5
2014-01-25,17,Boom,P.O.D.,16,16,5
2014-01-25,18,Rise,Skillet,15,15,5
2014-01-25,19,How Great Is Our God,Chris Tomlin,18,16,5
2014-01-25,20,Sick Of It,Skillet,17,17,6
2014-01-25,21,Blessings,Laura Story,-,15,2
2014-01-25,22,By Your Side,Tenth Avenue North,25,18,3
2014-01-25,23,Whom Shall I Fear (God Of Angel Armies),Chris Tomlin,-,22,2
2014-01-25,24,Amazing Grace (My Chains Are Gone),Chris Tomlin,-,21,2
