Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1993-10-30,1,Unforgettable,Boston Pops / John Williams,-,1,1
1993-11-06,1,Alex North: 2001 Legendary Original Score,National Philharmonic Orchestra (Goldsmith),-,1,1
1993-11-13,1,Symphonic Music Of Yes,London Phil. Orch. (Palmer),-,1,1
1993-11-20,1,Symphonic Music Of Yes,London Phil. Orch. (Palmer),1,1,2
1993-11-20,2,Christmas In Vienna,Domingo/Ross/Carreras,-,2,1
1993-11-20,3,Night And Day,Boston Pops / John Williams,-,3,1
1993-11-20,4,Pavarotti & Friends,Various Artists,-,4,1
1993-11-20,5,The Puccini Album,John Bayless,-,5,1
1993-11-20,6,Unforgettable,Boston Pops / John Williams,-,1,2
1993-11-20,7,Hush,Yo-Yo Ma / Bobby McFerrin,-,7,1
1993-11-20,8,The Wind Beneath My Wings,James Galway,-,8,1
1993-11-20,9,With A Song In My Heart,Jose Carreras,-,9,1
1993-11-20,10,The King And I,Hollywood(Mauceri),-,10,1
1993-11-20,11,Andrew Lloyd Webber: Love Songs,Lesley Garrett,-,11,1
1993-11-20,12,Bernstein: On The Town,London Symphony Orchestra (Thomas),-,12,1
1993-11-20,13,Alex North: 2001 Legendary Original Score,National Philharmonic Orchestra (Goldsmith),-,1,2
1993-11-20,14,The Celtic Harp,The Chieftains,-,14,1
1993-11-20,15,Seasons,James Galway,-,15,1
1993-11-27,1,Symphonic Music Of Yes,London Phil. Orch. (Palmer),1,1,3
1993-11-27,2,Christmas In Vienna,Domingo/Ross/Carreras,2,2,2
1993-11-27,3,Night And Day,Boston Pops / John Williams,3,3,2
1993-11-27,4,Unforgettable,Boston Pops / John Williams,6,1,3
1993-11-27,5,Pavarotti & Friends,Various Artists,4,4,2
1993-11-27,6,The Puccini Album,John Bayless,5,5,2
1993-11-27,7,The Wind Beneath My Wings,James Galway,8,7,2
1993-11-27,8,The King And I,Hollywood(Mauceri),10,8,2
1993-11-27,9,Hush,Yo-Yo Ma / Bobby McFerrin,7,7,2
1993-11-27,10,Galway At The Movies,James Galway,-,10,1
1993-11-27,11,Andrew Lloyd Webber: Love Songs,Lesley Garrett,11,11,2
1993-11-27,12,The Juliett Letters,Elvis Costello & The Brodsky Quartet,-,12,1
1993-11-27,13,Seasons,James Galway,15,13,2
1993-11-27,14,Bernstein: On The Town,London Symphony Orchestra (Thomas),12,12,2
1993-11-27,15,With A Song In My Heart,Jose Carreras,9,9,2
1993-12-04,1,Symphonic Music Of Yes,London Phil. Orch. (Palmer),1,1,4
1993-12-04,2,Christmas In Vienna,Domingo/Ross/Carreras,2,2,3
1993-12-04,3,Night And Day,Boston Pops / John Williams,3,3,3
1993-12-04,4,Pavarotti & Friends,Various Artists,5,4,3
1993-12-04,5,Unforgettable,Boston Pops / John Williams,4,1,4
1993-12-04,6,The Puccini Album,John Bayless,6,5,3
1993-12-04,7,The Wind Beneath My Wings,James Galway,7,7,3
1993-12-04,8,With A Song In My Heart,Jose Carreras,15,8,3
1993-12-04,9,Hush,Yo-Yo Ma / Bobby McFerrin,9,7,3
1993-12-04,10,The King And I,Hollywood(Mauceri),8,8,3
1993-12-04,11,Seasons,James Galway,13,11,3
1993-12-04,12,Andrew Lloyd Webber: Love Songs,Lesley Garrett,11,11,3
1993-12-04,13,Galway At The Movies,James Galway,10,10,2
1993-12-04,14,The Celtic Harp,The Chieftains,-,14,2
1993-12-04,15,Bernstein: On The Town,London Symphony Orchestra (Thomas),14,12,3
1993-12-11,1,Christmas In Vienna,Domingo/Ross/Carreras,2,1,4
1993-12-11,2,Symphonic Music Of Yes,London Phil. Orch. (Palmer),1,1,5
1993-12-11,3,Star Wars Trilogy,WILLIAMS/LSO,-,3,1
1993-12-11,4,Night And Day,Boston Pops / John Williams,3,3,4
1993-12-11,5,Pavarotti & Friends,Various Artists,4,4,4
1993-12-11,6,The Puccini Album,John Bayless,6,5,4
1993-12-11,7,Unforgettable,Boston Pops / John Williams,5,1,5
1993-12-11,8,With A Song In My Heart,Jose Carreras,8,8,4
