Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1987-02-28,1,Standards Volume 1,Stanley Jordan,-,1,1
1987-02-28,2,A Nice Place To Be,George Howard,-,2,1
1987-02-28,3,Najee's Theme,Najee,-,3,1
1987-02-28,4,A Change Of Heart,David Sanborn,-,4,1
1987-02-28,5,Tutu,Miles Davis,-,5,1
1987-02-28,6,Down To The Moon,Andreas Vollenweider,-,6,1
1987-02-28,7,The Good And Bad Times,The Crusaders,-,7,1
1987-02-28,8,Obsession,Bob James,-,8,1
1987-02-28,9,Last Nite,Larry Carlton,-,9,1
1987-02-28,10,Duotones,Kenny G,-,10,1
1987-02-28,11,Moonlighting,The Rippingtons,-,11,1
1987-02-28,12,Spontaneous Inventions,Bobby McFerrin,-,12,1
1987-02-28,13,One Night/One Day,Tom Scott,-,13,1
1987-02-28,14,Double Vision,Bob James/David Sanborn,-,14,1
1987-02-28,15,The Lady From Brazil,Tania Maria,-,15,1
1987-02-28,16,Don't Look Back,Damon Rentie,-,16,1
1987-02-28,17,Strong Persuader,Robert Cray,-,17,1
1987-02-28,18,L Is For Lover,Al Jarreau,-,18,1
1987-02-28,19,Private Passion,Jeff Lorber,-,19,1
1987-02-28,20,Timeless,Diane Schuur,-,20,1
1987-02-28,21,Love Fantasy,Alphonse Mouzon,-,21,1
1987-02-28,22,The Drifter,Max Bennett & Freeway,-,22,1
1987-02-28,23,Encounters,George Shaw,-,23,1
1987-02-28,24,Illumination,Free Flight,-,24,1
1987-02-28,25,Two Hearts,Peter Kater,-,25,1
1987-03-14,1,Standards Volume 1,Stanley Jordan,1,1,2
1987-03-14,2,A Nice Place To Be,George Howard,2,2,2
1987-03-14,3,Najee's Theme,Najee,3,3,2
1987-03-14,4,A Change Of Heart,David Sanborn,4,4,2
1987-03-14,5,Last Nite,Larry Carlton,9,5,2
1987-03-14,6,Moonlighting,The Rippingtons,11,6,2
1987-03-14,7,The Good And Bad Times,The Crusaders,7,7,2
1987-03-14,8,Spontaneous Inventions,Bobby McFerrin,12,8,2
