Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1990-01-20,1,Nobody's Home,Clint Black,-,1,1
1990-01-20,2,My Arms Stay Open All Night,Tanya Tucker,-,2,1
1990-01-20,3,Statue Of A Fool,Ricky Van Shelton,-,3,1
1990-01-20,4,Southern Star,Alabama,-,4,1
1990-01-20,5,It Ain't Nothin',Keith Whitley,-,5,1
1990-01-20,6,It's You Again,Skip Ewing,-,6,1
1990-01-20,7,When I Could Come Home To You,Steve Wariner,-,7,1
1990-01-20,8,Many A Long & Lonesome Highway,Rodney Crowell,-,8,1
1990-01-20,9,That Just About Does It,Vern Gosdin,-,9,1
1990-01-20,10,Start All Over Again,The Desert Rose Band,-,10,1
1990-01-20,11,Out Of Your Shoes,Lorrie Morgan,-,11,1
1990-01-20,12,On Second Thought,Eddie Rabbitt,-,12,1
1990-01-20,13,One Man Woman,The Judds,-,13,1
1990-01-20,14,Till I Can't Take It Anymore,Billy Joe Royal,-,14,1
1990-01-20,15,Overnight Success,George Strait,-,15,1
1990-01-20,16,Where've You Been,Kathy Mattea,-,16,1
1990-01-20,17,A Woman In Love,Ronnie Milsap,-,17,1
1990-01-20,18,Who's Lonely Now,Highway 101,-,18,1
1990-01-20,19,There You Are,Willie Nelson,-,19,1
1990-01-20,20,No Matter How High,The Oak Ridge Boys,-,20,1
1990-01-20,21,Two Dozen Roses,Shenandoah,-,21,1
1990-01-20,22,If Tomorrow Never Comes,Garth Brooks,-,22,1
1990-01-20,23,I've Been Loved By The Best,Don Williams,-,23,1
1990-01-20,24,In My Eyes,Lionel Cartwright,-,24,1
1990-01-20,25,I Can't Turn The Tide,Baillie and the Boys,-,25,1
1990-01-20,26,When It's Gone,Nitty Gritty Dirt Band,-,26,1
1990-01-20,27,"She's Gone, Gone, Gone",Glen Campbell,-,27,1
1990-01-20,28,Leave It Alone,The Forester Sisters,-,28,1
1990-01-20,29,There Goes My Heart Again,Holly Dunn,-,29,1
1990-01-20,30,All The Fun,Paul Overstreet,-,30,1
1990-01-20,31,Little Girl,Reba McEntire,-,31,1
1990-01-20,32,Fast Movin' Train,Restless Heart,-,32,1
1990-01-20,33,It's Just A Matter Of Time,Randy Travis,-,33,1
1990-01-20,34,Yellow Roses,Dolly Parton,-,34,1
1990-01-20,35,Keep It In The Middle Of The Road,Exile,-,35,1
1990-01-20,36,Heartbreak Hurricane,Ricky Skaggs,-,36,1
1990-01-20,37,If You Want To Be My Woman,Merle Haggard,-,37,1
1990-01-20,38,High Cotton,Alabama,-,38,1
1990-01-20,39,Country Club,Travis Tritt,-,39,1
1990-01-20,40,Simple Man,The Charlie Daniels Band,-,40,1
1990-01-20,41,Chains,Patty Loveless,-,41,1
1990-01-20,42,The Vows Go Unbroken (Always True To You),Kenny Rogers,-,42,1
1990-01-20,43,Bayou Boys,Eddy Raven,-,43,1
1990-01-20,44,The Race Is On,Sawyer Brown,-,44,1
1990-01-20,45,The Lonely Side Of Love,Patty Loveless,-,45,1
1990-01-20,46,Sooner Or Later,Eddy Raven,-,46,1
1990-01-20,47,Tell Me Why,Jann Browne,-,47,1
1990-01-20,48,Time's Up,Southern Pacific & Carlene Carter,-,48,1
1990-01-20,49,If Your Heart Should Ever Roll This Way Again,Jo-El Sonnier,-,49,1
1990-01-20,50,Quit While I'm Behind,Jennifer McCarter & The McCarters,-,50,1
1990-01-20,51,Seein' My Father In Me,Paul Overstreet,-,51,1
1990-01-20,52,Amy's Eyes,Charley Pride,-,52,1
