Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1964-01-11,1,Ring Of Fire (The Best Of Johnny Cash),Johnny Cash,-,1,1
1964-01-11,2,Buck Owens Sings Tommy Collins,Buck Owens,-,2,1
1964-01-11,3,Night Life,Ray Price,-,3,1
1964-01-11,4,On The Bandstand,Buck Owens,-,4,1
1964-01-11,5,The Best Of George Jones,George Jones,-,5,1
1964-01-11,6,Singing What's In Our Heart,George Jones & Melba Montgomery,-,6,1
1964-01-11,7,I Love A Song,Stonewall Jackson,-,7,1
1964-01-11,8,Return Of The Gunfighter,Marty Robbins,-,8,1
1964-01-11,9,"""Detroit City"" And Other Hits",Bobby Bare,-,9,1
1964-01-11,10,Still,Bill Anderson,-,10,1
1964-01-11,11,"Cloudy, With Occasional Tears",Skeeter Davis,-,11,1
1964-01-11,12,Faron Young Aims At The West,Faron Young,-,12,1
1964-01-11,13,"The Tall, Tall Gentleman",Carl Smith,-,13,1
1964-01-11,14,The Porter Wagoner Show,Porter Wagoner,-,14,1
1964-01-11,15,Good 'N' Country,Jim Reeves,-,15,1
1964-01-11,16,Dave Dudley Sings Six Days On The Road,Dave Dudley,-,16,1
1964-01-11,17,Y'All Come,Porter Wagoner,-,17,1
1964-01-11,18,The Kitty Wells Story,Kitty Wells,-,18,1
1964-01-11,19,Abilene,George Hamilton IV,-,19,1
1964-01-11,20,Cross Country,Webb Pierce,-,20,1
1964-01-18,1,Night Life,Ray Price,3,1,2
1964-01-18,2,Buck Owens Sings Tommy Collins,Buck Owens,2,2,2
1964-01-18,3,On The Bandstand,Buck Owens,4,3,2
1964-01-18,4,Ring Of Fire (The Best Of Johnny Cash),Johnny Cash,1,1,2
1964-01-18,5,Singing What's In Our Heart,George Jones & Melba Montgomery,6,5,2
1964-01-18,6,Return Of The Gunfighter,Marty Robbins,8,6,2
1964-01-18,7,I Love A Song,Stonewall Jackson,7,7,2
1964-01-18,8,The Best Of George Jones,George Jones,5,5,2
1964-01-18,9,Railroad Man,Hank Snow,-,9,1
1964-01-18,10,"""Detroit City"" And Other Hits",Bobby Bare,9,9,2
1964-01-18,11,Faron Young Aims At The West,Faron Young,12,11,2
1964-01-18,12,The Patsy Cline Story,Patsy Cline,-,12,1
1964-01-18,13,The Porter Wagoner Show,Porter Wagoner,14,13,2
1964-01-18,14,"The Tall, Tall Gentleman",Carl Smith,13,13,2
1964-01-18,15,Still,Bill Anderson,10,10,2
1964-01-18,16,Cattle Call,Eddy Arnold,-,16,1
1964-01-18,17,The Kitty Wells Story,Kitty Wells,18,17,2
1964-01-18,18,Loretta Lynn Sings,Loretta Lynn,-,18,1
1964-01-18,19,Greatest Country & Western Hits No. 4,Various Artists,-,19,1
1964-01-18,20,I Wrote A Song...,Don Gibson,-,20,1
1964-01-25,1,Buck Owens Sings Tommy Collins,Buck Owens,2,1,3
1964-01-25,2,Night Life,Ray Price,1,1,3
1964-01-25,3,On The Bandstand,Buck Owens,3,3,3
1964-01-25,4,I Love A Song,Stonewall Jackson,7,4,3
1964-01-25,5,Singing What's In Our Heart,George Jones & Melba Montgomery,5,5,3
1964-01-25,6,Ring Of Fire (The Best Of Johnny Cash),Johnny Cash,4,1,3
1964-01-25,7,The Best Of George Jones,George Jones,8,5,3
1964-01-25,8,Railroad Man,Hank Snow,9,8,2
1964-01-25,9,Return Of The Gunfighter,Marty Robbins,6,6,3
1964-01-25,10,The Kitty Wells Story,Kitty Wells,17,10,3
1964-01-25,11,Loretta Lynn Sings,Loretta Lynn,18,11,2
1964-01-25,12,"The Tall, Tall Gentleman",Carl Smith,14,12,3
1964-01-25,13,Faron Young Aims At The West,Faron Young,11,11,3
1964-01-25,14,I Wrote A Song...,Don Gibson,20,14,2
