Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1958-10-20,1,City Lights,Ray Price,-,1,1
1958-10-20,2,Alone With You,Faron Young,-,2,1
1958-10-20,3,Squaws Along The Yukon,Hank Thompson,-,3,1
1958-10-20,4,Blue Boy,Jim Reeves,-,4,1
1958-10-20,5,You're The Nearest Thing To Heaven,Johnny Cash,-,5,1
1958-10-20,6,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,-,6,1
1958-10-20,7,Bird Dog,The Everly Brothers,-,7,1
1958-10-20,8,Half A Mind,Ernest Tubb,-,8,1
1958-10-20,9,All Grown Up,Johnny Horton,-,9,1
1958-10-20,10,Falling Back To You,Webb Pierce,-,10,1
1958-10-20,11,My Baby's Gone,The Louvin Brothers,-,11,1
1958-10-20,12,Send Me The Pillow You Dream On,Hank Locklin,-,12,1
1958-10-20,13,Tupelo County Jail,Webb Pierce,-,13,1
1958-10-20,14,Give Myself A Party,Don Gibson,-,14,1
1958-10-20,15,That's The Way I Feel,Faron Young,-,15,1
1958-10-20,16,Talk To Me Lonesome Heart,James O'Gwynn,-,16,1
1958-10-20,17,Pick Me Up On Your Way Down,Charlie,-,17,1
1958-10-20,18,Lonely Island Pearl,Johnnie & Jack,-,18,1
1958-10-20,19,What Do I Care,Johnny Cash,-,19,1
1958-10-20,20,Touch And Go Heart,Kitty Wells,-,20,1
1958-10-20,21,The Blues,Ernest Tubb,-,21,1
1958-10-20,22,Hey Sheriff,Rusty & Doug Kershaw,-,22,1
1958-10-20,23,Invitation To The Blues,Ray Price,-,23,1
1958-10-20,24,Would You Care,The Browns,-,24,1
1958-10-20,25,Look Who's Blue,Don Gibson,-,25,1
1958-10-20,26,Blue Blue Day,Don Gibson,-,26,1
1958-10-20,27,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,-,27,1
1958-10-20,28,"Hey, Mr. Bluebird",Ernest Tubb & The Wilburn Brothers,-,28,1
1958-10-20,29,She Was Only Seventeen (He Was One Year More),Marty Robbins,-,29,1
1958-10-20,30,All Over Again,Johnny Cash,-,30,1
1958-10-27,1,City Lights,Ray Price,1,1,2
1958-10-27,2,Alone With You,Faron Young,2,2,2
1958-10-27,3,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,6,3,2
1958-10-27,4,Blue Boy,Jim Reeves,4,4,2
1958-10-27,5,Squaws Along The Yukon,Hank Thompson,3,3,2
1958-10-27,6,Pick Me Up On Your Way Down,Charlie,17,6,2
1958-10-27,7,Tupelo County Jail,Webb Pierce,13,7,2
1958-10-27,8,All Over Again,Johnny Cash,30,8,2
1958-10-27,9,Give Myself A Party,Don Gibson,14,9,2
1958-10-27,10,Half A Mind,Ernest Tubb,8,8,2
1958-10-27,11,All Grown Up,Johnny Horton,9,9,2
1958-10-27,12,What Do I Care,Johnny Cash,19,12,2
1958-10-27,13,Would You Care,The Browns,24,13,2
1958-10-27,14,That's The Way I Feel,Faron Young,15,14,2
1958-10-27,15,You're The Nearest Thing To Heaven,Johnny Cash,5,5,2
1958-10-27,16,Invitation To The Blues,Ray Price,23,16,2
1958-10-27,17,Touch And Go Heart,Kitty Wells,20,17,2
1958-10-27,18,Jealousy,Kitty Wells,-,18,1
1958-10-27,19,Bird Dog,The Everly Brothers,7,7,2
1958-10-27,20,Falling Back To You,Webb Pierce,10,10,2
1958-10-27,21,Look Who's Blue,Don Gibson,25,21,2
1958-10-27,22,I Hate Myself,Faron Young,-,22,1
1958-10-27,23,I Will,Ferlin Husky,-,23,1
1958-10-27,24,Hey Sheriff,Rusty & Doug Kershaw,22,22,2
1958-10-27,25,My Baby's Gone,The Louvin Brothers,11,11,2
1958-10-27,26,Talk To Me Lonesome Heart,James O'Gwynn,16,16,2
1958-10-27,27,Blue Blue Day,Don Gibson,26,26,2
1958-10-27,28,"Hey, Mr. Bluebird",Ernest Tubb & The Wilburn Brothers,28,28,2
1958-10-27,29,Lonely Island Pearl,Johnnie & Jack,18,18,2
1958-10-27,30,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,27,27,2
1958-11-03,1,City Lights,Ray Price,1,1,3
1958-11-03,2,Squaws Along The Yukon,Hank Thompson,5,2,3
1958-11-03,3,Alone With You,Faron Young,2,2,3
1958-11-03,4,All Over Again,Johnny Cash,8,4,3
1958-11-03,5,You're The Nearest Thing To Heaven,Johnny Cash,15,5,3
1958-11-03,6,Pick Me Up On Your Way Down,Charlie,6,6,3
1958-11-03,7,Blue Boy,Jim Reeves,4,4,3
1958-11-03,8,Give Myself A Party,Don Gibson,9,8,3
1958-11-03,9,Country Music Is Here To Stay,Simon Crum,-,9,1
1958-11-03,10,Tupelo County Jail,Webb Pierce,7,7,3
1958-11-03,11,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,3,3,3
1958-11-03,12,Falling Back To You,Webb Pierce,20,10,3
1958-11-03,13,Half A Mind,Ernest Tubb,10,8,3
1958-11-03,14,You're Makin' A Fool Out Of Me,Jimmy Newman,-,14,1
1958-11-03,15,What Do I Care,Johnny Cash,12,12,3
1958-11-03,16,That's The Way I Feel,Faron Young,14,14,3
1958-11-03,17,Look Who's Blue,Don Gibson,21,17,3
1958-11-03,18,Life To Go,Stonewall Jackson,-,18,1
1958-11-03,19,Invitation To The Blues,Ray Price,16,16,3
1958-11-03,20,A Woman Captured Me,Hank Snow,-,20,1
1958-11-03,21,My Baby's Gone,The Louvin Brothers,25,11,3
1958-11-03,22,Bird Dog,The Everly Brothers,19,7,3
1958-11-03,23,Send Me The Pillow You Dream On,Hank Locklin,-,12,2
1958-11-03,24,I Hate Myself,Faron Young,22,22,2
1958-11-03,25,Talk To Me Lonesome Heart,James O'Gwynn,26,16,3
1958-11-03,26,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,30,26,3
1958-11-03,27,Scotland,Bill Monroe,-,27,1
1958-11-03,28,That's What I Tell My Heart,Bob Gallion,-,28,1
1958-11-03,29,A Mansion On The Hill,June Webb,-,29,1
1958-11-03,30,I Can't Stop Lovin' You,Don Gibson,-,30,1
1958-11-10,1,City Lights,Ray Price,1,1,4
1958-11-10,2,Squaws Along The Yukon,Hank Thompson,2,2,4
1958-11-10,3,Alone With You,Faron Young,3,2,4
1958-11-10,4,Pick Me Up On Your Way Down,Charlie,6,4,4
1958-11-10,5,You're The Nearest Thing To Heaven,Johnny Cash,5,5,4
1958-11-10,6,Blue Boy,Jim Reeves,7,4,4
1958-11-10,7,All Over Again,Johnny Cash,4,4,4
1958-11-10,8,Country Music Is Here To Stay,Simon Crum,9,8,2
1958-11-10,9,Half A Mind,Ernest Tubb,13,8,4
1958-11-10,10,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,11,3,4
1958-11-10,11,Tupelo County Jail,Webb Pierce,10,7,4
1958-11-10,12,Give Myself A Party,Don Gibson,8,8,4
1958-11-10,13,That's The Way I Feel,Faron Young,16,13,4
1958-11-10,14,Falling Back To You,Webb Pierce,12,10,4
1958-11-10,15,What Do I Care,Johnny Cash,15,12,4
1958-11-10,16,A Woman Captured Me,Hank Snow,20,16,2
1958-11-10,17,Life To Go,Stonewall Jackson,18,17,2
1958-11-10,18,My Baby's Gone,The Louvin Brothers,21,11,4
1958-11-10,19,Touch And Go Heart,Kitty Wells,-,17,3
1958-11-10,20,You're Makin' A Fool Out Of Me,Jimmy Newman,14,14,2
1958-11-10,21,Billy Bayou,Jim Reeves,-,21,1
1958-11-10,22,Look Who's Blue,Don Gibson,17,17,4
1958-11-10,23,Invitation To The Blues,Ray Price,19,16,4
1958-11-10,24,Bird Dog,The Everly Brothers,22,7,4
1958-11-10,25,Send Me The Pillow You Dream On,Hank Locklin,23,12,3
1958-11-10,26,I Hate Myself,Faron Young,24,22,3
1958-11-10,27,He's Lost His Love For Me,Kitty Wells,-,27,1
1958-11-10,28,Blue Blue Day,Don Gibson,-,26,3
1958-11-10,29,All Grown Up,Johnny Horton,-,9,3
1958-11-10,30,The Violet And A Rose,Mel Tillis,-,30,1
1958-11-17,1,City Lights,Ray Price,1,1,5
1958-11-17,2,Squaws Along The Yukon,Hank Thompson,2,2,5
1958-11-17,3,Alone With You,Faron Young,3,2,5
1958-11-17,4,Pick Me Up On Your Way Down,Charlie,4,4,5
1958-11-17,5,You're The Nearest Thing To Heaven,Johnny Cash,5,5,5
1958-11-17,6,Blue Boy,Jim Reeves,6,4,5
1958-11-17,7,All Over Again,Johnny Cash,7,4,5
1958-11-17,8,Half A Mind,Ernest Tubb,9,8,5
1958-11-17,9,What Do I Care,Johnny Cash,15,9,5
1958-11-17,10,That's The Way I Feel,Faron Young,13,10,5
1958-11-17,11,Country Music Is Here To Stay,Simon Crum,8,8,3
1958-11-17,12,Give Myself A Party,Don Gibson,12,8,5
1958-11-17,13,Billy Bayou,Jim Reeves,21,13,2
1958-11-17,14,My Baby's Gone,The Louvin Brothers,18,11,5
1958-11-17,15,Touch And Go Heart,Kitty Wells,19,15,4
1958-11-17,16,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,10,3,5
1958-11-17,17,Tupelo County Jail,Webb Pierce,11,7,5
1958-11-17,18,Life To Go,Stonewall Jackson,17,17,3
1958-11-17,19,Look Who's Blue,Don Gibson,22,17,5
1958-11-17,20,You're Makin' A Fool Out Of Me,Jimmy Newman,20,14,3
1958-11-17,21,Falling Back To You,Webb Pierce,14,10,5
1958-11-17,22,A Woman Captured Me,Hank Snow,16,16,3
1958-11-17,23,Send Me The Pillow You Dream On,Hank Locklin,25,12,4
1958-11-17,24,I'd Like To Be,Jim Reeves,-,24,1
1958-11-17,25,I Hate Myself,Faron Young,26,22,4
1958-11-17,26,Blue Blue Day,Don Gibson,28,26,4
1958-11-17,27,Treasure Of Love,George Jones,-,27,1
1958-11-17,28,Invitation To The Blues,Ray Price,23,16,5
1958-11-17,29,The Violet And A Rose,Mel Tillis,30,29,2
1958-11-17,30,All Grown Up,Johnny Horton,29,9,4
1958-11-24,1,City Lights,Ray Price,1,1,6
1958-11-24,2,Squaws Along The Yukon,Hank Thompson,2,2,6
1958-11-24,3,Pick Me Up On Your Way Down,Charlie,4,3,6
1958-11-24,4,Alone With You,Faron Young,3,2,6
1958-11-24,5,Give Myself A Party,Don Gibson,12,5,6
1958-11-24,6,You're The Nearest Thing To Heaven,Johnny Cash,5,5,6
1958-11-24,7,What Do I Care,Johnny Cash,9,7,6
1958-11-24,8,Country Music Is Here To Stay,Simon Crum,11,8,4
1958-11-24,9,All Over Again,Johnny Cash,7,4,6
1958-11-24,10,Blue Boy,Jim Reeves,6,4,6
1958-11-24,11,Half A Mind,Ernest Tubb,8,8,6
1958-11-24,12,Billy Bayou,Jim Reeves,13,12,3
1958-11-24,13,Life To Go,Stonewall Jackson,18,13,4
1958-11-24,14,That's The Way I Feel,Faron Young,10,10,6
1958-11-24,15,My Baby's Gone,The Louvin Brothers,14,11,6
1958-11-24,16,Touch And Go Heart,Kitty Wells,15,15,5
1958-11-24,17,You're Makin' A Fool Out Of Me,Jimmy Newman,20,14,4
1958-11-24,18,Tupelo County Jail,Webb Pierce,17,7,6
1958-11-24,19,Look Who's Blue,Don Gibson,19,17,6
1958-11-24,20,Send Me The Pillow You Dream On,Hank Locklin,23,12,5
1958-11-24,21,A Woman Captured Me,Hank Snow,22,16,4
1958-11-24,22,Treasure Of Love,George Jones,27,22,2
1958-11-24,23,Blue Blue Day,Don Gibson,26,23,5
1958-11-24,24,The Ways Of A Woman In Love,Johnny Cash And The Tennessee Two,16,3,6
1958-11-24,25,Cigarettes And Coffee Blues,Lefty Frizzell,-,25,1
1958-11-24,26,Falling Back To You,Webb Pierce,21,10,6
1958-11-24,27,I'd Like To Be,Jim Reeves,24,24,2
1958-11-24,28,Invitation To The Blues,Ray Price,28,16,6
1958-11-24,29,A Mansion On The Hill,June Webb,-,29,2
1958-11-24,30,I Hate Myself,Faron Young,25,22,5
1958-12-01,1,City Lights,Ray Price,1,1,7
1958-12-01,2,Pick Me Up On Your Way Down,Charlie,3,2,7
