Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Behute,Senidah,-,1,1
2022-02-19,2,Roze,"Jala Brat , Devito & Buba Corell",-,2,1
2022-02-19,3,Zivot Si Moj,MC Stojan X Breskvica,-,3,1
2022-02-19,4,Zlatno Dete,COBY,-,4,1
2022-02-19,5,Trebas Li Me,Eni Jurisic & Matija Cvek,-,5,1
2022-02-19,6,Irina Shayk,Buba Corelli,-,6,1
2022-02-19,7,Divljam,"Buba Corelli, Jala Brat & COBY",-,7,1
2022-02-19,8,Debili,30Zona & KUKU$,-,8,1
2022-02-19,9,Ti I Ja,Sasa Matic & Jelena Rozga,-,9,1
2022-02-19,10,Noc,Jala Brat X Hava,-,10,1
2022-02-19,11,Pilula,Jala Brat X Buba Corelli,-,11,1
2022-02-19,12,Ponoc,Zeljko Joksimovic Featuring Aco Povic & Suzana Brankovic,-,12,1
2022-02-19,13,Disko,Ba$ha,-,13,1
2022-02-19,14,Na Jednu Noc,Tea Tairovic,-,14,1
2022-02-19,15,Odakle Sam Ja,COBY,-,15,1
2022-02-19,16,Gluh I Nijem,Buba Corelli,-,16,1
2022-02-19,17,Sikter,Zorana Micanovic,-,17,1
2022-02-19,18,Fila I Air Max,Gazda Paja,-,18,1
2022-02-19,19,Heat Waves,Glass Animals,-,19,1
2022-02-19,20,Black Summer,Red Hot Chili Peppers,-,20,1
2022-02-19,21,Hajde,Tea Tairovic,-,21,1
2022-02-19,22,Sad I Zauvek,Aca Lukas / Dragana Mirkovic,-,22,1
2022-02-19,23,Dostojevski,Jala Brat X Light X Pyrex,-,23,1
2022-02-19,24,Gde Je Ljubav,Andreana Cekic,-,24,1
2022-02-19,25,Highlife,Grse,-,25,1
2022-02-26,1,Behute,Senidah,1,1,2
2022-02-26,2,Roze,"Jala Brat , Devito & Buba Corell",2,2,2
2022-02-26,3,Trebas Li Me,Eni Jurisic & Matija Cvek,5,3,2
2022-02-26,4,Zivot Si Moj,MC Stojan X Breskvica,3,3,2
2022-02-26,5,Zlatno Dete,COBY,4,4,2
2022-02-26,6,Irina Shayk,Buba Corelli,6,6,2
2022-02-26,7,Divljam,"Buba Corelli, Jala Brat & COBY",7,7,2
