Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Se Zmenili,Ektor,-,1,1
2022-02-19,2,Dalsi Rok,Smack,-,2,1
2022-02-19,3,Stiny,Viktor Sheen,-,3,1
2022-02-19,4,Enemy,Imagine Dragons X JID,-,4,1
2022-02-19,5,Heat Waves,Glass Animals,-,5,1
2022-02-19,6,abcdefu,GAYLE,-,6,1
2022-02-19,7,Praha/Viden,Calin,-,7,1
2022-02-19,8,Mam Te V Pici!!,Daniel Safarik,-,8,1
2022-02-19,9,Stay,The Kid Laroi & Justin Bieber,-,9,1
2022-02-19,10,Where Are You Now,Lost Frequencies & Calum Scott,-,10,1
2022-02-19,11,Karantena,"Yzomandias, Karlo, Nik Tendo, Koky, Jickson, Kamil Hoffmann & Hasan",-,11,1
2022-02-19,12,Asgard,"Calin Featuring Ben Cristovao, KOJO & STEIN27",-,12,1
2022-02-19,13,Pepas,Farruko,-,13,1
2022-02-19,14,Bad Habits,Ed Sheeran,-,14,1
2022-02-19,15,Shivers,Ed Sheeran,-,15,1
2022-02-19,16,Hodne Styl,Ektor,-,16,1
2022-02-19,17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,17,1
2022-02-19,18,Jedna Dva,Yzomandias,-,18,1
2022-02-19,19,The Motto,Tiesto & Ava Max,-,19,1
2022-02-19,20,Thats What I Want,Lil Nas X,-,20,1
2022-02-19,21,Industry Baby,Lil Nas X & Jack Harlow,-,21,1
2022-02-19,22,Virtualni Drogy,Viktor Sheen Featuring Calin,-,22,1
2022-02-19,23,Serum,Viktor Sheen,-,23,1
2022-02-19,24,Love Tonight,Shouse,-,24,1
2022-02-19,25,Do It To It,Acraze Featuring Cherish,-,25,1
2022-02-26,1,Dalsi Rok,Smack,2,1,2
2022-02-26,2,Se Zmenili,Ektor,1,1,2
2022-02-26,3,Stiny,Viktor Sheen,3,3,2
2022-02-26,4,Heat Waves,Glass Animals,5,4,2
2022-02-26,5,Enemy,Imagine Dragons X JID,4,4,2
2022-02-26,6,Praha/Viden,Calin,7,6,2
2022-02-26,7,abcdefu,GAYLE,6,6,2
2022-02-26,8,Karantena,"Yzomandias, Karlo, Nik Tendo, Koky, Jickson, Kamil Hoffmann & Hasan",11,8,2
2022-02-26,9,The Motto,Tiesto & Ava Max,19,9,2
2022-02-26,10,Bad Habits,Ed Sheeran,14,10,2
2022-02-26,11,Where Are You Now,Lost Frequencies & Calum Scott,10,10,2
2022-02-26,12,Mam Te V Pici!!,Daniel Safarik,8,8,2
2022-02-26,13,Stay,The Kid Laroi & Justin Bieber,9,9,2
2022-02-26,14,Pepas,Farruko,13,13,2
2022-02-26,15,Shivers,Ed Sheeran,15,15,2
2022-02-26,16,Jedna Dva,Yzomandias,18,16,2
2022-02-26,17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,17,17,2
2022-02-26,18,Thats What I Want,Lil Nas X,20,18,2
2022-02-26,19,Asgard,"Calin Featuring Ben Cristovao, KOJO & STEIN27",12,12,2
2022-02-26,20,Industry Baby,Lil Nas X & Jack Harlow,21,20,2
2022-02-26,21,Love Tonight,Shouse,24,21,2
2022-02-26,22,Virtualni Drogy,Viktor Sheen Featuring Calin,22,22,2
2022-02-26,23,Serum,Viktor Sheen,23,23,2
2022-02-26,24,Do It To It,Acraze Featuring Cherish,25,24,2
2022-02-26,25,Infinity,Jaymes Young,-,25,1
2022-03-05,1,Stiny,Viktor Sheen,3,1,3
2022-03-05,2,Dalsi Rok,Smack,1,1,3
2022-03-05,3,Heat Waves,Glass Animals,4,3,3
2022-03-05,4,Enemy,Imagine Dragons X JID,5,4,3
2022-03-05,5,Se Zmenili,Ektor,2,1,3
2022-03-05,6,Praha/Viden,Calin,6,6,3
2022-03-05,7,Bad Habits,Ed Sheeran,10,7,3
2022-03-05,8,abcdefu,GAYLE,7,6,3
2022-03-05,9,Zasvoe,Separ Featuring Yzomandias,-,9,1
2022-03-05,10,The Motto,Tiesto & Ava Max,9,9,3
2022-03-05,11,Pepas,Farruko,14,11,3
2022-03-05,12,Where Are You Now,Lost Frequencies & Calum Scott,11,10,3
2022-03-05,13,Stay,The Kid Laroi & Justin Bieber,13,9,3
2022-03-05,14,Mam Te V Pici!!,Daniel Safarik,12,8,3
2022-03-05,15,Shivers,Ed Sheeran,15,15,3
2022-03-05,16,Thats What I Want,Lil Nas X,18,16,3
2022-03-05,17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,17,17,3
2022-03-05,18,Jedna Dva,Yzomandias,16,16,3
2022-03-05,19,Love Tonight,Shouse,21,19,3
2022-03-05,20,Industry Baby,Lil Nas X & Jack Harlow,20,20,3
2022-03-05,21,Karantena,"Yzomandias, Karlo, Nik Tendo, Koky, Jickson, Kamil Hoffmann & Hasan",8,8,3
2022-03-05,22,Asgard,"Calin Featuring Ben Cristovao, KOJO & STEIN27",19,12,3
2022-03-05,23,Virtualni Drogy,Viktor Sheen Featuring Calin,22,22,3
2022-03-05,24,Serum,Viktor Sheen,23,23,3
2022-03-05,25,Do It To It,Acraze Featuring Cherish,24,24,3
2022-03-12,1,Heat Waves,Glass Animals,3,1,4
2022-03-12,2,Stiny,Viktor Sheen,1,1,4
2022-03-12,3,Dalsi Rok,Smack,2,1,4
2022-03-12,4,Enemy,Imagine Dragons X JID,4,4,4
2022-03-12,5,Praha/Viden,Calin,6,5,4
2022-03-12,6,TUS,Yzomandias Featuring P T K,-,6,1
2022-03-12,7,KOLESO,Yzomandias,-,7,1
2022-03-12,8,Se Zmenili,Ektor,5,1,4
2022-03-12,9,Karantena,"Yzomandias, Karlo, Nik Tendo, Koky, Jickson, Kamil Hoffmann & Hasan",21,8,4
2022-03-12,10,abcdefu,GAYLE,8,6,4
2022-03-12,11,Bad Habits,Ed Sheeran,7,7,4
2022-03-12,12,Jedna Dva,Yzomandias,18,12,4
2022-03-12,13,300,Yzomandias Featuring Nik Tendo & Hasan,-,13,1
2022-03-12,14,Where Are You Now,Lost Frequencies & Calum Scott,12,10,4
2022-03-12,15,No Problemo,Yzomandias,-,15,1
2022-03-12,16,Pepas,Farruko,11,11,4
2022-03-12,17,The Motto,Tiesto & Ava Max,10,9,4
2022-03-12,18,Stay,The Kid Laroi & Justin Bieber,13,9,4
2022-03-12,19,nedomestikovatelnej,Yzomandias,-,19,1
2022-03-12,20,Heliport,Yzomandias,-,20,1
2022-03-12,21,Shivers,Ed Sheeran,15,15,4
2022-03-12,22,Mam Te V Pici!!,Daniel Safarik,14,8,4
2022-03-12,23,KRYSY,Yzomandias,-,23,1
2022-03-12,24,HND (verze69),Yzomandias Featuring Nik Tendo & Jickson,-,24,1
2022-03-12,25,Another Love,Tom Odell,-,25,1
2022-03-19,1,Heat Waves,Glass Animals,1,1,5
2022-03-19,2,Stiny,Viktor Sheen,2,1,5
2022-03-19,3,Enemy,Imagine Dragons X JID,4,3,5
2022-03-19,4,Dalsi Rok,Smack,3,1,5
2022-03-19,5,Praha/Viden,Calin,5,5,5
2022-03-19,6,abcdefu,GAYLE,10,6,5
2022-03-19,7,Se Zmenili,Ektor,8,1,5
2022-03-19,8,Putin,Cypis,-,8,1
2022-03-19,9,Bad Habits,Ed Sheeran,11,7,5
2022-03-19,10,The Motto,Tiesto & Ava Max,17,9,5
2022-03-19,11,Where Are You Now,Lost Frequencies & Calum Scott,14,10,5
2022-03-19,12,Pepas,Farruko,16,11,5
2022-03-19,13,Stay,The Kid Laroi & Justin Bieber,18,9,5
2022-03-19,14,Shivers,Ed Sheeran,21,14,5
2022-03-19,15,Another Love,Tom Odell,25,15,2
