Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1976-08-28,1,You Should Be Dancing,Bee Gees,-,1,1
1976-08-28,2,The Best Disco In Town,The Ritchie Family,-,2,1
1976-08-28,3,Cherchez La Femme / Sour And Sweet / I'll Play The Fool,Dr. Buzzard's Original Savannah Band,-,3,1
1976-08-28,4,Heaven Must Be Missing An Angel (part 1),Tavares,-,4,1
1976-08-28,5,You + Me = Love,The Undisputed Truth,-,5,1
1976-08-28,6,You'll Never Find Another Love Like Mine,Lou Rawls,-,6,1
1976-08-28,7,Let's Make A Deal/I've Got You Under My Skin/Be Mine,Gloria Gaynor,-,7,1
1976-08-28,8,Everyman (Has To Carry His Own Weight),Double Exposure,-,8,1
1976-08-28,9,Part 3 (all cuts),K.C. & The Sunshine Band,-,9,1
1976-08-28,10,I Don't Wanna Lose Your Love,The Emotions,-,10,1
1976-08-28,11,Young Hearts Run Free / Run To Me / Destiny,Candi Staton,-,11,1
1976-08-28,12,Getaway / Saturday Nite,"Earth, Wind & Fire",-,12,1
1976-08-28,13,Party Line,Andrea True Connection,-,13,1
1976-08-28,14,Let's Get It Together / Fait Le Chat (Do The Cat),El Coco,-,14,1
1976-08-28,15,Knights In White Satin / I Wanna Funk With You Tonight / Oh L'Amour,Giorgio Moroder,-,15,1
1976-08-28,16,Disco Magic,T-Connection,-,16,1
1976-08-28,17,Nice 'N' Naasty / Salsoul 3001 / Don't Beat Around The Bush,The Salsoul Orchestra,-,17,1
1976-08-28,18,Play That Funky Music / I Feel Sanctified,Wild Cherry,-,18,1
1976-08-28,19,Get Up Offa That Thing,James Brown,-,19,1
1976-08-28,20,Always There,Side Effect,-,20,1
1976-08-28,21,My Sweet Summer Suite / Brazilian Love Song,Love Unlimited Orchestra,-,21,1
1976-08-28,22,One For The Money,The Whispers,-,22,1
1976-08-28,23,Lowdown / What Can I Say,Boz Scaggs,-,23,1
1976-08-28,24,Take A Little,Liquid,-,24,1
1976-08-28,25,Makes You Blind,Glitter Band,-,25,1
1976-08-28,26,You've Got The Power,Camouflage,-,26,1
1976-08-28,27,So Much For Love,The Moment Of Truth,-,27,1
1976-08-28,28,Nice And Slow,Jesse Green,-,28,1
1976-08-28,29,"If You Can't Beat 'em, Join 'em",Mark Radice,-,29,1
1976-08-28,30,Full Time Thing (Between Dusk And Dawn),Whirlwind,-,30,1
1976-09-04,1,You Should Be Dancing,Bee Gees,1,1,2
1976-09-04,2,The Best Disco In Town,The Ritchie Family,2,2,2
1976-09-04,3,Cherchez La Femme / Sour And Sweet / I'll Play The Fool,Dr. Buzzard's Original Savannah Band,3,3,2
1976-09-04,4,Heaven Must Be Missing An Angel (part 1),Tavares,4,4,2
1976-09-04,5,You + Me = Love,The Undisputed Truth,5,5,2
1976-09-04,6,I Don't Wanna Lose Your Love,The Emotions,10,6,2
1976-09-04,7,Let's Make A Deal/I've Got You Under My Skin/Be Mine,Gloria Gaynor,7,7,2
1976-09-04,8,Young Hearts Run Free / Run To Me / Destiny,Candi Staton,11,8,2
1976-09-04,9,Nice 'N' Naasty / Salsoul 3001 / Don't Beat Around The Bush,The Salsoul Orchestra,17,9,2
1976-09-04,10,Part 3 (all cuts),K.C. & The Sunshine Band,9,9,2
1976-09-04,11,You'll Never Find Another Love Like Mine,Lou Rawls,6,6,2
1976-09-04,12,Play That Funky Music / I Feel Sanctified,Wild Cherry,18,12,2
1976-09-04,13,My Sweet Summer Suite / Brazilian Love Song,Love Unlimited Orchestra,21,13,2
