Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2025-01-18,1,It's Ok I'm Ok,Tate McRae,-,1,1
2025-01-18,2,Apple,Charli xcx,-,2,1
2025-01-18,3,360,Charli xcx,-,3,1
2025-01-18,4,Guess,Charli xcx Featuring Billie Eilish,-,4,1
2025-01-18,5,Sao Paulo,The Weeknd & Anitta,-,5,1
2025-01-18,6,Sympathy Is A Knife,Charli xcx Featuring Ariana Grande,-,6,1
2025-01-18,7,Sigma Boy,Betsy & Maria Yankovskaya,-,7,1
2025-01-18,8,Two,bbno$,-,8,1
2025-01-18,9,"I'm His, He's Mine",Katy Perry Featuring Doechii,-,9,1
2025-01-18,10,Joyride,Kesha,-,10,1
2025-01-18,11,Now Or Never,Bon Jovi x Pitbull,-,11,1
2025-01-18,12,Alter Ego,Doechii & JT,-,12,1
2025-01-18,13,It Boy,bbno$,-,13,1
2025-01-18,14,Pasaporte,Rauw Alejandro & Mr. Naisgai,-,14,1
2025-01-18,15,Home Sweet Home,G-Dragon Featuring Taeyang & Daesung,-,15,1
2025-01-25,1,It's Ok I'm Ok,Tate McRae,1,1,2
2025-01-25,2,Apple,Charli xcx,2,2,2
2025-01-25,3,Guess,Charli xcx Featuring Billie Eilish,4,3,2
2025-01-25,4,360,Charli xcx,3,3,2
2025-01-25,5,I'll Do It,Heidi Montag,-,5,1
2025-01-25,6,Sao Paulo,The Weeknd & Anitta,5,5,2
2025-01-25,7,Alter Ego,Doechii & JT,12,7,2
2025-01-25,8,Sympathy Is A Knife,Charli xcx Featuring Ariana Grande,6,6,2
2025-01-25,9,Superficial,Heidi Montag,-,9,1
2025-01-25,10,Sigma Boy,Betsy & Maria Yankovskaya,7,7,2
2025-01-25,11,Two,bbno$,8,8,2
2025-01-25,12,Now Or Never,Bon Jovi x Pitbull,11,11,2
2025-01-25,13,Joyride,Kesha,10,10,2
2025-01-25,14,Love For You,LOVELI LORI,-,14,1
2025-01-25,15,"I'm His, He's Mine",Katy Perry Featuring Doechii,9,9,2
2025-02-01,1,It's Ok I'm Ok,Tate McRae,1,1,3
2025-02-01,2,Apple,Charli xcx,2,2,3
