Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1985-02-09,1,Sugar Walls,Sheena Easton,7,1,3
1985-02-09,2,Rain Forest/Sound Chaser,Paul Hardcastle,2,2,4
1985-02-09,3,"Roxanne, Roxanne",UTFO,3,3,4
1985-02-09,5,Loverboy,Billy Ocean,12,5,4
1985-02-09,6,Neutron Dance,The Pointer Sisters,8,6,4
1985-02-09,7,Roxanne's Revenge,Roxanne Shante,14,7,3
1985-02-09,8,The Men All Pause,Klymaxx,9,4,4
1985-02-09,9,Lover Girl,Teena Marie,15,7,4
1985-02-09,10,Yo' Little Brother,Nolan Thomas,11,10,4
1985-02-09,11,Come Inside/Chinese Eyes,Fancy,10,10,4
1985-02-09,13,New Attitude/Axel F,Patti LaBelle,-,13,1
1985-02-09,14,The Roof Is On Fire (Remix),Rock Master Scott And The Dynamic Three,5,5,4
1985-02-09,15,This Is My Night,Chaka Khan,22,15,2
1985-02-09,16,Hang On To Your Love,Sade,6,6,4
1985-02-09,19,You Spin Me Round (Like A Record),Dead or Alive,21,19,4
1985-02-09,20,Smalltown Boy,Bronski Beat,4,4,4
1985-02-09,24,Method Of Modern Love,Daryl Hall John Oates,24,24,2
1985-02-09,26,Lookout Weekend,Debbie Deb,34,26,3
1985-02-09,27,Point Of No Return,Expose,-,27,1
1985-02-09,33,Easy Lover,Philip Bailey With Phil Collins,-,33,1
1985-02-16,1,Sugar Walls,Sheena Easton,1,1,4
1985-02-16,2,New Attitude/Axel F,Patti LaBelle,13,2,2
1985-02-16,3,Easy Lover,Philip Bailey With Phil Collins,33,3,2
1985-02-16,4,"Roxanne, Roxanne",UTFO,3,3,5
1985-02-16,5,Rain Forest/Sound Chaser,Paul Hardcastle,2,2,5
1985-02-16,6,This Is My Night,Chaka Khan,15,6,3
1985-02-16,7,Loverboy,Billy Ocean,5,5,5
1985-02-16,8,The Men All Pause,Klymaxx,8,4,5
1985-02-16,9,Come Inside/Chinese Eyes,Fancy,11,9,5
1985-02-16,12,Neutron Dance,The Pointer Sisters,6,6,5
1985-02-16,13,Hang On To Your Love,Sade,16,6,5
1985-02-16,14,The Real Roxanne,Roxanne With UTFO,-,14,1
1985-02-16,15,Smalltown Boy,Bronski Beat,20,4,5
1985-02-16,16,Yo' Little Brother,Nolan Thomas,10,10,5
1985-02-16,18,The Roof Is On Fire (Remix),Rock Master Scott And The Dynamic Three,14,5,5
1985-02-16,19,Roxanne's Revenge,Roxanne Shante,7,7,4
1985-02-16,20,You Spin Me Round (Like A Record),Dead or Alive,19,19,5
1985-02-16,21,Lover Girl,Teena Marie,9,7,5
1985-02-16,22,Invitation To Dance,Kim Carnes,-,22,1
1985-02-16,24,Borrowed Love (Remix),The S.O.S. Band,-,24,1
1985-02-16,25,Method Of Modern Love,Daryl Hall John Oates,24,24,3
1985-02-16,26,Believe In The Beat,Carol Lynn Townes,-,26,1
1985-02-16,27,Lookout Weekend,Debbie Deb,26,26,4
1985-02-16,28,Take Me To Heaven/Sex,Sylvester,-,28,1
1985-02-16,33,Bad Habits,Jenny Burton,-,33,1
1985-02-16,35,Relax,Frankie Goes To Hollywood,-,35,2
1985-02-16,40,How Soon Is Now?,The Smiths,-,40,1
1985-02-23,1,New Attitude/Axel F,Patti LaBelle,2,1,3
1985-02-23,2,Sugar Walls,Sheena Easton,1,1,5
1985-02-23,3,"Roxanne, Roxanne",UTFO,4,3,6
1985-02-23,4,Easy Lover,Philip Bailey With Phil Collins,3,3,3
1985-02-23,5,The Real Roxanne,Roxanne With UTFO,14,5,2
1985-02-23,6,The Men All Pause,Klymaxx,8,4,6
1985-02-23,7,Come Inside/Chinese Eyes,Fancy,9,7,6
1985-02-23,8,Rain Forest/Sound Chaser,Paul Hardcastle,5,2,6
1985-02-23,9,Yo' Little Brother,Nolan Thomas,16,9,6
1985-02-23,10,The Roof Is On Fire (Remix),Rock Master Scott And The Dynamic Three,18,5,6
1985-02-23,11,Hang On To Your Love,Sade,13,6,6
1985-02-23,12,This Is My Night,Chaka Khan,6,6,4
1985-02-23,13,Invitation To Dance,Kim Carnes,22,13,2
1985-02-23,17,Neutron Dance,The Pointer Sisters,12,6,6
1985-02-23,18,You Spin Me Round (Like A Record),Dead or Alive,20,18,6
1985-02-23,19,Roxanne's Revenge,Roxanne Shante,19,7,5
1985-02-23,20,Smalltown Boy,Bronski Beat,15,4,6
1985-02-23,21,Take Me To Heaven/Sex,Sylvester,28,21,2
1985-02-23,22,Loverboy,Billy Ocean,7,5,6
1985-02-23,23,Borrowed Love (Remix),The S.O.S. Band,24,23,2
1985-02-23,24,Believe In The Beat,Carol Lynn Townes,26,24,2
1985-02-23,26,Lover Girl,Teena Marie,21,7,6
1985-02-23,27,Tonight,Ready For The World,-,27,1
1985-02-23,28,Method Of Modern Love,Daryl Hall John Oates,25,24,4
1985-02-23,30,Bad Habits,Jenny Burton,33,30,2
1985-02-23,31,Relax,Frankie Goes To Hollywood,35,31,3
1985-02-23,33,Misled,Kool & The Gang,-,33,1
1985-02-23,35,You Should Have Known Better,T.C. Curtis,-,35,1
1985-02-23,37,How Soon Is Now?,The Smiths,40,37,2
1985-03-02,1,New Attitude/Axel F,Patti LaBelle,1,1,4
1985-03-02,2,"Roxanne, Roxanne",UTFO,3,2,7
1985-03-02,3,Sugar Walls,Sheena Easton,2,1,6
1985-03-02,4,Easy Lover,Philip Bailey With Phil Collins,4,3,4
1985-03-02,5,The Real Roxanne,Roxanne With UTFO,5,5,3
1985-03-02,6,The Men All Pause,Klymaxx,6,4,7
1985-03-02,7,Roxanne's Revenge,Roxanne Shante,19,7,6
1985-03-02,8,This Is My Night,Chaka Khan,12,6,5
1985-03-02,9,Rain Forest/Sound Chaser,Paul Hardcastle,8,2,7
1985-03-02,10,Yo' Little Brother,Nolan Thomas,9,9,7
1985-03-02,11,Loverboy,Billy Ocean,22,5,7
1985-03-02,12,Come Inside/Chinese Eyes,Fancy,7,7,7
1985-03-02,13,Smalltown Boy,Bronski Beat,20,4,7
1985-03-02,14,Hang On To Your Love,Sade,11,6,7
1985-03-02,15,Lover Girl,Teena Marie,26,7,7
1985-03-02,16,Invitation To Dance,Kim Carnes,13,13,3
1985-03-02,17,Take Me To Heaven/Sex,Sylvester,21,17,3
1985-03-02,18,You Spin Me Round (Like A Record),Dead or Alive,18,18,7
1985-03-02,20,Believe In The Beat,Carol Lynn Townes,24,20,3
1985-03-02,21,Method Of Modern Love,Daryl Hall John Oates,28,21,5
1985-03-02,22,The Roof Is On Fire (Remix),Rock Master Scott And The Dynamic Three,10,5,7
1985-03-02,23,I Want To Know What Love Is,The New Jersey Mass Gospel Choir,-,23,1
1985-03-02,24,Borrowed Love (Remix),The S.O.S. Band,23,23,3
1985-03-02,25,Misled,Kool & The Gang,33,25,2
1985-03-02,26,Neutron Dance,The Pointer Sisters,17,6,7
1985-03-02,28,Material Girl,Madonna,-,28,1
1985-03-02,30,Tonight,Ready For The World,27,27,2
1985-03-02,34,Lookout Weekend,Debbie Deb,-,26,5
1985-03-02,36,Bad Habits,Jenny Burton,30,30,3
1985-03-02,38,Relax,Frankie Goes To Hollywood,31,31,4
1985-03-02,40,'Til My Baby Comes Home,Luther Vandross,-,40,1
1985-03-09,1,New Attitude/Axel F,Patti LaBelle,1,1,5
1985-03-09,2,Material Girl,Madonna,28,2,2
1985-03-09,3,Sugar Walls,Sheena Easton,3,1,7
1985-03-09,4,Easy Lover,Philip Bailey With Phil Collins,4,3,5
1985-03-09,5,The Real Roxanne,Roxanne With UTFO,5,5,4
1985-03-09,6,"Roxanne, Roxanne",UTFO,2,2,8
1985-03-09,7,This Is My Night,Chaka Khan,8,6,6
1985-03-09,8,Take Me To Heaven/Sex,Sylvester,17,8,4
1985-03-09,9,Method Of Modern Love,Daryl Hall John Oates,21,9,6
1985-03-09,10,Borrowed Love (Remix),The S.O.S. Band,24,10,4
1985-03-09,11,Careless Whisper,Wham! Featuring George Michael,-,11,1
