Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2013-04-20,1,Harlem Shake,Baauer,-,1,1
2013-04-20,2,Gangnam Style,PSY,-,2,1
2013-04-20,3,Levitate,Hadouken!,-,3,1
2013-04-20,4,Scream & Shout,will.i.am & Britney Spears,-,4,1
2013-04-20,5,Feel This Moment,Pitbull Featuring Christina Aguilera,-,5,1
2013-04-20,6,Sweet Nothing,Calvin Harris Featuring Florence Welch,-,6,1
2013-04-20,7,I Love It,Icona Pop Featuring Charli xcx,-,7,1
2013-04-20,8,Don't You Worry Child,Swedish House Mafia Featuring John Martin,-,8,1
2013-04-20,9,Alive,Krewella,-,9,1
2013-04-20,10,Scary Monsters And Nice Sprites,Skrillex,-,10,1
2013-04-20,11,Cinema,Benny Benassi Featuring Gary Go,-,11,1
2013-04-20,12,Sexy And I Know It,LMFAO,-,12,1
2013-04-20,13,Sweet Talk,Kito & Reija Lee,-,13,1
2013-04-20,14,Starships,Nicki Minaj,-,14,1
2013-04-20,15,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,-,15,1
2013-04-20,16,Clarity,Zedd Featuring Foxes,-,16,1
2013-04-20,17,We Found Love,Rihanna Featuring Calvin Harris,-,17,1
2013-04-20,18,Bangarang,Skrillex Featuring Sirah,-,18,1
2013-04-20,19,Titanium,David Guetta Featuring Sia,-,19,1
2013-04-20,20,Feel So Close,Calvin Harris,-,20,1
2013-04-20,21,First Of The Year (Equinox),Skrillex,-,21,1
2013-04-20,22,Levels,Avicii,-,22,1
2013-04-20,23,Give Me Everything,"Pitbull Featuring Ne-Yo , Afrojack & Nayer",-,23,1
2013-04-20,24,I Could Be The One,Avicii vs Nicky Romero,-,24,1
2013-04-20,25,Don't Wake Me Up,Chris Brown,-,25,1
2013-04-27,1,Gentleman,PSY,-,1,1
2013-04-27,2,Harlem Shake,Baauer,1,1,2
2013-04-27,3,Gangnam Style,PSY,2,2,2
2013-04-27,4,Levitate,Hadouken!,3,3,2
2013-04-27,5,Scream & Shout,will.i.am & Britney Spears,4,4,2
2013-04-27,6,Feel This Moment,Pitbull Featuring Christina Aguilera,5,5,2
2013-04-27,7,I Love It,Icona Pop Featuring Charli xcx,7,7,2
2013-04-27,8,Sweet Nothing,Calvin Harris Featuring Florence Welch,6,6,2
2013-04-27,9,Alive,Krewella,9,9,2
2013-04-27,10,Don't You Worry Child,Swedish House Mafia Featuring John Martin,8,8,2
2013-04-27,11,Cinema,Benny Benassi Featuring Gary Go,11,11,2
2013-04-27,12,Sexy And I Know It,LMFAO,12,12,2
2013-04-27,13,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,15,13,2
2013-04-27,14,Bangarang,Skrillex Featuring Sirah,18,14,2
2013-04-27,15,Clarity,Zedd Featuring Foxes,16,15,2
2013-04-27,16,Scary Monsters And Nice Sprites,Skrillex,10,10,2
2013-04-27,17,Starships,Nicki Minaj,14,14,2
2013-04-27,18,First Of The Year (Equinox),Skrillex,21,18,2
2013-04-27,19,Feel So Close,Calvin Harris,20,19,2
2013-04-27,20,Titanium,David Guetta Featuring Sia,19,19,2
2013-04-27,21,We Found Love,Rihanna Featuring Calvin Harris,17,17,2
2013-04-27,22,Give Me Everything,"Pitbull Featuring Ne-Yo , Afrojack & Nayer",23,22,2
2013-04-27,23,Levels,Avicii,22,22,2
2013-04-27,24,Ghosts 'N Stuff,Deadmau5 Featuring Rob Swire,-,24,1
2013-04-27,25,I Could Be The One,Avicii vs Nicky Romero,24,24,2
2013-05-04,1,Gentleman,PSY,1,1,2
2013-05-04,2,Gangnam Style,PSY,3,2,3
2013-05-04,3,Harlem Shake,Baauer,2,1,3
2013-05-04,4,Levitate,Hadouken!,4,3,3
2013-05-04,5,Get Lucky,Daft Punk Featuring Pharrell Williams,-,5,1
2013-05-04,6,I Love It,Icona Pop Featuring Charli xcx,7,6,3
2013-05-04,7,Scream & Shout,will.i.am & Britney Spears,5,4,3
2013-05-04,8,Feel This Moment,Pitbull Featuring Christina Aguilera,6,5,3
2013-05-04,9,Sweet Nothing,Calvin Harris Featuring Florence Welch,8,6,3
2013-05-04,10,I Need Your Love,Calvin Harris Featuring Ellie Goulding,-,10,1
2013-05-04,11,Alive,Krewella,9,9,3
2013-05-04,12,Don't You Worry Child,Swedish House Mafia Featuring John Martin,10,8,3
2013-05-04,13,#thatPOWER,will.i.am Featuring Justin Bieber,-,13,1
2013-05-04,14,Cinema,Benny Benassi Featuring Gary Go,11,11,3
2013-05-04,15,Clarity,Zedd Featuring Foxes,15,15,3
2013-05-04,16,Sexy And I Know It,LMFAO,12,12,3
2013-05-04,17,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,13,13,3
2013-05-04,18,Bangarang,Skrillex Featuring Sirah,14,14,3
2013-05-04,19,Starships,Nicki Minaj,17,14,3
2013-05-04,20,Feel So Close,Calvin Harris,19,19,3
2013-05-04,21,Scary Monsters And Nice Sprites,Skrillex,16,10,3
2013-05-04,22,Titanium,David Guetta Featuring Sia,20,19,3
2013-05-04,23,We Found Love,Rihanna Featuring Calvin Harris,21,17,3
2013-05-04,24,First Of The Year (Equinox),Skrillex,18,18,3
2013-05-04,25,Give Me Everything,"Pitbull Featuring Ne-Yo , Afrojack & Nayer",22,22,3
2013-05-11,1,Gangnam Style,PSY,2,1,4
2013-05-11,2,Harlem Shake,Baauer,3,1,4
2013-05-11,3,Gentleman,PSY,1,1,3
2013-05-11,4,Get Lucky,Daft Punk Featuring Pharrell Williams,5,4,2
2013-05-11,5,Levitate,Hadouken!,4,3,4
2013-05-11,6,I Love It,Icona Pop Featuring Charli xcx,6,6,4
2013-05-11,7,Scream & Shout,will.i.am & Britney Spears,7,4,4
2013-05-11,8,#thatPOWER,will.i.am Featuring Justin Bieber,13,8,2
2013-05-11,9,Feel This Moment,Pitbull Featuring Christina Aguilera,8,5,4
2013-05-11,10,Sweet Nothing,Calvin Harris Featuring Florence Welch,9,6,4
2013-05-11,11,Alive,Krewella,11,9,4
2013-05-11,12,Don't You Worry Child,Swedish House Mafia Featuring John Martin,12,8,4
2013-05-11,13,Cinema,Benny Benassi Featuring Gary Go,14,11,4
2013-05-11,14,Clarity,Zedd Featuring Foxes,15,14,4
2013-05-11,15,I Need Your Love,Calvin Harris Featuring Ellie Goulding,10,10,2
2013-05-11,16,Sexy And I Know It,LMFAO,16,12,4
2013-05-11,17,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,17,13,4
2013-05-11,18,Bangarang,Skrillex Featuring Sirah,18,14,4
2013-05-11,19,We Found Love,Rihanna Featuring Calvin Harris,23,17,4
2013-05-11,20,Feel So Close,Calvin Harris,20,19,4
2013-05-11,21,Titanium,David Guetta Featuring Sia,22,19,4
2013-05-11,22,Starships,Nicki Minaj,19,14,4
2013-05-11,23,Scary Monsters And Nice Sprites,Skrillex,21,10,4
2013-05-11,24,First Of The Year (Equinox),Skrillex,24,18,4
2013-05-11,25,Levels,Avicii,-,22,3
2013-05-18,1,Gangnam Style,PSY,1,1,5
2013-05-18,2,Harlem Shake,Baauer,2,1,5
2013-05-18,3,Gentleman,PSY,3,1,4
2013-05-18,4,Get Lucky,Daft Punk Featuring Pharrell Williams,4,4,3
2013-05-18,5,I Love It,Icona Pop Featuring Charli xcx,6,5,5
2013-05-18,6,Levitate,Hadouken!,5,3,5
2013-05-18,7,Scream & Shout,will.i.am & Britney Spears,7,4,5
2013-05-18,8,Feel This Moment,Pitbull Featuring Christina Aguilera,9,5,5
2013-05-18,9,Sexy People (The Fiat Song),Arianna Featuring Pitbull,-,9,1
2013-05-18,10,#thatPOWER,will.i.am Featuring Justin Bieber,8,8,3
2013-05-18,11,Sweet Nothing,Calvin Harris Featuring Florence Welch,10,6,5
2013-05-18,12,Alive,Krewella,11,9,5
2013-05-18,13,Don't You Worry Child,Swedish House Mafia Featuring John Martin,12,8,5
2013-05-18,14,Clarity,Zedd Featuring Foxes,14,14,5
2013-05-18,15,Cinema,Benny Benassi Featuring Gary Go,13,11,5
