Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Half A Man,Dean Lewis,-,1,1
2022-02-19,2,Stor Mand,Tobias Rahim X andreas odbjerg,-,2,1
2022-02-19,3,Kender Ik' I Morgen,Gilli,-,3,1
2022-02-19,4,From Paris To Berlin,"Infernal, Branco X Jimilian",-,4,1
2022-02-19,5,Har Det Fucking Godt,Jimilian,-,5,1
2022-02-19,6,Under Din Sne,The Minds Of 99,-,6,1
2022-02-19,7,Peligrosa,Gilli,-,7,1
2022-02-19,8,Baiana,Gilli,-,8,1
2022-02-19,9,Miami Vicer,Gilli,-,9,1
2022-02-19,10,Shivers,Ed Sheeran,-,10,1
2022-02-19,11,Sus,Gobs X Ricky Rich,-,11,1
2022-02-19,12,Stable,"Carmon, Artigeardit & Lamin",-,12,1
2022-02-19,13,Where Are You Now,Lost Frequencies & Calum Scott,-,13,1
2022-02-19,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,14,1
2022-02-19,15,Easy On Me,Adele,-,15,1
2022-02-19,16,Stay,The Kid Laroi & Justin Bieber,-,16,1
2022-02-19,17,abcdefu,GAYLE,-,17,1
2022-02-19,18,Heat Waves,Glass Animals,-,18,1
2022-02-19,19,Ibiza,"Benny Jamz, Gilli & Kesi Featuring B.O.C.",-,19,1
2022-02-19,20,Bad Habits,Ed Sheeran,-,20,1
2022-02-19,21,The Motto,Tiesto & Ava Max,-,21,1
2022-02-19,22,Fingers Crossed,Lauren Spencer Smith,-,22,1
2022-02-19,23,She's All I Wanna Be,Tate McRae,-,23,1
2022-02-19,24,Enemy,Imagine Dragons X JID,-,24,1
2022-02-19,25,Light Switch,Charlie Puth,-,25,1
2022-02-26,1,Stor Mand,Tobias Rahim X andreas odbjerg,2,1,2
2022-02-26,2,Half A Man,Dean Lewis,1,1,2
2022-02-26,3,Kender Ik' I Morgen,Gilli,3,3,2
2022-02-26,4,Mucki Bar,Tobias Rahim,-,4,1
2022-02-26,5,Hensigt,Artigeardit,-,5,1
2022-02-26,6,Har Det Fucking Godt,Jimilian,5,5,2
2022-02-26,7,From Paris To Berlin,"Infernal, Branco X Jimilian",4,4,2
2022-02-26,8,Under Din Sne,The Minds Of 99,6,6,2
2022-02-26,9,Peligrosa,Gilli,7,7,2
2022-02-26,10,Shivers,Ed Sheeran,10,10,2
2022-02-26,11,Where Are You Now,Lost Frequencies & Calum Scott,13,11,2
2022-02-26,12,Miami Vicer,Gilli,9,9,2
