Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Desesperados,Rauw Alejandro & Chencho Corleone,-,1,1
2022-02-19,2,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",-,2,1
2022-02-19,3,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",-,3,1
2022-02-19,4,Monastery,Ryan Castro X Feid,-,4,1
2022-02-19,5,Yonaguni,Bad Bunny,-,5,1
2022-02-19,6,Jordan,Ryan Castro,-,6,1
2022-02-19,7,Tacones Rojos,Sebastian Yatra,-,7,1
2022-02-19,8,Mujeriego,Ryan Castro,-,8,1
2022-02-19,9,Wasa Wasa,Ryan Castro,-,9,1
2022-02-19,10,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",-,10,1
2022-02-19,11,A Tu Merced,Bad Bunny,-,11,1
2022-02-19,12,Volvi,Aventura x Bad Bunny,-,12,1
2022-02-19,13,Dakiti,Bad Bunny & Jhay Cortez,-,13,1
2022-02-19,14,Volando,"Mora , Bad Bunny & Sech",-,14,1
2022-02-19,15,Mon Amour,zzoilo,-,15,1
2022-02-19,16,12x3,DEKKO,-,16,1
2022-02-19,17,La Santa,Bad Bunny X Daddy Yankee,-,17,1
2022-02-19,18,Sobrio,Maluma,-,18,1
2022-02-19,19,Se Le Ve,"Dimelo Flow , Sech , Lenny Tavarez, Arcangel. De la Ghetto , Justin Quiles & Dalex",-,19,1
2022-02-19,20,AM,Nio Garcia X J Balvin X Bad Bunny,-,20,1
2022-02-19,21,La Cancion,J Balvin & Bad Bunny,-,21,1
2022-02-19,22,Si Estuviesemos Juntos,Bad Bunny,-,22,1
2022-02-19,23,Todo de Ti,Rauw Alejandro,-,23,1
2022-02-19,24,Ella,Boza X Lunay X Lenny Tavarez X Juhn X Beele,-,24,1
2022-02-19,25,Si Veo A Tu Mama,Bad Bunny,-,25,1
2022-02-26,1,MAMIII,Becky G X Karol G,-,1,1
2022-02-26,2,Desesperados,Rauw Alejandro & Chencho Corleone,1,1,2
2022-02-26,3,Jordan,Ryan Castro,6,3,2
2022-02-26,4,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",2,2,2
2022-02-26,5,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",3,3,2
2022-02-26,6,Monastery,Ryan Castro X Feid,4,4,2
2022-02-26,7,Yonaguni,Bad Bunny,5,5,2
2022-02-26,8,Mujeriego,Ryan Castro,8,8,2
2022-02-26,9,Tacones Rojos,Sebastian Yatra,7,7,2
2022-02-26,10,Wasa Wasa,Ryan Castro,9,9,2
2022-02-26,11,A Tu Merced,Bad Bunny,11,11,2
2022-02-26,12,Dakiti,Bad Bunny & Jhay Cortez,13,12,2
2022-02-26,13,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",10,10,2
2022-02-26,14,Volando,"Mora , Bad Bunny & Sech",14,14,2
2022-02-26,15,12x3,DEKKO,16,15,2
2022-02-26,16,Volvi,Aventura x Bad Bunny,12,12,2
2022-02-26,17,Mon Amour,zzoilo,15,15,2
2022-02-26,18,La Santa,Bad Bunny X Daddy Yankee,17,17,2
2022-02-26,19,Sobrio,Maluma,18,18,2
2022-02-26,20,Se Le Ve,"Dimelo Flow , Sech , Lenny Tavarez, Arcangel. De la Ghetto , Justin Quiles & Dalex",19,19,2
2022-02-26,21,AM,Nio Garcia X J Balvin X Bad Bunny,20,20,2
2022-02-26,22,La Cancion,J Balvin & Bad Bunny,21,21,2
2022-02-26,23,Si Estuviesemos Juntos,Bad Bunny,22,22,2
2022-02-26,24,Ella,Boza X Lunay X Lenny Tavarez X Juhn X Beele,24,24,2
2022-02-26,25,Una Vez,Bad Bunny & Mora,-,25,1
2022-03-05,1,MAMIII,Becky G X Karol G,1,1,2
2022-03-05,2,Desesperados,Rauw Alejandro & Chencho Corleone,2,1,3
2022-03-05,3,Jordan,Ryan Castro,3,3,3
2022-03-05,4,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",4,2,3
2022-03-05,5,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",5,3,3
2022-03-05,6,Monastery,Ryan Castro X Feid,6,4,3
2022-03-05,7,Yonaguni,Bad Bunny,7,5,3
2022-03-05,8,Una Noche En Medellin,Cris Mj,-,8,1
2022-03-05,9,Mujeriego,Ryan Castro,8,8,3
2022-03-05,10,A Tu Merced,Bad Bunny,11,10,3
2022-03-05,11,Tacones Rojos,Sebastian Yatra,9,7,3
2022-03-05,12,12x3,DEKKO,15,12,3
2022-03-05,13,Wasa Wasa,Ryan Castro,10,9,3
2022-03-05,14,La Santa,Bad Bunny X Daddy Yankee,18,14,3
2022-03-05,15,Dakiti,Bad Bunny & Jhay Cortez,12,12,3
2022-03-05,16,Volvi,Aventura x Bad Bunny,16,12,3
2022-03-05,17,Volando,"Mora , Bad Bunny & Sech",14,14,3
2022-03-05,18,La Zona,Bad Bunny,-,18,1
2022-03-05,19,Mon Amour,zzoilo,17,15,3
2022-03-05,20,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",13,10,3
2022-03-05,21,Sobrio,Maluma,19,18,3
2022-03-05,22,Se Le Ve,"Dimelo Flow , Sech , Lenny Tavarez, Arcangel. De la Ghetto , Justin Quiles & Dalex",20,19,3
2022-03-05,23,Una Vez,Bad Bunny & Mora,25,23,2
2022-03-05,24,AM,Nio Garcia X J Balvin X Bad Bunny,21,20,3
2022-03-05,25,Ya No Somos Ni Seremos,Christian Nodal,-,25,1
2022-03-12,1,MAMIII,Becky G X Karol G,1,1,3
2022-03-12,2,Desesperados,Rauw Alejandro & Chencho Corleone,2,1,4
2022-03-12,3,Jordan,Ryan Castro,3,3,4
2022-03-12,4,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",4,2,4
2022-03-12,5,Monastery,Ryan Castro X Feid,6,4,4
2022-03-12,6,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",5,3,4
2022-03-12,7,Yonaguni,Bad Bunny,7,5,4
2022-03-12,8,Una Noche En Medellin,Cris Mj,8,8,2
2022-03-12,9,Mujeriego,Ryan Castro,9,8,4
2022-03-12,10,A Tu Merced,Bad Bunny,10,10,4
2022-03-12,11,Wasa Wasa,Ryan Castro,13,9,4
2022-03-12,12,12x3,DEKKO,12,12,4
2022-03-12,13,Dakiti,Bad Bunny & Jhay Cortez,15,12,4
2022-03-12,14,Tacones Rojos,Sebastian Yatra,11,7,4
2022-03-12,15,Volvi,Aventura x Bad Bunny,16,12,4
2022-03-12,16,Sobrio,Maluma,21,16,4
2022-03-12,17,Volando,"Mora , Bad Bunny & Sech",17,14,4
2022-03-12,18,La Santa,Bad Bunny X Daddy Yankee,14,14,4
2022-03-12,19,Mon Amour,zzoilo,19,15,4
2022-03-12,20,La Zona,Bad Bunny,18,18,2
2022-03-12,21,Se Le Ve,"Dimelo Flow , Sech , Lenny Tavarez, Arcangel. De la Ghetto , Justin Quiles & Dalex",22,19,4
2022-03-12,22,Pepas,Farruko,-,22,1
2022-03-12,23,AM,Nio Garcia X J Balvin X Bad Bunny,24,20,4
2022-03-12,24,2/Catorce,Rauw Alejandro X Mr. Naisgai,-,24,1
2022-03-12,25,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",20,10,4
2022-03-19,1,MAMIII,Becky G X Karol G,1,1,4
2022-03-19,2,Jordan,Ryan Castro,3,2,5
2022-03-19,3,Desesperados,Rauw Alejandro & Chencho Corleone,2,1,5
2022-03-19,4,"Bzrp Music Sessions, Vol. 49",Bizarrap & Residente,-,4,1
2022-03-19,5,Envolver,Anitta,-,5,1
2022-03-19,6,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",4,2,5
2022-03-19,7,Una Noche En Medellin,Cris Mj,8,7,3
2022-03-19,8,Monastery,Ryan Castro X Feid,5,4,5
2022-03-19,9,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",6,3,5
2022-03-19,10,Yonaguni,Bad Bunny,7,5,5
2022-03-19,11,Mujeriego,Ryan Castro,9,8,5
2022-03-19,12,A Tu Merced,Bad Bunny,10,10,5
2022-03-19,13,12x3,DEKKO,12,12,5
2022-03-19,14,Wasa Wasa,Ryan Castro,11,9,5
2022-03-19,15,Tacones Rojos,Sebastian Yatra,14,7,5
2022-03-19,16,Dakiti,Bad Bunny & Jhay Cortez,13,12,5
2022-03-19,17,Volvi,Aventura x Bad Bunny,15,12,5
2022-03-19,18,Volando,"Mora , Bad Bunny & Sech",17,14,5
2022-03-19,19,La Santa,Bad Bunny X Daddy Yankee,18,14,5
2022-03-19,20,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",25,10,5
2022-03-19,21,Cayo La Noche,"Quevedo, El Ima, Cruz Cafune , Bejo, La Pantera, Juseph & Abhir Hathi",-,21,1
2022-03-19,22,Sobrio,Maluma,16,16,5
2022-03-19,23,Mon Amour,zzoilo,19,15,5
2022-03-19,24,2/Catorce,Rauw Alejandro X Mr. Naisgai,24,24,2
2022-03-19,25,La Zona,Bad Bunny,20,18,3
2022-03-26,1,MAMIII,Becky G X Karol G,1,1,5
2022-03-26,2,Jordan,Ryan Castro,2,2,6
2022-03-26,3,Envolver,Anitta,5,3,2
2022-03-26,4,Desesperados,Rauw Alejandro & Chencho Corleone,3,1,6
2022-03-26,5,Una Noche En Medellin,Cris Mj,7,5,4
2022-03-26,6,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",6,2,6
2022-03-26,7,Monastery,Ryan Castro X Feid,8,4,6
2022-03-26,8,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",9,3,6
2022-03-26,9,Yonaguni,Bad Bunny,10,5,6
2022-03-26,10,Mujeriego,Ryan Castro,11,8,6
2022-03-26,11,A Tu Merced,Bad Bunny,12,10,6
2022-03-26,12,"Bzrp Music Sessions, Vol. 49",Bizarrap & Residente,4,4,2
2022-03-26,13,Wasa Wasa,Ryan Castro,14,9,6
2022-03-26,14,12x3,DEKKO,13,12,6
2022-03-26,15,La Santa,Bad Bunny X Daddy Yankee,19,14,6
2022-03-26,16,Volvi,Aventura x Bad Bunny,17,12,6
2022-03-26,17,Tacones Rojos,Sebastian Yatra,15,7,6
2022-03-26,18,Dakiti,Bad Bunny & Jhay Cortez,16,12,6
2022-03-26,19,Volando,"Mora , Bad Bunny & Sech",18,14,6
2022-03-26,20,Cayo La Noche,"Quevedo, El Ima, Cruz Cafune , Bejo, La Pantera, Juseph & Abhir Hathi",21,20,2
2022-03-26,21,Sobrio,Maluma,22,16,6
2022-03-26,22,2/Catorce,Rauw Alejandro X Mr. Naisgai,24,22,3
2022-03-26,23,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",20,10,6
2022-03-26,24,Quien TV,Blessd,-,24,1
2022-03-26,25,Una Vez,Bad Bunny & Mora,-,23,3
2022-04-02,1,MAMIII,Becky G X Karol G,1,1,6
2022-04-02,2,Jordan,Ryan Castro,2,2,7
2022-04-02,3,Envolver,Anitta,3,3,3
2022-04-02,4,Desesperados,Rauw Alejandro & Chencho Corleone,4,1,7
2022-04-02,5,Una Noche En Medellin,Cris Mj,5,5,5
2022-04-02,6,Pantysito,"Alejo, Feid & ROBI",-,6,1
2022-04-02,7,Plan A,Paulo Londra,-,7,1
2022-04-02,8,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",6,2,7
2022-04-02,9,Monastery,Ryan Castro X Feid,7,4,7
2022-04-02,10,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",8,3,7
2022-04-02,11,Mujeriego,Ryan Castro,10,8,7
2022-04-02,12,Yonaguni,Bad Bunny,9,5,7
2022-04-02,13,A Tu Merced,Bad Bunny,11,10,7
2022-04-02,14,Wasa Wasa,Ryan Castro,13,9,7
2022-04-02,15,12x3,DEKKO,14,12,7
2022-04-02,16,Tacones Rojos,Sebastian Yatra,17,7,7
2022-04-02,17,La Santa,Bad Bunny X Daddy Yankee,15,14,7
2022-04-02,18,Quien TV,Blessd,24,18,2
2022-04-02,19,Volando,"Mora , Bad Bunny & Sech",19,14,7
2022-04-02,20,Volvi,Aventura x Bad Bunny,16,12,7
2022-04-02,21,Cayo La Noche,"Quevedo, El Ima, Cruz Cafune , Bejo, La Pantera, Juseph & Abhir Hathi",20,20,3
2022-04-02,22,Dakiti,Bad Bunny & Jhay Cortez,18,12,7
2022-04-02,23,Entre Nosotros,"Tiago PZK, LIT killa, Nicki Nicole & Maria Becerra",23,10,7
2022-04-02,24,Fuera del Mercado,Danny Ocean,-,24,1
2022-04-02,25,2/Catorce,Rauw Alejandro X Mr. Naisgai,22,22,4
2022-04-09,1,Plan A,Paulo Londra,7,1,2
2022-04-09,2,Jordan,Ryan Castro,2,2,8
2022-04-09,3,MAMIII,Becky G X Karol G,1,1,7
2022-04-09,4,Envolver,Anitta,3,3,4
2022-04-09,5,Una Noche En Medellin,Cris Mj,5,5,6
2022-04-09,6,Rumbaton,Daddy Yankee,-,6,1
2022-04-09,7,Desesperados,Rauw Alejandro & Chencho Corleone,4,1,8
2022-04-09,8,X Ultima Vez,Daddy Yankee & Bad Bunny,-,8,1
2022-04-09,9,Medallo,"Blessd , Justin Quiles & Lenny Tavarez",8,2,8
2022-04-09,10,Monastery,Ryan Castro X Feid,9,4,8
2022-04-09,11,Pantysito,"Alejo, Feid & ROBI",6,6,2
2022-04-09,12,Fuera del Mercado,Danny Ocean,24,12,2
