Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2017-09-02,1,Portugal. The Man,Portugal. The Man,-,1,1
2017-09-02,2,Midland,Midland,-,2,1
2017-09-02,3,Lindsay Ell,Lindsay Ell,-,3,1
2017-09-02,4,A Boogie Wit da Hoodie,A Boogie wit da Hoodie,-,4,1
2017-09-02,5,Swae Lee,Swae Lee,-,5,1
2017-09-02,6,Dylan Scott,Dylan Scott,-,6,1
2017-09-02,7,Louis Tomlinson,Louis Tomlinson,-,7,1
2017-09-02,8,dodie,Dodie,-,8,1
2017-09-02,9,Tee Grizzley,Tee Grizzley,-,9,1
2017-09-02,10,YFN Lucci,Yfn Lucci,-,10,1
2017-09-02,11,The Revivalists,The Revivalists,-,11,1
2017-09-02,12,Carly Pearce,Carly Pearce,-,12,1
2017-09-02,13,Dua Lipa,Dua Lipa,-,13,1
2017-09-02,14,PnB Rock,PnB Rock,-,14,1
2017-09-02,15,Jacquees,Jacquees,-,15,1
2017-09-02,16,Tay-K,Unknown,-,16,1
2017-09-02,17,Emily Saliers,Emily Saliers,-,17,1
2017-09-02,18,GoldLink,GoldLink,-,18,1
2017-09-02,19,Lil Pump,Lil Pump,-,19,1
2017-09-02,20,Chris Lane,Chris Lane,-,20,1
2017-09-02,21,6LACK,6LACK,-,21,1
2017-09-02,22,Bad Bunny,Bad Bunny,-,22,1
2017-09-02,23,LANCO,LANco,-,23,1
2017-09-02,24,Rita Ora,Rita Ora,-,24,1
2017-09-02,25,David Rawlings,David Rawlings,-,25,1
2017-09-02,26,Judah & The Lion,Unknown,-,26,1
2017-09-02,27,Jake Paul,Jake Paul,-,27,1
2017-09-02,28,Zendaya,Zendaya,-,28,1
2017-09-02,29,Auli'i Cravalho,Unknown,-,29,1
2017-09-02,30,China Anne McClain,China Anne McClain,-,30,1
2017-09-02,31,DeJ Loaf,Unknown,-,31,1
2017-09-02,32,Sofia Carson,Sofia Carson,-,32,1
2017-09-02,33,Lauren Jauregui,Lauren Jauregui,-,33,1
2017-09-02,34,XXXTENTACION,XXXTENTACION,-,34,1
2017-09-02,35,MAX,Unknown,-,35,1
2017-09-02,36,AJR,AJR,-,36,1
2017-09-02,37,Alan Walker,Alan Walker,-,37,1
2017-09-02,38,Rag'n'Bone Man,Rag'n'Bone Man,-,38,1
2017-09-02,39,Sabrina Carpenter,Sabrina Carpenter,-,39,1
2017-09-02,40,Grant Maloy Smith,Grant Maloy Smith,-,40,1
2017-09-02,41,Nacho,Nacho,-,41,1
2017-09-02,42,Walker Hayes,Walker Hayes,-,42,1
2017-09-02,43,RiceGum,Ricegum,-,43,1
2017-09-02,44,The Doubleclicks,Unknown,-,44,1
2017-09-02,45,Christian Nodal,Christian Nodal,-,45,1
2017-09-02,46,Greta Van Fleet,Greta Van Fleet,-,46,1
2017-09-02,47,Lucas Hoge,Unknown,-,47,1
2017-09-02,48,Annie LeBlanc,Unknown,-,48,1
2017-09-02,49,BloodPop,Bloodpop,-,49,1
2017-09-02,50,KSI,KSI,-,50,1
2017-09-09,1,Midland,Midland,2,1,2
2017-09-09,2,Louis Tomlinson,Louis Tomlinson,7,2,2
2017-09-09,3,A Boogie Wit da Hoodie,A Boogie wit da Hoodie,4,3,2
2017-09-09,4,Swae Lee,Swae Lee,5,4,2
2017-09-09,5,Phora,Phora,-,5,1
2017-09-09,6,The Revivalists,The Revivalists,11,6,2
2017-09-09,7,Dua Lipa,Dua Lipa,13,7,2
2017-09-09,8,Dylan Scott,Dylan Scott,6,6,2
2017-09-09,9,Thy Art Is Murder,Unknown,-,9,1
2017-09-09,10,Tee Grizzley,Tee Grizzley,9,9,2
2017-09-09,11,Carly Pearce,Carly Pearce,12,11,2
2017-09-09,12,Lucas Hoge,Unknown,47,12,2
2017-09-09,13,Jacquees,Jacquees,15,13,2
2017-09-09,14,YFN Lucci,Yfn Lucci,10,10,2
2017-09-09,15,Tay-K,Unknown,16,15,2
2017-09-09,16,GoldLink,GoldLink,18,16,2
2017-09-09,17,LANCO,LANco,23,17,2
2017-09-09,18,PnB Rock,PnB Rock,14,14,2
2017-09-09,19,Lil Pump,Lil Pump,19,19,2
2017-09-09,20,Mozzy,Mozzy,-,20,1
2017-09-09,21,XXXTENTACION,XXXTENTACION,34,21,2
2017-09-09,22,Chris Lane,Chris Lane,20,20,2
2017-09-09,23,Bad Bunny,Bad Bunny,22,22,2
2017-09-09,24,DeJ Loaf,Unknown,31,24,2
2017-09-09,25,6LACK,6LACK,21,21,2
2017-09-09,26,Ray Wylie Hubbard,Ray Wylie Hubbard,-,26,1
2017-09-09,27,Auli'i Cravalho,Unknown,29,27,2
2017-09-09,28,Nacho,Nacho,41,28,2
2017-09-09,29,Judah & The Lion,Unknown,26,26,2
2017-09-09,30,Rita Ora,Rita Ora,24,24,2
2017-09-09,31,Alan Walker,Alan Walker,37,31,2
2017-09-09,32,MAX,Unknown,35,32,2
2017-09-09,33,Jake Paul,Jake Paul,27,27,2
2017-09-09,34,China Anne McClain,China Anne McClain,30,30,2
2017-09-09,35,Lauren Jauregui,Lauren Jauregui,33,33,2
2017-09-09,36,Sabrina Carpenter,Sabrina Carpenter,39,36,2
2017-09-09,37,RiceGum,Ricegum,43,37,2
2017-09-09,38,AJR,AJR,36,36,2
2017-09-09,39,Walker Hayes,Walker Hayes,42,39,2
2017-09-09,40,Greta Van Fleet,Greta Van Fleet,46,40,2
2017-09-09,41,Offset,Offset,-,41,1
2017-09-09,42,Sofia Carson,Sofia Carson,32,32,2
2017-09-09,43,Lali,Lali,-,43,1
2017-09-09,44,Zendaya,Zendaya,28,28,2
2017-09-09,45,Christian Nodal,Christian Nodal,45,45,2
2017-09-09,46,Tauren Wells,Tauren Wells,-,46,1
2017-09-09,47,Grant Maloy Smith,Grant Maloy Smith,40,40,2
2017-09-09,48,Russell Dickerson,Russell Dickerson,-,48,1
2017-09-09,49,Danny Ocean,Danny Ocean,-,49,1
2017-09-09,50,Why Don't We,Why Don't We,-,50,1
2017-09-16,1,PVRIS,Pvris,-,1,1
2017-09-16,2,Dua Lipa,Dua Lipa,7,2,3
2017-09-16,3,Christian Nodal,Christian Nodal,45,3,3
2017-09-16,4,Midland,Midland,1,1,3
2017-09-16,5,Swae Lee,Swae Lee,4,4,3
2017-09-16,6,A Boogie Wit da Hoodie,A Boogie wit da Hoodie,3,3,3
2017-09-16,7,Turnover,Turnover,-,7,1
2017-09-16,8,The Revivalists,The Revivalists,6,6,3
2017-09-16,9,Dylan Scott,Dylan Scott,8,6,3
2017-09-16,10,Louis Tomlinson,Louis Tomlinson,2,2,3
2017-09-16,11,Carly Pearce,Carly Pearce,11,11,3
2017-09-16,12,Tee Grizzley,Tee Grizzley,10,9,3
2017-09-16,13,Jacquees,Jacquees,13,13,3
2017-09-16,14,LANCO,LANco,17,14,3
2017-09-16,15,GoldLink,GoldLink,16,15,3
2017-09-16,16,The Cadillac Three,The Cadillac Three,-,16,1
2017-09-16,17,YFN Lucci,Yfn Lucci,14,10,3
2017-09-16,18,PnB Rock,PnB Rock,18,14,3
2017-09-16,19,Chris Lane,Chris Lane,22,19,3
2017-09-16,20,Lil Pump,Lil Pump,19,19,3
2017-09-16,21,Tay-K,Unknown,15,15,3
2017-09-16,22,DeJ Loaf,Unknown,24,22,3
2017-09-16,23,Bad Bunny,Bad Bunny,23,22,3
2017-09-16,24,Judah & The Lion,Unknown,29,24,3
2017-09-16,25,Lauren Jauregui,Lauren Jauregui,35,25,3
2017-09-16,26,Lukas Nelson,Unknown,-,26,1
2017-09-16,27,Nacho,Nacho,28,27,3
2017-09-16,28,MAX,Unknown,32,28,3
2017-09-16,29,Why Don't We,Why Don't We,50,29,2
2017-09-16,30,BrockHampton,BROCKHAMPTON,-,30,1
2017-09-16,31,Rita Ora,Rita Ora,30,24,3
2017-09-16,32,6LACK,6LACK,25,21,3
2017-09-16,33,Auli'i Cravalho,Unknown,27,27,3
2017-09-16,34,Sabrina Carpenter,Sabrina Carpenter,36,34,3
2017-09-16,35,In Real Life,Unknown,-,35,1
2017-09-16,36,Walker Hayes,Walker Hayes,39,36,3
2017-09-16,37,China Anne McClain,China Anne McClain,34,30,3
2017-09-16,38,Greta Van Fleet,Greta Van Fleet,40,38,3
2017-09-16,39,Alan Walker,Alan Walker,31,31,3
2017-09-16,40,Gogol Bordello,Gogol Bordello,-,40,1
2017-09-16,41,Trippie Redd,Trippie Redd,-,41,1
2017-09-16,42,Call Of All,Unknown,-,42,1
2017-09-16,43,AJR,AJR,38,36,3
