Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Ram Pam Pam,BESS,-,1,1
2022-02-19,2,Nukkuvat Aamut,Lauri Tahka,-,2,1
2022-02-19,3,Pohjola,Olli Halonen,-,3,1
2022-02-19,4,Levottomat Tuulet,Adi L Hasla Featuring costee,-,4,1
2022-02-19,5,Infinity,Jaymes Young,-,5,1
2022-02-19,6,abcdefu,GAYLE,-,6,1
2022-02-19,7,Sun Numero,YOUNGHEARTED,-,7,1
2022-02-19,8,Samma Gamla Vanliga,"Averagekidluke, IBE, Cledos & A36",-,8,1
2022-02-19,9,Vamos,JVG,-,9,1
2022-02-19,10,Enemy,Imagine Dragons X JID,-,10,1
2022-02-19,11,The Motto,Tiesto & Ava Max,-,11,1
2022-02-19,12,Moth To A Flame,Swedish House Mafia & The Weeknd,-,12,1
2022-02-19,13,Shivers,Ed Sheeran,-,13,1
2022-02-19,14,Heat Waves,Glass Animals,-,14,1
2022-02-19,15,Mania,Jannika B,-,15,1
2022-02-19,16,Softcore,The Neighbourhood,-,16,1
2022-02-19,17,Vauhti Kiihtyy,Portion Boys & Matti ja Teppo,-,17,1
2022-02-19,18,Hyva Me,Gettomasa,-,18,1
2022-02-19,19,Edamame,bbno$ Featuring Rich Brian,-,19,1
2022-02-19,20,Limbo,Nelli Matula,-,20,1
2022-02-19,21,Mika-Mika-Maa,Aste Featuring EME,-,21,1
2022-02-19,22,Stay,The Kid Laroi & Justin Bieber,-,22,1
2022-02-19,23,Where Are You Now,Lost Frequencies & Calum Scott,-,23,1
2022-02-19,24,Oo Viela Sekunnin Mun,Kuumaa,-,24,1
2022-02-19,25,Thats What I Want,Lil Nas X,-,25,1
2022-02-26,1,Ethan Tarkoittanut Sita,BEHM,-,1,1
2022-02-26,2,Ram Pam Pam,BESS,1,1,2
2022-02-26,3,Pohjola,Olli Halonen,3,3,2
2022-02-26,4,Nukkuvat Aamut,Lauri Tahka,2,2,2
2022-02-26,5,Levottomat Tuulet,Adi L Hasla Featuring costee,4,4,2
2022-02-26,6,Sa,Samu Haber,-,6,1
2022-02-26,7,The Motto,Tiesto & Ava Max,11,7,2
2022-02-26,8,Samma Gamla Vanliga,"Averagekidluke, IBE, Cledos & A36",8,8,2
2022-02-26,9,Infinity,Jaymes Young,5,5,2
2022-02-26,10,Enemy,Imagine Dragons X JID,10,10,2
2022-02-26,11,abcdefu,GAYLE,6,6,2
2022-02-26,12,Sun Numero,YOUNGHEARTED,7,7,2
2022-02-26,13,Vamos,JVG,9,9,2
2022-02-26,14,Shivers,Ed Sheeran,13,13,2
2022-02-26,15,Heat Waves,Glass Animals,14,14,2
2022-02-26,16,Softcore,The Neighbourhood,16,16,2
2022-02-26,17,Vauhti Kiihtyy,Portion Boys & Matti ja Teppo,17,17,2
2022-02-26,18,Moth To A Flame,Swedish House Mafia & The Weeknd,12,12,2
2022-02-26,19,Mania,Jannika B,15,15,2
2022-02-26,20,Edamame,bbno$ Featuring Rich Brian,19,19,2
2022-02-26,21,The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,-,21,1
2022-02-26,22,Mika-Mika-Maa,Aste Featuring EME,21,21,2
2022-02-26,23,Boyfriend,Dove Cameron,-,23,1
2022-02-26,24,Oo Viela Sekunnin Mun,Kuumaa,24,24,2
2022-02-26,25,Where Are You Now,Lost Frequencies & Calum Scott,23,23,2
2022-03-05,1,Ram Pam Pam,BESS,2,1,3
2022-03-05,2,Ethan Tarkoittanut Sita,BEHM,1,1,2
2022-03-05,3,Pohjola,Olli Halonen,3,3,3
2022-03-05,4,Nukkuvat Aamut,Lauri Tahka,4,2,3
2022-03-05,5,Bad Habits,Ed Sheeran,-,5,1
2022-03-05,6,Uu Mama,Vesala,-,6,1
2022-03-05,7,Infinity,Jaymes Young,9,5,3
2022-03-05,8,Levottomat Tuulet,Adi L Hasla Featuring costee,5,4,3
2022-03-05,9,Samma Gamla Vanliga,"Averagekidluke, IBE, Cledos & A36",8,8,3
2022-03-05,10,Enemy,Imagine Dragons X JID,10,10,3
2022-03-05,11,The Motto,Tiesto & Ava Max,7,7,3
2022-03-05,12,Vamos,JVG,13,9,3
2022-03-05,13,Vegasissa Naimisiin,ANI Featuring Nelli Matula,-,13,1
2022-03-05,14,abcdefu,GAYLE,11,6,3
2022-03-05,15,Sa,Samu Haber,6,6,2
2022-03-05,16,Sun Numero,YOUNGHEARTED,12,7,3
2022-03-05,17,Shivers,Ed Sheeran,14,13,3
2022-03-05,18,Vauhti Kiihtyy,Portion Boys & Matti ja Teppo,17,17,3
2022-03-05,19,Heat Waves,Glass Animals,15,14,3
2022-03-05,20,Softcore,The Neighbourhood,16,16,3
2022-03-05,21,Edamame,bbno$ Featuring Rich Brian,20,19,3
