Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Jefe,Ninho,-,1,1
2022-02-19,2,Peon,Vald,-,2,1
2022-02-19,3,Annunaki,Vald,-,3,1
2022-02-19,4,VVS,Ninho,-,4,1
2022-02-19,5,Best Life,Naps Featuring Gims,-,5,1
2022-02-19,6,abcdefu,GAYLE,-,6,1
2022-02-19,7,Pandemie,Vald,-,7,1
2022-02-19,8,Maudit,Vald Featuring Hamza,-,8,1
2022-02-19,9,La Faux Le Fer,Vald,-,9,1
2022-02-19,10,Papoose,Vald,-,10,1
2022-02-19,11,Jour Meilleur,Orelsan,-,11,1
2022-02-19,12,Sur Un Nouvel Album,Vald,-,12,1
2022-02-19,13,Demons,Angele,-,13,1
2022-02-19,14,Love Nwantiti (Ah Ah Ah),CKay,-,14,1
2022-02-19,15,Enemy,Imagine Dragons X JID,-,15,1
2022-02-19,16,L'enfer,Stromae,-,16,1
2022-02-19,17,Un Mot,Vald,-,17,1
2022-02-19,18,Doudou,Koba LaD & Naps,-,18,1
2022-02-19,19,Regarde Toi,Vald,-,19,1
2022-02-19,20,Rappeur Conscient,Vald,-,20,1
2022-02-19,21,La Kiffance,Naps,-,21,1
2022-02-19,22,Je Ressens Rien,Vald,-,22,1
2022-02-19,23,Shivers,Ed Sheeran,-,23,1
2022-02-19,24,Happy End,Vald Featuring Suikon Blaz AD,-,24,1
2022-02-19,25,Laisse Tomber,Vald,-,25,1
2022-02-26,1,Jefe,Ninho,1,1,2
2022-02-26,2,Best Life,Naps Featuring Gims,5,2,2
2022-02-26,3,VVS,Ninho,4,3,2
2022-02-26,4,Filtre,Timal X Gazo,-,4,1
2022-02-26,5,abcdefu,GAYLE,6,5,2
2022-02-26,6,Demons,Angele,13,6,2
2022-02-26,7,Enemy,Imagine Dragons X JID,15,7,2
2022-02-26,8,Jour Meilleur,Orelsan,11,8,2
2022-02-26,9,Doudou,Koba LaD & Naps,18,9,2
2022-02-26,10,Love Nwantiti (Ah Ah Ah),CKay,14,10,2
2022-02-26,11,L'enfer,Stromae,16,11,2
2022-02-26,12,Annunaki,Vald,3,3,2
2022-02-26,13,La Kiffance,Naps,21,13,2
2022-02-26,14,Shivers,Ed Sheeran,23,14,2
2022-02-26,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,15,1
2022-02-26,16,Peon,Vald,2,2,2
2022-02-26,17,La Fama,ROSALIA Featuring The Weeknd,-,17,1
2022-02-26,18,Pepas,Farruko,-,18,1
2022-02-26,19,Infinity,Jaymes Young,-,19,1
2022-02-26,20,Thunder,Gabry Ponte X LUM!X X Prezioso,-,20,1
2022-02-26,21,Where Are You Now,Lost Frequencies & Calum Scott,-,21,1
2022-02-26,22,Heat Waves,Glass Animals,-,22,1
2022-02-26,23,D O D O,Tayc,-,23,1
2022-02-26,24,La Quete,Orelsan,-,24,1
2022-02-26,25,TBD,OBOY,-,25,1
2022-03-05,1,Jefe,Ninho,1,1,3
2022-03-05,2,Filtre,Timal X Gazo,4,2,2
2022-03-05,3,Best Life,Naps Featuring Gims,2,2,3
2022-03-05,4,VVS,Ninho,3,3,3
2022-03-05,5,Enemy,Imagine Dragons X JID,7,5,3
2022-03-05,6,abcdefu,GAYLE,5,5,3
2022-03-05,7,Demons,Angele,6,6,3
2022-03-05,8,Doudou,Koba LaD & Naps,9,8,3
2022-03-05,9,Jour Meilleur,Orelsan,8,8,3
2022-03-05,10,La Kiffance,Naps,13,10,3
2022-03-05,11,Love Nwantiti (Ah Ah Ah),CKay,10,10,3
2022-03-05,12,L'enfer,Stromae,11,11,3
2022-03-05,13,La Fama,ROSALIA Featuring The Weeknd,17,13,2
2022-03-05,14,Shivers,Ed Sheeran,14,14,3
2022-03-05,15,Annunaki,Vald,12,3,3
2022-03-05,16,Infinity,Jaymes Young,19,16,2
2022-03-05,17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,15,15,2
2022-03-05,18,Thunder,Gabry Ponte X LUM!X X Prezioso,20,18,2
2022-03-05,19,Pepas,Farruko,18,18,2
2022-03-05,20,D O D O,Tayc,23,20,2
2022-03-05,21,La Quete,Orelsan,24,21,2
2022-03-05,22,Attentat,PLK Featuring OBOY,-,22,1
2022-03-05,23,Emiliana,CKay,-,23,1
