Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,abcdefu,GAYLE,-,1,1
2022-02-19,2,Heat Waves,Glass Animals,-,2,1
2022-02-19,3,Kopf Aus,1986zig,-,3,1
2022-02-19,4,Shivers,Ed Sheeran,-,4,1
2022-02-19,5,Enemy,Imagine Dragons X JID,-,5,1
2022-02-19,6,Mit Dir,Sido,-,6,1
2022-02-19,7,Where Are You Now,Lost Frequencies & Calum Scott,-,7,1
2022-02-19,8,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,8,1
2022-02-19,9,Down Under,Luude Featuring Colin Hay,-,9,1
2022-02-19,10,Stay,The Kid Laroi & Justin Bieber,-,10,1
2022-02-19,11,Do It To It,Acraze Featuring Cherish,-,11,1
2022-02-19,12,10von10,Pajel,-,12,1
2022-02-19,13,Thats What I Want,Lil Nas X,-,13,1
2022-02-19,14,Bad Habits,Ed Sheeran,-,14,1
2022-02-19,15,Pepas,Farruko,-,15,1
2022-02-19,16,The Motto,Tiesto & Ava Max,-,16,1
2022-02-19,17,Infinity,Jaymes Young,-,17,1
2022-02-19,18,Auf & Ab,Montez,-,18,1
2022-02-19,19,Vorbei,Pietro Lombardi,-,19,1
2022-02-19,20,Quit,"Capital Bra, Mvna & Art",-,20,1
2022-02-19,21,Acapulco,Jason Derulo,-,21,1
2022-02-19,22,Love Tonight,Shouse,-,22,1
2022-02-19,23,Wellerman,Nathan Evans,-,23,1
2022-02-19,24,To The Moon!,JNR CHOI & Sam Tompkins,-,24,1
2022-02-19,25,Easy On Me,Adele,-,25,1
2022-02-26,1,abcdefu,GAYLE,1,1,2
2022-02-26,2,Heat Waves,Glass Animals,2,2,2
2022-02-26,3,Kopf Aus,1986zig,3,3,2
2022-02-26,4,Enemy,Imagine Dragons X JID,5,4,2
2022-02-26,5,Shivers,Ed Sheeran,4,4,2
2022-02-26,6,Onlyfans,Katja Krasavice,-,6,1
2022-02-26,7,Where Are You Now,Lost Frequencies & Calum Scott,7,7,2
2022-02-26,8,Cold Heart (PNAU Remix),Elton John & Dua Lipa,8,8,2
2022-02-26,9,Down Under,Luude Featuring Colin Hay,9,9,2
2022-02-26,10,Thats What I Want,Lil Nas X,13,10,2
2022-02-26,11,The Motto,Tiesto & Ava Max,16,11,2
2022-02-26,12,Stay,The Kid Laroi & Justin Bieber,10,10,2
2022-02-26,13,Do It To It,Acraze Featuring Cherish,11,11,2
2022-02-26,14,Mit Dir,Sido,6,6,2
2022-02-26,15,10von10,Pajel,12,12,2
2022-02-26,16,Wenn Du Mich Vermisst,FOURTY & Mathea,-,16,1
2022-02-26,17,Bad Habits,Ed Sheeran,14,14,2
2022-02-26,18,Infinity,Jaymes Young,17,17,2
2022-02-26,19,Pepas,Farruko,15,15,2
2022-02-26,20,Auf & Ab,Montez,18,18,2
2022-02-26,21,Weg Von Mir,CIVO,-,21,1
2022-02-26,22,Acapulco,Jason Derulo,21,21,2
2022-02-26,23,Wellerman,Nathan Evans,23,23,2
