Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2020-09-19,1,WAP,Cardi B Featuring Megan Thee Stallion,-,1,1
2020-09-19,2,Dynamite,BTS,-,2,1
2020-09-19,3,Mood,24kGoldn Featuring iann dior,-,3,1
2020-09-19,4,Hawai,Maluma,-,4,1
2020-09-19,5,Laugh Now Cry Later,Drake Featuring Lil Durk,-,5,1
2020-09-19,6,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,-,6,1
2020-09-19,7,Blinding Lights,The Weeknd,-,7,1
2020-09-19,8,Ice Cream,BLACKPINK X Selena Gomez,-,8,1
2020-09-19,9,Rockstar,DaBaby Featuring Roddy Ricch,-,9,1
2020-09-19,10,Watermelon Sugar,Harry Styles,-,10,1
2020-09-19,11,Popstar,DJ Khaled Featuring Drake,-,11,1
2020-09-19,12,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,-,12,1
2020-09-19,13,Relacion,"Sech , Daddy Yankee & J Balvin Featuring Rosalia & Farruko",-,13,1
2020-09-19,14,Roses,Saint Jhn,-,14,1
2020-09-19,15,Mood Swings,Pop Smoke Featuring Lil Tjay,-,15,1
2020-09-19,16,Caramelo,Ozuna x Karol G x Myke Towers,-,16,1
2020-09-19,17,Whats Poppin,"Jack Harlow Featuring DaBaby , Tory Lanez & Lil Wayne",-,17,1
2020-09-19,18,Dance Monkey,Tones And I,-,18,1
2020-09-19,19,Head & Heart,Joel Corry X MNEK,-,19,1
2020-09-19,20,Heather,Conan Gray,-,20,1
2020-09-19,21,Breaking Me,Topic & A7S,-,21,1
2020-09-19,22,Rain On Me,Lady Gaga & Ariana Grande,-,22,1
2020-09-19,23,Midnight Sky,Miley Cyrus,-,23,1
2020-09-19,24,Lemonade,Internet Money & Gunna Featuring Don Toliver & Nav,-,24,1
2020-09-19,25,"Ay, Dios Mio!",Karol G,-,25,1
2020-09-19,26,Go Crazy,Chris Brown & Young Thug,-,26,1
2020-09-19,27,Come & Go,Juice WRLD x Marshmello,-,27,1
2020-09-19,28,Tattoo,Rauw Alejandro x Camilo,-,28,1
2020-09-19,29,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,-,29,1
2020-09-19,30,You Broke Me First.,Tate McRae,-,30,1
2020-09-19,31,Un Dia (One Day),"J Balvin , Dua Lipa , Bad Bunny & Tainy",-,31,1
2020-09-19,32,Someone You Loved,Lewis Capaldi,-,32,1
2020-09-19,33,How You Like That,BLACKPINK,-,33,1
2020-09-19,34,Before You Go,Lewis Capaldi,-,34,1
2020-09-19,35,Kings & Queens,Ava Max,-,35,1
2020-09-19,36,Hit Different,SZA Featuring Ty Dolla $ign,-,36,1
2020-09-19,37,Don't Start Now,Dua Lipa,-,37,1
2020-09-19,38,Greece,DJ Khaled Featuring Drake,-,38,1
2020-09-19,39,Life Is Good,Future Featuring Drake,-,39,1
2020-09-19,40,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,-,40,1
2020-09-19,41,La Curiosidad,DJ Nelson Presenta Jay Wheeler & Myke Towers,-,41,1
2020-09-19,42,Tap In,Saweetie,-,42,1
2020-09-19,43,Death Bed,Powfu Featuring beabadoobee,-,43,1
2020-09-19,44,Take You Dancing,Jason Derulo,-,44,1
2020-09-19,45,Jerusalema,Master KG Featuring Burna Boy & Nomcebo Zikode,-,45,1
2020-09-19,46,Agua,Tainy x J Balvin,-,46,1
2020-09-19,47,Break My Heart,Dua Lipa,-,47,1
2020-09-19,48,Wishing Well,Juice WRLD,-,48,1
2020-09-19,49,Smile,Juice WRLD & The Weeknd,-,49,1
2020-09-19,50,Say So,Doja Cat,-,50,1
2020-09-19,51,Circles,Post Malone,-,51,1
2020-09-19,52,Savage,Megan Thee Stallion Featuring Beyonce,-,52,1
2020-09-19,53,Be Like That,Kane Brown With Swae Lee & Khalid,-,53,1
2020-09-19,54,My Ex's Best Friend,Machine Gun Kelly X Blackbear,-,54,1
2020-09-19,55,Bad Guy,Billie Eilish,-,55,1
2020-09-19,56,ily,Surf Mesa Featuring Emilee,-,56,1
2020-09-19,57,Djadja,Aya Nakamura Featuring Maluma,-,57,1
2020-09-19,58,Baby Shark,Pinkfong,-,58,1
2020-09-19,59,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,-,59,1
2020-09-19,60,Stuck With U,Ariana Grande & Justin Bieber,-,60,1
2020-09-19,61,Perfect,Ed Sheeran,-,61,1
2020-09-19,62,Blueberry Faygo,Lil Mosey,-,62,1
2020-09-19,63,Rags2Riches,Rod Wave Featuring ATR Son Son,-,63,1
2020-09-19,64,Lithuania,Big Sean Featuring Travis Scott,-,64,1
2020-09-19,65,Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",-,65,1
2020-09-19,66,Dior,Pop Smoke,-,66,1
2020-09-19,67,Over Now,Calvin Harris X The Weeknd,-,67,1
2020-09-19,68,Wolves,Big Sean Featuring Post Malone,-,68,1
2020-09-19,69,Party Girl,StaySolidRocky,-,69,1
2020-09-19,70,The Box,Roddy Ricch,-,70,1
2020-09-19,71,Adore You,Harry Styles,-,71,1
2020-09-19,72,Senorita,Shawn Mendes & Camila Cabello,-,72,1
2020-09-19,73,Toosie Slide,Drake,-,73,1
2020-09-19,74,Memories,Maroon 5,-,74,1
2020-09-19,75,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,-,75,1
2020-09-19,76,Intentions,Justin Bieber Featuring Quavo,-,76,1
2020-09-19,77,Cardigan,Taylor Swift,-,77,1
2020-09-19,78,I Hope,Gabby Barrett,-,78,1
2020-09-19,79,Porfa,"Feid , J Balvin , Maluma , Nicky Jam , Sech & Justin Quiles",-,79,1
2020-09-19,80,Yoru Ni Kakeru,YOASOBI,-,80,1
2020-09-19,81,Shallow,Lady Gaga & Bradley Cooper,-,81,1
2020-09-19,82,Believer,Imagine Dragons,-,82,1
2020-09-19,83,In Your Eyes,The Weeknd,-,83,1
2020-09-19,84,Be Kind,Marshmello & Halsey,-,84,1
2020-09-19,85,Still Don't Know My Name,Labrinth,-,85,1
2020-09-19,86,Shape Of You,Ed Sheeran,-,86,1
2020-09-19,87,Ride It.,Regard,-,87,1
2020-09-19,88,Mi Cuarto,Jerry Di,-,88,1
2020-09-19,89,Lets Link,WhoHeem,-,89,1
2020-09-19,90,24,Money Man Featuring Lil Baby,-,90,1
2020-09-19,91,Highest In The Room,Travis Scott,-,91,1
2020-09-19,92,Tutu,6ix9ine,-,92,1
2020-09-19,93,We Paid,Lil Baby & 42 Dugg,-,93,1
2020-09-19,94,Falling,Trevor Daniel,-,94,1
2020-09-19,95,My Future,Billie Eilish,-,95,1
2020-09-19,96,Sicko Mode,Travis Scott,-,96,1
2020-09-19,97,Electric Love,BORNS,-,97,1
2020-09-19,98,Elegi,Lenny Tavarez X Rauw Alejandro X Dalex X Dimelo Flow,-,98,1
2020-09-19,99,The Voice,Lil Durk,-,99,1
2020-09-19,100,Mamichula,"Trueno & Nicki Nicole Featuring Taiu, Bizarrap & Tatool",-,100,1
2020-09-19,101,Del Mar,"Ozuna , Doja Cat & Sia",-,101,1
2020-09-19,102,Sunday Best,Surfaces,-,102,1
2020-09-19,103,Lovely,Billie Eilish & Khalid,-,103,1
2020-09-19,104,If The World Was Ending,JP Saxe Featuring Julia Michaels,-,104,1
2020-09-19,105,Lucid Dreams,Juice WRLD,-,105,1
2020-09-19,106,I Don't Care,Ed Sheeran & Justin Bieber,-,106,1
2020-09-19,107,Got It On Me,Pop Smoke,-,107,1
2020-09-19,108,Goosebumps,Travis Scott,-,108,1
2020-09-19,109,Tusa,Karol G & Nicki Minaj,-,109,1
2020-09-19,110,Kanden,Kenshi Yonezu,-,110,1
2020-09-19,111,Gooba,6ix9ine,-,111,1
2020-09-19,112,7 Summers,Morgan Wallen,-,112,1
2020-09-19,113,No Guidance,Chris Brown Featuring Drake,-,113,1
2020-09-19,114,The 1,Taylor Swift,-,114,1
2020-09-19,115,Bande Organisee,"Jul, SCH, Naps, Kofs, Elams, Solda, Houari & Soso Maness",-,115,1
2020-09-19,116,Everything I Wanted,Billie Eilish,-,116,1
2020-09-19,117,Physical,Dua Lipa,-,117,1
2020-09-19,118,Martin & Gina,Polo G,-,118,1
2020-09-19,119,Nobody's Love,Maroon 5,-,119,1
2020-09-19,120,Deep Reverence,Big Sean Featuring Nipsey Hussle,-,120,1
2020-09-19,121,Ayer Me Llamo Mi Ex,KHEA x Natti Natashi x Prince Royce Featuring Lenny Santos,-,121,1
2020-09-19,122,Secrets,Regard & RAYE,-,122,1
2020-09-19,123,Robbery,Juice WRLD,-,123,1
2020-09-19,124,Not Shy,iTZY,-,124,1
2020-09-19,125,Stunnin,Curtis Waters Featuring Harm Franklin,-,125,1
2020-09-19,126,TKN,ROSALIA & Travis Scott,-,126,1
2020-09-19,127,Supalonely,BENEE Featuring Gus Dapperton,-,127,1
2020-09-19,128,Hello,Pop Smoke Featuring A Boogie wit da Hoodie,-,128,1
2020-09-19,129,Girls In The Hood,Megan Thee Stallion,-,129,1
2020-09-19,130,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,-,130,1
2020-09-19,131,Bohemian Rhapsody,Queen,-,131,1
2020-09-19,132,Oh Juliana,Niack,-,132,1
2020-09-19,133,Exile,Taylor Swift Featuring Bon Iver,-,133,1
2020-09-19,134,Gunjou,YOASOBI,-,134,1
2020-09-19,135,Do It,Chloe X Halle,-,135,1
2020-09-19,136,Mad At Disney,Salem Ilese,-,136,1
2020-09-19,137,Naked Heart,aimyon,-,137,1
2020-09-19,138,Girls Like You,Maroon 5 Featuring Cardi B,-,138,1
2020-09-19,139,The Bones,Maren Morris,-,139,1
2020-09-19,140,One Of Them Girls,Lee Brice,-,140,1
2020-09-19,141,Closer,The Chainsmokers Featuring Halsey,-,141,1
2020-09-19,142,Godzilla,Eminem Featuring Juice WRLD,-,142,1
2020-09-19,143,All Of Me,John Legend,-,143,1
2020-09-19,144,Some Say,NEA,-,144,1
2020-09-19,145,Lean,"Super Yei Featuring Towy X Osquel X Beltito, Saammy & Falsetto",-,145,1
2020-09-19,146,Chicago Freestyle,Drake Featuring Giveon,-,146,1
2020-09-19,147,Roxanne,Arizona Zervas,-,147,1
2020-09-19,148,Why Would I Stop?,Big Sean,-,148,1
2020-09-19,149,Fuckst Mich Nur Ab,Bonez MC,-,149,1
2020-09-19,150,Don't Stop Believin',Journey,-,150,1
2020-09-19,151,Without Me,Halsey,-,151,1
2020-09-19,152,Dollaz On My Head,Gunna Featuring Young Thug,-,152,1
2020-09-19,153,Yo Perreo Sola,Bad Bunny,-,153,1
2020-09-19,154,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,-,154,1
2020-09-19,155,Blastoff,Internet Money Featuring Juice WRLD & Trippie Redd,-,155,1
2020-09-19,156,Rockstar,Post Malone Featuring 21 Savage,-,156,1
2020-09-19,157,Dream Girl,Ir-Sais x Rauw Alejandro,-,157,1
2020-09-19,158,Say You Won't Let Go,James Arthur,-,158,1
2020-09-19,159,Sigues Con El,Arcangel x Sech,-,159,1
2020-09-19,160,Body Language,Big Sean Featuring Ty Dolla $ign & Jhene Aiko,-,160,1
2020-09-19,161,7 Rings,Ariana Grande,-,161,1
2020-09-19,162,Die From A Broken Heart,Maddie & Tae,-,162,1
2020-09-19,163,Falling,Harry Styles,-,163,1
2020-09-19,164,Happier,Marshmello & Bastille,-,164,1
2020-09-19,165,ADMV,Maluma,-,165,1
2020-09-19,166,Azul,J Balvin,-,166,1
2020-09-19,167,Chasin' You,Morgan Wallen,-,167,1
2020-09-19,168,Despeinada,Ozuna x Camilo,-,168,1
2020-09-19,169,Parce,Maluma Featuring Lenny Tavarez & Justin Quiles,-,169,1
2020-09-19,170,Hotel California,Eagles,-,170,1
2020-09-19,171,What You Know Bout Love,Pop Smoke,-,171,1
2020-09-19,172,Something Just Like This,The Chainsmokers & Coldplay,-,172,1
2020-09-19,173,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,-,173,1
2020-09-19,174,Tick Tock,Clean Bandit & Mabel Featuring 24kGoldn,-,174,1
2020-09-19,175,Thunder,Imagine Dragons,-,175,1
2020-09-19,176,Hot Girl Bummer,Blackbear,-,176,1
2020-09-19,177,Lose Somebody,Kygo & OneRepublic,-,177,1
2020-09-19,178,Ocean Eyes,Billie Eilish,-,178,1
2020-09-19,179,Harder Than My Demons,Big Sean,-,179,1
2020-09-19,180,Said Sum,Moneybagg Yo,-,180,1
2020-09-19,181,Thinking Out Loud,Ed Sheeran,-,181,1
2020-09-19,182,Something Special,Pop Smoke,-,182,1
2020-09-19,183,The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",-,183,1
2020-09-19,184,More Than My Hometown,Morgan Wallen,-,184,1
2020-09-19,185,Money Trees,Kendrick Lamar Featuring Jay Rock,-,185,1
2020-09-19,186,Kousui,Eito,-,186,1
2020-09-19,187,Like That,Doja Cat Featuring Gucci Mane,-,187,1
2020-09-19,188,Sweet Child O' Mine,Guns N' Roses,-,188,1
2020-09-19,189,Got What I Got,Jason Aldean,-,189,1
2020-09-19,190,You Got It,VEDO,-,190,1
2020-09-19,191,Let Her Go,Passenger,-,191,1
2020-09-19,192,Make You Happy,NiziU,-,192,1
2020-09-19,193,Tennessee Whiskey,Chris Stapleton,-,193,1
2020-09-19,194,Boy With Luv,BTS Featuring Halsey,-,194,1
2020-09-19,195,July,Noah Cyrus & Leon Bridges,-,195,1
2020-09-19,196,Beautiful People,Ed Sheeran Featuring Khalid,-,196,1
2020-09-19,197,I'm Yours,Jason Mraz,-,197,1
2020-09-19,198,Boss Bitch,Doja Cat,-,198,1
2020-09-19,199,High Hopes,Panic! At The Disco,-,199,1
2020-09-19,200,Favorito,Camilo,-,200,1
2020-09-26,1,WAP,Cardi B Featuring Megan Thee Stallion,1,1,2
2020-09-26,2,Dynamite,BTS,2,2,2
2020-09-26,3,Mood,24kGoldn Featuring iann dior,3,3,2
2020-09-26,4,Hawai,Maluma,4,4,2
2020-09-26,5,Laugh Now Cry Later,Drake Featuring Lil Durk,5,5,2
2020-09-26,6,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,6,6,2
2020-09-26,7,Blinding Lights,The Weeknd,7,7,2
2020-09-26,8,Rockstar,DaBaby Featuring Roddy Ricch,9,8,2
2020-09-26,9,Watermelon Sugar,Harry Styles,10,9,2
2020-09-26,10,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,12,10,2
2020-09-26,11,Lemonade,Internet Money & Gunna Featuring Don Toliver & Nav,24,11,2
2020-09-26,12,Popstar,DJ Khaled Featuring Drake,11,11,2
2020-09-26,13,Ice Cream,BLACKPINK X Selena Gomez,8,8,2
2020-09-26,14,Relacion,"Sech , Daddy Yankee & J Balvin Featuring Rosalia & Farruko",13,13,2
2020-09-26,15,Roses,Saint Jhn,14,14,2
2020-09-26,16,Mood Swings,Pop Smoke Featuring Lil Tjay,15,15,2
2020-09-26,17,Caramelo,Ozuna x Karol G x Myke Towers,16,16,2
2020-09-26,18,Head & Heart,Joel Corry X MNEK,19,18,2
2020-09-26,19,Whats Poppin,"Jack Harlow Featuring DaBaby , Tory Lanez & Lil Wayne",17,17,2
2020-09-26,20,Dance Monkey,Tones And I,18,18,2
2020-09-26,21,Breaking Me,Topic & A7S,21,21,2
2020-09-26,22,You Broke Me First.,Tate McRae,30,22,2
2020-09-26,23,Heather,Conan Gray,20,20,2
2020-09-26,24,Midnight Sky,Miley Cyrus,23,23,2
2020-09-26,25,Rain On Me,Lady Gaga & Ariana Grande,22,22,2
2020-09-26,26,Come & Go,Juice WRLD x Marshmello,27,26,2
2020-09-26,27,"Ay, Dios Mio!",Karol G,25,25,2
2020-09-26,28,Go Crazy,Chris Brown & Young Thug,26,26,2
2020-09-26,29,Someone You Loved,Lewis Capaldi,32,29,2
