Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2020-09-19,1,Hawai,Maluma,-,1,1
2020-09-19,2,Dynamite,BTS,-,2,1
2020-09-19,3,WAP,Cardi B Featuring Megan Thee Stallion,-,3,1
2020-09-19,4,Mood,24kGoldn Featuring iann dior,-,4,1
2020-09-19,5,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,-,5,1
2020-09-19,6,Ice Cream,BLACKPINK X Selena Gomez,-,6,1
2020-09-19,7,Blinding Lights,The Weeknd,-,7,1
2020-09-19,8,Relacion,"Sech , Daddy Yankee & J Balvin Featuring Rosalia & Farruko",-,8,1
2020-09-19,9,Watermelon Sugar,Harry Styles,-,9,1
2020-09-19,10,Caramelo,Ozuna x Karol G x Myke Towers,-,10,1
2020-09-19,11,Head & Heart,Joel Corry X MNEK,-,11,1
2020-09-19,12,Rockstar,DaBaby Featuring Roddy Ricch,-,12,1
2020-09-19,13,Roses,Saint Jhn,-,13,1
2020-09-19,14,Dance Monkey,Tones And I,-,14,1
2020-09-19,15,Popstar,DJ Khaled Featuring Drake,-,15,1
2020-09-19,16,Laugh Now Cry Later,Drake Featuring Lil Durk,-,16,1
2020-09-19,17,Breaking Me,Topic & A7S,-,17,1
2020-09-19,18,Tattoo,Rauw Alejandro x Camilo,-,18,1
2020-09-19,19,"Ay, Dios Mio!",Karol G,-,19,1
2020-09-19,20,How You Like That,BLACKPINK,-,20,1
2020-09-19,21,Rain On Me,Lady Gaga & Ariana Grande,-,21,1
2020-09-19,22,Jerusalema,Master KG Featuring Burna Boy & Nomcebo Zikode,-,22,1
2020-09-19,23,La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,-,23,1
2020-09-19,24,Mood Swings,Pop Smoke Featuring Lil Tjay,-,24,1
2020-09-19,25,La Curiosidad,DJ Nelson Presenta Jay Wheeler & Myke Towers,-,25,1
2020-09-19,26,Midnight Sky,Miley Cyrus,-,26,1
2020-09-19,27,Un Dia (One Day),"J Balvin , Dua Lipa , Bad Bunny & Tainy",-,27,1
2020-09-19,28,For The Night,Pop Smoke Featuring Lil Baby & DaBaby,-,28,1
2020-09-19,29,Heather,Conan Gray,-,29,1
2020-09-19,30,Agua,Tainy x J Balvin,-,30,1
