Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1983-11-26,1,Rough Side Of The Mountain,Rev. F.C. Barnes & Rev. Janice Brown,-,1,1
1983-11-26,2,Jesus I Love Calling Your Name,Shirley Caesar,-,2,1
1983-11-26,3,Feel The Spirit,The Williams Brothers,-,3,1
1983-11-26,4,I'll Rise Again,Al Green,-,4,1
1983-11-26,5,We Sing Praises,Sandra Crouch And Friends,-,5,1
1983-11-26,6,Determined,Tramaine Hawkins,-,6,1
1983-11-26,7,Peace Be Still,Vanessa Bell Armstrong,-,7,1
1983-11-26,11,I Feel Like Going On,Keith Pringle,-,11,1
1983-11-26,12,Long Time Coming,The Winans,-,12,1
1983-11-26,20,Changed,Donald Watkins With The Gospel Music Educators Seminar Mass Choir,-,20,1
1983-11-26,21,Words Can't Express,Nicholas,-,21,1
1983-11-26,22,This Too Will Pass,James Cleveland And The Charles Fold Choir,-,22,1
1983-11-26,25,He Gave Us All He Had,The Sunset Jubilaires,-,25,1
1983-11-26,29,"Lord, You Keep On Proving Yourself To Me",Florida Mass Choir,-,29,1
1983-11-26,35,The Gospel Music Workshop Of America Mass Choir,The Gospel Music Workshop Of America,-,35,1
1983-12-24,1,Rough Side Of The Mountain,Rev. F.C. Barnes & Rev. Janice Brown,1,1,2
1983-12-24,2,Jesus I Love Calling Your Name,Shirley Caesar,2,2,2
1983-12-24,3,Feel The Spirit,The Williams Brothers,3,3,2
1983-12-24,4,I'll Rise Again,Al Green,4,4,2
1983-12-24,5,We Sing Praises,Sandra Crouch And Friends,5,5,2
1983-12-24,6,Determined,Tramaine Hawkins,6,6,2
1983-12-24,7,Peace Be Still,Vanessa Bell Armstrong,7,7,2
1983-12-24,11,I Feel Like Going On,Keith Pringle,11,11,2
1983-12-24,12,Long Time Coming,The Winans,12,12,2
1983-12-24,20,Changed,Donald Watkins With The Gospel Music Educators Seminar Mass Choir,20,20,2
1983-12-24,21,Words Can't Express,Nicholas,21,21,2
1983-12-24,22,This Too Will Pass,James Cleveland And The Charles Fold Choir,22,22,2
1983-12-24,25,He Gave Us All He Had,The Sunset Jubilaires,25,25,2
1983-12-24,29,"Lord, You Keep On Proving Yourself To Me",Florida Mass Choir,29,29,2
1983-12-24,35,The Gospel Music Workshop Of America Mass Choir,The Gospel Music Workshop Of America,35,35,2
1984-01-21,1,Rough Side Of The Mountain,Rev. F.C. Barnes & Rev. Janice Brown,1,1,3
1984-01-21,2,Jesus I Love Calling Your Name,Shirley Caesar,2,2,3
1984-01-21,3,We Sing Praises,Sandra Crouch And Friends,5,3,3
1984-01-21,4,I'll Rise Again,Al Green,4,4,3
1984-01-21,5,Peace Be Still,Vanessa Bell Armstrong,7,5,3
1984-01-21,6,Determined,Tramaine Hawkins,6,6,3
1984-01-21,7,This Too Will Pass,James Cleveland And The Charles Fold Choir,22,7,3
1984-01-21,8,Long Time Coming,The Winans,12,8,3
1984-01-21,9,Feel The Spirit,The Williams Brothers,3,3,3
1984-01-21,13,I Feel Like Going On,Keith Pringle,11,11,3
1984-01-21,21,Changed,Donald Watkins With The Gospel Music Educators Seminar Mass Choir,20,20,3
1984-01-21,25,Words Can't Express,Nicholas,21,21,3
1984-01-21,26,"Lord, You Keep On Proving Yourself To Me",Florida Mass Choir,29,26,3
1984-01-21,28,He Gave Us All He Had,The Sunset Jubilaires,25,25,3
1984-01-21,31,Testify,Timothy Wright And The N.Y. Fellowship Mass Choir,-,31,1
1984-01-21,32,Sing And Shout,The Mighty Clouds Of Joy,-,32,1
1984-01-21,35,Yes We Can,Georgia Mass Choir,-,35,1
1984-02-18,1,Rough Side Of The Mountain,Rev. F.C. Barnes & Rev. Janice Brown,1,1,4
1984-02-18,2,This Too Will Pass,James Cleveland And The Charles Fold Choir,7,2,4
1984-02-18,3,We Sing Praises,Sandra Crouch And Friends,3,3,4
1984-02-18,4,Peace Be Still,Vanessa Bell Armstrong,5,4,4
1984-02-18,5,Feel The Spirit,The Williams Brothers,9,3,4
1984-02-18,6,Jesus I Love Calling Your Name,Shirley Caesar,2,2,4
1984-02-18,7,I'll Rise Again,Al Green,4,4,4
1984-02-18,8,Make Me An Instrument,Candi Staton,-,8,1
1984-02-18,9,Testify,Timothy Wright And The N.Y. Fellowship Mass Choir,31,9,2
1984-02-18,10,Sing And Shout,The Mighty Clouds Of Joy,32,10,2
1984-02-18,11,Long Time Coming,The Winans,8,8,4
1984-02-18,12,Determined,Tramaine Hawkins,6,6,4
1984-02-18,14,"Lord, You Keep On Proving Yourself To Me",Florida Mass Choir,26,14,4
1984-02-18,16,Yes We Can,Georgia Mass Choir,35,16,2
1984-02-18,17,Words Can't Express,Nicholas,25,17,4
1984-02-18,19,Take It To The Lord In Prayer,The Truthettes,-,19,1
1984-02-18,20,He Gave Us All He Had,The Sunset Jubilaires,28,20,4
1984-02-18,23,I Feel Like Going On,Keith Pringle,13,11,4
1984-03-17,1,We Sing Praises,Sandra Crouch And Friends,3,1,5
1984-03-17,2,This Too Will Pass,James Cleveland And The Charles Fold Choir,2,2,5
1984-03-17,3,Rough Side Of The Mountain,Rev. F.C. Barnes & Rev. Janice Brown,1,1,5
1984-03-17,4,Peace Be Still,Vanessa Bell Armstrong,4,4,5
1984-03-17,5,Jesus I Love Calling Your Name,Shirley Caesar,6,2,5
1984-03-17,6,I'll Rise Again,Al Green,7,4,5
1984-03-17,7,Make Me An Instrument,Candi Staton,8,7,2
1984-03-17,8,Feel The Spirit,The Williams Brothers,5,3,5
1984-03-17,9,Testify,Timothy Wright And The N.Y. Fellowship Mass Choir,9,9,3
