Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Amarties,Anastasia,-,1,1
2022-02-19,2,Pes Tou,"Dirty Harry, Light x FY x Bossikan",-,2,1
2022-02-19,3,NANA,SNIK & Rack,-,3,1
2022-02-19,4,Chinchilla,SNIK x FLY LO,-,4,1
2022-02-19,5,Ase Me Na Se Prosecho,Giorgos Sabanis,-,5,1
2022-02-19,6,Miami,SNIK & Marseaux,-,6,1
2022-02-19,7,Rihanna,SNIK,-,7,1
2022-02-19,8,Aftoktonia,TOQUEL & RACK,-,8,1
2022-02-19,9,King Kong,Bossikan & Light,-,9,1
2022-02-19,10,Oplo,Trannos x Light,-,10,1
2022-02-19,11,Loca,Leaderbrain & Beyond,-,11,1
2022-02-19,12,CC,Light,-,12,1
2022-02-19,13,Moonwalk,SNIK & Vlospa,-,13,1
2022-02-19,14,Kobe,SNIK & TOQUEL,-,14,1
2022-02-19,15,Fotia,Evangelia,-,15,1
2022-02-19,16,King Lo,FLY LO,-,16,1
2022-02-19,17,NASA,Rack X Saske,-,17,1
2022-02-19,18,You And Me,SNIK,-,18,1
2022-02-19,19,Maria,SNIK & Salva,-,19,1
2022-02-19,20,Shorty,Light & Mad Clip,-,20,1
2022-02-19,21,Cash,Trannos,-,21,1
2022-02-19,22,Mporei,Mad Clip - Eleni Foureira & Skive,-,22,1
2022-02-19,23,Block,Light,-,23,1
2022-02-19,24,Diosa,SNIK & GAMEBOY,-,24,1
2022-02-19,25,Telika,Konstantinos Argiros - Rack,-,25,1
2022-02-26,1,Lobby,Light,-,1,1
2022-02-26,2,Trafficante,SNIK x Vlospa,-,2,1
2022-02-26,3,Padou,Saske,-,3,1
2022-02-26,4,Amarties,Anastasia,1,1,2
2022-02-26,5,Pes Tou,"Dirty Harry, Light x FY x Bossikan",2,2,2
2022-02-26,6,NANA,SNIK & Rack,3,3,2
2022-02-26,7,Chinchilla,SNIK x FLY LO,4,4,2
2022-02-26,8,Aftoktonia,TOQUEL & RACK,8,8,2
2022-02-26,9,King Kong,Bossikan & Light,9,9,2
2022-02-26,10,Miami,SNIK & Marseaux,6,6,2
2022-02-26,11,Oplo,Trannos x Light,10,10,2
2022-02-26,12,Loca,Leaderbrain & Beyond,11,11,2
2022-02-26,13,Ase Me Na Se Prosecho,Giorgos Sabanis,5,5,2
2022-02-26,14,Rihanna,SNIK,7,7,2
2022-02-26,15,Moonwalk,SNIK & Vlospa,13,13,2
2022-02-26,16,CC,Light,12,12,2
2022-02-26,17,NASA,Rack X Saske,17,17,2
2022-02-26,18,King Lo,FLY LO,16,16,2
2022-02-26,19,Fotia,Evangelia,15,15,2
2022-02-26,20,Kobe,SNIK & TOQUEL,14,14,2
2022-02-26,21,Mporei,Mad Clip - Eleni Foureira & Skive,22,21,2
2022-02-26,22,Wet,Bexx & SNIK,-,22,1
2022-02-26,23,Cash,Trannos,21,21,2
2022-02-26,24,Shorty,Light & Mad Clip,20,20,2
2022-02-26,25,Telika,Konstantinos Argiros - Rack,25,25,2
2022-03-05,1,Trafficante,SNIK x Vlospa,2,1,2
2022-03-05,2,Amarties,Anastasia,4,1,3
2022-03-05,3,Lobby,Light,1,1,2
2022-03-05,4,Padou,Saske,3,3,2
2022-03-05,5,Pes Tou,"Dirty Harry, Light x FY x Bossikan",5,2,3
2022-03-05,6,NANA,SNIK & Rack,6,3,3
2022-03-05,7,Chinchilla,SNIK x FLY LO,7,4,3
2022-03-05,8,Zulu,Dani Gambino,-,8,1
2022-03-05,9,King Kong,Bossikan & Light,9,9,3
2022-03-05,10,Aftoktonia,TOQUEL & RACK,8,8,3
2022-03-05,11,Oplo,Trannos x Light,11,10,3
2022-03-05,12,Moonwalk,SNIK & Vlospa,15,12,3
2022-03-05,13,Loca,Leaderbrain & Beyond,12,11,3
2022-03-05,14,All Time High,RICTA & Mikros Kleftis,-,14,1
2022-03-05,15,Miami,SNIK & Marseaux,10,6,3
2022-03-05,16,Ase Me Na Se Prosecho,Giorgos Sabanis,13,5,3
2022-03-05,17,NASA,Rack X Saske,17,17,3
2022-03-05,18,Rihanna,SNIK,14,7,3
2022-03-05,19,Fotia,Evangelia,19,15,3
2022-03-05,20,CC,Light,16,12,3
2022-03-05,21,King Lo,FLY LO,18,16,3
2022-03-05,22,Mporei,Mad Clip - Eleni Foureira & Skive,21,21,3
2022-03-05,23,Merokamato,FY & Yolte,-,23,1
2022-03-05,24,Cash,Trannos,23,21,3
2022-03-05,25,Kobe,SNIK & TOQUEL,20,14,3
2022-03-12,1,Trafficante,SNIK x Vlospa,1,1,3
2022-03-12,2,Amarties,Anastasia,2,1,4
2022-03-12,3,Padou,Saske,4,3,3
2022-03-12,4,Lobby,Light,3,1,3
2022-03-12,5,Pes Tou,"Dirty Harry, Light x FY x Bossikan",5,2,4
2022-03-12,6,NANA,SNIK & Rack,6,3,4
2022-03-12,7,Chinchilla,SNIK x FLY LO,7,4,4
2022-03-12,8,Alitissa,Thug Slime,-,8,1
2022-03-12,9,All Time High,RICTA & Mikros Kleftis,14,9,2
2022-03-12,10,King Kong,Bossikan & Light,9,9,4
2022-03-12,11,XAROS,Mente Fuerte,-,11,1
2022-03-12,12,Aftoktonia,TOQUEL & RACK,10,8,4
2022-03-12,13,Oplo,Trannos x Light,11,10,4
2022-03-12,14,Loca,Leaderbrain & Beyond,13,11,4
2022-03-12,15,Zulu,Dani Gambino,8,8,2
2022-03-12,16,Gangsta Party,Thug Slime & Light,-,16,1
2022-03-12,17,Miami,SNIK & Marseaux,15,6,4
2022-03-12,18,Ase Me Na Se Prosecho,Giorgos Sabanis,16,5,4
2022-03-12,19,NASA,Rack X Saske,17,17,4
2022-03-12,20,Fotia,Evangelia,19,15,4
2022-03-12,21,Moonwalk,SNIK & Vlospa,12,12,4
2022-03-12,22,CC,Light,20,12,4
2022-03-12,23,King Lo,FLY LO,21,16,4
2022-03-12,24,Rihanna,SNIK,18,7,4
2022-03-12,25,Gia Dio,Stan & iLLEOo,-,25,1
2022-03-19,1,Trafficante,SNIK x Vlospa,1,1,4
2022-03-19,2,Amarties,Anastasia,2,1,5
2022-03-19,3,Padou,Saske,3,3,4
2022-03-19,4,Lobby,Light,4,1,4
2022-03-19,5,Pes Tou,"Dirty Harry, Light x FY x Bossikan",5,2,5
