Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2020-06-13,1,Popular Monster,Falling in Reverse,-,1,1
2020-06-13,2,A Little Bit Off,Five Finger Death Punch,-,2,1
2020-06-13,3,Unforgettable,Godsmack,-,3,1
2020-06-13,4,Atlas Falls,Shinedown,-,4,1
2020-06-13,5,DOA,I Prevail x Joyner Lucas,-,5,1
2020-06-13,6,Can You Hear Me,Korn,-,6,1
2020-06-13,7,Wolf Totem,The Hu Featuring Jacoby Shaddix,-,7,1
2020-06-13,8,Comatose,jxdn,-,8,1
2020-06-13,9,Ordinary Man,Ozzy Osbourne Featuring Elton John,-,9,1
2020-06-13,10,Resentment,A Day to Remember,-,10,1
2020-06-13,11,Outlaws & Outsiders,"Cory Marks Featuring Travis Tritt , Ivan Moody & Mick Mars",-,11,1
2020-06-13,12,Antisocialist,Asking Alexandria,-,12,1
2020-06-13,13,Another Life,Motionless in White,-,13,1
2020-06-13,14,Sickness,Grey Daze,-,14,1
2020-06-13,15,Death By Rock And Roll,The Pretty Reckless,-,15,1
2020-06-13,16,The In-Between,In This Moment,-,16,1
2020-06-13,17,Mindreader,A Day to Remember,-,17,1
2020-06-13,18,Leviathan,Volbeat,-,18,1
2020-06-13,19,Superblood Wolfmoon,Pearl Jam,-,19,1
2020-06-13,20,These Days,Highly Suspect,-,20,1
2020-06-13,21,Trials,Starset,-,21,1
2020-06-13,22,The Drug In Me Is Reimagined,Falling in Reverse,-,22,1
2020-06-13,23,Routes,Lamb of God Featuring Chuck Billy,-,23,1
2020-06-13,24,Work,Pop Evil,-,24,1
2020-06-13,25,The Violence,Asking Alexandria,-,25,1
2020-06-20,1,Popular Monster,Falling in Reverse,1,1,2
2020-06-20,2,A Little Bit Off,Five Finger Death Punch,2,2,2
2020-06-20,3,Unforgettable,Godsmack,3,3,2
2020-06-20,4,Wolf Totem,The Hu Featuring Jacoby Shaddix,7,4,2
2020-06-20,5,DOA,I Prevail x Joyner Lucas,5,5,2
2020-06-20,6,Antisocialist,Asking Alexandria,12,6,2
2020-06-20,7,Ordinary Man,Ozzy Osbourne Featuring Elton John,9,7,2
2020-06-20,8,Comatose,jxdn,8,8,2
2020-06-20,9,Can You Hear Me,Korn,6,6,2
2020-06-20,10,Atlas Falls,Shinedown,4,4,2
2020-06-20,11,Resentment,A Day to Remember,10,10,2
2020-06-20,12,Another Life,Motionless in White,13,12,2
2020-06-20,13,Death By Rock And Roll,The Pretty Reckless,15,13,2
2020-06-20,14,Outlaws & Outsiders,"Cory Marks Featuring Travis Tritt , Ivan Moody & Mick Mars",11,11,2
2020-06-20,15,Sickness,Grey Daze,14,14,2
2020-06-20,16,The In-Between,In This Moment,16,16,2
2020-06-20,17,Leviathan,Volbeat,18,17,2
2020-06-20,18,Bow Down,I Prevail,-,18,1
2020-06-20,19,These Days,Highly Suspect,20,19,2
2020-06-20,20,Mindreader,A Day to Remember,17,17,2
2020-06-20,21,Drugs,Falling in Reverse,-,21,1
2020-06-20,22,Trials,Starset,21,21,2
2020-06-20,23,USA,Mr. Bungle,-,23,1
2020-06-20,24,Flowers On A Grave,Bush,-,24,1
2020-06-20,25,The Drug In Me Is Reimagined,Falling in Reverse,22,22,2
2020-06-27,1,Popular Monster,Falling in Reverse,1,1,3
2020-06-27,2,A Little Bit Off,Five Finger Death Punch,2,2,3
2020-06-27,3,Unforgettable,Godsmack,3,3,3
2020-06-27,4,Wolf Totem,The Hu Featuring Jacoby Shaddix,4,4,3
2020-06-27,5,Atlas Falls,Shinedown,10,4,3
2020-06-27,6,Can You Hear Me,Korn,9,6,3
2020-06-27,7,Antisocialist,Asking Alexandria,6,6,3
2020-06-27,8,Death By Rock And Roll,The Pretty Reckless,13,8,3
2020-06-27,9,Comatose,jxdn,8,8,3
2020-06-27,10,Ordinary Man,Ozzy Osbourne Featuring Elton John,7,7,3
2020-06-27,11,DOA,I Prevail x Joyner Lucas,5,5,3
2020-06-27,12,Resentment,A Day to Remember,11,10,3
2020-06-27,13,Another Life,Motionless in White,12,12,3
2020-06-27,14,Outlaws & Outsiders,"Cory Marks Featuring Travis Tritt , Ivan Moody & Mick Mars",14,11,3
2020-06-27,15,Sickness,Grey Daze,15,14,3
2020-06-27,16,Leviathan,Volbeat,17,16,3
2020-06-27,17,The In-Between,In This Moment,16,16,3
2020-06-27,18,These Days,Highly Suspect,19,18,3
2020-06-27,19,Mindreader,A Day to Remember,20,17,3
2020-06-27,20,Flowers On A Grave,Bush,24,20,2
2020-06-27,21,Drugs,Falling in Reverse,21,21,2
2020-06-27,22,Work,Pop Evil,-,22,2
2020-06-27,23,Trials,Starset,22,21,3
2020-06-27,24,The Drug In Me Is Reimagined,Falling in Reverse,25,22,3
2020-06-27,25,Invincible,Tool,-,25,1
2020-07-04,1,A Little Bit Off,Five Finger Death Punch,2,1,4
2020-07-04,2,Popular Monster,Falling in Reverse,1,1,4
2020-07-04,3,Unforgettable,Godsmack,3,3,4
2020-07-04,4,Wolf Totem,The Hu Featuring Jacoby Shaddix,4,4,4
2020-07-04,5,Death By Rock And Roll,The Pretty Reckless,8,5,4
2020-07-04,6,Atlas Falls,Shinedown,5,4,4
2020-07-04,7,Antisocialist,Asking Alexandria,7,6,4
2020-07-04,8,Can You Hear Me,Korn,6,6,4
2020-07-04,9,Memento Mori,Lamb of God,-,9,1
2020-07-04,10,Comatose,jxdn,9,8,4
2020-07-04,11,Another Life,Motionless in White,13,11,4
2020-07-04,12,Resentment,A Day to Remember,12,10,4
2020-07-04,13,Ordinary Man,Ozzy Osbourne Featuring Elton John,10,7,4
2020-07-04,14,DOA,I Prevail x Joyner Lucas,11,5,4
2020-07-04,15,Checkmate,Lamb of God,-,15,1
