Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2020-06-13,1,Bohemian Rhapsody,Queen,-,1,1
2020-06-13,2,Sweet Child O' Mine,Guns N' Roses,-,2,1
2020-06-13,3,Another One Bites The Dust,Queen,-,3,1
2020-06-13,4,Dream On,Aerosmith,-,4,1
2020-06-13,5,Thunderstruck,AC/DC,-,5,1
2020-06-13,6,You Shook Me All Night Long,AC/DC,-,6,1
2020-06-13,7,We Will Rock You,Queen,-,7,1
2020-06-13,8,Back In Black,AC/DC,-,8,1
2020-06-13,9,Carry On Wayward Son,Kansas,-,9,1
2020-06-13,10,Livin' On A Prayer,Bon Jovi,-,10,1
2020-06-13,11,Kryptonite,3 Doors Down,-,11,1
2020-06-13,12,Under Pressure,Queen & David Bowie,-,12,1
2020-06-13,13,Highway To Hell,AC/DC,-,13,1
2020-06-13,14,Pour Some Sugar On Me,Def Leppard,-,14,1
2020-06-13,15,Sweet Emotion,Aerosmith,-,15,1
2020-06-13,16,In The End,Linkin Park,-,16,1
2020-06-13,17,The Sound Of Silence,Disturbed,-,17,1
2020-06-13,18,Zombie,Bad Wolves,-,18,1
2020-06-13,19,Numb,Linkin Park,-,19,1
2020-06-13,20,Welcome To The Jungle,Guns N' Roses,-,20,1
2020-06-13,21,Enter Sandman,Metallica,-,21,1
2020-06-13,22,Crazy Train,Ozzy Osbourne,-,22,1
2020-06-13,23,Stairway To Heaven,Led Zeppelin,-,23,1
2020-06-13,24,Bring Me To Life,Evanescence Featuring Paul McCoy,-,24,1
2020-06-13,25,Paradise City,Guns N' Roses,-,25,1
2020-06-20,1,Bohemian Rhapsody,Queen,1,1,2
2020-06-20,2,Sweet Child O' Mine,Guns N' Roses,2,2,2
2020-06-20,3,Another One Bites The Dust,Queen,3,3,2
2020-06-20,4,Thunderstruck,AC/DC,5,4,2
2020-06-20,5,Dream On,Aerosmith,4,4,2
2020-06-20,6,Back In Black,AC/DC,8,6,2
2020-06-20,7,Carry On Wayward Son,Kansas,9,7,2
2020-06-20,8,We Will Rock You,Queen,7,7,2
2020-06-20,9,Livin' On A Prayer,Bon Jovi,10,9,2
2020-06-20,10,Under Pressure,Queen & David Bowie,12,10,2
2020-06-20,11,You Shook Me All Night Long,AC/DC,6,6,2
2020-06-20,12,Kryptonite,3 Doors Down,11,11,2
2020-06-20,13,Highway To Hell,AC/DC,13,13,2
2020-06-20,14,Sweet Emotion,Aerosmith,15,14,2
2020-06-20,15,Pour Some Sugar On Me,Def Leppard,14,14,2
2020-06-20,16,In The End,Linkin Park,16,16,2
2020-06-20,17,Zombie,Bad Wolves,18,17,2
2020-06-20,18,The Sound Of Silence,Disturbed,17,17,2
2020-06-20,19,Numb,Linkin Park,19,19,2
2020-06-20,20,Welcome To The Jungle,Guns N' Roses,20,20,2
2020-06-20,21,Killing In The Name,Rage Against the Machine,-,21,1
2020-06-20,22,Crazy Train,Ozzy Osbourne,22,22,2
2020-06-20,23,Enter Sandman,Metallica,21,21,2
2020-06-20,24,Stairway To Heaven,Led Zeppelin,23,23,2
2020-06-20,25,Paradise City,Guns N' Roses,25,25,2
2020-06-27,1,Bohemian Rhapsody,Queen,1,1,3
2020-06-27,2,Sweet Child O' Mine,Guns N' Roses,2,2,3
2020-06-27,3,Another One Bites The Dust,Queen,3,3,3
2020-06-27,4,Thunderstruck,AC/DC,4,4,3
2020-06-27,5,Dream On,Aerosmith,5,4,3
2020-06-27,6,Back In Black,AC/DC,6,6,3
2020-06-27,7,We Will Rock You,Queen,8,7,3
2020-06-27,8,Livin' On A Prayer,Bon Jovi,9,8,3
2020-06-27,9,You Shook Me All Night Long,AC/DC,11,6,3
2020-06-27,10,Under Pressure,Queen & David Bowie,10,10,3
2020-06-27,11,Kryptonite,3 Doors Down,12,11,3
2020-06-27,12,Highway To Hell,AC/DC,13,12,3
2020-06-27,13,Carry On Wayward Son,Kansas,7,7,3
2020-06-27,14,Sweet Emotion,Aerosmith,14,14,3
2020-06-27,15,Pour Some Sugar On Me,Def Leppard,15,14,3
2020-06-27,16,In The End,Linkin Park,16,16,3
2020-06-27,17,Zombie,Bad Wolves,17,17,3
2020-06-27,18,The Sound Of Silence,Disturbed,18,17,3
2020-06-27,19,Numb,Linkin Park,19,19,3
2020-06-27,20,Welcome To The Jungle,Guns N' Roses,20,20,3
2020-06-27,21,Enter Sandman,Metallica,23,21,3
2020-06-27,22,Stairway To Heaven,Led Zeppelin,24,22,3
2020-06-27,23,Crazy Train,Ozzy Osbourne,22,22,3
2020-06-27,24,Bring Me To Life,Evanescence Featuring Paul McCoy,-,24,2
2020-06-27,25,Paradise City,Guns N' Roses,25,25,3
2020-07-04,1,Bohemian Rhapsody,Queen,1,1,4
2020-07-04,2,Sweet Child O' Mine,Guns N' Roses,2,2,4
2020-07-04,3,Another One Bites The Dust,Queen,3,3,4
2020-07-04,4,Thunderstruck,AC/DC,4,4,4
2020-07-04,5,Dream On,Aerosmith,5,4,4
2020-07-04,6,Back In Black,AC/DC,6,6,4
2020-07-04,7,Livin' On A Prayer,Bon Jovi,8,7,4
2020-07-04,8,We Will Rock You,Queen,7,7,4
2020-07-04,9,Under Pressure,Queen & David Bowie,10,9,4
2020-07-04,10,You Shook Me All Night Long,AC/DC,9,6,4
2020-07-04,11,Highway To Hell,AC/DC,12,11,4
2020-07-04,12,Kryptonite,3 Doors Down,11,11,4
2020-07-04,13,Carry On Wayward Son,Kansas,13,7,4
2020-07-04,14,Sweet Emotion,Aerosmith,14,14,4
2020-07-04,15,In The End,Linkin Park,16,15,4
2020-07-04,16,Zombie,Bad Wolves,17,16,4
2020-07-04,17,Pour Some Sugar On Me,Def Leppard,15,14,4
2020-07-04,18,Numb,Linkin Park,19,18,4
2020-07-04,19,Welcome To The Jungle,Guns N' Roses,20,19,4
2020-07-04,20,The Sound Of Silence,Disturbed,18,17,4
2020-07-04,21,Enter Sandman,Metallica,21,21,4
2020-07-04,22,Stairway To Heaven,Led Zeppelin,22,22,4
2020-07-04,23,Bring Me To Life,Evanescence Featuring Paul McCoy,24,23,3
2020-07-04,24,Everlong,Foo Fighters,-,24,1
2020-07-04,25,Paradise City,Guns N' Roses,25,25,4
2020-07-11,1,Bohemian Rhapsody,Queen,1,1,5
2020-07-11,2,Sweet Child O' Mine,Guns N' Roses,2,2,5
2020-07-11,3,Another One Bites The Dust,Queen,3,3,5
2020-07-11,4,Thunderstruck,AC/DC,4,4,5
2020-07-11,5,You Shook Me All Night Long,AC/DC,10,5,5
2020-07-11,6,Dream On,Aerosmith,5,4,5
2020-07-11,7,Back In Black,AC/DC,6,6,5
2020-07-11,8,Livin' On A Prayer,Bon Jovi,7,7,5
2020-07-11,9,Under Pressure,Queen & David Bowie,9,9,5
2020-07-11,10,Carry On Wayward Son,Kansas,13,7,5
2020-07-11,11,We Will Rock You,Queen,8,7,5
2020-07-11,12,Kryptonite,3 Doors Down,12,11,5
2020-07-11,13,Highway To Hell,AC/DC,11,11,5
2020-07-11,14,Sweet Emotion,Aerosmith,14,14,5
