Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2009-07-18,1,Not Meant To Be,Theory Of A Deadman,-,1,1
2009-07-18,2,Ice Cream Paint Job,Dorrough,-,2,1
2009-07-18,3,Boots On,Randy Houser,-,3,1
2009-07-18,4,Wild At Heart,Gloriana,-,4,1
2009-07-18,5,Wanted,Jessie James,-,5,1
2009-07-18,6,Down,Jay Sean Featuring Lil Wayne,-,6,1
2009-07-18,7,Swag Surfin,F.L.Y. (Fast Life Yungstaz),-,7,1
2009-07-18,8,Small Town USA,Justin Moore,-,8,1
2009-07-18,9,I'm In Miami Trick,LMFAO,-,9,1
2009-07-18,10,Love Your Love The Most,Eric Church,-,10,1
2009-07-18,11,Show Me What I'm Looking For,Carolina Liar,-,11,1
2009-07-18,12,When Love Takes Over,David Guetta Featuring Kelly Rowland,-,12,1
2009-07-18,13,Barefoot And Crazy,Jack Ingram,-,13,1
2009-07-18,14,Ain't No Rest For The Wicked,Cage the Elephant,-,14,1
2009-07-18,15,Damned If I Do Ya (Damned If I Don't),All Time Low,-,15,1
2009-07-18,16,Whiskey Hangover,Godsmack,-,16,1
2009-07-18,17,Chillin,Wale Featuring Lady Gaga,-,17,1
2009-07-18,18,Panic Switch,Silversun Pickups,-,18,1
2009-07-18,19,On The Ocean,K'Jon,-,19,1
2009-07-18,20,Where I'm From,Jason Michael Carroll,-,20,1
2009-07-18,21,Champagne,Cavo,-,21,1
2009-07-18,22,Epiphany (I'm Leaving),Chrisette Michele,-,22,1
2009-07-18,23,I Want You To Want Me,KSM,-,23,1
2009-07-18,24,El Amor,"Tito ""El Bambino"" El Patron",-,24,1
2009-07-18,25,The Man Who Can't Be Moved,The Script,-,25,1
2009-07-18,26,Ya Es Muy Tarde,La Arrolladora Banda el Limon de Rene Camacho,-,26,1
2009-07-18,27,Born An OG,Ace Hood Featuring Ludacris,-,27,1
2009-07-18,28,Causa Y Efecto,Paulina Rubio,-,28,1
2009-07-18,29,My Time,Fabolous Featuring Jeremih,-,29,1
2009-07-18,30,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,-,30,1
2009-07-18,31,She Is Love,Parachute,-,31,1
2009-07-18,32,Feel Good Drag,Anberlin,-,32,1
2009-07-18,33,Lo Intentamos,Espinoza Paz,-,33,1
2009-07-18,34,The Motions,Matthew West,-,34,1
2009-07-18,35,Runaway,Love And Theft,-,35,1
2009-07-18,36,Abusadora,Wisin & Yandel,-,36,1
2009-07-18,37,Imma Put It On Her,Day26 Featuring P. Diddy & Yung Joc,-,37,1
2009-07-18,38,No Games,Serani,-,38,1
2009-07-18,39,Beggin',Madcon,-,39,1
2009-07-18,40,Sometime Around Midnight,The Airborne Toxic Event,-,40,1
2009-07-18,41,All Up 2 You,Aventura Featuring Akon & Wisin & Yandel,-,41,1
2009-07-18,42,A Looking In View,Alice in Chains,-,42,1
2009-07-18,43,Loco Por Ti,Los Temerarios,-,43,1
2009-07-18,44,El Katch,El Compa Chuy,-,44,1
2009-07-18,45,Always The Love Songs,Eli Young Band,-,45,1
2009-07-18,46,Patron Tequila,Paradiso Girls Featuring Lil Jon & Eve,-,46,1
2009-07-18,47,Hero,Skillet,-,47,1
2009-07-18,48,Te Presumo,Banda El Recodo de Cruz Lizarraga,-,48,1
2009-07-18,49,Eyes On Fire,Blue Foundation,-,49,1
2009-07-18,50,Gettin' You Home,Chris Young,-,50,1
