Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Pillow Talk,MC Cheung Tinfu,-,1,1
2022-02-19,2,Overruled,MC Cheung Tinfu,-,2,1
2022-02-19,3,About Time,MC Cheung Tinfu,-,3,1
2022-02-19,4,"Red Scarf (""Till We Meet Again"" Movie Theme Song)",WeiBird,-,4,1
2022-02-19,5,Hyperromantic,Gareth.T,-,5,1
2022-02-19,6,"Dear My Friend,",Keung To,-,6,1
2022-02-19,7,Kimi,Hins Cheung,-,7,1
2022-02-19,8,Floating,Terence Lam,-,8,1
2022-02-19,9,Yi Biao Ren Cai,Edan Lui & Feng Ze,-,9,1
2022-02-19,10,Jing Zhong Jing,Keung To,-,10,1
2022-02-19,11,"For Those Who Stay, For Those Who Had Left",C AllStar,-,11,1
2022-02-19,12,Xian Sheng Lian Huan Bu Xing Shi Jian,Edan Lui,-,12,1
2022-02-19,13,First Tear Last Salute,Joyce Cheng,-,13,1
2022-02-19,14,Call My Name!,COLLAR,-,14,1
2022-02-19,15,I Know,Keung To Featuring AGA,-,15,1
2022-02-19,16,MM7,Jer Lau,-,16,1
2022-02-19,17,Wo Bu Ru,Mike,-,17,1
2022-02-19,18,Stay,The Kid Laroi & Justin Bieber,-,18,1
2022-02-19,19,Master Class,Keung To,-,19,1
2022-02-19,20,Xiao Xie Xing,Edan Lui,-,20,1
2022-02-19,21,Stay Busy Over Christmas,MC Cheung Tinfu / Kaho Hung,-,21,1
2022-02-19,22,Wo Bushi Qiu Bite,Mike & Jennifer Chan,-,22,1
2022-02-19,23,Time Travel,Kaho Hung,-,23,1
2022-02-19,24,Meng Zhe Zui Shuo Ai Ni,Keung To,-,24,1
2022-02-19,25,Ge Li,Jace Chan & Terence Lam,-,25,1
2022-02-26,1,Pillow Talk,MC Cheung Tinfu,1,1,2
2022-02-26,2,Overruled,MC Cheung Tinfu,2,2,2
2022-02-26,3,About Time,MC Cheung Tinfu,3,3,2
2022-02-26,4,Liu Yi Tian Yu Ni Chuan Xi,Ian Chan,-,4,1
2022-02-26,5,"Red Scarf (""Till We Meet Again"" Movie Theme Song)",WeiBird,4,4,2
2022-02-26,6,"Dear My Friend,",Keung To,6,6,2
2022-02-26,7,Hyperromantic,Gareth.T,5,5,2
2022-02-26,8,Jing Zhong Jing,Keung To,10,8,2
2022-02-26,9,Kimi,Hins Cheung,7,7,2
2022-02-26,10,Floating,Terence Lam,8,8,2
2022-02-26,11,Yi Biao Ren Cai,Edan Lui & Feng Ze,9,9,2
2022-02-26,12,"For Those Who Stay, For Those Who Had Left",C AllStar,11,11,2
2022-02-26,13,Master Class,Keung To,19,13,2
2022-02-26,14,I Know,Keung To Featuring AGA,15,14,2
