Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2020-06-13,1,Death Bed,Powfu Featuring beabadoobee,-,1,1
2020-06-13,2,Everything I Wanted,Billie Eilish,-,2,1
2020-06-13,3,Supalonely,BENEE Featuring Gus Dapperton,-,3,1
2020-06-13,4,Dance Monkey,Tones And I,-,4,1
2020-06-13,5,Level Of Concern,Twenty One Pilots,-,5,1
2020-06-13,6,Bang!,AJR,-,6,1
2020-06-13,7,City Of Angels,24kGoldn,-,7,1
2020-06-13,8,Bloody Valentine,Machine Gun Kelly,-,8,1
2020-06-13,9,Angels & Demons,jxdn,-,9,1
2020-06-13,10,Moral Of The Story,Ashe,-,10,1
2020-06-13,11,Popular Monster,Falling in Reverse,-,11,1
2020-06-13,12,Caution,The Killers,-,12,1
2020-06-13,13,I Just Wanna Shine,Fitz And The Tantrums,-,13,1
2020-06-13,14,Sick And Tired,iann dior Featuring Machine Gun Kelly & Travis Barker,-,14,1
2020-06-13,15,I Think We're Alone Now,Billie Joe Armstrong,-,15,1
2020-06-13,16,Honeybee,The Head And The Heart,-,16,1
2020-06-13,17,Lost In Yesterday,Tame Impala,-,17,1
2020-06-13,18,Bad Child,Tones And I,-,18,1
2020-06-13,19,Can I Call You Tonight?,Dayglow,-,19,1
2020-06-13,20,Gimme Love,Joji,-,20,1
2020-06-13,21,No Time To Die,Billie Eilish,-,21,1
2020-06-13,22,Hallucinogenics,Matt Maeson,-,22,1
2020-06-13,23,Black Madonna,Cage the Elephant,-,23,1
2020-06-13,24,Let Me Down,Oliver Tree,-,24,1
2020-06-13,25,Mariposa,Peach Tree Rascals,-,25,1
2020-06-20,1,Death Bed,Powfu Featuring beabadoobee,1,1,2
2020-06-20,2,Everything I Wanted,Billie Eilish,2,2,2
2020-06-20,3,Supalonely,BENEE Featuring Gus Dapperton,3,3,2
2020-06-20,4,Dance Monkey,Tones And I,4,4,2
2020-06-20,5,Level Of Concern,Twenty One Pilots,5,5,2
2020-06-20,6,Bang!,AJR,6,6,2
2020-06-20,7,City Of Angels,24kGoldn,7,7,2
2020-06-20,8,Bloody Valentine,Machine Gun Kelly,8,8,2
2020-06-20,9,Angels & Demons,jxdn,9,9,2
2020-06-20,10,Moral Of The Story,Ashe,10,10,2
2020-06-20,11,Popular Monster,Falling in Reverse,11,11,2
2020-06-20,12,Sick And Tired,iann dior Featuring Machine Gun Kelly & Travis Barker,14,12,2
2020-06-20,13,Caution,The Killers,12,12,2
2020-06-20,14,Honeybee,The Head And The Heart,16,14,2
2020-06-20,15,Lost In Yesterday,Tame Impala,17,15,2
2020-06-20,16,Can I Call You Tonight?,Dayglow,19,16,2
2020-06-20,17,Hallucinogenics,Matt Maeson,22,17,2
2020-06-20,18,I Just Wanna Shine,Fitz And The Tantrums,13,13,2
2020-06-20,19,Gimme Love,Joji,20,19,2
2020-06-20,20,Mariposa,Peach Tree Rascals,25,20,2
2020-06-20,21,Bad Child,Tones And I,18,18,2
2020-06-20,22,No Time To Die,Billie Eilish,21,21,2
