Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2012-10-20,1,Diamonds,Rihanna,-,1,1
2012-10-20,2,Adorn,Miguel,-,2,1
2012-10-20,3,Girl On Fire,Alicia Keys Featuring Nicki Minaj,-,3,1
2012-10-20,4,2 Reasons,Trey Songz Featuring T.I.,-,4,1
2012-10-20,5,Thinkin Bout You,Frank Ocean,-,5,1
2012-10-20,6,Heart Attack,Trey Songz,-,6,1
2012-10-20,7,Put It Down,Brandy Featuring Chris Brown,-,7,1
2012-10-20,8,Lemme See,Usher Featuring Rick Ross,-,8,1
2012-10-20,9,Dance For You,Beyonce,-,9,1
2012-10-20,10,Dive In,Trey Songz,-,10,1
2012-10-20,11,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,-,11,1
2012-10-20,12,Ice,Kelly Rowland Featuring Lil Wayne,-,12,1
2012-10-20,13,Don't Judge Me,Chris Brown,-,13,1
2012-10-20,14,Lately,Anita Baker,-,14,1
2012-10-20,15,Feelin' Single,R. Kelly,-,15,1
2012-10-20,16,Lazy Love,Ne-Yo,-,16,1
2012-10-20,17,Let's Talk,Omarion Featuring Rick Ross,-,17,1
2012-10-20,18,Don't Mind,Mary J. Blige,-,18,1
2012-10-20,19,Dive,Usher,-,19,1
2012-10-20,20,Sorry,Ciara,-,20,1
2012-10-20,21,Dope Chick,The-Dream Featuring Pusha T,-,21,1
2012-10-20,22,You & I,Avant Featuring KeKe Wyatt,-,22,1
2012-10-20,23,Pyramids,Frank Ocean,-,23,1
2012-10-20,24,Super Rich Kids,Frank Ocean Featuring Earl Sweatshirt,-,24,1
2012-10-20,25,Cockiness (Love It),Rihanna Featuring A$AP Rocky,-,25,1
2012-10-27,1,Diamonds,Rihanna,1,1,2
2012-10-27,2,Adorn,Miguel,2,2,2
2012-10-27,3,2 Reasons,Trey Songz Featuring T.I.,4,3,2
2012-10-27,4,Girl On Fire,Alicia Keys Featuring Nicki Minaj,3,3,2
2012-10-27,5,Thinkin Bout You,Frank Ocean,5,5,2
2012-10-27,6,Heart Attack,Trey Songz,6,6,2
2012-10-27,7,Put It Down,Brandy Featuring Chris Brown,7,7,2
2012-10-27,8,Dance For You,Beyonce,9,8,2
2012-10-27,9,Lemme See,Usher Featuring Rick Ross,8,8,2
2012-10-27,10,Dive In,Trey Songz,10,10,2
2012-10-27,11,Ice,Kelly Rowland Featuring Lil Wayne,12,11,2
2012-10-27,12,Don't Judge Me,Chris Brown,13,12,2
2012-10-27,13,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,11,11,2
2012-10-27,14,Lately,Anita Baker,14,14,2
2012-10-27,15,Feelin' Single,R. Kelly,15,15,2
2012-10-27,16,Don't Mind,Mary J. Blige,18,16,2
2012-10-27,17,Let's Talk,Omarion Featuring Rick Ross,17,17,2
2012-10-27,18,Dive,Usher,19,18,2
2012-10-27,19,Lazy Love,Ne-Yo,16,16,2
2012-10-27,20,Sorry,Ciara,20,20,2
2012-10-27,21,Do You...,Miguel,-,21,1
2012-10-27,22,You & I,Avant Featuring KeKe Wyatt,22,22,2
2012-10-27,23,Cockiness (Love It),Rihanna Featuring A$AP Rocky,25,23,2
2012-10-27,24,Pyramids,Frank Ocean,23,23,2
2012-10-27,25,Super Rich Kids,Frank Ocean Featuring Earl Sweatshirt,24,24,2
2012-11-03,1,Diamonds,Rihanna,1,1,3
2012-11-03,2,Adorn,Miguel,2,2,3
2012-11-03,3,Girl On Fire,Alicia Keys Featuring Nicki Minaj,4,3,3
2012-11-03,4,2 Reasons,Trey Songz Featuring T.I.,3,3,3
2012-11-03,5,Thinkin Bout You,Frank Ocean,5,5,3
2012-11-03,6,Heart Attack,Trey Songz,6,6,3
2012-11-03,7,Put It Down,Brandy Featuring Chris Brown,7,7,3
2012-11-03,8,Dance For You,Beyonce,8,8,3
2012-11-03,9,Dive In,Trey Songz,10,9,3
2012-11-03,10,Lemme See,Usher Featuring Rick Ross,9,8,3
2012-11-03,11,Don't Judge Me,Chris Brown,12,11,3
2012-11-03,12,Ice,Kelly Rowland Featuring Lil Wayne,11,11,3
2012-11-03,13,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,13,11,3
2012-11-03,14,Lately,Anita Baker,14,14,3
2012-11-03,15,Don't Mind,Mary J. Blige,16,15,3
2012-11-03,16,Wicked Games,The Weeknd,-,16,1
2012-11-03,17,Dive,Usher,18,17,3
2012-11-03,18,Sorry,Ciara,20,18,3
2012-11-03,19,Do You...,Miguel,21,19,2
2012-11-03,20,Cockiness (Love It),Rihanna Featuring A$AP Rocky,23,20,3
2012-11-03,21,You & I,Avant Featuring KeKe Wyatt,22,21,3
2012-11-03,22,Pyramids,Frank Ocean,24,22,3
2012-11-03,23,Super Rich Kids,Frank Ocean Featuring Earl Sweatshirt,25,23,3
2012-11-03,24,Who Booty,Jonn Hart Featuring IamSU!,-,24,1
2012-11-03,25,Doing It Wrong,Drake,-,25,1
2012-11-10,1,Diamonds,Rihanna,1,1,4
2012-11-10,2,Adorn,Miguel,2,2,4
2012-11-10,3,Girl On Fire,Alicia Keys Featuring Nicki Minaj,3,3,4
2012-11-10,4,Thinkin Bout You,Frank Ocean,5,4,4
2012-11-10,5,2 Reasons,Trey Songz Featuring T.I.,4,3,4
2012-11-10,6,Put It Down,Brandy Featuring Chris Brown,7,6,4
2012-11-10,7,Heart Attack,Trey Songz,6,6,4
2012-11-10,8,Dance For You,Beyonce,8,8,4
2012-11-10,9,Dive In,Trey Songz,9,9,4
2012-11-10,10,Ice,Kelly Rowland Featuring Lil Wayne,12,10,4
2012-11-10,11,Don't Judge Me,Chris Brown,11,11,4
2012-11-10,12,Wicked Games,The Weeknd,16,12,2
2012-11-10,13,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,13,11,4
2012-11-10,14,Lately,Anita Baker,14,14,4
2012-11-10,15,Don't Mind,Mary J. Blige,15,15,4
2012-11-10,16,Dive,Usher,17,16,4
2012-11-10,17,Sorry,Ciara,18,17,4
2012-11-10,18,You & I,Avant Featuring KeKe Wyatt,21,18,4
2012-11-10,19,Who Booty,Jonn Hart Featuring IamSU!,24,19,2
2012-11-10,20,Cockiness (Love It),Rihanna Featuring A$AP Rocky,20,20,4
2012-11-10,21,Do You...,Miguel,19,19,3
2012-11-10,22,Don't Make Em Like You,Ne-Yo Featuring Wiz Khalifa,-,22,1
2012-11-10,23,Pyramids,Frank Ocean,22,22,4
2012-11-10,24,Super Rich Kids,Frank Ocean Featuring Earl Sweatshirt,23,23,4
2012-11-10,25,Doing It Wrong,Drake,25,25,2
2012-11-17,1,Diamonds,Rihanna,1,1,5
2012-11-17,2,Adorn,Miguel,2,2,5
2012-11-17,3,Girl On Fire,Alicia Keys Featuring Nicki Minaj,3,3,5
2012-11-17,4,Thinkin Bout You,Frank Ocean,4,4,5
2012-11-17,5,2 Reasons,Trey Songz Featuring T.I.,5,3,5
2012-11-17,6,Put It Down,Brandy Featuring Chris Brown,6,6,5
2012-11-17,7,Heart Attack,Trey Songz,7,6,5
2012-11-17,8,Dance For You,Beyonce,8,8,5
2012-11-17,9,Dive In,Trey Songz,9,9,5
2012-11-17,10,Don't Judge Me,Chris Brown,11,10,5
2012-11-17,11,Wicked Games,The Weeknd,12,11,3
2012-11-17,12,Ice,Kelly Rowland Featuring Lil Wayne,10,10,5
2012-11-17,13,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,13,11,5
2012-11-17,14,Lately,Anita Baker,14,14,5
2012-11-17,15,Don't Mind,Mary J. Blige,15,15,5
2012-11-17,16,Who Booty,Jonn Hart Featuring IamSU!,19,16,3
2012-11-17,17,Dive,Usher,16,16,5
2012-11-17,18,Sorry,Ciara,17,17,5
2012-11-17,19,You & I,Avant Featuring KeKe Wyatt,18,18,5
2012-11-17,20,Do You...,Miguel,21,19,4
2012-11-17,21,Cockiness (Love It),Rihanna Featuring A$AP Rocky,20,20,5
2012-11-17,22,Don't Make Em Like You,Ne-Yo Featuring Wiz Khalifa,22,22,2
2012-11-17,23,Pyramids,Frank Ocean,23,22,5
2012-11-17,24,Super Rich Kids,Frank Ocean Featuring Earl Sweatshirt,24,23,5
2012-11-17,25,Doing It Wrong,Drake,25,25,3
2012-11-24,1,Diamonds,Rihanna,1,1,6
2012-11-24,2,Adorn,Miguel,2,2,6
2012-11-24,3,Girl On Fire,Alicia Keys Featuring Nicki Minaj,3,3,6
2012-11-24,4,Thinkin Bout You,Frank Ocean,4,4,6
2012-11-24,5,2 Reasons,Trey Songz Featuring T.I.,5,3,6
2012-11-24,6,Put It Down,Brandy Featuring Chris Brown,6,6,6
2012-11-24,7,Heart Attack,Trey Songz,7,6,6
2012-11-24,8,Dance For You,Beyonce,8,8,6
2012-11-24,9,Dive In,Trey Songz,9,9,6
2012-11-24,10,Don't Judge Me,Chris Brown,10,10,6
2012-11-24,11,Wicked Games,The Weeknd,11,11,4
2012-11-24,12,Ice,Kelly Rowland Featuring Lil Wayne,12,10,6
2012-11-24,13,Lately,Anita Baker,14,13,6
2012-11-24,14,Who Booty,Jonn Hart Featuring IamSU!,16,14,4
2012-11-24,15,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,13,11,6
2012-11-24,16,Dive,Usher,17,16,6
2012-11-24,17,Don't Make Em Like You,Ne-Yo Featuring Wiz Khalifa,22,17,3
2012-11-24,18,Sorry,Ciara,18,17,6
2012-11-24,19,You & I,Avant Featuring KeKe Wyatt,19,18,6
2012-11-24,20,Do You...,Miguel,20,19,5
2012-11-24,21,Cockiness (Love It),Rihanna Featuring A$AP Rocky,21,20,6
2012-11-24,22,Miss Right,Ne-Yo,-,22,1
2012-11-24,23,How Am I Supposed To Live Without You,Trevin Hunte,-,23,1
2012-11-24,24,Should Be You,Ne-Yo Featuring Fabolous & Diddy,-,24,1
2012-11-24,25,My Love Is All I Have,Charlie Wilson,-,25,1
2012-12-01,1,Diamonds,Rihanna,1,1,7
2012-12-01,2,Adorn,Miguel,2,2,7
2012-12-01,3,Girl On Fire,Alicia Keys Featuring Nicki Minaj,3,3,7
2012-12-01,4,Thinkin Bout You,Frank Ocean,4,4,7
2012-12-01,5,2 Reasons,Trey Songz Featuring T.I.,5,3,7
2012-12-01,6,Heart Attack,Trey Songz,7,6,7
2012-12-01,7,Wicked Games,The Weeknd,11,7,5
2012-12-01,8,Put It Down,Brandy Featuring Chris Brown,6,6,7
2012-12-01,9,Dance For You,Beyonce,8,8,7
2012-12-01,10,Don't Judge Me,Chris Brown,10,10,7
2012-12-01,11,Ice,Kelly Rowland Featuring Lil Wayne,12,10,7
2012-12-01,12,Dive In,Trey Songz,9,9,7
2012-12-01,13,Who Booty,Jonn Hart Featuring IamSU!,14,13,5
2012-12-01,14,Trust And Believe,Keyshia Cole,-,14,1
2012-12-01,15,Enough Of No Love,Keyshia Cole Featuring Lil Wayne,15,11,7
