Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2009-06-20,1,Know Your Enemy,Green Day,-,1,1
2009-06-20,2,New Divide,Linkin Park,-,2,1
2009-06-20,3,Use Somebody,Kings of Leon,-,3,1
2009-06-20,4,Careless Whisper,Seether,-,4,1
2009-06-20,5,Lifeline,Papa Roach,-,5,1
2009-06-20,6,Panic Switch,Silversun Pickups,-,6,1
2009-06-20,7,Sound Of Madness,Shinedown,-,7,1
2009-06-20,8,Ain't No Rest For The Wicked,Cage the Elephant,-,8,1
2009-06-20,9,Second Chance,Shinedown,-,9,1
2009-06-20,10,Sex On Fire,Kings of Leon,-,10,1
2009-06-20,11,The Night,Disturbed,-,11,1
2009-06-20,12,Feel Good Drag,Anberlin,-,12,1
2009-06-20,13,Drowning (Face Down),Saving Abel,-,13,1
2009-06-20,14,I Don't Care,Apocalyptica Featuring Adam Gontier,-,14,1
2009-06-20,15,Black Heart Inertia,Incubus,-,15,1
2009-06-20,16,Audience Of One,Rise Against,-,16,1
2009-06-20,17,Hey You,311,-,17,1
2009-06-20,18,Champagne,Cavo,-,18,1
2009-06-20,19,Funny The Way It Is,Dave Matthews Band,-,19,1
2009-06-20,20,21 Guns,Green Day,-,20,1
2009-06-20,21,Do What You Do,Mudvayne,-,21,1
2009-06-20,22,Kids,MGMT,-,22,1
2009-06-20,23,Sometime Around Midnight,The Airborne Toxic Event,-,23,1
2009-06-20,24,Burn It To The Ground,Nickelback,-,24,1
2009-06-20,25,Dead Memories,Slipknot,-,25,1
2009-06-27,1,New Divide,Linkin Park,2,1,2
2009-06-27,2,Know Your Enemy,Green Day,1,1,2
2009-06-27,3,Use Somebody,Kings of Leon,3,3,2
2009-06-27,4,Panic Switch,Silversun Pickups,6,4,2
2009-06-27,5,Sound Of Madness,Shinedown,7,5,2
2009-06-27,6,Careless Whisper,Seether,4,4,2
2009-06-27,7,Ain't No Rest For The Wicked,Cage the Elephant,8,7,2
2009-06-27,8,The Night,Disturbed,11,8,2
2009-06-27,9,Lifeline,Papa Roach,5,5,2
2009-06-27,10,Second Chance,Shinedown,9,9,2
2009-06-27,11,Sex On Fire,Kings of Leon,10,10,2
2009-06-27,12,Drowning (Face Down),Saving Abel,13,12,2
2009-06-27,13,Feel Good Drag,Anberlin,12,12,2
2009-06-27,14,21 Guns,Green Day,20,14,2
2009-06-27,15,Black Heart Inertia,Incubus,15,15,2
2009-06-27,16,Champagne,Cavo,18,16,2
2009-06-27,17,Audience Of One,Rise Against,16,16,2
2009-06-27,18,I Don't Care,Apocalyptica Featuring Adam Gontier,14,14,2
2009-06-27,19,Kids,MGMT,22,19,2
2009-06-27,20,Funny The Way It Is,Dave Matthews Band,19,19,2
2009-06-27,21,Burn It To The Ground,Nickelback,24,21,2
2009-06-27,22,Do What You Do,Mudvayne,21,21,2
2009-06-27,23,Hey You,311,17,17,2
2009-06-27,24,Sometime Around Midnight,The Airborne Toxic Event,23,23,2
2009-06-27,25,Seasons,The Veer Union,30,25,2
2009-07-04,1,New Divide,Linkin Park,1,1,3
2009-07-04,2,Use Somebody,Kings of Leon,3,2,3
2009-07-04,3,Know Your Enemy,Green Day,2,1,3
2009-07-04,4,Panic Switch,Silversun Pickups,4,4,3
2009-07-04,5,Sound Of Madness,Shinedown,5,5,3
2009-07-04,6,Ain't No Rest For The Wicked,Cage the Elephant,7,6,3
2009-07-04,7,Careless Whisper,Seether,6,4,3
2009-07-04,8,Second Chance,Shinedown,10,8,3
2009-07-04,9,The Night,Disturbed,8,8,3
2009-07-04,10,21 Guns,Green Day,14,10,3
2009-07-04,11,Drowning (Face Down),Saving Abel,12,11,3
2009-07-04,12,Feel Good Drag,Anberlin,13,12,3
2009-07-04,13,Lifeline,Papa Roach,9,5,3
2009-07-04,14,Champagne,Cavo,16,14,3
2009-07-04,15,Sex On Fire,Kings of Leon,11,10,3
