Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",-,1,1
2022-02-19,2,Bleikur Og Blar,Fridrik Dor,-,2,1
2022-02-19,3,abcdefu,GAYLE,-,3,1
2022-02-19,4,Dvel Eg I Draumaholl,Hafdis Huld,-,4,1
2022-02-19,5,Heat Waves,Glass Animals,-,5,1
2022-02-19,6,Pushin P,Gunna & Future Featuring Young Thug,-,6,1
2022-02-19,7,Litlar Stjornur,Hafdis Huld,-,7,1
2022-02-19,8,Oskasteinar,Hafdis Huld,-,8,1
2022-02-19,9,Surface Pressure,Jessica Darrow,-,9,1
2022-02-19,10,Sofdu Unga Astin Min,Hafdis Huld,-,10,1
2022-02-19,11,Ormagna,Fridrik Dor,-,11,1
2022-02-19,12,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,12,1
2022-02-19,13,Sofa Urtuborn,Hafdis Huld,-,13,1
2022-02-19,14,Ljos,Hafdis Huld,-,14,1
2022-02-19,15,Bium Bium Bambalo,Hafdis Huld,-,15,1
2022-02-19,16,Aevintyrahond,Hafdis Huld,-,16,1
2022-02-19,17,Typan,Fridrik Dor,-,17,1
2022-02-19,18,Pu,Fridrik Dor,-,18,1
2022-02-19,19,Fingers Crossed,Lauren Spencer Smith,-,19,1
2022-02-19,20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",-,20,1
2022-02-19,21,Enemy,Imagine Dragons X JID,-,21,1
2022-02-19,22,Einn Dans Vid Mig,Fridrik Dor,-,22,1
2022-02-19,23,Goda Nott,Hafdis Huld,-,23,1
2022-02-19,24,Easy On Me,Adele,-,24,1
2022-02-19,25,Solskin,Hafdis Huld,-,25,1
2022-02-26,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,2
2022-02-26,2,abcdefu,GAYLE,3,2,2
2022-02-26,3,Heat Waves,Glass Animals,5,3,2
2022-02-26,4,Dvel Eg I Draumaholl,Hafdis Huld,4,4,2
2022-02-26,5,Bleikur Og Blar,Fridrik Dor,2,2,2
2022-02-26,6,Pushin P,Gunna & Future Featuring Young Thug,6,6,2
2022-02-26,7,Litlar Stjornur,Hafdis Huld,7,7,2
2022-02-26,8,Oskasteinar,Hafdis Huld,8,8,2
2022-02-26,9,Sofdu Unga Astin Min,Hafdis Huld,10,9,2
2022-02-26,10,Surface Pressure,Jessica Darrow,9,9,2
2022-02-26,11,Cold Heart (PNAU Remix),Elton John & Dua Lipa,12,11,2
2022-02-26,12,Sofa Urtuborn,Hafdis Huld,13,12,2
2022-02-26,13,Ljos,Hafdis Huld,14,13,2
2022-02-26,14,Bium Bium Bambalo,Hafdis Huld,15,14,2
2022-02-26,15,Aevintyrahond,Hafdis Huld,16,15,2
2022-02-26,16,Enemy,Imagine Dragons X JID,21,16,2
2022-02-26,17,Easy On Me,Adele,24,17,2
2022-02-26,18,Solskin,Hafdis Huld,25,18,2
2022-02-26,19,Goda Nott,Hafdis Huld,23,19,2
2022-02-26,20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",20,20,2
2022-02-26,21,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",-,21,1
2022-02-26,22,Stay,The Kid Laroi & Justin Bieber,-,22,1
2022-02-26,23,Shivers,Ed Sheeran,-,23,1
2022-02-26,24,Sofdu,Hafdis Huld,-,24,1
2022-02-26,25,Nottin Laedist Inn,Hafdis Huld,-,25,1
2022-03-05,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,3
2022-03-05,2,Dvel Eg I Draumaholl,Hafdis Huld,4,2,3
2022-03-05,3,Heat Waves,Glass Animals,3,3,3
2022-03-05,4,abcdefu,GAYLE,2,2,3
2022-03-05,5,Litlar Stjornur,Hafdis Huld,7,5,3
2022-03-05,6,Oskasteinar,Hafdis Huld,8,6,3
2022-03-05,7,Sofdu Unga Astin Min,Hafdis Huld,9,7,3
2022-03-05,8,Sofa Urtuborn,Hafdis Huld,12,8,3
2022-03-05,9,Ljos,Hafdis Huld,13,9,3
2022-03-05,10,Bleikur Og Blar,Fridrik Dor,5,2,3
2022-03-05,11,Bium Bium Bambalo,Hafdis Huld,14,11,3
2022-03-05,12,Pushin P,Gunna & Future Featuring Young Thug,6,6,3
2022-03-05,13,Aevintyrahond,Hafdis Huld,15,13,3
2022-03-05,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,11,11,3
2022-03-05,15,Surface Pressure,Jessica Darrow,10,9,3
2022-03-05,16,Goda Nott,Hafdis Huld,19,16,3
2022-03-05,17,Solskin,Hafdis Huld,18,17,3
2022-03-05,18,Enemy,Imagine Dragons X JID,16,16,3
2022-03-05,19,Sofdu,Hafdis Huld,24,19,2
2022-03-05,20,Nottin Laedist Inn,Hafdis Huld,25,20,2
2022-03-05,21,Bi Bi Og Blaka,Hafdis Huld,-,21,1
2022-03-05,22,Frost Er Uti Fuglinn Minn,Hafdis Huld,-,22,1
2022-03-05,23,Bad Habits,Ed Sheeran,-,23,1
2022-03-05,24,Easy On Me,Adele,17,17,3
2022-03-05,25,Shivers,Ed Sheeran,23,23,2
2022-03-12,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,4
2022-03-12,2,Dvel Eg I Draumaholl,Hafdis Huld,2,2,4
2022-03-12,3,Heat Waves,Glass Animals,3,3,4
2022-03-12,4,abcdefu,GAYLE,4,2,4
2022-03-12,5,Litlar Stjornur,Hafdis Huld,5,5,4
2022-03-12,6,Oskasteinar,Hafdis Huld,6,6,4
2022-03-12,7,Sofdu Unga Astin Min,Hafdis Huld,7,7,4
2022-03-12,8,Sofa Urtuborn,Hafdis Huld,8,8,4
2022-03-12,9,Bium Bium Bambalo,Hafdis Huld,11,9,4
2022-03-12,10,Ljos,Hafdis Huld,9,9,4
2022-03-12,11,Cold Heart (PNAU Remix),Elton John & Dua Lipa,14,11,4
2022-03-12,12,Aevintyrahond,Hafdis Huld,13,12,4
2022-03-12,13,Med Haekkandi Sol,"Sigga Eypors, Beta Ey & Elin Ey",-,13,1
2022-03-12,14,All I Know,Stefan Oli,-,14,1
2022-03-12,15,Solskin,Hafdis Huld,17,15,4
2022-03-12,16,Bleikur Og Blar,Fridrik Dor,10,2,4
2022-03-12,17,Enemy,Imagine Dragons X JID,18,16,4
2022-03-12,18,Goda Nott,Hafdis Huld,16,16,4
2022-03-12,19,Pushin P,Gunna & Future Featuring Young Thug,12,6,4
2022-03-12,20,Nottin Laedist Inn,Hafdis Huld,20,20,3
2022-03-12,21,Sofdu,Hafdis Huld,19,19,3
2022-03-12,22,Bi Bi Og Blaka,Hafdis Huld,21,21,2
2022-03-12,23,Frost Er Uti Fuglinn Minn,Hafdis Huld,22,22,2
2022-03-12,24,Surface Pressure,Jessica Darrow,15,9,4
2022-03-12,25,Stay,The Kid Laroi & Justin Bieber,-,22,2
2022-03-19,1,Tokum Af Stad,Daughters Of Reykjavik,-,1,1
2022-03-19,2,Heat Waves,Glass Animals,3,2,5
2022-03-19,3,Dvel Eg I Draumaholl,Hafdis Huld,2,2,5
2022-03-19,4,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,5
2022-03-19,5,abcdefu,GAYLE,4,2,5
2022-03-19,6,Litlar Stjornur,Hafdis Huld,5,5,5
2022-03-19,7,Oskasteinar,Hafdis Huld,6,6,5
2022-03-19,8,Sofdu Unga Astin Min,Hafdis Huld,7,7,5
2022-03-19,9,Sofa Urtuborn,Hafdis Huld,8,8,5
2022-03-19,10,Ljos,Hafdis Huld,10,9,5
2022-03-19,11,Bleikur Og Blar,Fridrik Dor,16,2,5
2022-03-19,12,All I Know,Stefan Oli,14,12,2
2022-03-19,13,Bium Bium Bambalo,Hafdis Huld,9,9,5
2022-03-19,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,11,11,5
2022-03-19,15,I'm Tired,Labrinth & Zendaya,-,15,1
2022-03-19,16,Aevintyrahond,Hafdis Huld,12,12,5
