Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Srivalli,Sid Sriram,-,1,1
2022-02-19,2,Oo Antava Oo Oo Antava,Indravathi Chauhan,-,2,1
2022-02-19,3,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Sunidhi Chauhan,-,3,1
2022-02-19,4,Shree Hanuman Chalisa,Hariharan,-,4,1
2022-02-19,5,Excuses,"AP Dhillon, Intense & Gurinder Gill",-,5,1
2022-02-19,6,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Mounika Yadav,-,6,1
2022-02-19,7,Bijlee Bijlee,Harrdy Sandhu,-,7,1
2022-02-19,8,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",Jubin Nautiyal & Neeti Mohan,-,8,1
2022-02-19,9,"Raataan Lambiyan (From ""Shershaah"")",Jubin Nautiyal & Asees Kaur,-,9,1
2022-02-19,10,"Tillu Anna DJ Pedithe (From ""DJ Tillu"")",Ram Miriyala,-,10,1
2022-02-19,11,"Tum Tum (From ""Enemy - Tamil"")","Sri Vardhini , Aditi, Satya Yamini, Roshini & Tejaswini",-,11,1
2022-02-19,12,Dil Galti Kar Baitha Hai,Jubin Nautiyal,-,12,1
2022-02-19,13,Raja Ji Khoon Kaida,Shilpi Raj,-,13,1
2022-02-19,14,Jugnu,Badshah Featuring Nikhita Gandhi,-,14,1
2022-02-19,15,Reliya Re,Shilpi Raj,-,15,1
2022-02-19,16,"Oo Solriya Oo Oo Solriya (From ""Pushpa - The Rise Part - 01"")",Andrea Jeremiah,-,16,1
2022-02-19,17,"Ranjha (From ""Shershaah"")",Jasleen Royal & B. Praak,-,17,1
2022-02-19,18,Naach Re Patarki,Arvind Akela Kallu & Shilpi Raj,-,18,1
2022-02-19,19,52 Gaj Ka Daman,Renuka Panwar,-,19,1
2022-02-19,20,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Sithara Krishnakumar,-,20,1
2022-02-19,21,"Tip Tip (From ""Sooryavanshi"")",Udit Narayan & Alka Yagnik,-,21,1
2022-02-19,22,Kabootar,Renuka Panwar & Surender Romio,-,22,1
2022-02-19,23,"Chaka Chakalathi (From ""Galatta Kalyaanam"")",Shreya Ghoshal,-,23,1
2022-02-19,24,"Kusu Kusu (From ""Satyameva Jayate 2"")",Zahrah S Khan & Dev Negi Featuring Nora Fatehi,-,24,1
2022-02-19,25,"Adiye (From ""Bachelor"")",Kapoil Kapilan,-,25,1
2022-02-26,1,Srivalli,Sid Sriram,1,1,2
2022-02-26,2,"Kalaavathi (From ""Sarkaru Vari Paata"")",Sid Sriram,-,2,1
2022-02-26,3,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Sunidhi Chauhan,3,3,2
2022-02-26,4,Oo Antava Oo Oo Antava,Indravathi Chauhan,2,2,2
2022-02-26,5,Shree Hanuman Chalisa,Hariharan,4,4,2
2022-02-26,6,"Tillu Anna DJ Pedithe (From ""DJ Tillu"")",Ram Miriyala,10,6,2
2022-02-26,7,Excuses,"AP Dhillon, Intense & Gurinder Gill",5,5,2
2022-02-26,8,"Raataan Lambiyan (From ""Shershaah"")",Jubin Nautiyal & Asees Kaur,9,8,2
2022-02-26,9,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Mounika Yadav,6,6,2
2022-02-26,10,Raja Ji Khoon Kaida,Shilpi Raj,13,10,2
2022-02-26,11,Bijlee Bijlee,Harrdy Sandhu,7,7,2
2022-02-26,12,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",Jubin Nautiyal & Neeti Mohan,8,8,2
2022-02-26,13,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Sithara Krishnakumar,20,13,2
2022-02-26,14,Reliya Re,Shilpi Raj,15,14,2
2022-02-26,15,Dhokha,Arijit Singh,-,15,1
2022-02-26,16,Aeeha Sasuraaree Jeeja Jee,Ankush Raja & Shilpi Raj,-,16,1
2022-02-26,17,"Dholida (From ""Gangubai Kathiawadi"")",Jahnvi Shrimankar & Shail Hada,-,17,1
2022-02-26,18,"Doobey (From ""Gehraiyaan"")",Lothika,-,18,1
2022-02-26,19,Jugnu,Badshah Featuring Nikhita Gandhi,14,14,2
2022-02-26,20,"Tum Tum (From ""Enemy - Tamil"")","Sri Vardhini , Aditi, Satya Yamini, Roshini & Tejaswini",11,11,2
2022-02-26,21,"Ranjha (From ""Shershaah"")",Jasleen Royal & B. Praak,17,17,2
2022-02-26,22,Kabootar,Renuka Panwar & Surender Romio,22,22,2
2022-02-26,23,Dil Galti Kar Baitha Hai,Jubin Nautiyal,12,12,2
2022-02-26,24,52 Gaj Ka Daman,Renuka Panwar,19,19,2
2022-02-26,25,Naach Re Patarki,Arvind Akela Kallu & Shilpi Raj,18,18,2
2022-03-05,1,Srivalli,Sid Sriram,1,1,3
2022-03-05,2,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Sunidhi Chauhan,3,2,3
2022-03-05,3,Shree Hanuman Chalisa,Hariharan,5,3,3
2022-03-05,4,"Tillu Anna DJ Pedithe (From ""DJ Tillu"")",Ram Miriyala,6,4,3
2022-03-05,5,"Kalaavathi (From ""Sarkaru Vari Paata"")",Sid Sriram,2,2,2
2022-03-05,6,Oo Antava Oo Oo Antava,Indravathi Chauhan,4,2,3
2022-03-05,7,Excuses,"AP Dhillon, Intense & Gurinder Gill",7,5,3
2022-03-05,8,Dhokha,Arijit Singh,15,8,2
2022-03-05,9,"Raataan Lambiyan (From ""Shershaah"")",Jubin Nautiyal & Asees Kaur,8,8,3
2022-03-05,10,Raja Ji Khoon Kaida,Shilpi Raj,10,10,3
2022-03-05,11,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",Jubin Nautiyal & Neeti Mohan,12,8,3
2022-03-05,12,Bijlee Bijlee,Harrdy Sandhu,11,7,3
2022-03-05,13,Aeeha Sasuraaree Jeeja Jee,Ankush Raja & Shilpi Raj,16,13,2
2022-03-05,14,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Mounika Yadav,9,6,3
2022-03-05,15,Kabootar,Renuka Panwar & Surender Romio,22,15,3
2022-03-05,16,Reliya Re,Shilpi Raj,14,14,3
2022-03-05,17,Arabic Kuthu (From Beast),Anirudh Ravichander & Jonita Gandhi,-,17,1
2022-03-05,18,"Tum Tum (From ""Enemy - Tamil"")","Sri Vardhini , Aditi, Satya Yamini, Roshini & Tejaswini",20,11,3
2022-03-05,19,Naach Re Patarki 2.0,Arvind Akela Kallu & Shilpi Raj,-,19,1
2022-03-05,20,"Meri Jaan (From ""Gangubai Kathiawadi"")",Neeti Mohan,-,20,1
2022-03-05,21,"Ranjha (From ""Shershaah"")",Jasleen Royal & B. Praak,21,17,3
2022-03-05,22,"Doobey (From ""Gehraiyaan"")",Lothika,18,18,2
2022-03-05,23,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Sithara Krishnakumar,13,13,3
2022-03-05,24,Dil Galti Kar Baitha Hai,Jubin Nautiyal,23,12,3
2022-03-05,25,Jugnu,Badshah Featuring Nikhita Gandhi,19,14,3
2022-03-12,1,Srivalli,Sid Sriram,1,1,4
2022-03-12,2,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Sunidhi Chauhan,2,2,4
2022-03-12,3,Shree Hanuman Chalisa,Hariharan,3,3,4
2022-03-12,4,Excuses,"AP Dhillon, Intense & Gurinder Gill",7,4,4
2022-03-12,5,"Tillu Anna DJ Pedithe (From ""DJ Tillu"")",Ram Miriyala,4,4,4
2022-03-12,6,"Kalaavathi (From ""Sarkaru Vari Paata"")",Sid Sriram,5,2,3
2022-03-12,7,Kabootar,Renuka Panwar & Surender Romio,15,7,4
2022-03-12,8,Oo Antava Oo Oo Antava,Indravathi Chauhan,6,2,4
2022-03-12,9,"Raataan Lambiyan (From ""Shershaah"")",Jubin Nautiyal & Asees Kaur,9,8,4
2022-03-12,10,"Dholida (From ""Gangubai Kathiawadi"")",Jahnvi Shrimankar & Shail Hada,-,10,2
2022-03-12,11,Raja Ji Khoon Kaida,Shilpi Raj,10,10,4
2022-03-12,12,"Meri Zindagi Hai Tu (From ""Satyameva Jayate 2"")",Jubin Nautiyal & Neeti Mohan,11,8,4
2022-03-12,13,Bijlee Bijlee,Harrdy Sandhu,12,7,4
2022-03-12,14,"Jaan Hai Meri (From ""Radhe Shyam"")",Armaan Malik,-,14,1
2022-03-12,15,Aeeha Sasuraaree Jeeja Jee,Ankush Raja & Shilpi Raj,13,13,3
2022-03-12,16,"Saami Saami (From ""Pushpa - The Rise Part - 01"")",Mounika Yadav,14,6,4
2022-03-12,17,"Namo Namo (From ""Kedarnath"")",Amit Trivedi,-,17,1
2022-03-12,18,Arabic Kuthu (From Beast),Anirudh Ravichander & Jonita Gandhi,17,17,2
2022-03-12,19,Dil Galti Kar Baitha Hai,Jubin Nautiyal,24,12,4
2022-03-12,20,Parvati Boli Shankar Se,Hansraj Raghuwanshi,-,20,1
2022-03-12,21,"Ranjha (From ""Shershaah"")",Jasleen Royal & B. Praak,21,17,4
