Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Merasa Indah,Tiara Andini,-,1,1
2022-02-19,2,Every Summertime,NIKI,-,2,1
2022-02-19,3,Sisa Rasa,Mahalini,-,3,1
2022-02-19,4,Ghost,Justin Bieber,-,4,1
2022-02-19,5,Easy On Me,Adele,-,5,1
2022-02-19,6,Heat Waves,Glass Animals,-,6,1
2022-02-19,7,Kukira Kau Rumah,Amigdala,-,7,1
2022-02-19,8,Bagaimana Kalau Aku Tidak Baik Baik Saja,Judika,-,8,1
2022-02-19,9,Child,Mark,-,9,1
2022-02-19,10,Pesan Terakhir,Lyodra,-,10,1
2022-02-19,11,I Love You So,The Walters,-,11,1
2022-02-19,12,Step Back,GOT The Beat,-,12,1
2022-02-19,13,Runtuh,Feby Putri Featuring Fiersa Besari,-,13,1
2022-02-19,14,To The Bone,Pamungkas,-,14,1
2022-02-19,15,abcdefu,GAYLE,-,15,1
2022-02-19,16,Favorite Girl,Justin Bieber,-,16,1
2022-02-19,17,Takut,Idgitaf,-,17,1
2022-02-19,18,Dandelions,Ruth B,-,18,1
2022-02-19,19,Melawan Restu,Mahalini,-,19,1
2022-02-19,20,Duka,Last Child,-,20,1
2022-02-19,21,Stay,The Kid Laroi & Justin Bieber,-,21,1
2022-02-19,22,It's Only Me,Kaleb J,-,22,1
2022-02-19,23,Here's Your Perfect,Jamie Miller,-,23,1
2022-02-19,24,Traitor,Olivia Rodrigo,-,24,1
2022-02-19,25,Secret Love Song,Little Mix Featuring Jason Derulo,-,25,1
2022-02-26,1,JIKJIN,TREASURE,-,1,1
2022-02-26,2,Merasa Indah,Tiara Andini,1,1,2
2022-02-26,3,Every Summertime,NIKI,2,2,2
2022-02-26,4,Ghost,Justin Bieber,4,4,2
2022-02-26,5,Sisa Rasa,Mahalini,3,3,2
2022-02-26,6,Easy On Me,Adele,5,5,2
2022-02-26,7,Heat Waves,Glass Animals,6,6,2
2022-02-26,8,Stay Alive,Jung Kook,-,8,1
2022-02-26,9,Bagaimana Kalau Aku Tidak Baik Baik Saja,Judika,8,8,2
2022-02-26,10,Pesan Terakhir,Lyodra,10,10,2
2022-02-26,11,Kukira Kau Rumah,Amigdala,7,7,2
2022-02-26,12,I Love You So,The Walters,11,11,2
2022-02-26,13,Runtuh,Feby Putri Featuring Fiersa Besari,13,13,2
2022-02-26,14,To The Bone,Pamungkas,14,14,2
2022-02-26,15,Dandelions,Ruth B,18,15,2
2022-02-26,16,Melawan Restu,Mahalini,19,16,2
2022-02-26,17,abcdefu,GAYLE,15,15,2
2022-02-26,18,Step Back,GOT The Beat,12,12,2
2022-02-26,19,Takut,Idgitaf,17,17,2
2022-02-26,20,Favorite Girl,Justin Bieber,16,16,2
2022-02-26,21,Stay,The Kid Laroi & Justin Bieber,21,21,2
2022-02-26,22,Duka,Last Child,20,20,2
2022-02-26,23,Here's Your Perfect,Jamie Miller,23,23,2
2022-02-26,24,It's Only Me,Kaleb J,22,22,2
2022-02-26,25,Traitor,Olivia Rodrigo,24,24,2
2022-03-05,1,JIKJIN,TREASURE,1,1,2
2022-03-05,2,Merasa Indah,Tiara Andini,2,1,3
2022-03-05,3,Ghost,Justin Bieber,4,3,3
2022-03-05,4,Every Summertime,NIKI,3,2,3
2022-03-05,5,DARARI,TREASURE,-,5,1
2022-03-05,6,Sisa Rasa,Mahalini,5,3,3
2022-03-05,7,Easy On Me,Adele,6,5,3
2022-03-05,8,Heat Waves,Glass Animals,7,6,3
2022-03-05,9,Bagaimana Kalau Aku Tidak Baik Baik Saja,Judika,9,8,3
2022-03-05,10,Pesan Terakhir,Lyodra,10,10,3
2022-03-05,11,Runtuh,Feby Putri Featuring Fiersa Besari,13,11,3
2022-03-05,12,To The Bone,Pamungkas,14,12,3
2022-03-05,13,I Love You So,The Walters,12,11,3
2022-03-05,14,Dandelions,Ruth B,15,14,3
2022-03-05,15,Melawan Restu,Mahalini,16,15,3
2022-03-05,16,Kukira Kau Rumah,Amigdala,11,7,3
2022-03-05,17,abcdefu,GAYLE,17,15,3
2022-03-05,18,Stay,The Kid Laroi & Justin Bieber,21,18,3
2022-03-05,19,Polaroid Love,ENHYPEN,-,19,1
2022-03-05,20,Mesin Waktu,Budi Doremi,-,20,1
2022-03-05,21,Here's Your Perfect,Jamie Miller,23,21,3
2022-03-05,22,Madiun Ngawi,Happy Asmara Featuring Denny Caknan,-,22,1
2022-03-05,23,Favorite Girl,Justin Bieber,20,16,3
2022-03-05,24,Strawberries & Cigarettes,Troye Sivan,-,24,1
2022-03-05,25,Duka,Last Child,22,20,3
2022-03-12,1,JIKJIN,TREASURE,1,1,3
2022-03-12,2,DARARI,TREASURE,5,2,2
2022-03-12,3,Merasa Indah,Tiara Andini,2,1,4
2022-03-12,4,Sisa Rasa,Mahalini,6,3,4
2022-03-12,5,Ghost,Justin Bieber,3,3,4
2022-03-12,6,Every Summertime,NIKI,4,2,4
2022-03-12,7,Easy On Me,Adele,7,5,4
2022-03-12,8,Heat Waves,Glass Animals,8,6,4
2022-03-12,9,Bagaimana Kalau Aku Tidak Baik Baik Saja,Judika,9,8,4
2022-03-12,10,Runtuh,Feby Putri Featuring Fiersa Besari,11,10,4
2022-03-12,11,Melawan Restu,Mahalini,15,11,4
2022-03-12,12,Pesan Terakhir,Lyodra,10,10,4
2022-03-12,13,To The Bone,Pamungkas,12,12,4
2022-03-12,14,Dandelions,Ruth B,14,14,4
2022-03-12,15,I Love You So,The Walters,13,11,4
2022-03-12,16,Bertahan Terluka,Fabio Asher,-,16,1
2022-03-12,17,Mesin Waktu,Budi Doremi,20,17,2
2022-03-12,18,Polaroid Love,ENHYPEN,19,18,2
2022-03-12,19,Kukira Kau Rumah,Amigdala,16,7,4
2022-03-12,20,abcdefu,GAYLE,17,15,4
2022-03-12,21,Here's Your Perfect,Jamie Miller,21,21,4
2022-03-12,22,Stay,The Kid Laroi & Justin Bieber,18,18,4
2022-03-12,23,It's Only Me,Kaleb J,-,22,3
2022-03-12,24,Traitor,Olivia Rodrigo,-,24,3
2022-03-12,25,Duka,Last Child,25,20,4
2022-03-19,1,Hati-Hati di Jalan,Tulus,-,1,1
2022-03-19,2,Diri,Tulus,-,2,1
2022-03-19,3,DARARI,TREASURE,2,2,3
2022-03-19,4,Interaksi,Tulus,-,4,1
2022-03-19,5,Sisa Rasa,Mahalini,4,3,5
2022-03-19,6,Bertahan Terluka,Fabio Asher,16,6,2
2022-03-19,7,Merasa Indah,Tiara Andini,3,1,5
2022-03-19,8,Tujuh Belas,Tulus,-,8,1
2022-03-19,9,Ghost,Justin Bieber,5,3,5
2022-03-19,10,Ingkar,Tulus,-,10,1
2022-03-19,11,Satu Kali,Tulus,-,11,1
2022-03-19,12,Jatuh Suka,Tulus,-,12,1
2022-03-19,13,JIKJIN,TREASURE,1,1,4
2022-03-19,14,Every Summertime,NIKI,6,2,5
2022-03-19,15,Runtuh,Feby Putri Featuring Fiersa Besari,10,10,5
2022-03-19,16,Kelana,Tulus,-,16,1
2022-03-19,17,Easy On Me,Adele,7,5,5
2022-03-19,18,Heat Waves,Glass Animals,8,6,5
2022-03-19,19,Remedi,Tulus,-,19,1
2022-03-19,20,Pesan Terakhir,Lyodra,12,10,5
2022-03-19,21,Melawan Restu,Mahalini,11,11,5
2022-03-19,22,Bagaimana Kalau Aku Tidak Baik Baik Saja,Judika,9,8,5
2022-03-19,23,Nala,Tulus,-,23,1
2022-03-19,24,Hingga Tua Bersama,Rizky Febian,-,24,1
2022-03-19,25,To The Bone,Pamungkas,13,12,5
2022-03-26,1,Hati-Hati di Jalan,Tulus,1,1,2
2022-03-26,2,Diri,Tulus,2,2,2
2022-03-26,3,Bertahan Terluka,Fabio Asher,6,3,3
2022-03-26,4,Sisa Rasa,Mahalini,5,3,6
2022-03-26,5,DARARI,TREASURE,3,2,4
2022-03-26,6,Interaksi,Tulus,4,4,2
2022-03-26,7,Merasa Indah,Tiara Andini,7,1,6
2022-03-26,8,Ghost,Justin Bieber,9,3,6
2022-03-26,9,Hingga Tua Bersama,Rizky Febian,24,9,2
2022-03-26,10,Tujuh Belas,Tulus,8,8,2
2022-03-26,11,Every Summertime,NIKI,14,2,6
2022-03-26,12,Runtuh,Feby Putri Featuring Fiersa Besari,15,10,6
2022-03-26,13,JIKJIN,TREASURE,13,1,5
2022-03-26,14,Tutur Batin,Yura Yunita,-,14,1
2022-03-26,15,Monokrom,Tulus,-,15,1
2022-03-26,16,Easy On Me,Adele,17,5,6
2022-03-26,17,Heat Waves,Glass Animals,18,6,6
2022-03-26,18,Jatuh Suka,Tulus,12,12,2
2022-03-26,19,Pesan Terakhir,Lyodra,20,10,6
2022-03-26,20,Melawan Restu,Mahalini,21,11,6
2022-03-26,21,Bagaimana Kalau Aku Tidak Baik Baik Saja,Judika,22,8,6
2022-03-26,22,Ingkar,Tulus,10,10,2
2022-03-26,23,Satu Kali,Tulus,11,11,2
2022-03-26,24,To The Bone,Pamungkas,25,12,6
2022-03-26,25,Mesin Waktu,Budi Doremi,-,17,3
2022-04-02,1,Hati-Hati di Jalan,Tulus,1,1,3
2022-04-02,2,Diri,Tulus,2,2,3
2022-04-02,3,Bertahan Terluka,Fabio Asher,3,3,4
2022-04-02,4,Sisa Rasa,Mahalini,4,3,7
2022-04-02,5,DARARI,TREASURE,5,2,5
2022-04-02,6,Merasa Indah,Tiara Andini,7,1,7
2022-04-02,7,Ghost,Justin Bieber,8,3,7
2022-04-02,8,Feel My Rhythm,Red Velvet,-,8,1
2022-04-02,9,Interaksi,Tulus,6,4,3
2022-04-02,10,Hingga Tua Bersama,Rizky Febian,9,9,3
