Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",-,1,1
2022-02-19,2,Where Are You Now,Lost Frequencies & Calum Scott,-,2,1
2022-02-19,3,abcdefu,GAYLE,-,3,1
2022-02-19,4,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,4,1
2022-02-19,5,Make Me Feel Good,Belters Only & Jazzy,-,5,1
2022-02-19,6,Shivers,Ed Sheeran,-,6,1
2022-02-19,7,Seventeen Going Under,Sam Fender,-,7,1
2022-02-19,8,Bad Habits,Ed Sheeran,-,8,1
2022-02-19,9,Easy On Me,Adele,-,9,1
2022-02-19,10,Heat Waves,Glass Animals,-,10,1
2022-02-19,11,She's All I Wanna Be,Tate McRae,-,11,1
2022-02-19,12,Lost,Frank Ocean,-,12,1
2022-02-19,13,Fingers Crossed,Lauren Spencer Smith,-,13,1
2022-02-19,14,Stay,The Kid Laroi & Justin Bieber,-,14,1
2022-02-19,15,Surface Pressure,Jessica Darrow,-,15,1
2022-02-19,16,Oh My God,Adele,-,16,1
2022-02-19,17,Thats What I Want,Lil Nas X,-,17,1
2022-02-19,18,Do It To It,Acraze Featuring Cherish,-,18,1
2022-02-19,19,Peru,Fireboy DML & Ed Sheeran,-,19,1
2022-02-19,20,The Motto,Tiesto & Ava Max,-,20,1
2022-02-19,21,Better Days,Dermot Kennedy,-,21,1
2022-02-19,22,Ghost,Justin Bieber,-,22,1
2022-02-19,23,Enemy,Imagine Dragons X JID,-,23,1
2022-02-19,24,Good 4 U,Olivia Rodrigo,-,24,1
2022-02-19,25,Industry Baby,Lil Nas X & Jack Harlow,-,25,1
2022-02-26,1,Where Are You Now,Lost Frequencies & Calum Scott,2,1,2
2022-02-26,2,Make Me Feel Good,Belters Only & Jazzy,5,2,2
2022-02-26,3,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,2
2022-02-26,4,abcdefu,GAYLE,3,3,2
2022-02-26,5,Cold Heart (PNAU Remix),Elton John & Dua Lipa,4,4,2
2022-02-26,6,Seventeen Going Under,Sam Fender,7,6,2
2022-02-26,7,Shivers,Ed Sheeran,6,6,2
2022-02-26,8,Bad Habits,Ed Sheeran,8,8,2
2022-02-26,9,The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,-,9,1
2022-02-26,10,Heat Waves,Glass Animals,10,10,2
2022-02-26,11,Easy On Me,Adele,9,9,2
2022-02-26,12,Lost,Frank Ocean,12,12,2
