Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2023-06-17,1,La Divina Commedia (Deluxe),Tedua,-,1,1
2023-06-17,2,Santana Season,Shiva,-,2,1
2023-06-17,3,Il Coraggio dei Bambini- Atto II,Geolier,-,3,1
2023-06-17,4,Materia (Prisma),Marco Mengoni,-,4,1
2023-06-17,5,Sirio,Lazza,-,5,1
2023-06-17,6,Fake News,Pinguini Tattici Nucleari,-,6,1
2023-06-17,7,Innocente,Baby Gang,-,7,1
2023-06-17,8,Effetto Notte,Emis Killa,-,8,1
2023-06-17,9,The Show,Niall Horan,-,9,1
2023-06-17,10,Innamorato,Blanco,-,10,1
2023-06-17,11,Disco X,Daniele Silvestri,-,11,1
2023-06-17,12,"Rave, Eclissi",Tananai,-,12,1
2023-06-17,13,Io Non Ho Paura,Ernia,-,13,1
2023-06-17,14,Dentro,Gazzelle,-,14,1
2023-06-17,15,Milano Demons,Shiva,-,15,1
2023-06-17,16,Voglia Di Vivere,Angelina Mango,-,16,1
2023-06-17,17,Il Segreto,Venerus,-,17,1
2023-06-17,18,Nord Sud Ovest Est,883,-,18,1
2023-06-17,19,5-Star,Stray Kids,-,19,1
2023-06-17,20,C@Ra++Ere S?Ec!@Le,thasup,-,20,1
2023-06-17,21,Tradimento,Fabri Fibra,-,21,1
2023-06-17,22,Migrazione,Carl Brave,-,22,1
2023-06-17,23,Madreperla,Gue,-,23,1
2023-06-17,24,Elettraton,Elettra Lamborghini,-,24,1
2023-06-17,25,Taxi Driver,Rkomi,-,25,1
2023-06-24,1,La Divina Commedia (Deluxe),Tedua,1,1,2
2023-06-24,2,Habitat,Nayt & 3D,-,2,1
2023-06-24,3,Santana Season,Shiva,2,2,2
2023-06-24,4,Il Coraggio dei Bambini- Atto II,Geolier,3,3,2
2023-06-24,5,Materia (Prisma),Marco Mengoni,4,4,2
2023-06-24,6,Fake News,Pinguini Tattici Nucleari,6,6,2
2023-06-24,7,Sirio,Lazza,5,5,2
2023-06-24,8,Innamorato,Blanco,10,8,2
2023-06-24,9,Innocente,Baby Gang,7,7,2
2023-06-24,10,"Rave, Eclissi",Tananai,12,10,2
2023-06-24,11,Effetto Notte,Emis Killa,8,8,2
2023-06-24,12,Io Non Ho Paura,Ernia,13,12,2
2023-06-24,13,Voglia Di Vivere,Angelina Mango,16,13,2
2023-06-24,14,Milano Demons,Shiva,15,14,2
2023-06-24,15,Dentro,Gazzelle,14,14,2
2023-06-24,16,C@Ra++Ere S?Ec!@Le,thasup,20,16,2
2023-06-24,17,In Times New Roman...,Queens Of The Stone Age,-,17,1
2023-06-24,18,Madreperla,Gue,23,18,2
2023-06-24,19,Un Verano Sin Ti,Bad Bunny,30,19,2
2023-06-24,20,Taxi Driver,Rkomi,25,20,2
2023-06-24,21,5-Star,Stray Kids,19,19,2
2023-06-24,22,Ok. Respira,Elodie,26,22,2
2023-06-24,23,L'Amore,Madame,27,23,2
2023-06-24,24,Alba,Ultimo,34,24,2
2023-06-24,25,"Noi, Loro, Gli Altri",Marracash.,31,25,2
2023-07-01,1,La Divina Commedia (Deluxe),Tedua,1,1,3
2023-07-01,2,Il Coraggio dei Bambini- Atto II,Geolier,4,2,3
2023-07-01,3,Santana Season,Shiva,3,2,3
2023-07-01,4,Materia (Prisma),Marco Mengoni,5,4,3
2023-07-01,5,Fake News,Pinguini Tattici Nucleari,6,5,3
2023-07-01,6,Sirio,Lazza,7,5,3
2023-07-01,7,Innocente,Baby Gang,9,7,3
2023-07-01,8,Innamorato,Blanco,8,8,3
2023-07-01,9,Per Sempre,Paola & Chiara,26,9,3
2023-07-01,10,"Rave, Eclissi",Tananai,10,10,3
2023-07-01,11,Io Non Ho Paura,Ernia,12,11,3
2023-07-01,12,Effetto Notte,Emis Killa,11,8,3
2023-07-01,13,Milano Demons,Shiva,14,13,3
2023-07-01,14,Voglia Di Vivere,Angelina Mango,13,13,3
2023-07-01,15,C@Ra++Ere S?Ec!@Le,thasup,16,15,3
2023-07-01,16,Habitat,Nayt & 3D,2,2,2
2023-07-01,17,Jones,Vegas Jones,-,17,1
2023-07-01,18,Dentro,Gazzelle,15,14,3
2023-07-01,19,Un Verano Sin Ti,Bad Bunny,19,19,3
2023-07-01,20,Taxi Driver,Rkomi,20,20,3
2023-07-01,21,Ok. Respira,Elodie,22,21,3
2023-07-01,22,Madreperla,Gue,18,18,3
2023-07-01,23,Alba,Ultimo,24,23,3
2023-07-01,24,"Noi, Loro, Gli Altri",Marracash.,25,24,3
2023-07-01,25,Ahia!,Pinguini Tattici Nucleari,30,25,3
2023-07-08,1,La Divina Commedia (Deluxe),Tedua,1,1,4
2023-07-08,2,10,Drillionaire,-,2,1
2023-07-08,3,Il Coraggio dei Bambini- Atto II,Geolier,2,2,4
2023-07-08,4,Materia (Prisma),Marco Mengoni,4,4,4
2023-07-08,5,Fake News,Pinguini Tattici Nucleari,5,5,4
