Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2023-06-17,1,Hoe,Tedua Feat. Sfera Ebbasta,-,1,1
2023-06-17,2,Vetri Neri,"Ava, Anna & Capo Plaza",-,2,1
2023-06-17,3,Un Milione Di Volte,Shiva Feat. Sfera Ebbasta,-,3,1
2023-06-17,4,Disco Paradise,"Fedez, Annalisa & Articolo 31",-,4,1
2023-06-17,5,Mon Amour,Annalisa,-,5,1
2023-06-17,6,Rubami La Notte,Pinguini Tattici Nucleari,-,6,1
2023-06-17,7,Un Briciolo Di Allegria,Blanco & Mina,-,7,1
2023-06-17,8,Malamente,Tedua,-,8,1
2023-06-17,9,Cenere,Lazza,-,9,1
2023-06-17,10,Paradiso Artificiale,Tedua Feat. Baby Gang & Kid Yugi,-,10,1
2023-06-17,11,Ci Pensiamo Domani,Angelina Mango,-,11,1
2023-06-17,12,Gelosa,"Finesse Feat. Shiva, Sfera Ebbasta & Gue",-,12,1
2023-06-17,13,Bibidi Bobidi Bu,Shiva Feat. Paky,-,13,1
2023-06-17,14,Non Litighiamo Piu,Rocco Hunt,-,14,1
2023-06-17,15,Volgare,Tedua Feat. Lazza,-,15,1
2023-06-17,16,Red Light,Tedua,-,16,1
2023-06-17,17,Il Male Che Mi Fai,Geolier Feat. Marracash,-,17,1
2023-06-17,18,Come Vuoi,Geolier,-,18,1
2023-06-17,19,Mancanze Affettive,Tedua Feat. Geolier,-,19,1
2023-06-17,20,Mirage,"AriBeatz Feat. Ozuna, Gims & Sfera Ebbasta",-,20,1
2023-06-17,21,Italodisco,The Kolors,-,21,1
2023-06-17,22,Pazza Musica,Marco Mengoni & Elodie,-,22,1
2023-06-17,23,Anime Libere,Tedua Feat. Rkomi & Bresh,-,23,1
2023-06-17,24,On Fire (Paid In Full),Emis Killa & Sfera Ebbasta,-,24,1
2023-06-17,25,Tango,Tananai,-,25,1
2023-06-24,1,Hoe,Tedua Feat. Sfera Ebbasta,1,1,2
2023-06-24,2,Vetri Neri,"Ava, Anna & Capo Plaza",2,2,2
2023-06-24,3,Disco Paradise,"Fedez, Annalisa & Articolo 31",4,3,2
2023-06-24,4,Mon Amour,Annalisa,5,4,2
2023-06-24,5,Rubami La Notte,Pinguini Tattici Nucleari,6,5,2
2023-06-24,6,Un Milione Di Volte,Shiva Feat. Sfera Ebbasta,3,3,2
2023-06-24,7,Un Briciolo Di Allegria,Blanco & Mina,7,7,2
2023-06-24,8,Italodisco,The Kolors,21,8,2
2023-06-24,9,Ci Pensiamo Domani,Angelina Mango,11,9,2
2023-06-24,10,Cenere,Lazza,9,9,2
2023-06-24,11,Gelosa,"Finesse Feat. Shiva, Sfera Ebbasta & Gue",12,11,2
2023-06-24,12,Non Litighiamo Piu,Rocco Hunt,14,12,2
2023-06-24,13,Malamente,Tedua,8,8,2
2023-06-24,14,Come Vuoi,Geolier,18,14,2
2023-06-24,15,Mirage,"AriBeatz Feat. Ozuna, Gims & Sfera Ebbasta",20,15,2
2023-06-24,16,Paradiso Artificiale,Tedua Feat. Baby Gang & Kid Yugi,10,10,2
2023-06-24,17,Pazza Musica,Marco Mengoni & Elodie,22,17,2
2023-06-24,18,Il Male Che Mi Fai,Geolier Feat. Marracash,17,17,2
2023-06-24,19,Hollywood,"Irama, Rkomi & Shablo",33,19,2
2023-06-24,20,Where She Goes,Bad Bunny,45,20,2
2023-06-24,21,Fragole,Achille Lauro & Rose Villain,46,21,2
2023-06-24,22,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,30,22,2
2023-06-24,23,Parafulmini,"Ernia, Bresh & Fabri Fibra",32,23,2
2023-06-24,24,Taxi Sulla Luna,"Tony Effe, Emma, Takagi & Ketra",36,24,2
2023-06-24,25,Red Light,Tedua,16,16,2
2023-07-01,1,Bon Ton,"Drillionaire, Lazza & Blanco Feat. Sfera Ebbasta & Michelangelo",-,1,1
2023-07-01,2,Hoe,Tedua Feat. Sfera Ebbasta,1,1,3
2023-07-01,3,Vetri Neri,"Ava, Anna & Capo Plaza",2,2,3
2023-07-01,4,Disco Paradise,"Fedez, Annalisa & Articolo 31",3,3,3
2023-07-01,5,Italodisco,The Kolors,8,5,3
2023-07-01,6,Mon Amour,Annalisa,4,4,3
2023-07-01,7,Rubami La Notte,Pinguini Tattici Nucleari,5,5,3
2023-07-01,8,Ci Pensiamo Domani,Angelina Mango,9,8,3
2023-07-01,9,Un Milione Di Volte,Shiva Feat. Sfera Ebbasta,6,3,3
2023-07-01,10,Un Briciolo Di Allegria,Blanco & Mina,7,7,3
2023-07-01,11,Cenere,Lazza,10,9,3
2023-07-01,12,Gelosa,"Finesse Feat. Shiva, Sfera Ebbasta & Gue",11,11,3
2023-07-01,13,Non Litighiamo Piu,Rocco Hunt,12,12,3
2023-07-01,14,Pazza Musica,Marco Mengoni & Elodie,17,14,3
2023-07-01,15,Come Vuoi,Geolier,14,14,3
2023-07-01,16,Fragole,Achille Lauro & Rose Villain,21,16,3
2023-07-01,17,Where She Goes,Bad Bunny,20,17,3
2023-07-01,18,Mirage,"AriBeatz Feat. Ozuna, Gims & Sfera Ebbasta",15,15,3
2023-07-01,19,Hollywood,"Irama, Rkomi & Shablo",19,19,3
2023-07-01,20,Taxi Sulla Luna,"Tony Effe, Emma, Takagi & Ketra",24,20,3
2023-07-01,21,Malamente,Tedua,13,8,3
2023-07-01,22,Bellissimissima,Alfa,39,22,3
2023-07-01,23,Il Male Che Mi Fai,Geolier Feat. Marracash,18,17,3
2023-07-01,24,Parafulmini,"Ernia, Bresh & Fabri Fibra",23,23,3
2023-07-01,25,"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,22,22,3
2023-07-08,1,Bon Ton,"Drillionaire, Lazza & Blanco Feat. Sfera Ebbasta & Michelangelo",1,1,2
2023-07-08,2,Vetri Neri,"Ava, Anna & Capo Plaza",3,2,4
2023-07-08,3,Italodisco,The Kolors,5,3,4
2023-07-08,4,Disco Paradise,"Fedez, Annalisa & Articolo 31",4,3,4
2023-07-08,5,Hoe,Tedua Feat. Sfera Ebbasta,2,1,4
2023-07-08,6,Mon Amour,Annalisa,6,4,4
2023-07-08,7,90 Special,"Drillionaire, Sfera Ebbasta & Shiva",-,7,1
2023-07-08,8,Rubami La Notte,Pinguini Tattici Nucleari,7,5,4
2023-07-08,9,Ci Pensiamo Domani,Angelina Mango,8,8,4
2023-07-08,10,Yalla,"Drillionaire, Gue & Marracash",-,10,1
2023-07-08,11,Parole,"Drillionaire, Noemi, Lazza & Tedua",-,11,1
2023-07-08,12,Un Briciolo Di Allegria,Blanco & Mina,10,7,4
2023-07-08,13,Pazza Musica,Marco Mengoni & Elodie,14,13,4
2023-07-08,14,Cenere,Lazza,11,9,4
2023-07-08,15,Bellissimissima,Alfa,22,15,4
2023-07-08,16,Non Litighiamo Piu,Rocco Hunt,13,12,4
2023-07-08,17,Fashion,"Drillionaire, Anna, Lazza, Tony Effe & Benny Benassi",-,17,1
2023-07-08,18,Gelosa,"Finesse Feat. Shiva, Sfera Ebbasta & Gue",12,11,4
2023-07-08,19,Chiama,Drillionaire & Salmo Feat. Capo Plaza,-,19,1
2023-07-08,20,Un Milione Di Volte,Shiva Feat. Sfera Ebbasta,9,3,4
2023-07-08,21,Fragole,Achille Lauro & Rose Villain,16,16,4
2023-07-08,22,Taxi Sulla Luna,"Tony Effe, Emma, Takagi & Ketra",20,20,4
2023-07-08,23,10,"Drillionaire, Sfera Ebbasta & Lazza",-,23,1
2023-07-08,24,Where She Goes,Bad Bunny,17,17,4
2023-07-08,25,Come Vuoi,Geolier,15,14,4
2023-07-15,1,Italodisco,The Kolors,3,1,5
2023-07-15,2,Vetri Neri,"Ava, Anna & Capo Plaza",2,2,5
2023-07-15,3,Disco Paradise,"Fedez, Annalisa & Articolo 31",4,3,5
2023-07-15,4,Bon Ton,"Drillionaire, Lazza & Blanco Feat. Sfera Ebbasta & Michelangelo",1,1,3
2023-07-15,5,Rubami La Notte,Pinguini Tattici Nucleari,8,5,5
2023-07-15,6,Mon Amour,Annalisa,6,4,5
2023-07-15,7,Hoe,Tedua Feat. Sfera Ebbasta,5,1,5
2023-07-15,8,Ci Pensiamo Domani,Angelina Mango,9,8,5
2023-07-15,9,Bellissimissima,Alfa,15,9,5
2023-07-15,10,Pazza Musica,Marco Mengoni & Elodie,13,10,5
2023-07-15,11,Fragole,Achille Lauro & Rose Villain,21,11,5
2023-07-15,12,Cenere,Lazza,14,9,5
2023-07-15,13,Taxi Sulla Luna,"Tony Effe, Emma, Takagi & Ketra",22,13,5
2023-07-15,14,Un Briciolo Di Allegria,Blanco & Mina,12,7,5
2023-07-15,15,Gelosa,"Finesse Feat. Shiva, Sfera Ebbasta & Gue",18,11,5
2023-07-15,16,Non Litighiamo Piu,Rocco Hunt,16,12,5
2023-07-15,17,Hollywood,"Irama, Rkomi & Shablo",26,17,5
2023-07-15,18,Where She Goes,Bad Bunny,24,17,5
2023-07-15,19,Mirage,"AriBeatz Feat. Ozuna, Gims & Sfera Ebbasta",27,15,5
2023-07-15,20,Come Vuoi,Geolier,25,14,5
2023-07-15,21,Un Milione Di Volte,Shiva Feat. Sfera Ebbasta,20,3,5
2023-07-15,22,90 Special,"Drillionaire, Sfera Ebbasta & Shiva",7,7,2
2023-07-15,23,Parafulmini,"Ernia, Bresh & Fabri Fibra",32,23,5
2023-07-15,24,(It Goes Like) Nanana,Peggy Gou,36,24,4
2023-07-15,25,Il Male Che Mi Fai,Geolier Feat. Marracash,30,17,5
2023-07-22,1,Italodisco,The Kolors,1,1,6
2023-07-22,2,Vetri Neri,"Ava, Anna & Capo Plaza",2,2,6
2023-07-22,3,Disco Paradise,"Fedez, Annalisa & Articolo 31",3,3,6
2023-07-22,4,Bon Ton,"Drillionaire, Lazza & Blanco Feat. Sfera Ebbasta & Michelangelo",4,1,4
