Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2011-04-09,1,Utsukushiki Hitobito No Uta,Maximum The Hormone,-,1,1
2011-04-09,2,Born This Way,Lady Gaga,-,2,1
2011-04-09,3,Slow,Rumer,-,3,1
2011-04-09,4,Shumatsu Not Yet,Not Yet,-,4,1
2011-04-09,5,Runway Beat,Funky Monkey Babys,-,5,1
2011-04-09,6,Jet Coaster Love,Kara,-,6,1
2011-04-09,7,Rookie,sakanaction,-,7,1
2011-04-09,8,Sakura No Ki Ni Narou,AKB48,-,8,1
2011-04-09,9,Hey Wa,Yuzu,-,9,1
2011-04-09,10,Rocketeer,Far*East Movement Featuring Ryan Tedder,-,10,1
2011-04-16,1,Born This Way,Lady Gaga,2,1,2
2011-04-16,2,Utsukushiki Hitobito No Uta,Maximum The Hormone,1,1,2
2011-04-16,3,I Love You Need You,The Bawdies Featuring Al,-,3,1
2011-04-16,4,You & Me,Superfly,-,4,1
2011-04-16,5,Jet Coaster Love,Kara,6,5,2
2011-04-16,6,Sakura No Ki Ni Narou,AKB48,8,6,2
2011-04-16,7,Slow,Rumer,3,3,2
2011-04-16,8,Rookie,sakanaction,7,7,2
2011-04-16,9,Under Cover Of Darkness,The Strokes,-,9,1
2011-04-16,10,Shumatsu Not Yet,Not Yet,4,4,2
2011-04-23,1,Kazoe Uta,Mr.Children,-,1,1
2011-04-23,2,Jet Coaster Love,Kara,5,2,3
2011-04-23,3,En Wo Yuite,Tsuyoshi Domoto,-,3,1
2011-04-23,4,Hitotsu No Koi Ga Owaru Toki,Yumi Matsutoya,-,4,1
2011-04-23,5,Life,Ms. OOJA,-,5,1
2011-04-23,6,Mondo Piece,UVERworld,-,6,1
2011-04-23,7,Majidesuka Suka!,Morning Musume,-,7,1
2011-04-23,8,Born This Way,Lady Gaga,1,1,3
2011-04-23,9,Utsukushiki Hitobito No Uta,Maximum The Hormone,2,1,3
2011-04-23,10,I Love You Need You,The Bawdies Featuring Al,3,3,2
2011-04-30,1,Sayonara Kizudarake No Hibi Yo,B`z,-,1,1
2011-04-30,2,Life,Ms. OOJA,5,2,2
2011-04-30,3,Kazoe Uta,Mr.Children,1,1,2
2011-04-30,4,Jet Coaster Love,Kara,2,2,4
2011-04-30,5,Pop Master,Nana Mizuki,-,5,1
2011-04-30,6,Scarlet Knight,Nana Mizuki,-,6,1
2011-04-30,7,Born This Way,Lady Gaga,8,1,4
2011-04-30,8,How Would You Do It,Medi,-,8,1
2011-04-30,9,Brave,Naoto Inti Raymi,-,9,1
2011-04-30,10,"Ai, Chuseyo",SDN48,-,10,1
2011-05-07,1,T.W.L.,Kanjani 8,-,1,1
2011-05-07,2,Brave,Naoto Inti Raymi,9,2,2
2011-05-07,3,Life,Ms. OOJA,2,2,3
2011-05-07,4,Fukuwarai,Yu Takahashi,-,4,1
2011-05-07,5,Jet Coaster Love,Kara,4,2,5
2011-05-07,6,How Would You Do It,Medi,8,6,2
2011-05-07,7,Judas,Lady Gaga,-,7,1
2011-05-07,8,Sayonara Kizudarake No Hibi Yo,B`z,1,1,2
2011-05-07,9,Satisfaction,FTISLAND,-,9,1
2011-05-07,10,"Ano Taiyo Ga, Kono Sekai Wo Terashi Tsuzukeru Yoni",Kobukuro,-,10,1
2011-05-14,1,Mr. Taxi,Shojo Jidai,-,1,1
2011-05-14,2,Let Me Cry,Jang Keun-Suk,-,2,1
2011-05-14,3,"Ano Taiyo Ga, Kono Sekai Wo Terashi Tsuzukeru Yoni",Kobukuro,10,3,2
2011-05-14,4,T.W.L.,Kanjani 8,1,1,2
2011-05-14,5,Wonder Woman,Namie Amuro Featuring Al & Anna Tsuchiya,-,5,1
2011-05-14,6,Brave,Naoto Inti Raymi,2,2,3
2011-05-14,7,Jet Coaster Love,Kara,5,2,6
2011-05-14,8,"Not Alone ""Shiawase Ni Narouyo""",SMAP,-,8,1
2011-05-14,9,Life,Ms. OOJA,3,2,4
2011-05-14,10,How Would You Do It,Medi,6,6,3
2011-05-21,1,Mr. Taxi,Shojo Jidai,1,1,2
2011-05-21,2,"Ano Taiyo Ga, Kono Sekai Wo Terashi Tsuzukeru Yoni",Kobukuro,3,2,3
2011-05-21,3,Have A Good Day!,Noa Nowa,-,3,1
2011-05-21,4,Your Luv,Mblaq,-,4,1
2011-05-21,5,Shojo Hiko,Passpo,-,5,1
2011-05-21,6,Itoshiki Hibi Yo,Ken Hirai,-,6,1
2011-05-21,7,Let Me Cry,Jang Keun-Suk,2,2,2
2011-05-21,8,Laser Beam,Perfume,-,8,1
2011-05-21,9,"Not Alone ""Shiawase Ni Narouyo""",SMAP,8,8,2
2011-05-21,10,Let It Go,The Alfee,-,10,1
2011-05-28,1,My Home,Kanjani 8,-,1,1
2011-05-28,2,Smile,Bump of Chicken,-,2,1
2011-05-28,3,Kakko Warui I Love You!,French Kiss,-,3,1
2011-05-28,4,Koi No Super Ball,Aiko,-,4,1
2011-05-28,5,Sora Ga Natteiru,Tokyo Jihen,-,5,1
2011-05-28,6,Core Pride,UVERworld,-,6,1
2011-05-28,7,Have A Good Day!,Noa Nowa,3,3,2
2011-05-28,8,Love Song,Sandaime J Soul Brothers,-,8,1
2011-05-28,9,Mr. Taxi,Shojo Jidai,1,1,3
2011-05-28,10,"C'mon, Let's Go",KREVA,-,10,1
2011-06-04,1,White,Kat-Tun,-,1,1
2011-06-04,2,Laser Beam,Perfume,-,2,1
2011-06-04,3,Take Off,2PM,-,3,1
2011-06-04,4,Tsuki No Uragawa,Diva,-,4,1
2011-06-04,5,Esperanza,Kana Nishino,-,5,1
2011-06-04,6,Boom!,Maia Hirasawa,-,6,1
2011-06-04,7,Smile,Bump of Chicken,2,2,2
2011-06-04,8,I Remember Me,Jennifer Hudson,-,8,1
2011-06-04,9,Motto.,Mao Abe,-,9,1
2011-06-04,10,On The Floor,Jennifer Lopez Featuring Pitbull,-,10,1
2011-06-11,1,"Everyday, Katyusha",AKB48,-,1,1
2011-06-11,2,Let's Try Again,Team Amuse!!,-,2,1
2011-06-11,3,Judas,Lady Gaga,-,3,1
2011-06-11,4,Maru Maru Mori Mor!,"Kaoru To Tomoki, Tamani Mucc.",-,4,1
2011-06-11,5,Laser Beam,Perfume,2,2,2
2011-06-11,6,Boom!,Maia Hirasawa,6,6,2
2011-06-11,7,Miageta Ryusel,Tokio,-,7,1
2011-06-11,8,Every,GReeeeN,-,8,1
2011-06-11,9,I Remember Me,Jennifer Hudson,8,8,2
2011-06-11,10,Home,Yukie Sono,-,10,1
2011-06-18,1,"Everyday, Katyusha",AKB48,1,1,2
2011-06-18,2,Don't Wanna Lie,B`z,-,2,1
2011-06-18,3,"HELLO ""Paradise Kiss""",Yui,-,3,1
2011-06-18,4,Maru Maru Mori Mor!,"Kaoru To Tomoki, Tamani Mucc.",4,4,2
2011-06-18,5,Let's Try Again,Team Amuse!!,2,2,2
2011-06-18,6,Kiseki,Quruli,-,6,1
2011-06-18,7,Hane,Hanae,-,7,1
2011-06-18,8,Judas,Lady Gaga,3,3,2
2011-06-18,9,Laser Beam,Perfume,5,2,3
2011-06-18,10,Egao Ni Kanpai!,Hiromi Go,-,10,1
2011-06-25,1,Sanbyakurokujugo Nichi Kazoku,Kanjani 8,-,1,1
2011-06-25,2,"Everyday, Katyusha",AKB48,1,1,3
2011-06-25,3,Price Tag,Jessie J Featuring B.o.B,-,3,1
2011-06-25,4,Maru Maru Mori Mor!,"Kaoru To Tomoki, Tamani Mucc.",4,4,3
2011-06-25,5,Soredemo Shinjiteru,Funky Monkey Babys,-,5,1
2011-06-25,6,Every Teardrop Is A Waterfall,Coldplay,-,6,1
2011-06-25,7,Don't Wanna Lie,B`z,2,2,2
2011-06-25,8,Bonamana,Super Junior,-,8,1
2011-06-25,9,Hanataba,back number,-,9,1
2011-06-25,10,"HELLO ""Paradise Kiss""",Yui,3,3,2
2011-07-02,1,Time,KinKi Kids,-,1,1
2011-07-02,2,Maru Maru Mori Mor!,"Kaoru To Tomoki, Tamani Mucc.",4,2,4
2011-07-02,3,"Everyday, Katyusha",AKB48,2,1,4
2011-07-02,4,Hanataba,back number,9,4,2
2011-07-02,5,Rollin' Days,Superfly,-,5,1
2011-07-02,6,Price Tag,Jessie J Featuring B.o.B,3,3,2
2011-07-02,7,"Kuriunnare ""Kimi Ni Aitakute""",Choushinsei,-,7,1
2011-07-02,8,Minazuki,Motohiro Hata,-,8,1
2011-07-02,9,Every Teardrop Is A Waterfall,Coldplay,6,6,2
2011-07-02,10,Bad Girl,Beast,-,10,1
2011-07-09,1,Flower,Atsuko Maeda,-,1,1
2011-07-09,2,"Replay "" Kim Wa Boku No Everything""",Shinee,-,2,1
2011-07-09,3,Hanataba,back number,4,3,3
2011-07-09,4,No Cry No More,AAA,-,4,1
2011-07-09,5,Hanauta,GReeeeN,-,5,1
2011-07-09,6,Go Go Summer!!,Kara,-,6,1
2011-07-09,7,Flags,T.M.Revolution,-,7,1
2011-07-09,8,Run The World (Girls),Beyonce,-,8,1
2011-07-09,9,Maru Maru Mori Mor!,"Kaoru To Tomoki, Tamani Mucc.",2,2,5
2011-07-09,10,Price Tag,Jessie J Featuring B.o.B,6,3,3
2011-07-16,1,Over,Hey! Say! JUMP,-,1,1
2011-07-16,2,Go Go Summer!!,Kara,6,2,2
2011-07-16,3,Good Luck My Way,L'arc En Ciel,-,3,1
2011-07-16,4,Kuchibiru Furezu...,no3b,-,4,1
2011-07-16,5,Hanataba,back number,3,3,4
2011-07-16,6,Run The World (Girls),Beyonce,8,6,2
2011-07-16,7,Yoakemae,Base Ball Bear,-,7,1
2011-07-16,8,Atarashii Bunmei Kaika,Tokyo Jihen,-,8,1
2011-07-16,9,Dare Ga Tame Ni Kane Wa Naru,Yu Takahashi,-,9,1
2011-07-16,10,Born This Way,Lady Gaga,-,1,5
2011-07-23,1,Naminori,Kakigoori,-,1,1
2011-07-23,2,Go Go Summer!!,Kara,2,2,3
2011-07-23,3,Ippai Ippai,Crazy Ken Band,-,3,1
2011-07-23,4,"""A Day In The Summer""  ""Omoide Wa Egao No Mama""",TUBE,-,4,1
2011-07-23,5,Good Luck My Way,L'arc En Ciel,3,3,2
2011-07-23,6,Run The World (Girls),Beyonce,6,6,3
2011-07-23,7,Another Life,Skoop On Somebody Featuring Kurei,-,7,1
2011-07-23,8,Atarashii Bunmei Kaika,Tokyo Jihen,8,8,2
2011-07-23,9,Maru Maru Mori Mor!,"Kaoru To Tomoki, Tamani Mucc.",-,2,6
2011-07-23,10,I Do,Colbie Caillat,-,10,1
2011-07-30,1,Fuini,Tomoni Itano,-,1,1
2011-07-30,2,Maru Maru Mori Mor!,"Kaoru To Tomoki, Tamani Mucc.",9,2,7
2011-07-30,3,Go Go Summer!!,Kara,2,2,4
2011-07-30,4,Aozora,Salyu,-,4,1
2011-07-30,5,Naminori,Kakigoori,1,1,2
2011-07-30,6,Episode.O,Gackt,-,6,1
2011-07-30,7,Nagareboshi To Koi No Ame,Toshinobu Kubota,-,7,1
2011-07-30,8,The Edge Of Glory,Lady Gaga,-,8,1
2011-07-30,9,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,-,9,1
2011-07-30,10,Warattetainda,Ikimono-gakari,-,10,1
2011-08-06,1,Superstar,Tohoshinki,-,1,1
2011-08-06,2,Getsumetsu Kurokami Shojo,Nmb48,-,2,1
2011-08-06,3,Warattetainda,Ikimono-gakari,10,3,2
2011-08-06,4,Bach No Senritsu Wo Yoru Ni Kiita Sei Desu,sakanaction,-,4,1
2011-08-06,5,Maru Maru Mori Mor!,"Kaoru To Tomoki, Tamani Mucc.",2,2,8
2011-08-06,6,Go Go Summer!!,Kara,3,2,5
2011-08-06,7,Asu Eno March,Keisuke Kuwata,-,7,1
2011-08-06,8,Zenbu Suki,Yusuke,-,8,1
2011-08-06,9,Love & Peach,Yuzu,-,9,1
2011-08-06,10,Remake,One Ok Rock,-,10,1
2011-08-13,1,Pareo Wa Emerald,SKE48,-,1,1
2011-08-13,2,Naked,Namie Amuro,-,2,1
2011-08-13,3,Donna Mirai Nimo Ai Wa Aru,Flumpool,-,3,1
2011-08-13,4,Go Go Summer!!,Kara,6,2,6
2011-08-13,5,Maru Maru Mori Mor!,"Kaoru To Tomoki, Tamani Mucc.",5,2,9
2011-08-13,6,Let It Go!,FTISLAND,-,6,1
2011-08-13,7,Superstar,Tohoshinki,1,1,2
2011-08-13,8,Asu Eno March,Keisuke Kuwata,7,7,2
2011-08-13,9,Warattetainda,Ikimono-gakari,3,3,3
2011-08-13,10,Hello!,Yuki,-,10,1
2011-08-20,1,Run For You,Kat-Tun,-,1,1
2011-08-20,2,Chu Chu,Moumoon,-,2,1
2011-08-20,3,Junketsu Paradox,Nana Mizuki,-,3,1
