Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1993-11-13,1,Breathless,Kenny G,-,1,1
1993-11-27,1,Duets,Frank Sinatra,-,1,1
1993-12-04,1,Breathless,Kenny G,-,1,3
1993-12-04,2,Between The Sheets,Fourplay,-,2,1
1993-12-04,3,Steppin' Out,Tony Bennett,-,3,1
1993-12-04,4,Lucky Man,Dave Koz,-,4,1
1993-12-04,5,East River Drive,Stanley Clarke,-,5,1
1993-12-04,6,Dreams Beyond Control,Spyro Gyra,-,6,1
1993-12-04,7,Love Remembers,George Benson,-,7,1
1993-12-04,8,The Quiet Revolution,Ronny Jordan,-,8,1
1993-12-04,9,25,"Harry Connick, Jr.",-,9,1
1993-12-04,10,Wish,Joshua Redman,-,10,1
1993-12-04,11,Sky Islands,Ramsey Lewis,-,11,1
1993-12-04,12,Straight To The Point,Art Porter,-,12,1
1993-12-04,13,When Summer Comes,George Howard,-,13,1
1993-12-04,14,Three Flew Over The Cuckoo's Nest,Bela Fleck & The Flecktones,-,14,1
1993-12-04,15,The Road To You - Live In Europe,Pat Metheny Group,-,15,1
1993-12-04,16,The Jazzmasters,The Jazzmasters Featuring Paul Hardcastle,-,16,1
1993-12-04,17,Swing Kids,Soundtrack,-,17,1
1993-12-04,18,Don't Smoke In Bed,Holly Cole Trio,-,18,1
1993-12-04,19,Light Out Of Darkness,Shirley Horn,-,19,1
1993-12-04,20,Dragonfly Summer,Michael Franks,-,20,1
1993-12-04,21,A Single Woman,Nina Simone,-,21,1
1993-12-04,22,Blue Light 'til Dawn,Cassandra Wilson,-,22,1
1993-12-04,23,Live At Montreux,Miles Davis & Quincy Jones,-,23,1
1993-12-04,24,Devotion,Warren Hill,-,24,1
1993-12-04,25,Jazzmanco,La Vienta,-,25,1
1993-12-04,26,Upfront,David Sanborn,-,26,1
1993-12-04,27,A Man & A Woman: Sax At The Movies,Jazz At The Movies Band,-,27,1
1993-12-04,28,Never Lose Your Heart,Noel Pointer,-,28,1
1993-12-04,29,Best Of Song Book Sessions,Ella Fitzgerald,-,29,1
1993-12-04,30,Wes Bound,Lee Ritenour,-,30,1
1993-12-04,31,Fallen Angel,Larry Coryell,-,31,1
1993-12-04,32,Paint The World,Chick Corea Elektric Band II,-,32,1
1993-12-04,33,Worth Waiting For,Jeff Lorber,-,33,1
1993-12-04,34,Just An Illusion,Najee,-,34,1
1993-12-04,35,Live In L.A.,The Rippingtons,-,35,1
1993-12-04,36,Promenade,Peter White,-,36,1
1993-12-04,37,No Absolute Time,Jean Luc Ponty,-,37,1
1993-12-04,38,Time Remembered,John McLaughlin,-,38,1
1993-12-04,39,Lady Sings Jazz & BLues,Diana Ross,-,39,1
1993-12-04,40,Doo-Bop,Miles Davis,-,40,1
1993-12-04,41,Secret Story,Pat Metheny,-,41,1
1993-12-04,42,invitation,Joe Sample,-,42,1
1993-12-04,43,Next Exit,"Grover Washington, Jr.",-,43,1
1993-12-04,44,In Flight,Pieces Of A Dream,-,44,1
1993-12-04,45,Square One,Gary Taylor,-,45,1
1993-12-04,46,Warm & Tender,Charlie Watts,-,46,1
1993-12-04,47,Homage To Duke,Dave Grusin,-,47,1
1993-12-04,48,Cache,Kirk Whalum,-,48,1
1993-12-04,49,Billie's Best,Billie Holiday,-,49,1
1993-12-04,50,Snapshot,George Duke,-,50,1
1993-12-11,1,Breathless,Kenny G,1,1,4
1993-12-11,2,Steppin' Out,Tony Bennett,3,2,2
1993-12-11,3,Between The Sheets,Fourplay,2,2,2
1993-12-11,4,Lucky Man,Dave Koz,4,4,2
1993-12-11,5,25,"Harry Connick, Jr.",9,5,2
1993-12-11,6,East River Drive,Stanley Clarke,5,5,2
1993-12-11,7,Love Remembers,George Benson,7,7,2
1993-12-11,8,Wish,Joshua Redman,10,8,2
1993-12-11,9,Dreams Beyond Control,Spyro Gyra,6,6,2
1993-12-11,10,Don't Smoke In Bed,Holly Cole Trio,18,10,2
1993-12-11,11,The Quiet Revolution,Ronny Jordan,8,8,2
1993-12-11,12,Sky Islands,Ramsey Lewis,11,11,2
1993-12-11,13,Swing Kids,Soundtrack,17,13,2
1993-12-11,14,Three Flew Over The Cuckoo's Nest,Bela Fleck & The Flecktones,14,14,2
1993-12-11,15,When Summer Comes,George Howard,13,13,2
1993-12-11,16,The Road To You - Live In Europe,Pat Metheny Group,15,15,2
1993-12-11,17,The Jazzmasters,The Jazzmasters Featuring Paul Hardcastle,16,16,2
1993-12-11,18,Straight To The Point,Art Porter,12,12,2
1993-12-11,19,A Single Woman,Nina Simone,21,19,2
1993-12-11,20,Light Out Of Darkness,Shirley Horn,19,19,2
1993-12-11,21,Dragonfly Summer,Michael Franks,20,20,2
1993-12-11,22,Live At Montreux,Miles Davis & Quincy Jones,23,22,2
1993-12-11,23,A Man & A Woman: Sax At The Movies,Jazz At The Movies Band,27,23,2
1993-12-11,24,Blue Light 'til Dawn,Cassandra Wilson,22,22,2
1993-12-11,25,Upfront,David Sanborn,26,25,2
1993-12-11,26,The Sun Don't Lie,Marcus Miller,-,26,1
1993-12-11,27,Best Of Song Book Sessions,Ella Fitzgerald,29,27,2
1993-12-11,28,Devotion,Warren Hill,24,24,2
1993-12-11,29,No Absolute Time,Jean Luc Ponty,37,29,2
1993-12-11,30,Jazzmanco,La Vienta,25,25,2
1993-12-11,31,Wes Bound,Lee Ritenour,30,30,2
1993-12-11,32,Live In L.A.,The Rippingtons,35,32,2
1993-12-11,33,Just An Illusion,Najee,34,33,2
1993-12-11,34,invitation,Joe Sample,42,34,2
1993-12-11,35,Paint The World,Chick Corea Elektric Band II,32,32,2
1993-12-11,36,Fallen Angel,Larry Coryell,31,31,2
1993-12-11,37,Lady Sings Jazz & BLues,Diana Ross,39,37,2
1993-12-11,38,Homage To Duke,Dave Grusin,47,38,2
1993-12-11,39,Secret Story,Pat Metheny,41,39,2
1993-12-11,40,Worth Waiting For,Jeff Lorber,33,33,2
1993-12-11,41,Never Lose Your Heart,Noel Pointer,28,28,2
1993-12-11,42,Promenade,Peter White,36,36,2
1993-12-11,43,Warm & Tender,Charlie Watts,46,43,2
1993-12-11,44,Doo-Bop,Miles Davis,40,40,2
1993-12-11,45,Next Exit,"Grover Washington, Jr.",43,43,2
1993-12-11,46,Ballads,Earl Klugh,-,46,1
1993-12-11,47,Billie's Best,Billie Holiday,49,47,2
1993-12-11,48,Cache,Kirk Whalum,48,48,2
1993-12-11,49,In Flight,Pieces Of A Dream,44,44,2
1993-12-11,50,Time Remembered,John McLaughlin,38,38,2
1993-12-18,1,Breathless,Kenny G,1,1,5
1993-12-18,2,Steppin' Out,Tony Bennett,2,2,3
1993-12-18,3,Between The Sheets,Fourplay,3,2,3
1993-12-18,4,GRP Christmas Collection Vol. III,Various Artists,-,4,1
1993-12-18,5,Lucky Man,Dave Koz,4,4,3
1993-12-18,6,25,"Harry Connick, Jr.",5,5,3
1993-12-18,7,Dreams Beyond Control,Spyro Gyra,9,6,3
1993-12-18,8,East River Drive,Stanley Clarke,6,5,3
1993-12-18,9,Love Remembers,George Benson,7,7,3
1993-12-18,10,Wish,Joshua Redman,8,8,3
1993-12-18,11,Sky Islands,Ramsey Lewis,12,11,3
1993-12-18,12,Swing Kids,Soundtrack,13,12,3
1993-12-18,13,When Summer Comes,George Howard,15,13,3
1993-12-18,14,The Quiet Revolution,Ronny Jordan,11,8,3
1993-12-18,15,The Road To You - Live In Europe,Pat Metheny Group,16,15,3
1993-12-18,16,The Sun Don't Lie,Marcus Miller,26,16,2
1993-12-18,17,Three Flew Over The Cuckoo's Nest,Bela Fleck & The Flecktones,14,14,3
1993-12-18,18,A Man & A Woman: Sax At The Movies,Jazz At The Movies Band,23,18,3
1993-12-18,19,A Single Woman,Nina Simone,19,19,3
1993-12-18,20,The Jazzmasters,The Jazzmasters Featuring Paul Hardcastle,17,16,3
1993-12-18,21,Dragonfly Summer,Michael Franks,21,20,3
