Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1994-11-12,1,Bidi Bidi Bom Bom,Selena,-,1,1
1994-11-12,2,Manana,Cristian,-,2,1
1994-11-12,3,Ni El Primero Ni El Ultimo,Los Rehenes,-,3,1
1994-11-12,4,La Media Vuelta,Luis Miguel,-,4,1
1994-11-12,5,El Puchoncito,Banda Machos,-,5,1
1994-11-12,6,"Te Amo, Te Amo, Te Amo",Sparx,-,6,1
1994-11-12,7,Tu Lo Decidiste,Ana Gabriel,-,7,1
1994-11-12,8,Me Duele Estar Solo,La Mafia,-,8,1
1994-11-12,9,La Nina Fresa,Banda Z,-,9,1
1994-11-12,10,Vivire,Juan Luis Guerra 4.40,-,10,1
1994-11-12,11,Quiero Que Me Hagas El Amor,Ednita Nazario,-,11,1
1994-11-12,12,Para Que,Grupo Mojado,-,12,1
1994-11-12,13,A Capa Y Espada,Industria del Amor,-,13,1
1994-11-12,14,Te Amare Un Millon De Veces,Fandango USA,-,14,1
1994-11-12,15,Nunca Voy A Olvidarte,India,-,15,1
1994-11-12,16,En Las Nubes,Edgar Joel,-,16,1
1994-11-12,17,Si Lo Quieres,La Diferenzia,-,17,1
1994-11-12,18,No Mas Boleros,Los Yonic's,-,18,1
1994-11-12,19,Nada,Ana Barbara,-,19,1
1994-11-12,20,Lagrimas Al Recordar,Los Caminantes,-,20,1
1994-11-12,21,Asi Es La Vida,Luis Enrique,-,21,1
1994-11-12,22,Amor Lunatico,Giro,-,22,1
1994-11-12,23,Lentamente,Juan Gabriel,-,23,1
1994-11-12,24,Pero Que Necesidad,Juan Gabriel,-,24,1
1994-11-12,25,La Soledad,Laura Pausini,-,25,1
1994-11-12,26,Yo Tu Dueno,Los Fugitivos,-,26,1
1994-11-12,27,Apiadate De Mi,Victor Manuelle,-,27,1
1994-11-12,28,Vida,La Mafia,-,28,1
1994-11-12,29,La Mesa Del Rincon,Los Tigres del Norte,-,29,1
1994-11-12,30,Receta De Amor,Olga Tanon,-,30,1
1994-11-12,31,Ya Ahora Es Tarde,Roberto Pulido/ Emilio Navaira,-,31,1
1994-11-12,32,Ramito De Violetas,Banda El Mexicano,-,32,1
1994-11-12,33,Querida,Chayanne,-,33,1
1994-11-12,34,Eres Un Sueno,Los Temerarios,-,34,1
1994-11-12,35,El Dia Que Me Quieras,Luis Miguel,-,35,1
1994-11-12,36,Tragos Amargos,Tiranos del Norte,-,36,1
1994-11-12,37,Encadenada A Mi,Marco Antonio Solis y Los Bukis,-,37,1
1994-11-12,38,Me Estoy Enloqueciendo Por Ti,Jerry Rivera,-,38,1
1994-11-12,39,Senora De Las Cuatro Decadas,Ricardo Arjona,-,39,1
1994-11-12,40,No Me Queda Mas,Selena,-,40,1
1994-11-19,1,Ni El Primero Ni El Ultimo,Los Rehenes,3,1,2
1994-11-19,2,La Media Vuelta,Luis Miguel,4,2,2
1994-11-19,3,Bidi Bidi Bom Bom,Selena,1,1,2
1994-11-19,4,Me Duele Estar Solo,La Mafia,8,4,2
1994-11-19,5,"Te Amo, Te Amo, Te Amo",Sparx,6,5,2
1994-11-19,6,El Puchoncito,Banda Machos,5,5,2
1994-11-19,7,Tu Lo Decidiste,Ana Gabriel,7,7,2
1994-11-19,8,Vivire,Juan Luis Guerra 4.40,10,8,2
1994-11-19,9,La Nina Fresa,Banda Z,9,9,2
