Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1993-07-10,1,Mi Tierra,Gloria Estefan,-,1,1
1993-07-10,2,Aries,Luis Miguel,-,2,1
1993-07-10,3,The Mambo Kings,Soundtrack,-,3,1
1993-07-10,4,Live!,Selena,-,4,1
1993-07-10,5,Gipsy Kings,Gipsy Kings,-,5,1
1993-07-10,6,Romance,Luis Miguel,-,6,1
1993-07-10,7,Live!,Gipsy Kings,-,7,1
1993-07-10,8,Ahora Y Siempre,La Mafia,-,8,1
1993-07-10,9,Otro Dia Mas Sin Verte,Jon Secada,-,9,1
1993-07-10,10,Entre A Mi Mundo,Selena,-,10,1
1993-07-10,11,Mosaique,Gipsy Kings,-,11,1
1993-07-10,12,Como Nunca,Fama,-,12,1
1993-07-10,13,Este Mundo,Gipsy Kings,-,13,1
1993-07-10,14,Canciones de Mi Padre,Linda Ronstadt,-,14,1
1993-07-10,15,Areito,Juan Luis Guerra 4.40,-,15,1
1993-07-10,16,Julio,Julio Iglesias,-,16,1
1993-07-10,17,Por El Mundo,Bronco: El Gigante De America,-,17,1
1993-07-10,18,Frenesi,Linda Ronstadt,-,18,1
1993-07-10,19,Live,Emilio,-,19,1
1993-07-10,20,Donde Jugaran Los Ninos,Mana,-,20,1
1993-07-10,21,Lo Hare Por Ti,Mazz,-,21,1
1993-07-10,22,Cuenta Conmigo,Jerry Rivera,-,22,1
1993-07-10,23,The Best,Ana Gabriel,-,23,1
1993-07-10,24,Casimira,Banda Machos,-,24,1
1993-07-10,25,Con Sangre De Indio,Banda Machos,-,25,1
1993-07-10,26,Mas Canciones,Linda Ronstadt,-,26,1
1993-07-10,27,Bachata Rosa,Juan Luis Guerra 4.40,-,27,1
1993-07-10,28,Quiereme,Los Bukis,-,28,1
1993-07-10,29,Allegria,Gipsy Kings,-,29,1
1993-07-10,30,Hey!,Julio Iglesias,-,30,1
1993-07-10,31,Culture Shock,Culturas,-,31,1
1993-07-10,32,Unsung Highways,Emilio,-,32,1
1993-07-10,33,Moments,Julio Iglesias,-,33,1
1993-07-10,34,Calor,Julio Iglesias,-,34,1
1993-07-10,35,En Tiempo De Amor,Di Blasio,-,35,1
1993-07-10,36,America Y En Vivo,Luis Miguel,-,36,1
1993-07-10,37,Estas Tocando Fuego,La Mafia,-,37,1
1993-07-10,38,Exitos De,Gloria Estefan,-,38,1
1993-07-10,39,Azucar Negra,Celia Cruz,-,39,1
1993-07-10,40,Arriba El Norte...,V. Fernandez/R. Ayala,-,40,1
1993-07-10,41,Rey Ruiz,Rey Ruiz,-,41,1
1993-07-10,42,Pensamientos,Ram Herrera,-,42,1
1993-07-10,43,15 Exitos,Fito Olivares y Su Grupo,-,43,1
1993-07-10,44,Que De Raro Tiene,Vicente Fernandez,-,44,1
1993-07-10,45,1392,David Lee Garza y Los Musicales,-,45,1
1993-07-10,46,Que Paso?,Little Joe,-,46,1
1993-07-10,47,Mazz Live-Una Noche Juntos,Mazz,-,47,1
1993-07-10,48,Barroco,Di Blasio,-,48,1
1993-07-10,49,In Concert,Julio Iglesias,-,49,1
1993-07-10,50,Muevelo Con,El General,-,50,1
1993-07-17,1,Mi Tierra,Gloria Estefan,1,1,2
1993-07-17,2,Aries,Luis Miguel,2,2,2
1993-07-17,3,The Mambo Kings,Soundtrack,3,3,2
1993-07-17,4,Live!,Selena,4,4,2
1993-07-17,5,Gipsy Kings,Gipsy Kings,5,5,2
1993-07-17,6,Romance,Luis Miguel,6,6,2
1993-07-17,7,Ahora Y Siempre,La Mafia,8,7,2
1993-07-17,8,Live!,Gipsy Kings,7,7,2
