Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1994-10-08,1,Manana,Cristian,-,1,1
1994-10-15,1,El Dia Que Me Quieras,Luis Miguel,-,1,1
1994-10-22,1,El Dia Que Me Quieras,Luis Miguel,1,1,2
1994-10-29,1,El Dia Que Me Quieras,Luis Miguel,1,1,3
1994-11-05,1,Vivire,Juan Luis Guerra 4.40,-,1,1
1994-11-05,2,Quiero Que Me Hagas El Amor,Ednita Nazario,-,2,1
1994-11-05,3,Manana,Cristian,-,1,2
1994-11-05,4,La Media Vuelta,Luis Miguel,-,4,1
1994-11-05,5,La Soledad,Laura Pausini,-,5,1
1994-11-05,6,Lentamente,Juan Gabriel,-,6,1
1994-11-05,7,Senora De Las Cuatro Decadas,Ricardo Arjona,-,7,1
1994-11-05,8,Receta De Amor,Olga Tanon,-,8,1
1994-11-05,9,No Te Pareces A Mi,Ricardo Montaner,-,9,1
1994-11-05,10,Querida,Chayanne,-,10,1
1994-11-05,11,Bidi Bidi Bom Bom,Selena,-,11,1
1994-11-05,12,El Dia Que Me Quieras,Luis Miguel,1,1,4
1994-11-05,13,Solo Tu Imagen,Jon Secada,-,13,1
1994-11-05,14,Te Amare,The Barrio Boyzz,-,14,1
1994-11-05,15,Nunca Voy A Olvidarte,India,-,15,1
1994-11-12,1,Quiero Que Me Hagas El Amor,Ednita Nazario,2,1,2
1994-11-12,2,Vivire,Juan Luis Guerra 4.40,1,1,2
1994-11-12,3,La Media Vuelta,Luis Miguel,4,3,2
1994-11-12,4,Manana,Cristian,3,1,3
1994-11-12,5,Lentamente,Juan Gabriel,6,5,2
1994-11-12,6,La Soledad,Laura Pausini,5,5,2
1994-11-12,7,Senora De Las Cuatro Decadas,Ricardo Arjona,7,7,2
1994-11-12,8,Receta De Amor,Olga Tanon,8,8,2
1994-11-12,9,No Te Pareces A Mi,Ricardo Montaner,9,9,2
1994-11-12,10,Te Me Vas,Charlie Masso,-,10,1
1994-11-12,11,Bidi Bidi Bom Bom,Selena,11,11,2
1994-11-12,12,Querida,Chayanne,10,10,2
