Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1985-06-29,1,Reflexiones,Jose Jose,-,1,1
1985-06-29,2,Emmanuel,Emmanuel,-,2,1
1985-06-29,3,Canta a Juan Gabriel,Rocio Durcal,-,3,1
1985-06-29,4,Roberto Carlos 85,Roberto Carlos,-,4,1
1985-06-29,5,Solo una mujer,Lucia Mendez,-,5,1
1985-06-29,6,Sigo siendo aquel,Raphael,-,6,1
1985-06-29,7,Tu amante o tu enemigo,Miguel Gallardo,-,7,1
1985-06-29,8,Convidencias,Pimpinela,-,8,1
1985-06-29,9,Porque te quiero,Carlos Mata,-,9,1
1985-06-29,10,Arrepentida y sola,Beatriz Adriana,-,10,1
1985-06-29,11,A mi nuevo amor,Nelson Ned,-,11,1
1985-06-29,12,Como tu quieres,Jose Feliciano,-,12,1
1985-06-29,13,Caricatura,Lissette,-,13,1
1985-06-29,14,Eres mia,Antonio Cortez,-,14,1
1985-06-29,15,Asi cantaba Cheito Gonzalez vol. 2,Danny Rivera,-,15,1
1985-06-29,16,Sin el,Marisela,-,16,1
1985-06-29,17,Al fin solos,Dyango,-,17,1
1985-06-29,18,Recuerdos 2,Juan Gabriel,-,18,1
1985-06-29,19,Voy a conquistarte,Jose Luis Rodriguez,-,19,1
1985-06-29,20,Amaneciendo en ti,Jose Luis Perales,-,20,1
1985-06-29,21,Rumores,Joan Sebastian,-,21,1
1985-06-29,22,25 anos de sentimiento,Cheo Feliciano,-,22,1
1985-06-29,23,Secretos,Jose Jose,-,23,1
1985-06-29,24,Contra viento y marea,Napoleon,-,24,1
1985-06-29,25,Menudo,Menudo,-,25,1
1985-07-13,1,Reflexiones,Jose Jose,1,1,2
1985-07-13,2,Emmanuel,Emmanuel,2,2,2
1985-07-13,3,Roberto Carlos 85,Roberto Carlos,4,3,2
1985-07-13,4,Solo una mujer,Lucia Mendez,5,4,2
1985-07-13,5,Convidencias,Pimpinela,8,5,2
1985-07-13,6,Tu amante o tu enemigo,Miguel Gallardo,7,6,2
1985-07-13,7,Asi cantaba Cheito Gonzalez vol. 2,Danny Rivera,15,7,2
1985-07-13,8,Sigo siendo aquel,Raphael,6,6,2
1985-07-13,9,Sin el,Marisela,16,9,2
1985-07-13,10,Arrepentida y sola,Beatriz Adriana,10,10,2
1985-07-13,11,Recuerdos 2,Juan Gabriel,18,11,2
1985-07-13,12,Porque te quiero,Carlos Mata,9,9,2
1985-07-13,13,Como tu quieres,Jose Feliciano,12,12,2
1985-07-13,14,Canta a Juan Gabriel,Rocio Durcal,3,3,2
1985-07-13,15,Voy a conquistarte,Jose Luis Rodriguez,19,15,2
1985-07-13,16,A mi nuevo amor,Nelson Ned,11,11,2
1985-07-13,17,Eres mia,Antonio Cortez,14,14,2
1985-07-13,18,Rumores,Joan Sebastian,21,18,2
1985-07-13,19,Menudo,Menudo,25,19,2
1985-07-13,20,Caricatura,Lissette,13,13,2
1985-07-13,21,25 anos de sentimiento,Cheo Feliciano,22,21,2
1985-07-13,22,Al fin solos,Dyango,17,17,2
1985-07-13,23,Amaneciendo en ti,Jose Luis Perales,20,20,2
1985-07-13,24,Se me canso el corazon,Prisma,-,24,1
1985-07-13,25,Eternamente tuyo,Raphael,-,25,1
1985-07-27,1,Reflexiones,Jose Jose,1,1,3
1985-07-27,2,Roberto Carlos 85,Roberto Carlos,3,2,3
1985-07-27,3,Emmanuel,Emmanuel,2,2,3
1985-07-27,4,Solo una mujer,Lucia Mendez,4,4,3
1985-07-27,5,Tu amante o tu enemigo,Miguel Gallardo,6,5,3
1985-07-27,6,Canta a Juan Gabriel,Rocio Durcal,14,3,3
1985-07-27,7,Recuerdos 2,Juan Gabriel,11,7,3
1985-07-27,8,Convidencias,Pimpinela,5,5,3
1985-07-27,9,Sigo siendo aquel,Raphael,8,6,3
1985-07-27,10,Sin el,Marisela,9,9,3
1985-07-27,11,Porque te quiero,Carlos Mata,12,9,3
1985-07-27,12,Arrepentida y sola,Beatriz Adriana,10,10,3
1985-07-27,13,Eres mia,Antonio Cortez,17,13,3
1985-07-27,14,Asi cantaba Cheito Gonzalez vol. 2,Danny Rivera,7,7,3
1985-07-27,15,Como tu quieres,Jose Feliciano,13,12,3
1985-07-27,16,Rumores,Joan Sebastian,18,16,3
1985-07-27,17,Al fin solos,Dyango,22,17,3
1985-07-27,18,A mi nuevo amor,Nelson Ned,16,11,3
1985-07-27,19,Menudo,Menudo,19,19,3
1985-07-27,20,Voy a conquistarte,Jose Luis Rodriguez,15,15,3
1985-07-27,21,25 anos de sentimiento,Cheo Feliciano,21,21,3
1985-07-27,22,Eternamente tuyo,Raphael,25,22,2
1985-07-27,23,Amaneciendo en ti,Jose Luis Perales,23,20,3
1985-07-27,24,Simplemente mujer,Vikki Carr,-,24,1
1985-07-27,25,Tu con el,Los Iracundos,-,25,1
1985-08-10,1,Reflexiones,Jose Jose,1,1,4
1985-08-10,2,Emmanuel,Emmanuel,3,2,4
1985-08-10,3,Roberto Carlos 85,Roberto Carlos,2,2,4
1985-08-10,4,Porque te quiero,Carlos Mata,11,4,4
1985-08-10,5,Sigo siendo aquel,Raphael,9,5,4
1985-08-10,6,Canta a Juan Gabriel,Rocio Durcal,6,3,4
1985-08-10,7,Tu amante o tu enemigo,Miguel Gallardo,5,5,4
1985-08-10,8,Solo una mujer,Lucia Mendez,4,4,4
1985-08-10,9,Eres mia,Antonio Cortez,13,9,4
1985-08-10,10,Asi cantaba Cheito Gonzalez vol. 2,Danny Rivera,14,7,4
1985-08-10,11,Como tu quieres,Jose Feliciano,15,11,4
1985-08-10,12,Convidencias,Pimpinela,8,5,4
1985-08-10,13,Recuerdos 2,Juan Gabriel,7,7,4
1985-08-10,14,Arrepentida y sola,Beatriz Adriana,12,10,4
1985-08-10,15,Sin el,Marisela,10,9,4
1985-08-10,16,Tu con el,Los Iracundos,25,16,2
1985-08-10,17,Al fin solos,Dyango,17,17,4
1985-08-10,18,Simplemente mujer,Vikki Carr,24,18,2
1985-08-10,19,Dama del Caribe,Angela Carrasco,-,19,1
1985-08-10,20,Rumores,Joan Sebastian,16,16,4
1985-08-10,21,Revelaciones,Angelica Maria,-,21,1
1985-08-10,22,Voy a conquistarte,Jose Luis Rodriguez,20,15,4
1985-08-10,23,En la carcel de tu piel,Braulio,-,23,1
1985-08-10,24,Menudo,Menudo,19,19,4
1985-08-10,25,Ahora,Lila Morillo,-,25,1
1985-08-24,1,Reflexiones,Jose Jose,1,1,5
1985-08-24,2,Emmanuel,Emmanuel,2,2,5
1985-08-24,3,Roberto Carlos 85,Roberto Carlos,3,2,5
1985-08-24,4,Canta a Juan Gabriel,Rocio Durcal,6,3,5
