Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,abcdefu,GAYLE,-,1,1
2022-02-19,2,Heat Waves,Glass Animals,-,2,1
2022-02-19,3,Enemy,Imagine Dragons X JID,-,3,1
2022-02-19,4,Shivers,Ed Sheeran,-,4,1
2022-02-19,5,Love Nwantiti (Ah Ah Ah),CKay,-,5,1
2022-02-19,6,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,6,1
2022-02-19,7,Pepas,Farruko,-,7,1
2022-02-19,8,Infinity,Jaymes Young,-,8,1
2022-02-19,9,Where Are You Now,Lost Frequencies & Calum Scott,-,9,1
2022-02-19,10,Stay,The Kid Laroi & Justin Bieber,-,10,1
2022-02-19,11,Brividi,Mahmood & BLANCO,-,11,1
2022-02-19,12,Industry Baby,Lil Nas X & Jack Harlow,-,12,1
2022-02-19,13,Bad Habits,Ed Sheeran,-,13,1
2022-02-19,14,Thats What I Want,Lil Nas X,-,14,1
2022-02-19,15,Do It To It,Acraze Featuring Cherish,-,15,1
2022-02-19,16,Moth To A Flame,Swedish House Mafia & The Weeknd,-,16,1
2022-02-19,17,L'enfer,Stromae,-,17,1
2022-02-19,18,Easy On Me,Adele,-,18,1
2022-02-19,19,To The Moon!,JNR CHOI & Sam Tompkins,-,19,1
2022-02-19,20,Pushin P,Gunna & Future Featuring Young Thug,-,20,1
2022-02-19,21,The Motto,Tiesto & Ava Max,-,21,1
2022-02-19,22,Jefe,Ninho,-,22,1
2022-02-19,23,Love Tonight,Shouse,-,23,1
2022-02-19,24,Woman,Doja Cat,-,24,1
2022-02-19,25,My Universe,Coldplay x BTS,-,25,1
2022-02-26,1,Heat Waves,Glass Animals,2,1,2
2022-02-26,2,abcdefu,GAYLE,1,1,2
2022-02-26,3,Enemy,Imagine Dragons X JID,3,3,2
2022-02-26,4,Pepas,Farruko,7,4,2
2022-02-26,5,Shivers,Ed Sheeran,4,4,2
2022-02-26,6,Cold Heart (PNAU Remix),Elton John & Dua Lipa,6,6,2
2022-02-26,7,Love Nwantiti (Ah Ah Ah),CKay,5,5,2
2022-02-26,8,Where Are You Now,Lost Frequencies & Calum Scott,9,8,2
2022-02-26,9,Infinity,Jaymes Young,8,8,2
2022-02-26,10,Stay,The Kid Laroi & Justin Bieber,10,10,2
2022-02-26,11,Bad Habits,Ed Sheeran,13,11,2
2022-02-26,12,Easy On Me,Adele,18,12,2
2022-02-26,13,Thats What I Want,Lil Nas X,14,13,2
2022-02-26,14,The Motto,Tiesto & Ava Max,21,14,2
2022-02-26,15,Industry Baby,Lil Nas X & Jack Harlow,12,12,2
2022-02-26,16,To The Moon!,JNR CHOI & Sam Tompkins,19,16,2
2022-02-26,17,Do It To It,Acraze Featuring Cherish,15,15,2
2022-02-26,18,L'enfer,Stromae,17,17,2
2022-02-26,19,Moth To A Flame,Swedish House Mafia & The Weeknd,16,16,2
2022-02-26,20,Woman,Doja Cat,24,20,2
2022-02-26,21,Jefe,Ninho,22,21,2
