Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2015-11-07,1,Hotline Bling,Drake,-,1,1
2015-11-07,2,Hello,Adele,-,2,1
2015-11-07,3,Locked Away,R. City Featuring Adam Levine,-,3,1
2015-11-07,4,What Do You Mean?,Justin Bieber,-,4,1
2015-11-07,5,Waiting For Love,Avicii,-,5,1
2015-11-07,6,How Deep Is Your Love,Calvin Harris & Disciples,-,6,1
2015-11-07,7,Revival,Selena Gomez,-,7,1
2015-11-07,8,Ginza,J Balvin,-,8,1
2015-11-07,9,Trap Queen,Fetty Wap,-,9,1
2015-11-07,10,The Hills,The Weeknd,-,10,1
2015-11-07,11,Black Magic,Little Mix,-,11,1
2015-11-07,12,Drag Me Down,One Direction,-,12,1
2015-11-07,13,Sugar,Robin Schulz Featuring Francesco Yates,-,13,1
2015-11-07,14,Style,Taylor Swift,-,14,1
2015-11-07,15,Alone No More,Philip George And Anton Powers,-,15,1
2015-11-07,16,679,Fetty Wap Featuring Remy Boyz,-,16,1
2015-11-07,17,Turn The Music Louder (Ramble),K/DA Featuring Tinie Tempah & Katy B,-,17,1
2015-11-07,18,See You Again,Wiz Khalifa Featuring Charlie Puth,-,18,1
2015-11-07,19,Five More Hours,Deorro & Chris Brown,-,19,1
2015-11-07,20,Wasn't Expecting That,Jamie Lawson,-,20,1
2015-11-07,21,Tell Your Friends,The Weeknd,-,21,1
2015-11-07,22,Sunset,Farruko Featuring Shaggy & Nicky Jam,-,22,1
2015-11-07,23,For A Better Day,Avicii,-,23,1
2015-11-07,24,Worth It,Fifth Harmony Featuring Kid Ink,-,24,1
2015-11-07,25,Permanent Vacation,5 Seconds of Summer,-,25,1
2015-11-14,1,Hello,Adele,2,1,2
2015-11-14,2,Locked Away,R. City Featuring Adam Levine,3,2,2
2015-11-14,3,Perfect,One Direction,-,3,1
2015-11-14,4,Hotline Bling,Drake,1,1,2
2015-11-14,5,Sorry,Justin Bieber,-,5,1
2015-11-14,6,Writing's On The Wall,Sam Smith,-,6,1
2015-11-14,7,Focus,Ariana Grande,-,7,1
2015-11-14,8,Vapor,5 Seconds of Summer,-,8,1
2015-11-14,9,Ocean Drive,Duke Dumont,-,9,1
2015-11-14,10,San Francisco,5 Seconds of Summer,-,10,1
2015-11-14,11,Lay It All On Me,Rudimental Featuring Ed Sheeran,-,11,1
2015-11-14,12,Hula Hoop,OMI,-,12,1
2015-11-14,13,Rosa,Gradur,-,13,1
2015-11-14,14,Invisible,5 Seconds of Summer,-,14,1
2015-11-14,15,Turn The Music Louder (Ramble),K/DA Featuring Tinie Tempah & Katy B,17,15,2
2015-11-14,16,Wasn't Expecting That,Jamie Lawson,20,16,2
2015-11-14,17,Bedingungslos,Sarah Connor,-,17,1
2015-11-14,18,What Do You Mean?,Justin Bieber,4,4,2
2015-11-14,19,How Deep Is Your Love,Calvin Harris & Disciples,6,6,2
2015-11-14,20,Revival,Selena Gomez,7,7,2
2015-11-14,21,Ginza,J Balvin,8,8,2
2015-11-14,22,Sunset,Farruko Featuring Shaggy & Nicky Jam,22,22,2
2015-11-14,23,Waste the Night,5 Seconds of Summer,-,23,1
2015-11-14,24,Energy,Drake,-,24,1
2015-11-14,25,Waiting For Love,Avicii,5,5,2
2015-11-21,1,Hello,Adele,1,1,3
2015-11-21,2,Focus,Ariana Grande,7,2,2
2015-11-21,3,Writing's On The Wall,Sam Smith,6,3,2
2015-11-21,4,Home,One Direction,-,4,1
2015-11-21,5,Turn The Music Louder (Ramble),K/DA Featuring Tinie Tempah & Katy B,15,5,3
2015-11-21,6,Never Forget You,Zara Larsson & MNEK,-,6,1
2015-11-21,7,Locked Away,R. City Featuring Adam Levine,2,2,3
2015-11-21,8,Perfect,One Direction,3,3,2
2015-11-21,9,Hotline Bling,Drake,4,1,3
2015-11-21,10,Vapor,5 Seconds of Summer,8,8,2
2015-11-21,11,Drink You Away,Justin Timberlake,-,11,1
2015-11-21,12,Grown,Little Mix,-,12,1
2015-11-21,13,Lay It All On Me,Rudimental Featuring Ed Sheeran,11,11,2
2015-11-21,14,Sorry,Justin Bieber,5,5,2
2015-11-21,15,Wasn't Expecting That,Jamie Lawson,16,15,3
2015-11-21,16,Rosa,Gradur,13,13,2
2015-11-21,17,Bedingungslos,Sarah Connor,17,17,2
2015-11-21,18,Revival,Selena Gomez,20,7,3
2015-11-21,19,Ginza,J Balvin,21,8,3
2015-11-21,20,Sunset,Farruko Featuring Shaggy & Nicky Jam,22,20,3
2015-11-21,21,Waste the Night,5 Seconds of Summer,23,21,2
2015-11-21,22,Rumour Mill,Rudimental Featuring Ann Marie & Will Heard,-,22,1
2015-11-21,23,Second Hand Heart,Ben Haenow Featuring Kelly Clarkson,-,23,1
2015-11-21,24,Take Me Home,Jess Glynne,-,24,1
2015-11-21,25,Hula Hoop,OMI,12,12,2
2015-11-28,1,Hello,Adele,1,1,4
2015-11-28,2,Focus,Ariana Grande,2,2,3
2015-11-28,3,Writing's On The Wall,Sam Smith,3,3,3
2015-11-28,4,Imagine,John Lennon,-,4,1
2015-11-28,5,Money,5 Seconds of Summer,-,5,1
2015-11-28,6,Never Forget You,Zara Larsson & MNEK,6,6,2
2015-11-28,7,Home,One Direction,4,4,2
2015-11-28,8,Half The World Away,Oasis,-,8,1
2015-11-28,9,Lay It All On Me,Rudimental Featuring Ed Sheeran,13,9,3
2015-11-28,10,Music To My Soul,CeeLo Green,-,10,1
2015-11-28,11,Turn The Music Louder (Ramble),K/DA Featuring Tinie Tempah & Katy B,5,5,4
2015-11-28,12,Locked Away,R. City Featuring Adam Levine,7,2,4
2015-11-28,13,Perfect,One Direction,8,3,3
2015-11-28,14,Hotline Bling,Drake,9,1,4
2015-11-28,15,Vapor,5 Seconds of Summer,10,8,3
2015-11-28,16,Grown,Little Mix,12,12,2
2015-11-28,17,Sorry,Justin Bieber,14,5,3
2015-11-28,18,Wasn't Expecting That,Jamie Lawson,15,15,4
2015-11-28,19,Rosa,Gradur,16,13,3
2015-11-28,20,Bedingungslos,Sarah Connor,17,17,3
2015-11-28,21,Easy Love,Sigala .,-,21,1
2015-11-28,22,Rumour Mill,Rudimental Featuring Ann Marie & Will Heard,22,22,2
2015-11-28,23,Second Hand Heart,Ben Haenow Featuring Kelly Clarkson,23,23,2
2015-11-28,24,Revival,Selena Gomez,18,7,4
2015-11-28,25,If I Could Fly,One Direction,-,25,1
2015-12-05,1,Hello,Adele,1,1,5
2015-12-05,2,Imagine,John Lennon,4,2,2
2015-12-05,3,Sorry,Justin Bieber,17,3,4
2015-12-05,4,On My Mind,Ellie Goulding,-,4,1
2015-12-05,5,Mark My Words,Justin Bieber,-,5,1
2015-12-05,6,Adventure Of A Lifetime,Coldplay,-,6,1
2015-12-05,7,Send My Love (To Your New Lover),Adele,-,7,1
2015-12-05,8,Sax,Fleur East,-,8,1
2015-12-05,9,Love Yourself,Justin Bieber,-,9,1
