Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2015-11-07,1,Hello,Adele,-,1,1
2015-11-07,2,Locked Away,R. City Featuring Adam Levine,-,2,1
2015-11-07,3,Hotline Bling,Drake,-,3,1
2015-11-07,4,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",-,4,1
2015-11-07,5,Digital Dash,Drake & Future,-,5,1
2015-11-07,6,The Hills,The Weeknd,-,6,1
2015-11-07,7,What Do You Mean?,Justin Bieber,-,7,1
2015-11-07,8,Wildest Dreams,Taylor Swift,-,8,1
2015-11-07,9,679,Fetty Wap Featuring Remy Boyz,-,9,1
2015-11-07,10,How Deep Is Your Love,Calvin Harris & Disciples,-,10,1
2015-11-07,11,I'm The Plug,Drake & Future,-,11,1
2015-11-07,12,Same Old Love,Selena Gomez,-,12,1
2015-11-07,13,My Way,Fetty Wap Featuring Monty,-,13,1
2015-11-07,14,Hold My Hand,Jess Glynne,-,14,1
2015-11-07,15,Lay It All On Me,Rudimental Featuring Ed Sheeran,-,15,1
2015-11-07,16,On My Mind,Ellie Goulding,-,16,1
2015-11-07,17,Jugg,Fetty Wap Featuring Monty,-,17,1
2015-11-07,18,Diamonds Dancing,Drake & Future,-,18,1
2015-11-07,19,Midway Through Infinity,Dark Tranquillity,-,19,1
2015-11-07,20,Again,Fetty Wap,-,20,1
2015-11-07,21,Back To Back,Drake,-,21,1
2015-11-07,22,Worth It,Fifth Harmony Featuring Kid Ink,-,22,1
2015-11-07,23,Black Magic,Little Mix,-,23,1
2015-11-07,24,Sunset,Farruko Featuring Shaggy & Nicky Jam,-,24,1
2015-11-07,25,High By The Beach,Lana Del Rey,-,25,1
2015-11-14,1,Hello,Adele,1,1,2
2015-11-14,2,Hotline Bling,Drake,3,2,2
2015-11-14,3,Locked Away,R. City Featuring Adam Levine,2,2,2
2015-11-14,4,Perfect,One Direction,-,4,1
2015-11-14,5,Focus,Ariana Grande,-,5,1
2015-11-14,6,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",4,4,2
2015-11-14,7,Sorry,Justin Bieber,-,7,1
2015-11-14,8,Wildest Dreams,Taylor Swift,8,8,2
2015-11-14,9,679,Fetty Wap Featuring Remy Boyz,9,9,2
2015-11-14,10,How Deep Is Your Love,Calvin Harris & Disciples,10,10,2
2015-11-14,11,I'm The Plug,Drake & Future,11,11,2
2015-11-14,12,Same Old Love,Selena Gomez,12,12,2
2015-11-14,13,Lay It All On Me,Rudimental Featuring Ed Sheeran,15,13,2
2015-11-14,14,Ex's & Oh's,Elle King,-,14,1
2015-11-14,15,The Hills,The Weeknd,6,6,2
2015-11-14,16,My Way,Fetty Wap Featuring Monty,13,13,2
2015-11-14,17,Hold My Hand,Jess Glynne,14,14,2
2015-11-14,18,What Do You Mean?,Justin Bieber,7,7,2
2015-11-14,19,On My Mind,Ellie Goulding,16,16,2
2015-11-14,20,Jugg,Fetty Wap Featuring Monty,17,17,2
2015-11-14,21,Here,Alessia Cara,-,21,1
2015-11-14,22,Again,Fetty Wap,20,20,2
2015-11-14,23,Back To Back,Drake,21,21,2
2015-11-14,24,Worth It,Fifth Harmony Featuring Kid Ink,22,22,2
2015-11-14,25,Black Magic,Little Mix,23,23,2
2015-11-21,1,Hello,Adele,1,1,3
2015-11-21,2,Focus,Ariana Grande,5,2,2
2015-11-21,3,Sorry,Justin Bieber,7,3,2
2015-11-21,4,Pull Up,Young Thug Featuring Rich Homie Quan,-,4,1
2015-11-21,5,Drink You Away,Justin Timberlake,-,5,1
2015-11-21,6,Good For You,Selena Gomez Featuring A$AP Rocky,-,6,1
2015-11-21,7,My Way,Fetty Wap Featuring Monty,16,7,3
2015-11-21,8,Hotline Bling,Drake,2,2,3
2015-11-21,9,Locked Away,R. City Featuring Adam Levine,3,2,3
2015-11-21,10,Perfect,One Direction,4,4,2
2015-11-21,11,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",6,4,3
2015-11-21,12,679,Fetty Wap Featuring Remy Boyz,9,9,3
2015-11-21,13,Lay It All On Me,Rudimental Featuring Ed Sheeran,13,13,3
2015-11-21,14,Wildest Dreams,Taylor Swift,8,8,3
2015-11-21,15,How Deep Is Your Love,Calvin Harris & Disciples,10,10,3
2015-11-21,16,I'm The Plug,Drake & Future,11,11,3
2015-11-21,17,Same Old Love,Selena Gomez,12,12,3
2015-11-21,18,Ex's & Oh's,Elle King,14,14,2
2015-11-21,19,On My Mind,Ellie Goulding,19,16,3
2015-11-21,20,The Hills,The Weeknd,15,6,3
2015-11-21,21,Home,One Direction,-,21,1
2015-11-21,22,Hold My Hand,Jess Glynne,17,14,3
2015-11-21,23,What Do You Mean?,Justin Bieber,18,7,3
2015-11-21,24,Jugg,Fetty Wap Featuring Monty,20,17,3
2015-11-21,25,Here,Alessia Cara,21,21,2
2015-11-28,1,Hello,Adele,1,1,4
2015-11-28,2,Imagine,John Lennon,-,2,1
2015-11-28,3,I'll Show You,Justin Bieber,-,3,1
2015-11-28,4,Pull Up,Young Thug Featuring Rich Homie Quan,4,4,2
2015-11-28,5,On My Mind,Ellie Goulding,19,5,4
2015-11-28,6,Sorry,Justin Bieber,3,3,3
2015-11-28,7,Good For You,Selena Gomez Featuring A$AP Rocky,6,6,2
2015-11-28,8,My Way,Fetty Wap Featuring Monty,7,7,4
2015-11-28,9,Hotline Bling,Drake,8,2,4
2015-11-28,10,Locked Away,R. City Featuring Adam Levine,9,2,4
2015-11-28,11,Lay It All On Me,Rudimental Featuring Ed Sheeran,13,11,4
2015-11-28,12,Perfect,One Direction,10,4,3
2015-11-28,13,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",11,4,4
2015-11-28,14,679,Fetty Wap Featuring Remy Boyz,12,9,4
2015-11-28,15,I'm The Plug,Drake & Future,16,11,4
2015-11-28,16,Same Old Love,Selena Gomez,17,12,4
2015-11-28,17,Ex's & Oh's,Elle King,18,14,3
2015-11-28,18,Wildest Dreams,Taylor Swift,14,8,4
2015-11-28,19,Drink You Away,Justin Timberlake,5,5,2
2015-11-28,20,Hold My Hand,Jess Glynne,22,14,4
2015-11-28,21,What Do You Mean?,Justin Bieber,23,7,4
2015-11-28,22,Jugg,Fetty Wap Featuring Monty,24,17,4
2015-11-28,23,The Hills,The Weeknd,20,6,4
2015-11-28,24,Music To My Soul,CeeLo Green,-,24,1
2015-11-28,25,How Deep Is Your Love,Calvin Harris & Disciples,15,10,4
2015-12-05,1,Hello,Adele,1,1,5
2015-12-05,2,Sorry,Justin Bieber,6,2,4
2015-12-05,3,Imagine,John Lennon,2,2,2
2015-12-05,4,On My Mind,Ellie Goulding,5,4,5
2015-12-05,5,Omen,Disclosure Featuring Sam Smith,-,5,1
2015-12-05,6,I'll Show You,Justin Bieber,3,3,2
2015-12-05,7,Intro (Delirium),Ellie Goulding,-,7,1
2015-12-05,8,Save a Prayer,Eagles of Death Metal,-,8,1
2015-12-05,9,Seventeen,Alessia Cara,-,9,1
2015-12-05,10,Send My Love (To Your New Lover),Adele,-,10,1
2015-12-05,11,Good For You,Selena Gomez Featuring A$AP Rocky,7,6,3
2015-12-05,12,My Way,Fetty Wap Featuring Monty,8,7,5
2015-12-05,13,Hotline Bling,Drake,9,2,5
2015-12-05,14,Locked Away,R. City Featuring Adam Levine,10,2,5
2015-12-05,15,Lay It All On Me,Rudimental Featuring Ed Sheeran,11,11,5
2015-12-05,16,Perfect,One Direction,12,4,4
2015-12-05,17,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",13,4,5
2015-12-05,18,679,Fetty Wap Featuring Remy Boyz,14,9,5
2015-12-05,19,Where Ya At,Future Featuring Drake,-,19,1
2015-12-05,20,Same Old Love,Selena Gomez,16,12,5
2015-12-05,21,Ex's & Oh's,Elle King,17,14,4
2015-12-05,22,Drink You Away,Justin Timberlake,19,5,3
2015-12-05,23,Hold My Hand,Jess Glynne,20,14,5
2015-12-05,24,What Do You Mean?,Justin Bieber,21,7,5
2015-12-05,25,Jugg,Fetty Wap Featuring Monty,22,17,5
2015-12-12,1,Hello,Adele,1,1,6
2015-12-12,2,Sorry,Justin Bieber,2,2,5
2015-12-12,3,Water Under The Bridge,Adele,-,3,1
2015-12-12,4,Adventure Of A Lifetime,Coldplay,-,4,1
2015-12-12,5,I Miss You,Adele,-,5,1
2015-12-12,6,Grind State,Jeezy,-,6,1
2015-12-12,7,Send My Love (To Your New Lover),Adele,10,7,2
2015-12-12,8,All I Ask,Adele,-,8,1
2015-12-12,9,On My Mind,Ellie Goulding,4,4,6
2015-12-12,10,I'll Show You,Justin Bieber,6,3,3
2015-12-12,11,Remedy,Adele,-,11,1
2015-12-12,12,Seventeen,Alessia Cara,9,9,2
2015-12-12,13,Good For You,Selena Gomez Featuring A$AP Rocky,11,6,4
2015-12-12,14,My Way,Fetty Wap Featuring Monty,12,7,6
2015-12-12,15,Hotline Bling,Drake,13,2,6
2015-12-12,16,Locked Away,R. City Featuring Adam Levine,14,2,6
2015-12-12,17,Lay It All On Me,Rudimental Featuring Ed Sheeran,15,11,6
2015-12-12,18,Perfect,One Direction,16,4,5
2015-12-12,19,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",17,4,6
2015-12-12,20,679,Fetty Wap Featuring Remy Boyz,18,9,6
2015-12-12,21,Where Ya At,Future Featuring Drake,19,19,2
2015-12-12,22,Same Old Love,Selena Gomez,20,12,6
2015-12-12,23,Ex's & Oh's,Elle King,21,14,5
2015-12-12,24,Jugg,Fetty Wap Featuring Monty,25,17,6
2015-12-12,25,Music To My Soul,CeeLo Green,-,24,2
