Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
1981-03-21,1,I Can't Stand It,Eric Clapton And His Band,-,1,1
1981-03-21,2,While You See A Chance,Steve Winwood,-,2,1
1981-03-21,3,The Party's Over (Hopelessly In Love),Journey,-,3,1
1981-03-21,4,Hold On Loosely,38 Special,-,4,1
1981-03-21,5,You Better You Bet,The Who,-,5,1
1981-03-21,6,Turn Me Loose,Loverboy,-,6,1
1981-03-21,7,Limelight,Rush,-,7,1
1981-03-21,8,Rockin' The Paradise,Styx,-,8,1
1981-03-21,9,Keep On Loving You,REO Speedwagon,-,9,1
1981-03-21,10,Tom Sawyer,Rush,-,10,1
1981-03-21,11,Don't Stand So Close To Me,The Police,-,11,1
1981-03-21,12,96 TEARS,Garland Jeffreys,-,12,1
1981-03-21,13,Don't Let Him Go,REO Speedwagon,-,13,1
1981-03-21,14,Fade Away,Bruce Springsteen,-,14,1
1981-03-21,15,For You,Manfred Mann 's Earth Band,-,15,1
1981-03-21,16,The Best Of Times,Styx,-,16,1
1981-03-21,17,Take It On The Run,REO Speedwagon,-,17,1
1981-03-21,18,Rita Mae,Eric Clapton And His Band,-,18,1
1981-03-21,19,Hearts On Fire,Randy Meisner,-,19,1
1981-03-21,20,Ah! Leah!,Donnie Iris,-,20,1
1981-03-21,21,Stand And Fight,James Taylor,-,21,1
1981-03-21,22,MESSAGE OF LOVE,Pretenders,-,22,1
1981-03-21,23,Arc Of A Diver,Steve Winwood,-,23,1
1981-03-21,24,Police On My Back,The Clash,-,24,1
1981-03-21,25,Tough Guys,REO Speedwagon,-,25,1
1981-03-21,26,Jessie's Girl,Rick Springfield,-,26,1
1981-03-21,27,Just Between You And Me,April Wine,-,27,1
1981-03-21,28,Too Much Time On My Hands,Styx,-,28,1
1981-03-21,29,(Ghost) Riders In The Sky,Outlaws,-,29,1
1981-03-21,30,Dixie Highway,Journey,-,30,1
1981-03-21,31,Treat Me Right,Pat Benatar,-,31,1
1981-03-21,32,Sign Of The Gypsy Queen,April Wine,-,32,1
1981-03-21,33,Sea Of Love,Grace Slick,-,33,1
1981-03-21,34,Snowblind,Styx,-,34,1
1981-03-21,35,Rapture,Blondie,-,35,1
1981-03-21,36,Catch Me If You Can,Eric Clapton And His Band,-,36,1
1981-03-21,37,Her Town Too,James Taylor & J.D. Souther,-,37,1
1981-03-21,38,I Missed Again,Phil Collins,-,38,1
1981-03-21,39,All Over Town,April Wine,-,39,1
1981-03-21,40,Live For Today,Toto,-,40,1
1981-03-28,1,I Can't Stand It,Eric Clapton And His Band,1,1,2
1981-03-28,2,While You See A Chance,Steve Winwood,2,2,2
1981-03-28,3,You Better You Bet,The Who,5,3,2
1981-03-28,4,The Party's Over (Hopelessly In Love),Journey,3,3,2
1981-03-28,5,Hold On Loosely,38 Special,4,4,2
1981-03-28,6,Turn Me Loose,Loverboy,6,6,2
1981-03-28,7,Take It On The Run,REO Speedwagon,17,7,2
1981-03-28,8,Tom Sawyer,Rush,10,8,2
1981-03-28,9,Keep On Loving You,REO Speedwagon,9,9,2
1981-03-28,10,Limelight,Rush,7,7,2
1981-03-28,11,Too Much Time On My Hands,Styx,28,11,2
1981-03-28,12,Don't Let Him Go,REO Speedwagon,13,12,2
1981-03-28,13,Time Out Of Mind,Steely Dan,49,13,2
1981-03-28,14,I Have The Skill,Sherbs,45,14,2
1981-03-28,15,Don't Stand So Close To Me,The Police,11,11,2
1981-03-28,16,The Best Of Times,Styx,16,16,2
1981-03-28,17,96 TEARS,Garland Jeffreys,12,12,2
1981-03-28,18,In The Air Tonight,Phil Collins,44,18,2
1981-03-28,19,Sign Of The Gypsy Queen,April Wine,32,19,2
1981-03-28,20,Just Between You And Me,April Wine,27,20,2
1981-03-28,21,Police On My Back,The Clash,24,21,2
1981-03-28,22,Fade Away,Bruce Springsteen,14,14,2
1981-03-28,23,I Missed Again,Phil Collins,38,23,2
1981-03-28,24,Stand And Fight,James Taylor,21,21,2
1981-03-28,25,Jessie's Girl,Rick Springfield,26,25,2
1981-03-28,26,Rockin' The Paradise,Styx,8,8,2
1981-03-28,27,(Ghost) Riders In The Sky,Outlaws,29,27,2
1981-03-28,28,Ah! Leah!,Donnie Iris,20,20,2
1981-03-28,29,All Over Town,April Wine,39,29,2
1981-03-28,30,Snowblind,Styx,34,30,2
1981-03-28,31,Watching The Wheels,John Lennon,-,31,1
1981-03-28,32,For You,Manfred Mann 's Earth Band,15,15,2
1981-03-28,33,Catch Me If You Can,Eric Clapton And His Band,36,33,2
1981-03-28,34,Rita Mae,Eric Clapton And His Band,18,18,2
1981-03-28,35,Treat Me Right,Pat Benatar,31,31,2
1981-03-28,36,Hearts On Fire,Randy Meisner,19,19,2
1981-03-28,37,Tough Guys,REO Speedwagon,25,25,2
1981-03-28,38,Generals And Majors,XTC,53,38,2
1981-03-28,39,Into Money,Jack Bruce,-,39,1
1981-03-28,40,Arc Of A Diver,Steve Winwood,23,23,2
1981-04-04,1,You Better You Bet,The Who,3,1,3
1981-04-04,2,The Party's Over (Hopelessly In Love),Journey,4,2,3
1981-04-04,3,While You See A Chance,Steve Winwood,2,2,3
1981-04-04,4,Too Much Time On My Hands,Styx,11,4,3
1981-04-04,5,Hold On Loosely,38 Special,5,4,3
1981-04-04,6,Turn Me Loose,Loverboy,6,6,3
1981-04-04,7,I Can't Stand It,Eric Clapton And His Band,1,1,3
1981-04-04,8,Limelight,Rush,10,7,3
1981-04-04,9,96 TEARS,Garland Jeffreys,17,9,3
1981-04-04,10,Take It On The Run,REO Speedwagon,7,7,3
1981-04-04,11,Just Between You And Me,April Wine,20,11,3
1981-04-04,12,Keep On Loving You,REO Speedwagon,9,9,3
1981-04-04,13,Tom Sawyer,Rush,8,8,3
1981-04-04,14,Another Tricky Day,The Who,-,14,1
1981-04-04,15,(Ghost) Riders In The Sky,Outlaws,27,15,3
1981-04-04,16,Jessie's Girl,Rick Springfield,25,16,3
1981-04-04,17,The Best Of Times,Styx,16,16,3
