Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Angel Baby,Troye Sivan,-,1,1
2022-02-19,2,Ghost,Justin Bieber,-,2,1
2022-02-19,3,Heat Waves,Glass Animals,-,3,1
2022-02-19,4,Easy On Me,Adele,-,4,1
2022-02-19,5,"Red Scarf (""Till We Meet Again"" Movie Theme Song)",WeiBird,-,5,1
2022-02-19,6,Light Switch,Charlie Puth,-,6,1
2022-02-19,7,abcdefu,GAYLE,-,7,1
2022-02-19,8,Stay,The Kid Laroi & Justin Bieber,-,8,1
2022-02-19,9,Dandelions,Ruth B .,-,9,1
2022-02-19,10,Polaroid Love,ENHYPEN,-,10,1
2022-02-19,11,Every Summertime,NIKI,-,11,1
2022-02-19,12,Infinity,Jaymes Young,-,12,1
2022-02-19,13,Here's Your Perfect,Jamie Miller,-,13,1
2022-02-19,14,Industry Baby,Lil Nas X & Jack Harlow,-,14,1
2022-02-19,15,Happier Than Ever,Billie Eilish,-,15,1
2022-02-19,16,Only,LeeHi,-,16,1
2022-02-19,17,Hal Hebat,Raffa Affar,-,17,1
2022-02-19,18,Enemy,Imagine Dragons X JID,-,18,1
2022-02-19,19,Step Back,GOT The Beat,-,19,1
2022-02-19,20,I Love You So,The Walters,-,20,1
2022-02-19,21,Save Your Tears,The Weeknd,-,21,1
2022-02-19,22,Money,LISA,-,22,1
2022-02-19,23,Reckless,Madison Beer,-,23,1
2022-02-19,24,My Universe,Coldplay x BTS,-,24,1
2022-02-19,25,Christmas Tree,V,-,25,1
2022-02-26,1,Angel Baby,Troye Sivan,1,1,2
2022-02-26,2,Stay Alive,Jung Kook,-,2,1
2022-02-26,3,Ghost,Justin Bieber,2,2,2
2022-02-26,4,Heat Waves,Glass Animals,3,3,2
2022-02-26,5,Easy On Me,Adele,4,4,2
2022-02-26,6,"Red Scarf (""Till We Meet Again"" Movie Theme Song)",WeiBird,5,5,2
2022-02-26,7,abcdefu,GAYLE,7,7,2
2022-02-26,8,Light Switch,Charlie Puth,6,6,2
2022-02-26,9,Stay,The Kid Laroi & Justin Bieber,8,8,2
2022-02-26,10,Bad,DOLLA,-,10,1
2022-02-26,11,Dandelions,Ruth B .,9,9,2
2022-02-26,12,The Joker And The Queen,Ed Sheeran Featuring Taylor Swift,-,12,1
2022-02-26,13,Polaroid Love,ENHYPEN,10,10,2
2022-02-26,14,JIKJIN,TREASURE,-,14,1
2022-02-26,15,Every Summertime,NIKI,11,11,2
2022-02-26,16,Infinity,Jaymes Young,12,12,2
2022-02-26,17,Here's Your Perfect,Jamie Miller,13,13,2
2022-02-26,18,Industry Baby,Lil Nas X & Jack Harlow,14,14,2
2022-02-26,19,Happier Than Ever,Billie Eilish,15,15,2
2022-02-26,20,Cinta Sampai Mati,Raffa Affar,-,20,1
2022-02-26,21,Only,LeeHi,16,16,2
2022-02-26,22,Enemy,Imagine Dragons X JID,18,18,2
2022-02-26,23,Save Your Tears,The Weeknd,21,21,2
2022-02-26,24,I Love You So,The Walters,20,20,2
2022-02-26,25,Money,LISA,22,22,2
2022-03-05,1,JIKJIN,TREASURE,14,1,2
2022-03-05,2,Angel Baby,Troye Sivan,1,1,3
2022-03-05,3,Heat Waves,Glass Animals,4,3,3
2022-03-05,4,Ghost,Justin Bieber,3,2,3
2022-03-05,5,Easy On Me,Adele,5,4,3
2022-03-05,6,"Red Scarf (""Till We Meet Again"" Movie Theme Song)",WeiBird,6,5,3
2022-03-05,7,DARARI,TREASURE,-,7,1
2022-03-05,8,abcdefu,GAYLE,7,7,3
2022-03-05,9,Light Switch,Charlie Puth,8,6,3
2022-03-05,10,Stay,The Kid Laroi & Justin Bieber,9,8,3
2022-03-05,11,Dandelions,Ruth B .,11,9,3
2022-03-05,12,Polaroid Love,ENHYPEN,13,10,3
2022-03-05,13,Stay Alive,Jung Kook,2,2,2
2022-03-05,14,Love Me,RealestK,-,14,1
2022-03-05,15,INVU,Taeyeon,-,15,1
2022-03-05,16,Infinity,Jaymes Young,16,12,3
2022-03-05,17,Every Summertime,NIKI,15,11,3
2022-03-05,18,Industry Baby,Lil Nas X & Jack Harlow,18,14,3
2022-03-05,19,Here's Your Perfect,Jamie Miller,17,13,3
2022-03-05,20,Cinta Sampai Mati,Raffa Affar,20,20,2
2022-03-05,21,Enemy,Imagine Dragons X JID,22,18,3
2022-03-05,22,Only,LeeHi,21,16,3
2022-03-05,23,Save Your Tears,The Weeknd,23,21,3
2022-03-05,24,Happier Than Ever,Billie Eilish,19,15,3
