Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",-,1,1
2022-02-19,2,Yonaguni,Bad Bunny,-,2,1
2022-02-19,3,Desesperados,Rauw Alejandro & Chencho Corleone,-,3,1
2022-02-19,4,Si Te Pudiera Mentir,Calibre 50,-,4,1
2022-02-19,5,Mon Amour,zzoilo,-,5,1
2022-02-19,6,A La Antiguita,Calibre 50,-,6,1
2022-02-19,7,Tacones Rojos,Sebastian Yatra,-,7,1
2022-02-19,8,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,-,8,1
2022-02-19,9,Dakiti,Bad Bunny & Jhay Cortez,-,9,1
2022-02-19,10,Como Lo Hice Yo,Matisse + Carin Leon,-,10,1
2022-02-19,11,Hasta La Raiz,Natalia Lafourcade,-,11,1
2022-02-19,12,Todo de Ti,Rauw Alejandro,-,12,1
2022-02-19,13,Ya Acabo,Marca MP x Becky G,-,13,1
2022-02-19,14,A Tu Merced,Bad Bunny,-,14,1
2022-02-19,15,Volvi,Aventura x Bad Bunny,-,15,1
2022-02-19,16,Debo Entender,Santa Fe Klan,-,16,1
2022-02-19,17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,17,1
2022-02-19,18,La Santa,Bad Bunny X Daddy Yankee,-,18,1
2022-02-19,19,Pepas,Farruko,-,19,1
2022-02-19,20,Te Marque Pedo,Alex Luna x DAAZ,-,20,1
2022-02-19,21,AM,Nio Garcia X J Balvin X Bad Bunny,-,21,1
2022-02-19,22,El Toxico,Grupo Firme & Carin Leon,-,22,1
2022-02-19,23,Tranquilito,Gerardo Ortiz,-,23,1
2022-02-19,24,Joder,KOS & Snow tha Product,-,24,1
2022-02-19,25,Botella Tras Botella,Gera MX + Christian Nodal,-,25,1
2022-02-26,1,MAMIII,Becky G X Karol G,-,1,1
2022-02-26,2,Lo Siento BB:/,"Tainy , Bad Bunny & Julieta Venegas",1,1,2
2022-02-26,3,Desesperados,Rauw Alejandro & Chencho Corleone,3,3,2
2022-02-26,4,Yonaguni,Bad Bunny,2,2,2
2022-02-26,5,Si Te Pudiera Mentir,Calibre 50,4,4,2
2022-02-26,6,Mon Amour,zzoilo,5,5,2
2022-02-26,7,Te Marque Pedo,Alex Luna x DAAZ,20,7,2
2022-02-26,8,A La Antiguita,Calibre 50,6,6,2
