Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Amsterdam,"Christian D In Collaboration With $hirak, Brysa & Ashafar",-,1,1
2022-02-19,2,Dat Heb Jij Gedaan,MEAU,-,2,1
2022-02-19,3,Vluchtstrook,"Kris Kross Amsterdam , Antoon & Sigourney K",-,3,1
2022-02-19,4,Jongens Van Plein,Lil Kleine Featuring JoeyAK,-,4,1
2022-02-19,5,Amsterdam,FLEMMING,-,5,1
2022-02-19,6,abcdefu,GAYLE,-,6,1
2022-02-19,7,Enemy,Imagine Dragons X JID,-,7,1
2022-02-19,8,The Motto,Tiesto & Ava Max,-,8,1
2022-02-19,9,Honderd Ruggen,Lil Kleine,-,9,1
2022-02-19,10,Heat Waves,Glass Animals,-,10,1
2022-02-19,11,L'enfer,Stromae,-,11,1
2022-02-19,12,Zij Wil Mij,FLEMMING,-,12,1
2022-02-19,13,Do It To It,Acraze Featuring Cherish,-,13,1
2022-02-19,14,Fingers Crossed,Lauren Spencer Smith,-,14,1
2022-02-19,15,Peru,Fireboy DML & Ed Sheeran,-,15,1
2022-02-19,16,Easy On Me,Adele,-,16,1
2022-02-19,17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,17,1
2022-02-19,18,Thunder,Gabry Ponte X LUM!X X Prezioso,-,18,1
2022-02-19,19,Moth To A Flame,Swedish House Mafia & The Weeknd,-,19,1
2022-02-19,20,Hard To Say Goodbye,RONDE,-,20,1
2022-02-19,21,In M'n Bloed,Snelle,-,21,1
2022-02-19,22,Pepas,Farruko,-,22,1
2022-02-19,23,Shivers,Ed Sheeran,-,23,1
2022-02-19,24,Love Nwantiti (Ah Ah Ah),CKay,-,24,1
2022-02-19,25,Emiliana,CKay,-,25,1
2022-02-26,1,Je Blik Richting Mij,Bankzitters,-,1,1
2022-02-26,2,Amsterdam,"Christian D In Collaboration With $hirak, Brysa & Ashafar",1,1,2
2022-02-26,3,Dat Heb Jij Gedaan,MEAU,2,2,2
2022-02-26,4,Vluchtstrook,"Kris Kross Amsterdam , Antoon & Sigourney K",3,3,2
2022-02-26,5,The Motto,Tiesto & Ava Max,8,5,2
2022-02-26,6,Jongens Van Plein,Lil Kleine Featuring JoeyAK,4,4,2
2022-02-26,7,Enemy,Imagine Dragons X JID,7,7,2
2022-02-26,8,Amsterdam,FLEMMING,5,5,2
2022-02-26,9,abcdefu,GAYLE,6,6,2
2022-02-26,10,Heat Waves,Glass Animals,10,10,2
2022-02-26,11,Zoveel Takkies,Josylvio,-,11,1
2022-02-26,12,Zij Wil Mij,FLEMMING,12,12,2
2022-02-26,13,L'enfer,Stromae,11,11,2
2022-02-26,14,Do It To It,Acraze Featuring Cherish,13,13,2
2022-02-26,15,Peru,Fireboy DML & Ed Sheeran,15,15,2
2022-02-26,16,Fingers Crossed,Lauren Spencer Smith,14,14,2
2022-02-26,17,Thunder,Gabry Ponte X LUM!X X Prezioso,18,17,2
2022-02-26,18,Easy On Me,Adele,16,16,2
2022-02-26,19,Honderd Ruggen,Lil Kleine,9,9,2
2022-02-26,20,Pepas,Farruko,22,20,2
2022-02-26,21,Emiliana,CKay,25,21,2
2022-02-26,22,Hard To Say Goodbye,RONDE,20,20,2
2022-02-26,23,Shivers,Ed Sheeran,23,23,2
2022-02-26,24,In M'n Bloed,Snelle,21,21,2
2022-02-26,25,Cold Heart (PNAU Remix),Elton John & Dua Lipa,17,17,2
2022-03-05,1,Je Blik Richting Mij,Bankzitters,1,1,2
2022-03-05,2,Amsterdam,"Christian D In Collaboration With $hirak, Brysa & Ashafar",2,1,3
2022-03-05,3,Dat Heb Jij Gedaan,MEAU,3,2,3
2022-03-05,4,Vluchtstrook,"Kris Kross Amsterdam , Antoon & Sigourney K",4,3,3
2022-03-05,5,The Motto,Tiesto & Ava Max,5,5,3
2022-03-05,6,Enemy,Imagine Dragons X JID,7,6,3
2022-03-05,7,Amsterdam,FLEMMING,8,5,3
2022-03-05,8,abcdefu,GAYLE,9,6,3
