Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,Down Under,Luude Featuring Colin Hay,-,1,1
2022-02-19,2,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,2,1
2022-02-19,3,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",-,3,1
2022-02-19,4,Heat Waves,Glass Animals,-,4,1
2022-02-19,5,abcdefu,GAYLE,-,5,1
2022-02-19,6,Mr Reggae,L.A.B,-,6,1
2022-02-19,7,In The Air,L.A.B,-,7,1
2022-02-19,8,Easy On Me,Adele,-,8,1
2022-02-19,9,Enemy,Imagine Dragons X JID,-,9,1
2022-02-19,10,Shivers,Ed Sheeran,-,10,1
2022-02-19,11,Stay,The Kid Laroi & Justin Bieber,-,11,1
2022-02-19,12,Industry Baby,Lil Nas X & Jack Harlow,-,12,1
2022-02-19,13,Bad Habits,Ed Sheeran,-,13,1
2022-02-19,14,Under The Sun,L.A.B,-,14,1
2022-02-19,15,Friday Night,King George,-,15,1
2022-02-19,16,Fingers Crossed,Lauren Spencer Smith,-,16,1
2022-02-19,17,Surface Pressure,Jessica Darrow,-,17,1
2022-02-19,18,Pushin P,Gunna & Future Featuring Young Thug,-,18,1
2022-02-19,19,Hrs And Hrs,Muni Long,-,19,1
2022-02-19,20,Dreams,Fleetwood Mac,-,20,1
2022-02-19,21,Big Energy,Latto,-,21,1
2022-02-19,22,Controller,L.A.B,-,22,1
2022-02-19,23,Do It To It,Acraze Featuring Cherish,-,23,1
2022-02-19,24,Lost,Frank Ocean,-,24,1
2022-02-19,25,Ghost,Justin Bieber,-,25,1
2022-02-26,1,Down Under,Luude Featuring Colin Hay,1,1,2
2022-02-26,2,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2,2,2
2022-02-26,3,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",3,3,2
2022-02-26,4,Heat Waves,Glass Animals,4,4,2
2022-02-26,5,abcdefu,GAYLE,5,5,2
2022-02-26,6,Mr Reggae,L.A.B,6,6,2
2022-02-26,7,Enemy,Imagine Dragons X JID,9,7,2
2022-02-26,8,Easy On Me,Adele,8,8,2
2022-02-26,9,Shivers,Ed Sheeran,10,9,2
2022-02-26,10,In The Air,L.A.B,7,7,2
2022-02-26,11,Stay,The Kid Laroi & Justin Bieber,11,11,2
2022-02-26,12,Bad Habits,Ed Sheeran,13,12,2
2022-02-26,13,Industry Baby,Lil Nas X & Jack Harlow,12,12,2
2022-02-26,14,Here For You,Wilkinson & Becky Hill,-,14,1
2022-02-26,15,Friday Night,King George,15,15,2
2022-02-26,16,Under The Sun,L.A.B,14,14,2
2022-02-26,17,Lost,Frank Ocean,24,17,2
2022-02-26,18,Surface Pressure,Jessica Darrow,17,17,2
2022-02-26,19,Hrs And Hrs,Muni Long,19,19,2
2022-02-26,20,Edamame,bbno$ Featuring Rich Brian,-,20,1
2022-02-26,21,Ghost,Justin Bieber,25,21,2
2022-02-26,22,Big Energy,Latto,21,21,2
2022-02-26,23,Pushin P,Gunna & Future Featuring Young Thug,18,18,2
2022-02-26,24,Dreams,Fleetwood Mac,20,20,2
2022-02-26,25,Thats What I Want,Lil Nas X,-,25,1
2022-03-05,1,Down Under,Luude Featuring Colin Hay,1,1,3
2022-03-05,2,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2,2,3
2022-03-05,3,Heat Waves,Glass Animals,4,3,3
2022-03-05,4,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",3,3,3
2022-03-05,5,abcdefu,GAYLE,5,5,3
2022-03-05,6,Bad Habits,Ed Sheeran,12,6,3
2022-03-05,7,Mr Reggae,L.A.B,6,6,3
2022-03-05,8,Friday Night,King George,15,8,3
2022-03-05,9,In The Air,L.A.B,10,7,3
2022-03-05,10,Enemy,Imagine Dragons X JID,7,7,3
2022-03-05,11,Shivers,Ed Sheeran,9,9,3
2022-03-05,12,Stay,The Kid Laroi & Justin Bieber,11,11,3
2022-03-05,13,Easy On Me,Adele,8,8,3
2022-03-05,14,Industry Baby,Lil Nas X & Jack Harlow,13,12,3
2022-03-05,15,Under The Sun,L.A.B,16,14,3
2022-03-05,16,Lost,Frank Ocean,17,16,3
2022-03-05,17,Ghost,Justin Bieber,21,17,3
2022-03-05,18,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,-,18,1
2022-03-05,19,Dreams,Fleetwood Mac,24,19,3
2022-03-05,20,Here For You,Wilkinson & Becky Hill,14,14,2
2022-03-05,21,Edamame,bbno$ Featuring Rich Brian,20,20,2
2022-03-05,22,Hrs And Hrs,Muni Long,19,19,3
2022-03-05,23,Controller,L.A.B,-,22,2
2022-03-05,24,Thats What I Want,Lil Nas X,25,24,2
2022-03-05,25,Surface Pressure,Jessica Darrow,18,17,3
2022-03-12,1,Down Under,Luude Featuring Colin Hay,1,1,4
2022-03-12,2,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2,2,4
2022-03-12,3,Heat Waves,Glass Animals,3,3,4
2022-03-12,4,Friday Night,King George,8,4,4
2022-03-12,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",4,3,4
2022-03-12,6,Bad Habits,Ed Sheeran,6,6,4
2022-03-12,7,abcdefu,GAYLE,5,5,4
2022-03-12,8,Enemy,Imagine Dragons X JID,10,7,4
2022-03-12,9,In The Air,L.A.B,9,7,4
2022-03-12,10,Mr Reggae,L.A.B,7,6,4
2022-03-12,11,Shivers,Ed Sheeran,11,9,4
2022-03-12,12,Stay,The Kid Laroi & Justin Bieber,12,11,4
2022-03-12,13,Industry Baby,Lil Nas X & Jack Harlow,14,12,4
2022-03-12,14,Easy On Me,Adele,13,8,4
2022-03-12,15,Under The Sun,L.A.B,15,14,4
2022-03-12,16,Lost,Frank Ocean,16,16,4
2022-03-12,17,Ghost,Justin Bieber,17,17,4
2022-03-12,18,Dreams,Fleetwood Mac,19,18,4
2022-03-12,19,Edamame,bbno$ Featuring Rich Brian,21,19,3
2022-03-12,20,Hrs And Hrs,Muni Long,22,19,4
2022-03-12,21,Controller,L.A.B,23,21,3
2022-03-12,22,Thats What I Want,Lil Nas X,24,22,3
2022-03-12,23,Nail Tech,Jack Harlow,-,23,1
2022-03-12,24,Boyfriend,Dove Cameron,-,24,1
2022-03-12,25,Here For You,Wilkinson & Becky Hill,20,14,3
2022-03-19,1,Down Under,Luude Featuring Colin Hay,1,1,5
2022-03-19,2,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2,2,5
2022-03-19,3,Heat Waves,Glass Animals,3,3,5
2022-03-19,4,Friday Night,King George,4,4,5
2022-03-19,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",5,3,5
2022-03-19,6,Enemy,Imagine Dragons X JID,8,6,5
2022-03-19,7,Bad Habits,Ed Sheeran,6,6,5
2022-03-19,8,In The Air,L.A.B,9,7,5
2022-03-19,9,Shivers,Ed Sheeran,11,9,5
2022-03-19,10,abcdefu,GAYLE,7,5,5
2022-03-19,11,Mr Reggae,L.A.B,10,6,5
2022-03-19,12,Stay,The Kid Laroi & Justin Bieber,12,11,5
2022-03-19,13,Industry Baby,Lil Nas X & Jack Harlow,13,12,5
2022-03-19,14,Easy On Me,Adele,14,8,5
2022-03-19,15,Ghost,Justin Bieber,17,15,5
2022-03-19,16,Under The Sun,L.A.B,15,14,5
2022-03-19,17,Dreams,Fleetwood Mac,18,17,5
2022-03-19,18,I'm Tired,Labrinth & Zendaya,-,18,1
2022-03-19,19,Where Are You Now,Lost Frequencies & Calum Scott,-,19,1
2022-03-19,20,Boyfriend,Dove Cameron,24,20,2
2022-03-19,21,Freaky Deaky,Tyga X Doja Cat,-,21,1
2022-03-19,22,Edamame,bbno$ Featuring Rich Brian,19,19,4
2022-03-19,23,Lost,Frank Ocean,16,16,5
2022-03-19,24,Woman,Doja Cat,-,24,1
2022-03-19,25,Thats What I Want,Lil Nas X,22,22,4
2022-03-26,1,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2,1,6
2022-03-26,2,Heat Waves,Glass Animals,3,2,6
2022-03-26,3,Down Under,Luude Featuring Colin Hay,1,1,6
2022-03-26,4,Friday Night,King George,4,4,6
2022-03-26,5,Enemy,Imagine Dragons X JID,6,5,6
2022-03-26,6,Bad Habits,Ed Sheeran,7,6,6
2022-03-26,7,Shivers,Ed Sheeran,9,7,6
2022-03-26,8,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",5,3,6
2022-03-26,9,abcdefu,GAYLE,10,5,6
2022-03-26,10,Stay,The Kid Laroi & Justin Bieber,12,10,6
2022-03-26,11,In The Air,L.A.B,8,7,6
2022-03-26,12,Industry Baby,Lil Nas X & Jack Harlow,13,12,6
2022-03-26,13,Mr Reggae,L.A.B,11,6,6
2022-03-26,14,Easy On Me,Adele,14,8,6
2022-03-26,15,Ghost,Justin Bieber,15,15,6
2022-03-26,16,Freaky Deaky,Tyga X Doja Cat,21,16,2
2022-03-26,17,Where Are You Now,Lost Frequencies & Calum Scott,19,17,2
2022-03-26,18,Dreams,Fleetwood Mac,17,17,6
2022-03-26,19,Starlight,Dave,-,19,1
2022-03-26,20,Woman,Doja Cat,24,20,2
2022-03-26,21,Boyfriend,Dove Cameron,20,20,3
2022-03-26,22,Save Your Tears,The Weeknd,-,22,1
2022-03-26,23,Edamame,bbno$ Featuring Rich Brian,22,19,5
2022-03-26,24,Under The Sun,L.A.B,16,14,6
2022-03-26,25,Thats What I Want,Lil Nas X,25,22,5
2022-04-02,1,Heat Waves,Glass Animals,2,1,7
2022-04-02,2,Cold Heart (PNAU Remix),Elton John & Dua Lipa,1,1,7
2022-04-02,3,Down Under,Luude Featuring Colin Hay,3,1,7
2022-04-02,4,Friday Night,King George,4,4,7
2022-04-02,5,Bad Habits,Ed Sheeran,6,5,7
2022-04-02,6,Shivers,Ed Sheeran,7,6,7
2022-04-02,7,Enemy,Imagine Dragons X JID,5,5,7
2022-04-02,8,Stay,The Kid Laroi & Justin Bieber,10,8,7
2022-04-02,9,abcdefu,GAYLE,9,5,7
2022-04-02,10,In The Air,L.A.B,11,7,7
2022-04-02,11,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",8,3,7
2022-04-02,12,Industry Baby,Lil Nas X & Jack Harlow,12,12,7
2022-04-02,13,Easy On Me,Adele,14,8,7
2022-04-02,14,Starlight,Dave,19,14,2
2022-04-02,15,Mr Reggae,L.A.B,13,6,7
2022-04-02,16,Freaky Deaky,Tyga X Doja Cat,16,16,3
2022-04-02,17,Where Are You Now,Lost Frequencies & Calum Scott,17,17,3
2022-04-02,18,Ghost,Justin Bieber,15,15,7
2022-04-02,19,Dreams,Fleetwood Mac,18,17,7
2022-04-02,20,Woman,Doja Cat,20,20,3
2022-04-02,21,Save Your Tears,The Weeknd,22,21,2
2022-04-02,22,Levitating,Dua Lipa,-,22,1
2022-04-02,23,Lost,Frank Ocean,-,16,6
2022-04-02,24,Edamame,bbno$ Featuring Rich Brian,23,19,6
2022-04-02,25,Fingers Crossed,Lauren Spencer Smith,-,16,2
2022-04-09,1,Cold Heart (PNAU Remix),Elton John & Dua Lipa,2,1,8
2022-04-09,2,Heat Waves,Glass Animals,1,1,8
2022-04-09,3,Friday Night,King George,4,3,8
2022-04-09,4,Down Under,Luude Featuring Colin Hay,3,1,8
2022-04-09,5,Bad Habits,Ed Sheeran,5,5,8
2022-04-09,6,Shivers,Ed Sheeran,6,6,8
2022-04-09,7,Starlight,Dave,14,7,3
2022-04-09,8,Enemy,Imagine Dragons X JID,7,5,8
2022-04-09,9,Stay,The Kid Laroi & Justin Bieber,8,8,8
2022-04-09,10,In The Air,L.A.B,10,7,8
2022-04-09,11,abcdefu,GAYLE,9,5,8
2022-04-09,12,Mr Reggae,L.A.B,15,6,8
2022-04-09,13,Easy On Me,Adele,13,8,8
2022-04-09,14,Industry Baby,Lil Nas X & Jack Harlow,12,12,8
2022-04-09,15,Tom's Diner,AnnenMayKantereit & Giant Rooks,-,15,1
2022-04-09,16,Where Are You Now,Lost Frequencies & Calum Scott,17,16,4
2022-04-09,17,Ghost,Justin Bieber,18,15,8
2022-04-09,18,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa , Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",11,3,8
2022-04-09,19,Freaky Deaky,Tyga X Doja Cat,16,16,4
2022-04-09,20,Dreams,Fleetwood Mac,19,17,8
2022-04-09,21,Woman,Doja Cat,20,20,4
2022-04-09,22,Middle Of The Night,Elley Duhe,-,22,1
2022-04-09,23,Big Energy,Latto,-,21,3
2022-04-09,24,Save Your Tears,The Weeknd,21,21,3
2022-04-09,25,Levitating,Dua Lipa,22,22,2
2022-04-16,1,As It Was,Harry Styles,-,1,1
2022-04-16,2,Heat Waves,Glass Animals,2,1,9
2022-04-16,3,Cold Heart (PNAU Remix),Elton John & Dua Lipa,1,1,9
2022-04-16,4,Friday Night,King George,3,3,9
2022-04-16,5,Down Under,Luude Featuring Colin Hay,4,1,9
2022-04-16,6,Starlight,Dave,7,6,4
2022-04-16,7,Bad Habits,Ed Sheeran,5,5,9
2022-04-16,8,Shivers,Ed Sheeran,6,6,9
2022-04-16,9,Enemy,Imagine Dragons X JID,8,5,9
2022-04-16,10,In The Air,L.A.B,10,7,9
2022-04-16,11,Stay,The Kid Laroi & Justin Bieber,9,8,9
2022-04-16,12,Industry Baby,Lil Nas X & Jack Harlow,14,12,9
