Date,Rank,Song,Artist,Last Week,Peak Position,Weeks on Chart
2022-02-19,1,PAF.No,Karpe,-,1,1
2022-02-19,2,Iboprofen,Karpe,-,2,1
2022-02-19,3,"Kenya (Live form DY Patil Stadium, Mumbai)",Karpe,-,3,1
2022-02-19,4,Salmalaks,Karpe,-,4,1
2022-02-19,5,Ibn Adam,Karpe,-,5,1
2022-02-19,6,Glorie,Vinni,-,6,1
2022-02-19,7,Baraf/Fairuz,"Karpe, Jonas Benyoub & Emilie Nicolas Featuring Harpreet Bansal",-,7,1
2022-02-19,8,She's All I Wanna Be,Tate McRae,-,8,1
2022-02-19,9,Fingers Crossed,Lauren Spencer Smith,-,9,1
2022-02-19,10,abcdefu,GAYLE,-,10,1
2022-02-19,11,Kompis,Halva Priset,-,11,1
2022-02-19,12,Enemy,Imagine Dragons X JID,-,12,1
2022-02-19,13,Heat Waves,Glass Animals,-,13,1
2022-02-19,14,Thunder,Gabry Ponte X LUM!X X Prezioso,-,14,1
2022-02-19,15,The Motto,Tiesto & Ava Max,-,15,1
2022-02-19,16,Jente I Oslo (Oystein Greni Sin Dag),TIX,-,16,1
2022-02-19,17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,-,17,1
2022-02-19,18,Easy On Me,Adele,-,18,1
2022-02-19,19,It'll Be Okay,Shawn Mendes,-,19,1
2022-02-19,20,Fuckboy,Martine Lunde,-,20,1
2022-02-19,21,Hoyt Over Havet,Chris Holsten,-,21,1
2022-02-19,22,Shivers,Ed Sheeran,-,22,1
2022-02-19,23,Moth To A Flame,Swedish House Mafia & The Weeknd,-,23,1
2022-02-19,24,Den Fineste Chevy'n,Halva Priset & Maria Mena,-,24,1
2022-02-19,25,Stay,The Kid Laroi & Justin Bieber,-,25,1
2022-02-26,1,PAF.No,Karpe,1,1,2
2022-02-26,2,Hvis Jeg Forlot Verden,TIX,-,2,1
2022-02-26,3,Dans Pa Bordet,Ballinciaga x David Mokel,-,3,1
2022-02-26,4,Iboprofen,Karpe,2,2,2
2022-02-26,5,Glorie,Vinni,6,5,2
2022-02-26,6,"Kenya (Live form DY Patil Stadium, Mumbai)",Karpe,3,3,2
2022-02-26,7,Salmalaks,Karpe,4,4,2
2022-02-26,8,Ibn Adam,Karpe,5,5,2
2022-02-26,9,abcdefu,GAYLE,10,9,2
2022-02-26,10,She's All I Wanna Be,Tate McRae,8,8,2
2022-02-26,11,Baraf/Fairuz,"Karpe, Jonas Benyoub & Emilie Nicolas Featuring Harpreet Bansal",7,7,2
2022-02-26,12,Fingers Crossed,Lauren Spencer Smith,9,9,2
2022-02-26,13,Enemy,Imagine Dragons X JID,12,12,2
